package,old_prefix,real_prefix
ivanskom-ru-20130918,http://cdn2.sdlabs.ru/preservation/mirrors/,http://cdn1.sdlabs.ru/public/mirrors/
fskn-gov-ru-04052016,http://cdn2.sdlabs.ru/preservation/webcollect/,http://cdn1.sdlabs.ru/public/webcollect/
vvmvd-ru-2014-01-21,http://cdn2.sdlabs.ru/preservation/webcollect/,http://cdn1.sdlabs.ru/public/webcollect/
fms-gov-ru-2016-05-04,http://cdn2.sdlabs.ru/preservation/webcollect/,http://cdn1.sdlabs.ru/public/webcollect/
sk-kursk-ru,http://cdn2.sdlabs.ru/preservation/mirrors/,http://cdn1.sdlabs.ru/public/mirrors/
old-gai63-ru,http://cdn2.sdlabs.ru/preservation/mirrors/,http://cdn1.sdlabs.ru/public/mirrors/
old-prokuratura-tula-ru,http://cdn2.sdlabs.ru/preservation/mirrors/,http://cdn1.sdlabs.ru/public/mirrors/
suskburyatia-ru-2013-09-18,http://cdn2.sdlabs.ru/preservation/mirrors/,http://cdn1.sdlabs.ru/public/mirrors/
112-ru-21012014,http://cdn2.sdlabs.ru/preservation/webcollect/,http://cdn1.sdlabs.ru/public/webcollect/
old-fskn-gov-ru,http://cdn2.sdlabs.ru/preservation/mirrors/,http://cdn1.sdlabs.ru/public/mirrors/
uvd-bel-ru-2014-10-22,http://cdn2.sdlabs.ru/preservation/mirrors/,http://cdn1.sdlabs.ru/public/mirrors/
