6. ЖИЛЫЕ ПОМЕЩЕНИЯ2) ПО ИХ ТИПАМ И ЧИСЛУ ПРОЖИВАЮЩИХ В НИХ ЧАСТНЫХ ДОМОХОЗЯЙСТВ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
	Всего жилых помещений	в них проживает								
		одно домохозяйство	в том числе состоящее из					два домохозяйства	три домохозяйства	четыре домохозяйства и более
			1 человека 	2 человек	3 человек	4 человек	5 и более человек			
Российская Федерация										
Городские и сельские населенные пункты										
коммунальные квартиры	7181.0	2581.0	755.0	672.0	583.0	389.0	182.0	3750.0	692.0	158.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	398012.0	391364.0	92622.0	118215.0	98984.0	58084.0	23459.0	5644.0	831.0	173.0
в том числе:										
индивидуальные дома	64837.0	64655.0	18397.0	20019.0	13089.0	8541.0	4609.0	161.0	13.0	8.0
отдельные квартиры	326487.0	324444.0	73587.0	97622.0	85355.0	49189.0	18691.0	1879.0	151.0	13.0
коммунальные квартиры	6688.0	2265.0	638.0	574.0	540.0	354.0	159.0	3604.0	667.0	152.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	166499.0	166140.0	55726.0	51678.0	28233.0	19722.0	10781.0	317.0	34.0	8.0
в том числе:										
индивидуальные дома	110023.0	109968.0	42689.0	36429.0	14796.0	10063.0	5991.0	52.0	3.0	-
отдельные квартиры	55983.0	55856.0	12920.0	15151.0	13394.0	9624.0	4767.0	119.0	6.0	2.0
коммунальные квартиры	493.0	316.0	117.0	98.0	43.0	35.0	23.0	146.0	25.0	6.0
Тульская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	628380.0	619391.0	153614.0	185002.0	146347.0	89244.0	45184.0	7504.0	1169.0	316.0
в том числе:										
индивидуальные дома	121276.0	120951.0	40414.0	37371.0	19566.0	13650.0	9950.0	286.0	35.0	4.0
отдельные квартиры	499621.0	496177.0	112517.0	147012.0	126271.0	75286.0	35091.0	3091.0	311.0	42.0
коммунальные квартиры	7483.0	2263.0	683.0	619.0	510.0	308.0	143.0	4127.0	823.0	270.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	506581.0	498002.0	116745.0	149797.0	124942.0	72317.0	34201.0	7145.0	1132.0	302.0
в том числе:										
индивидуальные дома	59900.0	59588.0	15786.0	17599.0	11915.0	8411.0	5877.0	273.0	35.0	4.0
отдельные квартиры	439545.0	436332.0	100323.0	131626.0	112548.0	63634.0	28201.0	2873.0	299.0	41.0
коммунальные квартиры	7136.0	2082.0	636.0	572.0	479.0	272.0	123.0	3999.0	798.0	257.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	121799.0	121389.0	36869.0	35205.0	21405.0	16927.0	10983.0	359.0	37.0	14.0
в том числе:										
индивидуальные дома	61376.0	61363.0	24628.0	19772.0	7651.0	5239.0	4073.0	13.0	-	-
отдельные квартиры	60076.0	59845.0	12194.0	15386.0	13723.0	11652.0	6890.0	218.0	12.0	1.0
коммунальные квартиры	347.0	181.0	47.0	47.0	31.0	36.0	20.0	128.0	25.0	13.0
Ярославская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	510209.0	499075.0	121830.0	151296.0	122352.0	73919.0	29678.0	8630.0	1635.0	869.0
в том числе:										
индивидуальные дома	84463.0	84281.0	29940.0	27711.0	13033.0	8731.0	4866.0	166.0	14.0	2.0
отдельные квартиры	418492.0	413476.0	91508.0	123241.0	109007.0	65020.0	24700.0	4526.0	441.0	49.0
коммунальные квартиры	7254.0	1318.0	382.0	344.0	312.0	168.0	112.0	3938.0	1180.0	818.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	403090.0	392549.0	88870.0	118395.0	102237.0	59946.0	23101.0	8117.0	1583.0	841.0
в том числе:										
индивидуальные дома	29546.0	29402.0	9017.0	9153.0	5559.0	3688.0	1985.0	130.0	12.0	2.0
отдельные квартиры	366649.0	361908.0	79497.0	108919.0	96378.0	56104.0	21010.0	4277.0	422.0	42.0
коммунальные квартиры	6895.0	1239.0	356.0	323.0	300.0	154.0	106.0	3710.0	1149.0	797.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	107119.0	106526.0	32960.0	32901.0	20115.0	13973.0	6577.0	513.0	52.0	28.0
в том числе:										
индивидуальные дома	54917.0	54879.0	20923.0	18558.0	7474.0	5043.0	2881.0	36.0	2.0	-
отдельные квартиры	51843.0	51568.0	12011.0	14322.0	12629.0	8916.0	3690.0	249.0	19.0	7.0
коммунальные квартиры	359.0	79.0	26.0	21.0	12.0	14.0	6.0	228.0	31.0	21.0
г. Москва										
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	3296803.0	3215872.0	729636.0	899086.0	750220.0	543418.0	293512.0	65805.0	12654.0	2472.0
в том числе:										
индивидуальные дома	8015.0	7875.0	1930.0	2083.0	1239.0	1332.0	1291.0	97.0	33.0	10.0
отдельные квартиры	3218269.0	3185263.0	723180.0	891806.0	743971.0	537789.0	288517.0	28782.0	3465.0	759.0
коммунальные квартиры	70519.0	22734.0	4526.0	5197.0	5010.0	4297.0	3704.0	36926.0	9156.0	1703.0
Северо-Западный федеральный округ										
Республика Карелия										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	261756.0	259279.0	58143.0	78423.0	66791.0	40242.0	15680.0	2137.0	265.0	75.0
в том числе:										
индивидуальные дома	25689.0	25650.0	7067.0	8209.0	5059.0	3523.0	1792.0	38.0	-	1.0
отдельные квартиры	234889.0	233403.0	51008.0	70154.0	61682.0	36682.0	13877.0	1340.0	122.0	24.0
коммунальные квартиры	1178.0	226.0	68.0	60.0	50.0	37.0	11.0	759.0	143.0	50.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	190580.0	188287.0	39246.0	56245.0	51050.0	30305.0	11441.0	1964.0	255.0	74.0
в том числе:										
индивидуальные дома	8672.0	8650.0	1963.0	2547.0	1987.0	1440.0	713.0	21.0	-	1.0
отдельные квартиры	180809.0	179440.0	37223.0	53647.0	49020.0	28832.0	10718.0	1231.0	115.0	23.0
коммунальные квартиры	1099.0	197.0	60.0	51.0	43.0	33.0	10.0	712.0	140.0	50.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	71176.0	70992.0	18897.0	22178.0	15741.0	9937.0	4239.0	173.0	10.0	1.0
в том числе:										
индивидуальные дома	17017.0	17000.0	5104.0	5662.0	3072.0	2083.0	1079.0	17.0	-	-
отдельные квартиры	54080.0	53963.0	13785.0	16507.0	12662.0	7850.0	3159.0	109.0	7.0	1.0
коммунальные квартиры	79.0	29.0	8.0	9.0	7.0	4.0	1.0	47.0	3.0	-
Республика Коми										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	353682.0	351539.0	74941.0	97036.0	93778.0	61244.0	24540.0	1911.0	192.0	40.0
в том числе:										
индивидуальные дома	45475.0	45357.0	10838.0	11964.0	9626.0	7983.0	4946.0	114.0	4.0	-
отдельные квартиры	306324.0	305056.0	63805.0	84739.0	83850.0	53107.0	19555.0	1166.0	90.0	12.0
коммунальные квартиры	1883.0	1126.0	298.0	333.0	302.0	154.0	39.0	631.0	98.0	28.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	264235.0	262507.0	54535.0	72781.0	72975.0	45678.0	16538.0	1523.0	168.0	37.0
в том числе:										
индивидуальные дома	6402.0	6361.0	1518.0	1684.0	1417.0	1065.0	677.0	38.0	3.0	-
отдельные квартиры	256106.0	255046.0	52720.0	70777.0	71261.0	44464.0	15824.0	972.0	78.0	10.0
коммунальные квартиры	1727.0	1100.0	297.0	320.0	297.0	149.0	37.0	513.0	87.0	27.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	89447.0	89032.0	20406.0	24255.0	20803.0	15566.0	8002.0	388.0	24.0	3.0
в том числе:										
индивидуальные дома	39073.0	38996.0	9320.0	10280.0	8209.0	6918.0	4269.0	76.0	1.0	-
отдельные квартиры	50218.0	50010.0	11085.0	13962.0	12589.0	8643.0	3731.0	194.0	12.0	2.0
коммунальные квартиры	156.0	26.0	1.0	13.0	5.0	5.0	2.0	118.0	11.0	1.0
Архангельская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	479328.0	472181.0	104441.0	137602.0	119962.0	78256.0	31920.0	5315.0	1121.0	711.0
в том числе:										
индивидуальные дома	76277.0	76123.0	23726.0	25299.0	12804.0	8925.0	5369.0	143.0	10.0	1.0
отдельные квартиры	397285.0	395407.0	80513.0	112154.0	106999.0	69235.0	26506.0	1739.0	123.0	16.0
коммунальные квартиры	5766.0	651.0	202.0	149.0	159.0	96.0	45.0	3433.0	988.0	694.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	351232.0	344604.0	71160.0	99102.0	93259.0	59041.0	22042.0	4842.0	1087.0	699.0
в том числе:										
индивидуальные дома	21127.0	21043.0	5989.0	6738.0	4153.0	2843.0	1320.0	77.0	7.0	-
отдельные квартиры	324631.0	322953.0	64981.0	92233.0	88957.0	56104.0	20678.0	1549.0	116.0	13.0
коммунальные квартиры	5474.0	608.0	190.0	131.0	149.0	94.0	44.0	3216.0	964.0	686.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	128096.0	127577.0	33281.0	38500.0	26703.0	19215.0	9878.0	473.0	34.0	12.0
в том числе:										
индивидуальные дома	55150.0	55080.0	17737.0	18561.0	8651.0	6082.0	4049.0	66.0	3.0	1.0
отдельные квартиры	72654.0	72454.0	15532.0	19921.0	18042.0	13131.0	5828.0	190.0	7.0	3.0
коммунальные квартиры	292.0	43.0	12.0	18.0	10.0	2.0	1.0	217.0	24.0	8.0
Ненецкий автономный округ										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	12769.0	12651.0	2288.0	3077.0	3112.0	2392.0	1782.0	101.0	15.0	2.0
в том числе:										
индивидуальные дома	2795.0	2790.0	498.0	617.0	592.0	519.0	564.0	5.0	-	-
отдельные квартиры	9931.0	9855.0	1790.0	2458.0	2519.0	1872.0	1216.0	68.0	8.0	-
коммунальные квартиры	43.0	6.0	-	2.0	1.0	1.0	2.0	28.0	7.0	2.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	8210.0	8112.0	1391.0	2073.0	2201.0	1571.0	876.0	85.0	12.0	1.0
в том числе:										
индивидуальные дома	546.0	542.0	101.0	110.0	127.0	121.0	83.0	4.0	-	-
отдельные квартиры	7631.0	7565.0	1290.0	1961.0	2073.0	1450.0	791.0	59.0	7.0	-
коммунальные квартиры	33.0	5.0	-	2.0	1.0	-	2.0	22.0	5.0	1.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	4559.0	4539.0	897.0	1004.0	911.0	821.0	906.0	16.0	3.0	1.0
в том числе:										
индивидуальные дома	2249.0	2248.0	397.0	507.0	465.0	398.0	481.0	1.0	-	-
отдельные квартиры	2300.0	2290.0	500.0	497.0	446.0	422.0	425.0	9.0	1.0	-
коммунальные квартиры	10.0	1.0	-	-	-	1.0	-	6.0	2.0	1.0
Вологодская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	465902.0	460943.0	109746.0	137113.0	111173.0	74587.0	28324.0	3967.0	654.0	338.0
в том числе:										
индивидуальные дома	98990.0	98865.0	34261.0	34037.0	14884.0	10210.0	5473.0	114.0	8.0	3.0
отдельные квартиры	363768.0	361593.0	75326.0	102962.0	96177.0	64308.0	22820.0	1981.0	167.0	27.0
коммунальные квартиры	3144.0	485.0	159.0	114.0	112.0	69.0	31.0	1872.0	479.0	308.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	308091.0	303616.0	64917.0	88558.0	80962.0	51547.0	17632.0	3529.0	615.0	331.0
в том числе:										
индивидуальные дома	20886.0	20794.0	6434.0	6871.0	3912.0	2520.0	1057.0	84.0	5.0	3.0
отдельные квартиры	284386.0	282407.0	58346.0	81591.0	76946.0	48976.0	16548.0	1797.0	156.0	26.0
коммунальные квартиры	2819.0	415.0	137.0	96.0	104.0	51.0	27.0	1648.0	454.0	302.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	157811.0	157327.0	44829.0	48555.0	30211.0	23040.0	10692.0	438.0	39.0	7.0
в том числе:										
индивидуальные дома	78104.0	78071.0	27827.0	27166.0	10972.0	7690.0	4416.0	30.0	3.0	-
отдельные квартиры	79382.0	79186.0	16980.0	21371.0	19231.0	15332.0	6272.0	184.0	11.0	1.0
коммунальные квартиры	325.0	70.0	22.0	18.0	8.0	18.0	4.0	224.0	25.0	6.0
Калининградская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	313462.0	308919.0	59178.0	85197.0	79506.0	54410.0	30628.0	3802.0	616.0	125.0
в том числе:										
индивидуальные дома	34080.0	33981.0	4581.0	7921.0	7187.0	7106.0	7186.0	88.0	9.0	2.0
отдельные квартиры	276433.0	274340.0	54457.0	77131.0	72165.0	47218.0	23369.0	1910.0	166.0	17.0
коммунальные квартиры	2949.0	598.0	140.0	145.0	154.0	86.0	73.0	1804.0	441.0	106.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	248029.0	244126.0	48283.0	69617.0	65309.0	41428.0	19489.0	3240.0	546.0	117.0
в том числе:										
индивидуальные дома	10429.0	10399.0	1343.0	2416.0	2475.0	2267.0	1898.0	25.0	5.0	-
отдельные квартиры	234865.0	233174.0	46807.0	67067.0	62689.0	39083.0	17528.0	1556.0	122.0	13.0
коммунальные квартиры	2735.0	553.0	133.0	134.0	145.0	78.0	63.0	1659.0	419.0	104.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	65433.0	64793.0	10895.0	15580.0	14197.0	12982.0	11139.0	562.0	70.0	8.0
в том числе:										
индивидуальные дома	23651.0	23582.0	3238.0	5505.0	4712.0	4839.0	5288.0	63.0	4.0	2.0
отдельные квартиры	41568.0	41166.0	7650.0	10064.0	9476.0	8135.0	5841.0	354.0	44.0	4.0
коммунальные квартиры	214.0	45.0	7.0	11.0	9.0	8.0	10.0	145.0	22.0	2.0
Ленинградская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	609693.0	600309.0	143256.0	177064.0	141896.0	95275.0	42818.0	7788.0	1274.0	322.0
в том числе:										
индивидуальные дома	97553.0	97348.0	35217.0	32366.0	13736.0	9064.0	6965.0	176.0	21.0	8.0
отдельные квартиры	503265.0	500999.0	107452.0	144212.0	127674.0	85948.0	35713.0	2068.0	169.0	29.0
коммунальные квартиры	8875.0	1962.0	587.0	486.0	486.0	263.0	140.0	5544.0	1084.0	285.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	401268.0	394205.0	88663.0	117386.0	98896.0	63240.0	26020.0	5813.0	996.0	254.0
в том числе:										
индивидуальные дома	35868.0	35790.0	11509.0	11312.0	5939.0	3998.0	3032.0	74.0	4.0	-
отдельные квартиры	358423.0	356828.0	76691.0	105678.0	92551.0	59024.0	22884.0	1452.0	123.0	20.0
коммунальные квартиры	6977.0	1587.0	463.0	396.0	406.0	218.0	104.0	4287.0	869.0	234.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	208425.0	206104.0	54593.0	59678.0	43000.0	32035.0	16798.0	1975.0	278.0	68.0
в том числе:										
индивидуальные дома	61685.0	61558.0	23708.0	21054.0	7797.0	5066.0	3933.0	102.0	17.0	8.0
отдельные квартиры	144842.0	144171.0	30761.0	38534.0	35123.0	26924.0	12829.0	616.0	46.0	9.0
коммунальные квартиры	1898.0	375.0	124.0	90.0	80.0	45.0	36.0	1257.0	215.0	51.0
Мурманская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	333877.0	330681.0	77531.0	95178.0	94063.0	50114.0	13795.0	2627.0	411.0	158.0
в том числе:										
индивидуальные дома	1906.0	1903.0	638.0	614.0	334.0	213.0	104.0	2.0	-	1.0
отдельные квартиры	329077.0	328015.0	76637.0	94374.0	93564.0	49801.0	13639.0	984.0	60.0	18.0
коммунальные квартиры	2894.0	763.0	256.0	190.0	165.0	100.0	52.0	1641.0	351.0	139.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	310375.0	307305.0	71952.0	88848.0	87266.0	46400.0	12839.0	2516.0	402.0	152.0
в том числе:										
индивидуальные дома	954.0	953.0	316.0	317.0	179.0	97.0	44.0	1.0	-	-
отдельные квартиры	306601.0	305601.0	71383.0	88345.0	86923.0	46204.0	12746.0	926.0	57.0	17.0
коммунальные квартиры	2820.0	751.0	253.0	186.0	164.0	99.0	49.0	1589.0	345.0	135.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	23502.0	23376.0	5579.0	6330.0	6797.0	3714.0	956.0	111.0	9.0	6.0
в том числе:										
индивидуальные дома	952.0	950.0	322.0	297.0	155.0	116.0	60.0	1.0	-	1.0
отдельные квартиры	22476.0	22414.0	5254.0	6029.0	6641.0	3597.0	893.0	58.0	3.0	1.0
коммунальные квартиры	74.0	12.0	3.0	4.0	1.0	1.0	3.0	52.0	6.0	4.0
Новгородская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	267272.0	264551.0	69408.0	81864.0	60128.0	37429.0	15722.0	2118.0	427.0	176.0
в том числе:										
индивидуальные дома	87172.0	87061.0	30727.0	29016.0	13627.0	8669.0	5022.0	104.0	6.0	1.0
отдельные квартиры	177789.0	176953.0	38517.0	52702.0	46371.0	28697.0	10666.0	754.0	68.0	14.0
коммунальные квартиры	2311.0	537.0	164.0	146.0	130.0	63.0	34.0	1260.0	353.0	161.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	179562.0	177060.0	40743.0	54352.0	45108.0	26846.0	10011.0	1918.0	410.0	174.0
в том числе:										
индивидуальные дома	30942.0	30853.0	9094.0	9926.0	6065.0	3829.0	1939.0	84.0	4.0	1.0
отдельные квартиры	146485.0	145717.0	31495.0	44295.0	38921.0	22960.0	8046.0	691.0	65.0	12.0
коммунальные квартиры	2135.0	490.0	154.0	131.0	122.0	57.0	26.0	1143.0	341.0	161.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	87710.0	87491.0	28665.0	27512.0	15020.0	10583.0	5711.0	200.0	17.0	2.0
в том числе:										
индивидуальные дома	56230.0	56208.0	21633.0	19090.0	7562.0	4840.0	3083.0	20.0	2.0	-
отдельные квартиры	31304.0	31236.0	7022.0	8407.0	7450.0	5737.0	2620.0	63.0	3.0	2.0
коммунальные квартиры	176.0	47.0	10.0	15.0	8.0	6.0	8.0	117.0	12.0	-
Псковская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	293788.0	290623.0	78489.0	91172.0	66199.0	38473.0	16290.0	2791.0	315.0	59.0
в том числе:										
индивидуальные дома	117190.0	116983.0	39901.0	39131.0	18970.0	12122.0	6859.0	198.0	8.0	1.0
отдельные квартиры	174488.0	173258.0	38456.0	51947.0	47139.0	26307.0	9409.0	1133.0	90.0	7.0
коммунальные квартиры	2110.0	382.0	132.0	94.0	90.0	44.0	22.0	1460.0	217.0	51.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	183110.0	180255.0	40695.0	55145.0	47739.0	26652.0	10024.0	2515.0	285.0	55.0
в том числе:										
индивидуальные дома	33507.0	33358.0	8932.0	10388.0	7170.0	4571.0	2297.0	146.0	3.0	-
отдельные квартиры	147708.0	146581.0	31655.0	44682.0	40496.0	22041.0	7707.0	1040.0	80.0	7.0
коммунальные квартиры	1895.0	316.0	108.0	75.0	73.0	40.0	20.0	1329.0	202.0	48.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	110678.0	110368.0	37794.0	36027.0	18460.0	11821.0	6266.0	276.0	30.0	4.0
в том числе:										
индивидуальные дома	83683.0	83625.0	30969.0	28743.0	11800.0	7551.0	4562.0	52.0	5.0	1.0
отдельные квартиры	26780.0	26677.0	6801.0	7265.0	6643.0	4266.0	1702.0	93.0	10.0	-
коммунальные квартиры	215.0	66.0	24.0	19.0	17.0	4.0	2.0	131.0	15.0	3.0
г. Санкт–Петербург										
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	1506252.0	1415916.0	288717.0	401831.0	354819.0	241179.0	129370.0	59232.0	21093.0	10011.0
в том числе:										
индивидуальные дома	16278.0	16223.0	3683.0	4414.0	3002.0	2512.0	2612.0	47.0	7.0	1.0
отдельные квартиры	1391589.0	1381580.0	280059.0	392759.0	347798.0	235902.0	125062.0	8436.0	1365.0	208.0
коммунальные квартиры	98385.0	18113.0	4975.0	4658.0	4019.0	2765.0	1696.0	50749.0	19721.0	9802.0
Южный федеральный округ										
Республика Адыгея										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	145054.0	142594.0	26969.0	37037.0	31565.0	26431.0	20592.0	2195.0	222.0	43.0
в том числе:										
индивидуальные дома	86931.0	86215.0	15235.0	21311.0	17601.0	16239.0	15829.0	628.0	72.0	16.0
отдельные квартиры	57979.0	56339.0	11728.0	15717.0	13953.0	10184.0	4757.0	1483.0	133.0	24.0
коммунальные квартиры	144.0	40.0	6.0	9.0	11.0	8.0	6.0	84.0	17.0	3.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	77622.0	75490.0	14678.0	20197.0	18092.0	14095.0	8428.0	1888.0	203.0	41.0
в том числе:										
индивидуальные дома	30212.0	29579.0	5278.0	7282.0	6434.0	5845.0	4740.0	550.0	67.0	16.0
отдельные квартиры	47296.0	45895.0	9399.0	12911.0	11652.0	8246.0	3687.0	1259.0	119.0	23.0
коммунальные квартиры	114.0	16.0	1.0	4.0	6.0	4.0	1.0	79.0	17.0	2.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	67432.0	67104.0	12291.0	16840.0	13473.0	12336.0	12164.0	307.0	19.0	2.0
в том числе:										
индивидуальные дома	56719.0	56636.0	9957.0	14029.0	11167.0	10394.0	11089.0	78.0	5.0	-
отдельные квартиры	10683.0	10444.0	2329.0	2806.0	2301.0	1938.0	1070.0	224.0	14.0	1.0
коммунальные квартиры	30.0	24.0	5.0	5.0	5.0	4.0	5.0	5.0	-	1.0
Республика Дагестан										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	519457.0	494861.0	33761.0	54873.0	59648.0	109325.0	237254.0	17965.0	4992.0	1639.0
в том числе:										
индивидуальные дома	372595.0	359334.0	25190.0	36425.0	38871.0	72227.0	186621.0	9446.0	2881.0	934.0
отдельные квартиры	141549.0	134894.0	8521.0	18371.0	20708.0	36850.0	50444.0	5077.0	1185.0	393.0
коммунальные квартиры	5313.0	633.0	50.0	77.0	69.0	248.0	189.0	3442.0	926.0	312.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	215024.0	207230.0	10509.0	23985.0	27187.0	52150.0	93399.0	5854.0	1479.0	461.0
в том числе:										
индивидуальные дома	87364.0	83783.0	3188.0	7244.0	8436.0	17931.0	46984.0	2473.0	828.0	280.0
отдельные квартиры	126061.0	123098.0	7309.0	16707.0	18723.0	34038.0	46321.0	2452.0	407.0	104.0
коммунальные квартиры	1599.0	349.0	12.0	34.0	28.0	181.0	94.0	929.0	244.0	77.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	304433.0	287631.0	23252.0	30888.0	32461.0	57175.0	143855.0	12111.0	3513.0	1178.0
в том числе:										
индивидуальные дома	285231.0	275551.0	22002.0	29181.0	30435.0	54296.0	139637.0	6973.0	2053.0	654.0
отдельные квартиры	15488.0	11796.0	1212.0	1664.0	1985.0	2812.0	4123.0	2625.0	778.0	289.0
коммунальные квартиры	3714.0	284.0	38.0	43.0	41.0	67.0	95.0	2513.0	682.0	235.0
Республика Ингушетия										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	51031.0	47568.0	546.0	1369.0	2208.0	3432.0	40013.0	2807.0	506.0	150.0
в том числе:										
индивидуальные дома	40660.0	39801.0	327.0	918.0	1547.0	2499.0	34510.0	709.0	130.0	20.0
отдельные квартиры	9796.0	7687.0	219.0	444.0	650.0	921.0	5453.0	1717.0	302.0	90.0
коммунальные квартиры	575.0	80.0	-	7.0	11.0	12.0	50.0	381.0	74.0	40.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	23629.0	22448.0	333.0	785.0	1286.0	1976.0	18068.0	944.0	155.0	82.0
в том числе:										
индивидуальные дома	16446.0	16196.0	141.0	401.0	721.0	1189.0	13744.0	214.0	32.0	4.0
отдельные квартиры	6843.0	6181.0	192.0	377.0	556.0	775.0	4281.0	532.0	88.0	42.0
коммунальные квартиры	340.0	71.0	-	7.0	9.0	12.0	43.0	198.0	35.0	36.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	27402.0	25120.0	213.0	584.0	922.0	1456.0	21945.0	1863.0	351.0	68.0
в том числе:										
индивидуальные дома	24214.0	23605.0	186.0	517.0	826.0	1310.0	20766.0	495.0	98.0	16.0
отдельные квартиры	2953.0	1506.0	27.0	67.0	94.0	146.0	1172.0	1185.0	214.0	48.0
коммунальные квартиры	235.0	9.0	-	-	2.0	-	7.0	183.0	39.0	4.0
Кабардино–Балкарская Республика										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	218078.0	216293.0	21505.0	36210.0	33878.0	50790.0	73910.0	1652.0	99.0	34.0
в том числе:										
индивидуальные дома	121832.0	121003.0	8742.0	15268.0	14787.0	26055.0	56151.0	780.0	44.0	5.0
отдельные квартиры	95910.0	95235.0	12758.0	20929.0	19080.0	24723.0	17745.0	636.0	27.0	12.0
коммунальные квартиры	336.0	55.0	5.0	13.0	11.0	12.0	14.0	236.0	28.0	17.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	136261.0	135028.0	15920.0	27249.0	24934.0	34439.0	32486.0	1146.0	68.0	19.0
в том числе:										
индивидуальные дома	47048.0	46469.0	4204.0	7542.0	7065.0	11339.0	16319.0	542.0	34.0	3.0
отдельные квартиры	89003.0	88515.0	11712.0	19696.0	17858.0	23091.0	16158.0	463.0	18.0	7.0
коммунальные квартиры	210.0	44.0	4.0	11.0	11.0	9.0	9.0	141.0	16.0	9.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	81817.0	81265.0	5585.0	8961.0	8944.0	16351.0	41424.0	506.0	31.0	15.0
в том числе:										
