9. ГРУППИРОВКА РАЙОНОВ (КРОМЕ ГОРОДСКИХ) ПО ЧИСЛУ СЕЛЬСКИХ АДМИНИСТРАЦИЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
	Всего	в том числе с числом сельских администраций				
		1-5	6-10	11-15	16-20	более 20
Российская Федерация						
Число районов	1850	109	545	663	355	178
численность населения c/а	37152078	704589	8612828	13479899	8597825	5756937
мужчины	17677312	344590	4112388	6407160	4075872	2737302
женщины	19474766	359999	4500440	7072739	4521953	3019635
Центральный федеральный округ	 	 	 	 	 	 
Число районов	422	4	101	155	107	55
численность населения c/а	7484919	47578	1036605	2565058	2142646	1693032
мужчины	3457897	22182	480866	1190479	985704	778666
женщины	4027022	25396	555739	1374579	1156942	914366
Белгородская область	 	 	 	 	 	 
Число районов	21	-	3	8	5	5
численность населения c/а	517769	-	34456	157525	135460	190328
мужчины	236598	-	15510	72222	62006	86860
женщины	281171	-	18946	85303	73454	103468
Брянская область	 	 	 	 	 	 
Число районов	27	-	5	8	10	4
численность населения c/а	432931	-	42730	149379	151478	89344
мужчины	199426	-	19858	69449	69628	40491
женщины	233505	-	22872	79930	81850	48853
Владимирская область	 	 	 	 	 	 
Число районов	16	-	3	8	4	1
численность населения c/а	305420	-	42863	129642	107536	25379
мужчины	139390	-	19265	59793	48900	11432
женщины	166030	-	23598	69849	58636	13947
Воронежская область	 	 	 	 	 	 
Число районов	32	-	2	16	10	4
численность населения c/а	860170	-	29845	371902	323422	135001
мужчины	396404	-	13814	173055	147709	61826
женщины	463766	-	16031	198847	175713	73175
Ивановская область	 	 	 	 	 	 
Число районов	21	-	14	7	-	-
численность населения c/а	197112	-	93152	103960	-	-
мужчины	92394	-	43058	49336	-	-
женщины	104718	-	50094	54624	-	-
Калужская область	 	 	 	 	 	 
Число районов	24	-	5	11	8	-
численность населения c/а	241140	-	35757	102620	102763	-
мужчины	110547	-	16375	46712	47460	-
женщины	130593	-	19382	55908	55303	-
Костромская область	 	 	 	 	 	 
Число районов	24	-	10	11	3	-
численность населения c/а	239266	-	66286	139947	33033	-
мужчины	111946	-	31307	65249	15390	-
женщины	127320	-	34979	74698	17643	-
Курская область	 	 	 	 	 	 
Число районов	28	-	2	7	14	5
численность населения c/а	477962	-	27749	89964	224703	135546
мужчины	220253	-	12754	41349	103215	62935
женщины	257709	-	14995	48615	121488	72611
Липецкая область	 	 	 	 	 	 
Число районов	18	-	1	6	7	4
численность населения c/а	433286	-	15728	117019	178332	122207
мужчины	198792	-	7223	53984	81584	56001
женщины	234494	-	8505	63035	96748	66206
Московская область	 	 	 	 	 	 
Число районов	38	3	11	13	8	3
численность населения c/а	1320901	38968	214626	549411	273496	244400
мужчины	615887	18223	99945	258504	125374	113841
женщины	705014	20745	114681	290907	148122	130559
Орловская область	 	 	 	 	 	 
Число районов	24	1	16	5	2	-
численность населения c/а	313784	8610	147926	68980	88268	-
мужчины	144952	3959	68800	30963	41230	-
женщины	168832	4651	79126	38017	47038	-
Рязанская область	 	 	 	 	 	 
Число районов	25	-	1	10	4	10
численность населения c/а	379089	-	8745	77849	47364	245131
мужчины	173005	-	3922	35838	21598	111647
женщины	206084	-	4823	42011	25766	133484
Смоленская область	 	 	 	 	 	 
Число районов	25	-	4	8	8	5
численность населения c/а	303357	-	29361	65483	74051	134462
мужчины	140759	-	13303	30269	35301	61886
женщины	162598	-	16058	35214	38750	72576
Тамбовская область	 	 	 	 	 	 
Число районов	23	-	9	9	2	3
численность населения c/а	498733	-	131761	157867	48358	160747
мужчины	233065	-	61828	73388	23220	74629
женщины	265668	-	69933	84479	25138	86118
Тверская область	 	 	 	 	 	 
Число районов	36	-	5	13	10	8
численность населения c/а	395663	-	26533	102130	117172	149828
мужчины	183058	-	12761	47440	53510	69347
женщины	212605	-	13772	54690	63662	80481
Тульская область	 	 	 	 	 	 
Число районов	23	-	3	11	7	2
численность населения c/а	308317	-	26497	119958	123779	38083
мужчины	141622	-	12225	54830	56975	17592
женщины	166695	-	14272	65128	66804	20491
Ярославская область	 	 	 	 	 	 
Число районов	17	-	7	4	5	1
численность населения c/а	260019	-	62590	61422	113431	22576
мужчины	119799	-	28918	28098	52604	10179
женщины	140220	-	33672	33324	60827	12397
г. Москва	 	 	 	 	 	 
Число районов	-	-	-	-	-	-
Северо-Западный федеральный округ	 	 	 	 	 	 
Число районов	151	11	58	58	18	6
численность населения c/а	2283195	69150	593748	919235	462013	239049
мужчины	1087173	33997	284418	435532	218508	114718
женщины	1196022	35153	309330	483703	243505	124331
Республика Карелия	 	 	 	 	 	 
Число районов	16	5	8	3	-	-
численность населения c/а	162542	28957	95814	37771	-	-
мужчины	77528	13726	45561	18241	-	-
женщины	85014	15231	50253	19530	-	-
Республика Коми	 	 	 	 	 	 
Число районов	12	-	5	4	2	1
численность населения c/а	213142	-	62181	70411	48404	32146
мужчины	105976	-	31742	35300	23323	15611
женщины	107166	-	30439	35111	25081	16535
Архангельская область	 	 	 	 	 	 
Число районов	19	-	7	8	4	-
численность населения c/а	288948	-	70701	104750	113497	-
мужчины	140296	-	33528	51230	55538	-
женщины	148652	-	37173	53520	57959	-
Ненецкий автономный округ	 	 	 	 	 	 
Число районов	-	-	-	-	-	-
Вологодская область	 	 	 	 	 	 
Число районов	26	-	5	14	5	2
численность населения c/а	390682	-	32162	179195	92760	86565
мужчины	185403	-	15341	85060	44123	40879
женщины	205279	-	16821	94135	48637	45686
Калининградская область	 	 	 	 	 	 
Число районов	13	1	11	1	-	-
численность населения c/а	201256	12220	162049	26987	-	-
мужчины	98923	6268	79074	13581	-	-
женщины	102333	5952	82975	13406	-	-
Ленинградская область	 	 	 	 	 	 
Число районов	17	1	5	8	2	1
численность населения c/а	545783	9541	54950	299612	116708	64972
мужчины	255065	4329	25584	139712	52974	32466
женщины	290718	5212	29366	159900	63734	32506
Мурманская область	 	 	 	 	 	 
Число районов	3	3	-	-	-	-
численность населения c/а	15220	15220	-	-	-	-
мужчины	8206	8206	-	-	-	-
женщины	7014	7014	-	-	-	-
Новгородская область	 	 	 	 	 	 
Число районов	21	-	7	9	3	2
численность населения c/а	209324	-	42461	74276	37221	55366
мужчины	96069	-	19393	34066	16848	25762
женщины	113255	-	23068	40210	20373	29604
Псковская область	 	 	 	 	 	 
Число районов	24	1	10	11	2	-
численность населения c/а	256298	3212	73430	126233	53423	-
мужчины	119707	1468	34195	58342	25702	-
женщины	136591	1744	39235	67891	27721	-
г. Санкт-Петербург	 	 	 	 	 	 
Число районов	-	-	-	-	-	-
Южный федеральный округ	 	 	 	 	 	 
Число районов	256	10	96	105	30	15
численность населения c/а	9286095	183205	3218261	3825980	1228122	830527
мужчины	4430624	85994	1522992	1829182	588128	404328
женщины	4855471	97211	1695269	1996798	639994	426199
Республика Адыгея	 	 	 	 	 	 
Число районов	7	2	4	1	-	-
численность населения c/а	186181	52160	93948	40073	-	-
мужчины	88338	24534	44827	18977	-	-
женщины	97843	27626	49121	21096	-	-
Республика Дагестан	 	 	 	 	 	 
Число районов	41	-	6	15	9	11
численность населения c/а	1452810	-	102703	457412	300239	592456
мужчины	701857	-	49774	220551	145083	286449
женщины	750953	-	52929	236861	155156	306007
Республика Ингушетия	 	 	 	 	 	 
Число районов	4	1	2	1	-	-
численность населения c/а	268798	2334	204847	61617	-	-
мужчины	124279	1148	93908	29223	-	-
женщины	144519	1186	110939	32394	-	-
Кабардино-Балкарская Республика	 	 	 	 	 	 
Число районов	9	1	3	2	3	-
численность населения c/а	366406	12112	84356	120441	149497	-
мужчины	177621	5628	42256	57581	72156	-
женщины	188785	6484	42100	62860	77341	-
Республика Калмыкия	 	 	 	 	 	 
Число районов	13	1	8	4	-	-
численность населения c/а	158614	5662	89052	63900	-	-
