6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
40 – 49	274.0	1.0	25.0	7.0	80.0	45.0	56.0	46.0	13.0	1.0	1.0	-
50 – 59	102.0	-	17.0	1.0	25.0	11.0	16.0	26.0	5.0	1.0	1.0	-
60 и более	109.0	-	9.0	1.0	14.0	5.0	4.0	28.0	39.0	9.0	6.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ульта (oроки)	225.0	-	7.0	3.0	28.0	29.0	59.0	65.0	28.0	5.0	2.0	1.0
в том числе в возрасте, лет:												
15 – 19	37.0	-	-	-	-	2.0	9.0	19.0	6.0	-	-	1.0
20 – 24	33.0	-	2.0	-	2.0	7.0	8.0	9.0	5.0	-	-	-
25 – 29	28.0	-	-	-	2.0	5.0	2.0	12.0	5.0	2.0	1.0	-
30 – 39	53.0	-	2.0	2.0	15.0	5.0	15.0	10.0	2.0	2.0	-	-
40 – 49	44.0	-	1.0	1.0	3.0	8.0	22.0	8.0	1.0	-	-	-
50 – 59	14.0	-	1.0	-	3.0	-	3.0	5.0	2.0	-	-	-
60 и более	16.0	-	1.0	-	3.0	2.0	-	2.0	7.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ульчи	1984.0	-	158.0	31.0	435.0	256.0	374.0	570.0	146.0	14.0	12.0	-
в том числе в возрасте, лет:												
15 – 19	304.0	-	-	1.0	3.0	9.0	74.0	173.0	43.0	1.0	1.0	-
20 – 24	274.0	-	5.0	9.0	53.0	29.0	68.0	96.0	13.0	1.0	1.0	-
25 – 29	200.0	-	13.0	2.0	27.0	24.0	41.0	76.0	17.0	-	-	-
30 – 39	356.0	-	36.0	5.0	94.0	56.0	69.0	87.0	8.0	1.0	1.0	-
40 – 49	447.0	-	51.0	7.0	144.0	85.0	84.0	65.0	8.0	3.0	3.0	-
50 – 59	205.0	-	30.0	4.0	68.0	36.0	23.0	38.0	5.0	1.0	1.0	-
60 и более	198.0	-	23.0	3.0	46.0	17.0	15.0	35.0	52.0	7.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ханты	18796.0	29.0	1066.0	349.0	3952.0	1814.0	3406.0	5003.0	2545.0	583.0	443.0	49.0
в том числе в возрасте, лет:												
15 – 19	3275.0	-	-	37.0	91.0	70.0	736.0	1700.0	595.0	36.0	25.0	10.0
20 – 24	2467.0	1.0	88.0	135.0	400.0	220.0	657.0	665.0	268.0	28.0	22.0	5.0
25 – 29	2124.0	4.0	193.0	51.0	410.0	193.0	379.0	659.0	200.0	31.0	22.0	4.0
30 – 39	4235.0	7.0	322.0	66.0	1217.0	561.0	828.0	896.0	269.0	63.0	36.0	6.0
40 – 49	3645.0	11.0	256.0	37.0	1144.0	530.0	625.0	689.0	305.0	41.0	26.0	7.0
50 – 59	1481.0	2.0	125.0	9.0	414.0	171.0	136.0	248.0	306.0	66.0	45.0	4.0
60 и более	1569.0	4.0	82.0	14.0	276.0	69.0	45.0	146.0	602.0	318.0	267.0	13.0
Возраст не указан	21.0	-	-	-	1.0	-	-	2.0	1.0	-	-	17.0
Челканцы	608.0	2.0	87.0	9.0	171.0	98.0	91.0	103.0	42.0	5.0	5.0	-
в том числе в возрасте, лет:												
15 – 19	85.0	-	-	-	4.0	3.0	21.0	52.0	5.0	-	-	-
20 – 24	53.0	-	5.0	3.0	11.0	8.0	12.0	12.0	2.0	-	-	-
25 – 29	58.0	-	4.0	2.0	20.0	7.0	12.0	13.0	-	-	-	-
30 – 39	120.0	1.0	18.0	2.0	45.0	29.0	21.0	3.0	1.0	-	-	-
40 – 49	155.0	-	38.0	2.0	63.0	30.0	16.0	6.0	-	-	-	-
50 – 59	61.0	-	13.0	-	17.0	16.0	5.0	7.0	3.0	-	-	-
60 и более	76.0	1.0	9.0	-	11.0	5.0	4.0	10.0	31.0	5.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Чуванцы	701.0	1.0	67.0	14.0	125.0	101.0	130.0	207.0	50.0	4.0	2.0	2.0
в том числе в возрасте, лет:												
15 – 19	112.0	-	-	-	3.0	4.0	18.0	70.0	17.0	-	-	-
20 – 24	67.0	1.0	3.0	2.0	8.0	9.0	17.0	22.0	3.0	1.0	-	1.0
25 – 29	66.0	-	6.0	1.0	7.0	10.0	14.0	23.0	4.0	-	-	1.0
30 – 39	163.0	-	22.0	4.0	37.0	33.0	36.0	31.0	-	-	-	-
40 – 49	137.0	-	20.0	3.0	30.0	31.0	26.0	25.0	2.0	-	-	-
50 – 59	88.0	-	10.0	3.0	27.0	14.0	10.0	22.0	2.0	-	-	-
60 и более	68.0	-	6.0	1.0	13.0	-	9.0	14.0	22.0	3.0	2.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Чукчи	9588.0	2.0	345.0	72.0	1453.0	1085.0	2506.0	2963.0	888.0	235.0	175.0	39.0
в том числе в возрасте, лет:												
15 – 19	1688.0	-	-	-	36.0	88.0	331.0	947.0	248.0	19.0	10.0	19.0
20 – 24	1207.0	-	14.0	3.0	149.0	175.0	303.0	465.0	87.0	11.0	6.0	-
25 – 29	1050.0	2.0	23.0	1.0	157.0	123.0	254.0	445.0	34.0	8.0	6.0	3.0
30 – 39	2279.0	-	133.0	37.0	458.0	317.0	795.0	495.0	29.0	12.0	9.0	3.0
40 – 49	1975.0	-	118.0	26.0	445.0	280.0	685.0	359.0	44.0	13.0	11.0	5.0
50 – 59	760.0	-	42.0	5.0	141.0	85.0	126.0	188.0	150.0	20.0	14.0	3.0
60 и более	629.0	-	15.0	-	67.0	17.0	12.0	64.0	296.0	152.0	119.0	6.0
Возраст не указан	1.0	-	1.0	-	-	-	-	-	-	-	-	-
Чулымцы	516.0	-	6.0	3.0	57.0	143.0	40.0	137.0	106.0	24.0	8.0	-
в том числе в возрасте, лет:												
15 – 19	82.0	-	-	-	-	8.0	10.0	47.0	16.0	1.0	-	-
20 – 24	49.0	-	2.0	1.0	8.0	16.0	1.0	15.0	5.0	1.0	1.0	-
25 – 29	40.0	-	-	-	6.0	18.0	1.0	9.0	5.0	1.0	1.0	-
30 – 39	91.0	-	2.0	-	16.0	42.0	9.0	19.0	2.0	1.0	-	-
40 – 49	114.0	-	1.0	1.0	14.0	44.0	16.0	19.0	17.0	2.0	-	-
50 – 59	57.0	-	1.0	-	10.0	12.0	2.0	15.0	16.0	1.0	1.0	-
60 и более	83.0	-	-	1.0	3.0	3.0	1.0	13.0	45.0	17.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Шапсуги	2596.0	2.0	398.0	80.0	551.0	260.0	740.0	343.0	205.0	17.0	15.0	-
в том числе в возрасте, лет:												
15 – 19	284.0	-	-	16.0	14.0	11.0	104.0	129.0	7.0	3.0	1.0	-
20 – 24	232.0	-	46.0	33.0	38.0	20.0	77.0	16.0	1.0	1.0	1.0	-
25 – 29	204.0	-	57.0	11.0	41.0	18.0	60.0	16.0	1.0	-	-	-
30 – 39	424.0	-	74.0	7.0	116.0	71.0	142.0	12.0	2.0	-	-	-
40 – 49	568.0	1.0	96.0	5.0	184.0	71.0	188.0	20.0	3.0	-	-	-
50 – 59	253.0	-	52.0	5.0	69.0	39.0	61.0	22.0	5.0	-	-	-
60 и более	631.0	1.0	73.0	3.0	89.0	30.0	108.0	128.0	186.0	13.0	13.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Шорцы	10110.0	6.0	513.0	117.0	1963.0	2166.0	1809.0	1975.0	1300.0	260.0	161.0	1.0
в том числе в возрасте, лет:												
15 – 19	1203.0	-	-	5.0	38.0	60.0	290.0	656.0	144.0	10.0	9.0	-
20 – 24	1004.0	-	48.0	34.0	184.0	212.0	268.0	217.0	32.0	8.0	6.0	1.0
25 – 29	924.0	-	76.0	20.0	183.0	218.0	221.0	179.0	22.0	5.0	2.0	-
30 – 39	2019.0	3.0	96.0	30.0	579.0	682.0	365.0	219.0	39.0	6.0	5.0	-
40 – 49	2329.0	3.0	146.0	16.0	656.0	689.0	450.0	294.0	67.0	8.0	4.0	-
50 – 59	973.0	-	70.0	7.0	196.0	204.0	143.0	198.0	142.0	13.0	9.0	-
60 и более	1658.0	-	77.0	5.0	127.0	101.0	72.0	212.0	854.0	210.0	126.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Эвенки	24017.0	19.0	1863.0	532.0	4697.0	2234.0	6346.0	5914.0	2069.0	329.0	230.0	14.0
в том числе в возрасте, лет:												
15 – 19	4025.0	-	-	50.0	91.0	105.0	1137.0	2135.0	478.0	27.0	20.0	2.0
20 – 24	2989.0	-	121.0	133.0	506.0	298.0	1052.0	700.0	152.0	25.0	14.0	2.0
25 – 29	2696.0	3.0	247.0	97.0	524.0	302.0	791.0	635.0	82.0	13.0	11.0	2.0
30 – 39	5218.0	7.0	545.0	125.0	1463.0	649.0	1534.0	791.0	84.0	19.0	16.0	1.0
40 – 49	4638.0	3.0	462.0	76.0	1244.0	591.0	1304.0	794.0	149.0	12.0	9.0	3.0
50 – 59	2132.0	4.0	267.0	32.0	551.0	194.0	401.0	476.0	187.0	20.0	14.0	-
60 и более	2319.0	2.0	221.0	19.0	318.0	95.0	127.0	383.0	937.0	213.0	146.0	4.0
Возраст не указан	6.0	-	-	-	-	1.0	1.0	1.0	-	-	-	3.0
Эвены	13001.0	17.0	938.0	331.0	2628.0	1271.0	3379.0	3071.0	1141.0	211.0	146.0	14.0
в том числе в возрасте, лет:												
15 – 19	2079.0	-	-	24.0	45.0	49.0	574.0	1103.0	269.0	13.0	11.0	2.0
20 – 24	1676.0	2.0	68.0	98.0	288.0	160.0	594.0	363.0	84.0	17.0	12.0	2.0
25 – 29	1536.0	2.0	138.0	61.0	291.0	180.0	445.0	369.0	38.0	11.0	10.0	1.0
30 – 39	2763.0	3.0	296.0	81.0	799.0	331.0	825.0	383.0	32.0	11.0	8.0	2.0
40 – 49	2353.0	7.0	230.0	41.0	673.0	335.0	637.0	364.0	56.0	7.0	7.0	3.0
50 – 59	1302.0	2.0	129.0	19.0	342.0	162.0	243.0	286.0	110.0	8.0	5.0	1.0
60 и более	1292.0	1.0	77.0	7.0	190.0	54.0	61.0	203.0	552.0	144.0	93.0	3.0
Возраст не указан	3.0	-	-	-	1.0	-	-	1.0	-	-	-	1.0
Энцы	142.0	-	11.0	-	23.0	3.0	30.0	53.0	22.0	-	-	-
в том числе в возрасте, лет:												
15 – 19	36.0	-	-	-	1.0	-	5.0	21.0	9.0	-	-	-
20 – 24	16.0	-	1.0	-	2.0	2.0	1.0	4.0	6.0	-	-	-
25 – 29	14.0	-	-	-	4.0	1.0	1.0	8.0	-	-	-	-
30 – 39	24.0	-	2.0	-	5.0	-	10.0	6.0	1.0	-	-	-
40 – 49	31.0	-	6.0	-	5.0	-	12.0	7.0	1.0	-	-	-
50 – 59	14.0	-	2.0	-	4.0	-	1.0	6.0	1.0	-	-	-
60 и более	7.0	-	-	-	2.0	-	-	1.0	4.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Эскимосы	1083.0	-	46.0	11.0	194.0	186.0	279.0	289.0	69.0	1.0	-	8.0
в том числе в возрасте, лет:												
15 – 19	193.0	-	-	1.0	2.0	14.0	40.0	115.0	20.0	-	-	1.0
20 – 24	133.0	-	2.0	-	16.0	35.0	40.0	32.0	6.0	1.0	-	1.0
25 – 29	121.0	-	2.0	3.0	26.0	22.0	27.0	38.0	2.0	-	-	1.0
30 – 39	235.0	-	13.0	4.0	60.0	41.0	78.0	37.0	1.0	-	-	1.0
40 – 49	244.0	-	18.0	1.0	60.0	56.0	70.0	31.0	6.0	-	-	2.0
50 – 59	93.0	-	7.0	2.0	18.0	15.0	19.0	21.0	9.0	-	-	2.0
60 и более	64.0	-	4.0	-	12.0	3.0	5.0	15.0	25.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Юкагиры	793.0	5.0	92.0	31.0	179.0	48.0	222.0	154.0	54.0	7.0	7.0	1.0
в том числе в возрасте, лет:												
15 – 19	121.0	-	-	1.0	3.0	4.0	39.0	61.0	13.0	-	-	-
20 – 24	97.0	1.0	3.0	10.0	17.0	5.0	37.0	21.0	2.0	-	-	1.0
25 – 29	101.0	-	19.0	4.0	22.0	7.0	41.0	6.0	2.0	-	-	-
30 – 39	166.0	2.0	27.0	7.0	47.0	15.0	50.0	16.0	1.0	1.0	1.0	-
40 – 49	151.0	-	19.0	5.0	55.0	8.0	38.0	24.0	2.0	-	-	-
50 – 59	81.0	-	16.0	3.0	27.0	5.0	12.0	14.0	4.0	-	-	-
60 и более	76.0	2.0	8.0	1.0	8.0	4.0	5.0	12.0	30.0	6.0	6.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Городское население КМН в возрасте 15 лет и более												
Абазины	9344.0	35.0	1938.0	452.0	2750.0	789.0	2057.0	1002.0	278.0	33.0	22.0	10.0
в том числе в возрасте, лет:												
15 – 19	1344.0	-	-	67.0	100.0	46.0	537.0	553.0	37.0	2.0	-	2.0
20 – 24	1070.0	2.0	232.0	192.0	284.0	73.0	248.0	34.0	3.0	-	-	2.0
25 – 29	935.0	2.0	312.0	66.0	295.0	86.0	132.0	37.0	2.0	2.0	2.0	1.0
30 – 39	1822.0	10.0	488.0	62.0	650.0	200.0	362.0	41.0	4.0	2.0	2.0	3.0
40 – 49	2221.0	14.0	476.0	38.0	885.0	255.0	470.0	76.0	6.0	-	-	1.0
50 – 59	925.0	1.0	245.0	20.0	351.0	72.0	169.0	51.0	15.0	-	-	1.0
60 и более	1027.0	6.0	185.0	7.0	185.0	57.0	139.0	210.0	211.0	27.0	18.0	-
Возраст не указан	6.0	-	-	-	-	-	-	-	-	-	-	6.0
Алеуты	83.0	-	11.0	3.0	18.0	15.0	15.0	19.0	2.0	-	-	-
в том числе в возрасте, лет:												
15 – 19	12.0	-	-	-	-	-	3.0	8.0	1.0	-	-	-
20 – 24	14.0	-	-	1.0	2.0	6.0	4.0	1.0	-	-	-	-
25 – 29	13.0	-	1.0	-	4.0	1.0	2.0	4.0	1.0	-	-	-
30 – 39	15.0	-	3.0	1.0	3.0	4.0	3.0	1.0	-	-	-	-
40 – 49	16.0	-	3.0	-	6.0	3.0	2.0	2.0	-	-	-	-
50 – 59	8.0	-	3.0	-	2.0	-	1.0	2.0	-	-	-	-
60 и более	5.0	-	1.0	1.0	1.0	1.0	-	1.0	-	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Бесермяне	618.0	4.0	82.0	30.0	176.0	94.0	138.0	60.0	28.0	6.0	3.0	-
в том числе в возрасте, лет:												
15 – 19	56.0	-	-	2.0	-	2.0	25.0	27.0	-	-	-	-
20 – 24	46.0	-	4.0	11.0	19.0	4.0	8.0	-	-	-	-	-
25 – 29	42.0	-	9.0	4.0	11.0	6.0	10.0	2.0	-	-	-	-
30 – 39	100.0	2.0	22.0	3.0	34.0	16.0	22.0	1.0	-	-	-	-
40 – 49	161.0	-	22.0	3.0	67.0	31.0	35.0	2.0	1.0	-	-	-
50 – 59	95.0	1.0	10.0	2.0	24.0	21.0	23.0	9.0	4.0	1.0	1.0	-
60 и более	118.0	1.0	15.0	5.0	21.0	14.0	15.0	19.0	23.0	5.0	2.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Вепсы	3487.0	8.0	499.0	106.0	1031.0	499.0	407.0	486.0	413.0	37.0	15.0	1.0
в том числе в возрасте, лет:												
15 – 19	220.0	-	-	2.0	6.0	11.0	92.0	102.0	7.0	-	-	-
20 – 24	284.0	1.0	57.0	59.0	80.0	38.0	39.0	9.0	1.0	-	-	-
25 – 29	243.0	1.0	68.0	8.0	88.0	42.0	15.0	17.0	4.0	-	-	-
30 – 39	358.0	2.0	70.0	11.0	141.0	70.0	47.0	16.0	1.0	-	-	-
40 – 49	626.0	2.0	111.0	9.0	278.0	132.0	68.0	19.0	5.0	2.0	1.0	-
50 – 59	538.0	2.0	85.0	7.0	217.0	103.0	67.0	47.0	10.0	-	-	-
60 и более	1218.0	-	108.0	10.0	221.0	103.0	79.0	276.0	385.0	35.0	14.0	1.0
Возраст не указан	1.0	-	-	-	1.0	-	-	-	-	-	-	-
Долганы	904.0	4.0	113.0	30.0	188.0	110.0	279.0	148.0	27.0	5.0	4.0	-
в том числе в возрасте, лет:												
15 – 19	226.0	-	-	6.0	7.0	8.0	104.0	88.0	13.0	-	-	-
20 – 24	169.0	-	12.0	8.0	30.0	35.0	63.0	21.0	-	-	-	-
25 – 29	111.0	1.0	12.0	3.0	28.0	23.0	30.0	11.0	3.0	-	-	-
30 – 39	169.0	3.0	30.0	7.0	54.0	21.0	41.0	11.0	1.0	1.0	1.0	-
40 – 49	129.0	-	38.0	5.0	37.0	15.0	30.0	3.0	1.0	-	-	-
50 – 59	48.0	-	8.0	1.0	17.0	6.0	6.0	8.0	2.0	-	-	-
60 и более	52.0	-	13.0	-	15.0	2.0	5.0	6.0	7.0	4.0	3.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ижорцы	46.0	-	6.0	1.0	11.0	4.0	2.0	8.0	11.0	2.0	-	1.0
в том числе в возрасте, лет:												
15 – 19	1.0	-	-	-	-	-	1.0	-	-	-	-	-
20 – 24	1.0	-	-	-	-	1.0	-	-	-	-	-	-
25 – 29	2.0	-	-	-	1.0	-	-	1.0	-	-	-	-
30 – 39	-	-	-	-	-	-	-	-	-	-	-	-
40 – 49	9.0	-	3.0	1.0	3.0	2.0	-	-	-	-	-	-
50 – 59	4.0	-	1.0	-	2.0	-	-	-	-	-	-	1.0
60 и более	29.0	-	2.0	-	5.0	1.0	1.0	7.0	11.0	2.0	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ительмены	796.0	3.0	111.0	24.0	236.0	85.0	150.0	148.0	32.0	5.0	1.0	2.0
в том числе в возрасте, лет:												
15 – 19	119.0	-	-	1.0	2.0	4.0	35.0	65.0	12.0	-	-	-
20 – 24	105.0	-	7.0	8.0	29.0	14.0	26.0	16.0	5.0	-	-	-
25 – 29	118.0	-	13.0	6.0	42.0	14.0	18.0	21.0	3.0	1.0	-	-
30 – 39	142.0	1.0	26.0	6.0	53.0	18.0	27.0	9.0	1.0	1.0	1.0	-
40 – 49	129.0	-	31.0	2.0	50.0	17.0	23.0	2.0	1.0	1.0	-	2.0
50 – 59	117.0	-	22.0	1.0	42.0	13.0	14.0	23.0	2.0	-	-	-
60 и более	66.0	2.0	12.0	-	18.0	5.0	7.0	12.0	8.0	2.0	-	-
Возраст не указан	1.0	-	-	-	-	-	1.0	-	-	-	-	-
Камчадалы	788.0	-	70.0	13.0	193.0	179.0	139.0	136.0	47.0	11.0	9.0	-
в том числе в возрасте, лет:												
15 – 19	99.0	-	-	1.0	4.0	10.0	22.0	51.0	10.0	1.0	1.0	-
20 – 24	80.0	-	5.0	4.0	13.0	33.0	15.0	7.0	1.0	2.0	2.0	-
25 – 29	66.0	-	6.0	1.0	13.0	24.0	11.0	11.0	-	-	-	-
30 – 39	163.0	-	20.0	4.0	56.0	44.0	28.0	11.0	-	-	-	-
40 – 49	152.0	-	16.0	2.0	50.0	34.0	29.0	19.0	1.0	1.0	1.0	-
50 – 59	129.0	-	16.0	1.0	40.0	23.0	20.0	21.0	4.0	4.0	3.0	-
60 и более	99.0	-	7.0	-	17.0	11.0	14.0	16.0	31.0	3.0	2.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Кеты	163.0	1.0	5.0	4.0	38.0	18.0	48.0	33.0	12.0	4.0	4.0	-
в том числе в возрасте, лет:												
15 – 19	35.0	-	-	-	2.0	-	16.0	13.0	4.0	-	-	-
20 – 24	20.0	-	1.0	-	8.0	1.0	7.0	2.0	1.0	-	-	-
25 – 29	17.0	-	1.0	1.0	3.0	1.0	5.0	6.0	-	-	-	-
30 – 39	36.0	-	1.0	-	14.0	8.0	9.0	4.0	-	-	-	-
40 – 49	28.0	1.0	2.0	1.0	5.0	6.0	9.0	4.0	-	-	-	-
50 – 59	11.0	-	-	2.0	4.0	-	1.0	3.0	1.0	-	-	-
60 и более	16.0	-	-	-	2.0	2.0	1.0	1.0	6.0	4.0	4.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Коряки	1676.0	2.0	119.0	35.0	438.0	141.0	328.0	462.0	116.0	27.0	17.0	8.0
в том числе в возрасте, лет:												
15 – 19	411.0	-	-	1.0	9.0	11.0	63.0	259.0	58.0	8.0	6.0	2.0
20 – 24	252.0	-	4.0	6.0	81.0	19.0	54.0	70.0	11.0	7.0	6.0	-
25 – 29	178.0	-	14.0	2.0	52.0	26.0	39.0	40.0	2.0	2.0	-	1.0
30 – 39	340.0	1.0	39.0	13.0	122.0	37.0	82.0	42.0	2.0	1.0	1.0	1.0
40 – 49	308.0	-	32.0	7.0	128.0	32.0	65.0	33.0	5.0	2.0	2.0	4.0
50 – 59	124.0	1.0	22.0	5.0	38.0	15.0	16.0	14.0	13.0	-	-	-
60 и более	63.0	-	8.0	1.0	8.0	1.0	9.0	4.0	25.0	7.0	2.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Кумандинцы	1342.0	-	138.0	22.0	359.0	244.0	191.0	210.0	140.0	38.0	27.0	-
в том числе в возрасте, лет:												
15 – 19	156.0	-	-	1.0	6.0	8.0	54.0	76.0	11.0	-	-	-
20 – 24	130.0	-	7.0	6.0	46.0	30.0	24.0	15.0	2.0	-	-	-
25 – 29	115.0	-	22.0	2.0	32.0	27.0	15.0	16.0	1.0	-	-	-
30 – 39	216.0	-	24.0	7.0	86.0	53.0	27.0	18.0	1.0	-	-	-
40 – 49	314.0	-	29.0	2.0	129.0	78.0	42.0	27.0	5.0	2.0	2.0	-
50 – 59	159.0	-	26.0	1.0	47.0	36.0	17.0	24.0	7.0	1.0	-	-
60 и более	252.0	-	30.0	3.0	13.0	12.0	12.0	34.0	113.0	35.0	25.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Манси	3867.0	15.0	452.0	118.0	1063.0	407.0	872.0	708.0	207.0	19.0	12.0	6.0
в том числе в возрасте, лет:												
15 – 19	773.0	-	-	14.0	20.0	23.0	322.0	336.0	53.0	2.0	-	3.0
20 – 24	520.0	1.0	57.0	47.0	106.0	46.0	164.0	85.0	13.0	1.0	-	-
25 – 29	397.0	1.0	59.0	18.0	108.0	49.0	86.0	67.0	9.0	-	-	-
30 – 39	769.0	2.0	118.0	19.0	300.0	107.0	145.0	68.0	7.0	2.0	2.0	1.0
40 – 49	781.0	3.0	124.0	13.0	319.0	123.0	117.0	66.0	13.0	1.0	-	2.0
50 – 59	268.0	4.0	47.0	1.0	113.0	33.0	28.0	33.0	9.0	-	-	-
60 и более	359.0	4.0	47.0	6.0	97.0	26.0	10.0	53.0	103.0	13.0	10.0	-
Возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	1.0
Нагайбаки	1357.0	1.0	191.0	45.0	318.0	232.0	257.0	130.0	162.0	21.0	11.0	-
в том числе в возрасте, лет:												
15 – 19	144.0	-	-	9.0	5.0	6.0	89.0	33.0	2.0	-	-	-
20 – 24	130.0	-	15.0	24.0	36.0	28.0	25.0	2.0	-	-	-	-
25 – 29	82.0	-	18.0	1.0	39.0	14.0	9.0	1.0	-	-	-	-
30 – 39	143.0	1.0	27.0	5.0	55.0	28.0	26.0	1.0	-	-	-	-
40 – 49	282.0	-	62.0	2.0	81.0	85.0	40.0	10.0	2.0	-	-	-
50 – 59	206.0	-	42.0	4.0	62.0	38.0	39.0	15.0	5.0	1.0	1.0	-
60 и более	370.0	-	27.0	-	40.0	33.0	29.0	68.0	153.0	20.0	10.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Нанайцы	2682.0	4.0	268.0	64.0	665.0	454.0	509.0	554.0	137.0	22.0	18.0	5.0
в том числе в возрасте, лет:												
15 – 19	477.0	-	-	2.0	14.0	28.0	155.0	246.0	29.0	1.0	1.0	2.0
20 – 24	363.0	-	17.0	30.0	100.0	61.0	76.0	66.0	9.0	4.0	4.0	-
25 – 29	266.0	1.0	29.0	6.0	77.0	60.0	35.0	49.0	7.0	1.0	1.0	1.0
30 – 39	488.0	-	61.0	13.0	167.0	99.0	92.0	50.0	6.0	-	-	-
40 – 49	540.0	3.0	80.0	6.0	182.0	129.0	79.0	47.0	9.0	3.0	3.0	2.0
50 – 59	289.0	-	45.0	3.0	75.0	52.0	47.0	54.0	10.0	3.0	3.0	-
60 и более	259.0	-	36.0	4.0	50.0	25.0	25.0	42.0	67.0	10.0	6.0	-
Возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	1.0
Нганасаны	105.0	-	4.0	1.0	20.0	20.0	33.0	20.0	4.0	3.0	-	-
в том числе в возрасте, лет:												
15 – 19	26.0	-	-	-	1.0	2.0	8.0	12.0	2.0	1.0	-	-
20 – 24	21.0	-	-	-	6.0	4.0	5.0	4.0	1.0	1.0	-	-
25 – 29	18.0	-	1.0	-	3.0	6.0	6.0	2.0	-	-	-	-
30 – 39	15.0	-	-	-	2.0	4.0	7.0	2.0	-	-	-	-
40 – 49	13.0	-	3.0	1.0	1.0	4.0	4.0	-	-	-	-	-
50 – 59	8.0	-	-	-	6.0	-	2.0	-	-	-	-	-
60 и более	4.0	-	-	-	1.0	-	1.0	-	1.0	1.0	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Негидальцы	93.0	-	4.0	1.0	23.0	15.0	20.0	21.0	9.0	-	-	-
в том числе в возрасте, лет:												
15 – 19	17.0	-	-	-	-	2.0	7.0	8.0	-	-	-	-
20 – 24	6.0	-	-	-	2.0	2.0	1.0	1.0	-	-	-	-
25 – 29	7.0	-	-	-	2.0	1.0	2.0	2.0	-	-	-	-
30 – 39	22.0	-	2.0	-	9.0	2.0	6.0	3.0	-	-	-	-
40 – 49	15.0	-	1.0	-	6.0	4.0	2.0	2.0	-	-	-	-
50 – 59	14.0	-	1.0	1.0	4.0	3.0	1.0	3.0	1.0	-	-	-
60 и более	12.0	-	-	-	-	1.0	1.0	2.0	8.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ненцы	4713.0	12.0	392.0	79.0	1092.0	500.0	1023.0	1055.0	306.0	247.0	205.0	7.0
в том числе в возрасте, лет:												
15 – 19	1024.0	-	-	-	25.0	26.0	311.0	509.0	112.0	41.0	24.0	-
20 – 24	668.0	1.0	33.0	26.0	115.0	78.0	204.0	146.0	32.0	33.0	30.0	-
25 – 29	506.0	2.0	45.0	9.0	139.0	65.0	97.0	109.0	18.0	22.0	18.0	-
30 – 39	1119.0	2.0	110.0	24.0	387.0	169.0	219.0	125.0	27.0	55.0	47.0	1.0
40 – 49	816.0	5.0	108.0	10.0	273.0	122.0	143.0	87.0	30.0	36.0	35.0	2.0
50 – 59	324.0	1.0	56.0	7.0	96.0	24.0	42.0	53.0	25.0	19.0	16.0	1.0
60 и более	256.0	1.0	40.0	3.0	57.0	16.0	7.0	26.0	62.0	41.0	35.0	3.0
Возраст не указан	4.0	-	-	-	-	-	-	2.0	-	-	-	2.0
Нивхи	1738.0	2.0	92.0	30.0	359.0	311.0	315.0	481.0	123.0	23.0	8.0	2.0
