6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
40 – 49	433.0	-	55.0	4.0	154.0	65.0	111.0	33.0	8.0	1.0	-	2.0
50 – 59	303.0	-	29.0	3.0	104.0	39.0	65.0	55.0	8.0	-	-	-
60 и более	224.0	2.0	21.0	-	53.0	23.0	29.0	53.0	38.0	5.0	2.0	-
Возраст не указан	1.0	-	-	-	-	-	1.0	-	-	-	-	-
Камчадалы	1447.0	-	101.0	23.0	337.0	324.0	256.0	282.0	112.0	12.0	10.0	-
в том числе в возрасте, лет:												
15 – 19	189.0	-	-	1.0	7.0	15.0	33.0	104.0	28.0	1.0	1.0	-
20 – 24	134.0	-	10.0	6.0	24.0	52.0	22.0	16.0	2.0	2.0	2.0	-
25 – 29	112.0	-	7.0	1.0	26.0	42.0	17.0	18.0	1.0	-	-	-
30 – 39	276.0	-	23.0	7.0	85.0	80.0	56.0	24.0	1.0	-	-	-
40 – 49	319.0	-	24.0	4.0	104.0	79.0	66.0	36.0	5.0	1.0	1.0	-
50 – 59	226.0	-	27.0	2.0	63.0	39.0	33.0	44.0	14.0	4.0	3.0	-
60 и более	191.0	-	10.0	2.0	28.0	17.0	29.0	40.0	61.0	4.0	3.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Кеты	842.0	1.0	17.0	11.0	137.0	72.0	209.0	260.0	107.0	28.0	21.0	-
в том числе в возрасте, лет:												
15 – 19	148.0	-	-	-	3.0	-	34.0	73.0	35.0	3.0	1.0	-
20 – 24	92.0	-	2.0	1.0	14.0	9.0	18.0	39.0	7.0	2.0	2.0	-
25 – 29	81.0	-	1.0	2.0	13.0	3.0	21.0	39.0	2.0	-	-	-
30 – 39	201.0	-	7.0	3.0	47.0	27.0	61.0	44.0	8.0	4.0	4.0	-
40 – 49	179.0	1.0	5.0	2.0	37.0	24.0	60.0	38.0	9.0	3.0	1.0	-
50 – 59	65.0	-	1.0	2.0	15.0	2.0	10.0	18.0	13.0	4.0	3.0	-
60 и более	76.0	-	1.0	1.0	8.0	7.0	5.0	9.0	33.0	12.0	10.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Коряки	5841.0	2.0	209.0	70.0	1226.0	501.0	1280.0	1837.0	610.0	98.0	79.0	8.0
в том числе в возрасте, лет:												
15 – 19	1063.0	-	-	1.0	16.0	23.0	120.0	659.0	232.0	10.0	8.0	2.0
20 – 24	689.0	-	6.0	7.0	148.0	44.0	161.0	255.0	56.0	12.0	10.0	-
25 – 29	621.0	-	22.0	4.0	132.0	58.0	146.0	235.0	20.0	3.0	1.0	1.0
30 – 39	1380.0	1.0	66.0	28.0	394.0	167.0	402.0	299.0	18.0	4.0	4.0	1.0
40 – 49	1228.0	-	73.0	21.0	374.0	154.0	357.0	208.0	30.0	7.0	7.0	4.0
50 – 59	461.0	1.0	30.0	7.0	126.0	40.0	73.0	126.0	57.0	1.0	1.0	-
60 и более	399.0	-	12.0	2.0	36.0	15.0	21.0	55.0	197.0	61.0	48.0	-
Возраст не указан	2.0	-	-	-	-	-	1.0	-	-	-	-	1.0
Кумандинцы	2472.0	1.0	220.0	32.0	553.0	508.0	323.0	414.0	315.0	106.0	74.0	-
в том числе в возрасте, лет:												
15 – 19	241.0	-	-	2.0	9.0	11.0	67.0	124.0	27.0	1.0	1.0	-
20 – 24	210.0	-	11.0	7.0	53.0	52.0	40.0	40.0	6.0	1.0	-	-
25 – 29	189.0	1.0	31.0	2.0	45.0	51.0	27.0	30.0	2.0	-	-	-
30 – 39	418.0	-	46.0	11.0	144.0	117.0	50.0	42.0	5.0	3.0	3.0	-
40 – 49	604.0	-	52.0	4.0	182.0	186.0	91.0	72.0	14.0	3.0	3.0	-
50 – 59	296.0	-	38.0	2.0	86.0	68.0	30.0	47.0	24.0	1.0	-	-
60 и более	514.0	-	42.0	4.0	34.0	23.0	18.0	59.0	237.0	97.0	67.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Манси	7449.0	18.0	570.0	152.0	1799.0	839.0	1528.0	1808.0	644.0	83.0	62.0	8.0
в том числе в возрасте, лет:												
15 – 19	1346.0	-	-	16.0	27.0	39.0	427.0	687.0	142.0	4.0	1.0	4.0
20 – 24	907.0	1.0	66.0	58.0	162.0	78.0	285.0	210.0	42.0	5.0	2.0	-
25 – 29	754.0	1.0	83.0	26.0	164.0	89.0	166.0	191.0	29.0	5.0	4.0	-
30 – 39	1599.0	3.0	156.0	28.0	534.0	243.0	327.0	269.0	33.0	5.0	5.0	1.0
40 – 49	1551.0	4.0	148.0	15.0	555.0	256.0	252.0	248.0	65.0	6.0	5.0	2.0
50 – 59	538.0	5.0	61.0	1.0	204.0	79.0	45.0	98.0	43.0	2.0	1.0	-
60 и более	754.0	4.0	56.0	8.0	153.0	55.0	26.0	105.0	290.0	56.0	44.0	1.0
Возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	1.0
Нагайбаки	7716.0	2.0	614.0	127.0	1457.0	1574.0	1289.0	1084.0	1387.0	182.0	112.0	-
в том числе в возрасте, лет:												
15 – 19	727.0	-	-	16.0	17.0	35.0	257.0	366.0	35.0	1.0	1.0	-
