3.2. МУЖЧИНЫ И ЖЕНЩИНЫ ПО ВОЗРАСТНЫМ ГРУППАМ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистриро- ванном браке	в незарегист- рированном браке							в зарегистриро- ванном браке	в незарегист- рированном браке				
возраст не указан	56500.0	12972.0	11596.0	1376.0	2537.0	353.0	1035.0	39603.0	55394.0	12802.0	11614.0	1188.0	2200.0	1112.0	1172.0	38108.0
Сельское население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке 	14210187.0	9236472.0	8145431.0	1091041.0	3469343.0	554328.0	920911.0	29133.0	16220938.0	9229336.0	8138081.0	1091255.0	2391902.0	3445695.0	1129388.0	24617.0
в том числе в возрасте, лет:																
  до 16	293.0	248.0	122.0	126.0		25.0	20.0		1245.0	1201.0	316.0	885.0		18.0	26.0	
16 – 17	680400.0	3248.0	1280.0	1968.0	669152.0	129.0	216.0	7655.0	612203.0	22633.0	10026.0	12607.0	582784.0	158.0	580.0	6048.0
18 – 19	569210.0	19079.0	11758.0	7321.0	546799.0	100.0	587.0	2645.0	521451.0	99893.0	66669.0	33224.0	415764.0	440.0	3459.0	1895.0
20 – 24	1351992.0	345424.0	264254.0	81170.0	984345.0	663.0	17439.0	4121.0	1258272.0	634348.0	506476.0	127872.0	566363.0	6241.0	48355.0	2965.0
25 – 29	1256801.0	740826.0	612934.0	127892.0	442496.0	1931.0	68988.0	2560.0	1206331.0	873901.0	740758.0	133143.0	212587.0	17291.0	100874.0	1678.0
30 – 34	1222091.0	888126.0	763667.0	124459.0	219964.0	3985.0	107997.0	2019.0	1180498.0	928264.0	812785.0	115479.0	99712.0	31212.0	119977.0	1333.0
35 – 39	1387440.0	1075923.0	946414.0	129509.0	167848.0	8387.0	133626.0	1656.0	1323480.0	1062462.0	951894.0	110568.0	69131.0	55535.0	135261.0	1091.0
40 – 44	1703350.0	1353595.0	1201330.0	152265.0	162990.0	17806.0	167252.0	1707.0	1595791.0	1266476.0	1140078.0	126398.0	61672.0	99927.0	166460.0	1256.0
45 – 49	1482275.0	1185806.0	1054799.0	131007.0	115458.0	26720.0	152946.0	1345.0	1431056.0	1094690.0	979874.0	114816.0	50297.0	136368.0	148551.0	1150.0
50 – 54	1164904.0	940840.0	840135.0	100705.0	71142.0	35715.0	116099.0	1108.0	1196456.0	859595.0	767125.0	92470.0	40272.0	177278.0	118229.0	1082.0
55 – 59	548124.0	447378.0	399842.0	47536.0	25657.0	26513.0	48066.0	510.0	647015.0	425353.0	380865.0	44488.0	20032.0	145362.0	55719.0	549.0
60 – 64	937470.0	767762.0	693698.0	74064.0	32450.0	79416.0	57151.0	691.0	1302545.0	735396.0	667618.0	67778.0	38746.0	442283.0	85181.0	939.0
65 – 69	777345.0	639160.0	586727.0	52433.0	16814.0	91101.0	29822.0	448.0	1150532.0	548312.0	498636.0	49676.0	41673.0	503347.0	56502.0	698.0
70 и более	1124626.0	827941.0	767555.0	60386.0	13777.0	261739.0	20545.0	624.0	2789928.0	675277.0	613648.0	61629.0	192613.0	1829912.0	90097.0	2029.0
возраст не указан	3866.0	1116.0	916.0	200.0	451.0	98.0	157.0	2044.0	4135.0	1535.0	1313.0	222.0	256.0	323.0	117.0	1904.0
