1.4. ГОРОДА С НАСЕЛЕНИЕМ 50 И БОЛЕЕ ТЫСЯЧ ЧЕЛОВЕК		
		
	Численность населения, человек	
Нижнекамск	192525.0	225399.0
Нижний Новгород	1434659.0	1311252.0
Нижний Тагил	439157.0	390498.0
Новоалтайск	53675.0	60015.0
Новокузнецк	602255.0	549870.0
Новокуйбышевск	112528.0	112973.0
Новомосковск	145744.0	134081.0
Новороссийск	186681.0	232079.0
Новосибирск	1435889.0	1425508.0
Новотроицк	106041.0	106315.0
Новоуральск	...	95414.0
Новочебоксарск	115830.0	125857.0
Новочеркасск	186903.0	170822.0
Новошахтинск	106913.0	101131.0
Новый Уренгой	95254.0	94456.0
Ногинск 	122915.0	117555.0
Норильск	179757.0	134832.0
Ноябрьск	87144.0	96440.0
Нягань	55029.0	52610.0
Обнинск	99787.0	105706.0
Одинцово 	125880.0	134844.0
Озерск	...	91760.0
Октябрьский	104536.0	108647.0
Омск	1148485.0	1134016.0
Орел	333208.0	333310.0
Оренбург	544240.0	549361.0
Орехово-Зуево	137253.0	122248.0
Орск	271385.0	250963.0
Осинники	62516.0	51057.0
Отрадный	48885.0	50048.0
Павлово	71331.0	64814.0
Павловский Посад 	71329.0	61982.0
Пенза	538466.0	518025.0
Первоуральск	141555.0	132277.0
Пермь	1092392.0	1001653.0
Петрозаводск	269581.0	266160.0
Петропавловск-Камчатский	273368.0	198028.0
Подольск	207786.0	180963.0
Полевской	69957.0	66761.0
Прокопьевск	271166.0	224597.0
Прохладный	56793.0	61772.0
Псков	203467.0	202780.0
Пушкино 	75953.0	72425.0
Пятигорск	124969.0	140559.0
Раменское 	87389.0	82074.0
Ревда	65627.0	62667.0
Реутов	68710.0	76805.0
Ржев	68803.0	63729.0
Рославль 	60254.0	57701.0
Россошь	56581.0	62923.0
Ростов-на-Дону	1007820.0	1068267.0
Рубцовск	171809.0	163063.0
Рыбинск	252244.0	222653.0
Рязань	511817.0	521560.0
Салават	150760.0	158600.0
Сальск	60837.0	61775.0
Самара	1257268.0	1157880.0
Санкт-Петербург 	4435167.0	4661219.0
Саранск	312516.0	304866.0
Сарапул	109747.0	103141.0
Саратов	902291.0	873055.0
Саров	...	87652.0
Саяногорск	50785.0	50255.0
Свободный	79752.0	63889.0
Северодвинск	253864.0	201551.0
Североморск	63495.0	55102.0
Северск	...	109106.0
Сергиев Посад	114513.0	113581.0
Серов	104356.0	99804.0
Серпухов	143981.0	131097.0
Сибай	48349.0	59082.0
Славянск-на-Кубани	57386.0	64136.0
Смоленск	338525.0	325137.0
Снежинск	...	50451.0
Соликамск	110068.0	102531.0
Солнечногорск 	53940.0	58374.0
Сосновый Бор	56077.0	66132.0
Сочи	311648.0	328809.0
Спасск-Дальний	60302.0	51691.0
Ставрополь	316704.0	354867.0
Старый Оскол	173276.0	215898.0
Стерлитамак	247736.0	264362.0
Ступино 	74235.0	63124.0
Сургут	250198.0	285027.0
Сызрань	173364.0	188107.0
Сыктывкар	231673.0	230011.0
Таганрог	290467.0	281947.0
Талнах	65710.0	58654.0
Тамбов	303581.0	293658.0
Тверь	445700.0	408903.0
Тимашевск 	44628.0	54116.0
Тихвин	71287.0	63338.0
Тихорецк	65144.0	65005.0
Тобольск 	94578.0	92880.0
Тольятти	629315.0	702879.0
Томск	501949.0	487838.0
Троицк	89072.0	83862.0
Туапсе	63173.0	64238.0
Туймазы	58408.0	66687.0
Тула	536447.0	481216.0
Тулун	52505.0	51848.0
Тюмень	475553.0	510719.0
Узловая	64729.0	59763.0
Улан-Удэ 	351806.0	359391.0
Ульяновск	623679.0	635947.0
Усолье-Сибирское	106461.0	90161.0
Уссурийск	157247.0	157759.0
Усть-Илимск	110335.0	100592.0
Уфа	1079765.0	1042437.0
Ухта	112876.0	103340.0
Фрязино	53456.0	52436.0
Хабаровск	597678.0	583072.0
Ханты-Мансийск	35494.0	53953.0
Хасавюрт	70053.0	121817.0
Химки 	134285.0	141000.0
Чайковский	85723.0	86714.0
Чапаевск	98076.0	73912.0
Чебоксары	420098.0	440621.0
Челябинск	1141808.0	1077174.0
Черемхово	71860.0	60107.0
Череповец	309534.0	311869.0
Черкесск	112307.0	116244.0
Черногорск	79278.0	73077.0
Чехов 	58367.0	72917.0
Чистополь	65277.0	63029.0
Чита	362518.0	316643.0
Чусовой	56735.0	51615.0
Шадринск	86800.0	80865.0
Шахты	224149.0	222592.0
Шуя	69313.0	62449.0
Щекино	69088.0	61588.0
Щёлково 	108722.0	112865.0
Электросталь	152395.0	146294.0
Элиста	89682.0	104254.0
Энгельс	181989.0	193984.0
Южно-Сахалинск	156347.0	175085.0
Юрга	93911.0	85555.0
Якутск	187661.0	210642.0
Ярославль	628520.0	613088.0
Ярцево 	52681.0	52617.0
