4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
деятельность экстерриториальных организаций	4.0	-	-	-	-	-	4.0	-	-	-	-	4.0	42.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	14261.0	304.0	1418.0	1811.0	1783.0	1848.0	2467.0	2188.0	1622.0	489.0	331.0	13731.0	39.1
Брянская область													
Все население в возрасте 15-64 лет, занятое в экономике	525835.0	9779.0	55257.0	67510.0	67765.0	73797.0	89348.0	79244.0	58461.0	17009.0	7665.0	511157.0	38.7
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	54256.0	1193.0	3837.0	5727.0	6591.0	8600.0	10794.0	9081.0	6452.0	1644.0	337.0	53587.0	39.6
рыболовство, рыбоводство	172.0	-	21.0	9.0	21.0	25.0	29.0	55.0	8.0	4.0	-	172.0	39.7
добыча полезных ископаемых	373.0	-	17.0	47.0	37.0	82.0	67.0	62.0	33.0	28.0	-	373.0	40.4
обрабатывающие производства	118173.0	2347.0	12257.0	13463.0	12299.0	14678.0	20189.0	20557.0	15613.0	4551.0	2219.0	114506.0	39.7
производство и распределение электроэнергии, газа и воды	14195.0	92.0	937.0	1353.0	1381.0	1875.0	2596.0	2667.0	2279.0	722.0	293.0	13730.0	41.7
строительство	35459.0	746.0	4135.0	4391.0	3872.0	4709.0	6264.0	5804.0	4155.0	1037.0	346.0	34897.0	38.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	72024.0	2416.0	10722.0	11459.0	10345.0	10629.0	11216.0	8382.0	5220.0	1133.0	502.0	70866.0	35.8
гостиницы и рестораны	10350.0	446.0	1423.0	1368.0	1267.0	1356.0	1687.0	1484.0	972.0	237.0	110.0	10048.0	37.0
транспорт и связь	49777.0	563.0	4619.0	6192.0	6700.0	7118.0	8927.0	8035.0	5669.0	1474.0	480.0	49020.0	39.0
финансовая деятельность	5402.0	26.0	438.0	755.0	797.0	899.0	867.0	846.0	586.0	142.0	46.0	5263.0	38.8
операции с недвижимым имуществом, аренда и предоставление услуг	18707.0	233.0	2003.0	2059.0	2211.0	2337.0	3212.0	2929.0	2534.0	905.0	284.0	18142.0	39.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	37067.0	292.0	4486.0	6156.0	6124.0	5689.0	5721.0	4425.0	2986.0	771.0	417.0	36296.0	36.9
образование	49994.0	637.0	4696.0	6679.0	7475.0	7129.0	7865.0	6599.0	5302.0	2324.0	1288.0	47041.0	39.0
здравоохранение и предоставление социальных услуг	40520.0	366.0	3998.0	5705.0	6262.0	6157.0	6706.0	5259.0	3965.0	1191.0	911.0	38693.0	38.4
предоставление прочих коммунальных, социальных и персональных услуг	14911.0	341.0	1279.0	1647.0	1812.0	1985.0	2487.0	2386.0	2043.0	653.0	278.0	14287.0	39.9
предоставление услуг по ведению домашнего хозяйства	185.0	8.0	17.0	17.0	21.0	16.0	33.0	25.0	36.0	8.0	4.0	173.0	40.3
деятельность экстерриториальных организаций	4.0	-	-	4.0	-	-	-	-	-	-	-	4.0	27.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	4266.0	73.0	372.0	479.0	550.0	513.0	688.0	648.0	608.0	185.0	150.0	4059.0	40.3
Владимирская область													
Все население в возрасте 15-64 лет, занятое в экономике	657408.0	17920.0	70825.0	80595.0	76376.0	83761.0	105709.0	99157.0	78367.0	28628.0	16070.0	628196.0	39.1
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	37828.0	1043.0	2982.0	3576.0	3779.0	4408.0	7516.0	6959.0	5247.0	1793.0	525.0	36794.0	40.5
рыболовство, рыбоводство	115.0	5.0	8.0	4.0	4.0	17.0	32.0	25.0	20.0	-	-	115.0	41.2
добыча полезных ископаемых	2367.0	25.0	207.0	192.0	227.0	319.0	447.0	403.0	396.0	112.0	39.0	2296.0	41.2
обрабатывающие производства	205585.0	6453.0	23172.0	24965.0	20908.0	24108.0	32185.0	32741.0	26745.0	9421.0	4887.0	197080.0	39.3
производство и распределение электроэнергии, газа и воды	11158.0	85.0	683.0	1078.0	1049.0	1397.0	1846.0	2112.0	1763.0	754.0	391.0	10571.0	42.3
строительство	36023.0	892.0	4216.0	4532.0	3670.0	4497.0	5859.0	5775.0	4362.0	1601.0	619.0	35077.0	39.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	82206.0	3773.0	12016.0	12570.0	12150.0	11711.0	12475.0	9308.0	5898.0	1483.0	822.0	80407.0	35.7
гостиницы и рестораны	14504.0	910.0	1965.0	1603.0	1609.0	1817.0	2246.0	2071.0	1597.0	418.0	268.0	13864.0	37.4
транспорт и связь	49831.0	715.0	4015.0	5620.0	6780.0	7279.0	8829.0	7863.0	5841.0	2027.0	862.0	48428.0	39.7
финансовая деятельность	6490.0	75.0	630.0	1116.0	937.0	792.0	1101.0	893.0	674.0	201.0	71.0	6266.0	38.0
операции с недвижимым имуществом, аренда и предоставление услуг	43687.0	764.0	4501.0	5298.0	4443.0	5041.0	6823.0	6759.0	5824.0	2482.0	1752.0	40966.0	40.4
