4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
предоставление прочих коммунальных, социальных и персональных услуг	19810.0	575.0	2408.0	2561.0	2237.0	2304.0	2790.0	3133.0	2296.0	824.0	682.0	18668.0	39.0
предоставление услуг по ведению домашнего хозяйства	107.0	8.0	32.0	12.0	4.0	4.0	-	27.0	15.0	5.0	-	102.0	35.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	3440.0	53.0	414.0	557.0	402.0	473.0	534.0	493.0	321.0	141.0	52.0	3325.0	38.0
Ненецкий автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике	19277.0	506.0	2244.0	2554.0	2299.0	2569.0	3153.0	2896.0	1989.0	628.0	439.0	18500.0	38.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	2256.0	74.0	214.0	245.0	306.0	367.0	413.0	375.0	180.0	52.0	30.0	2206.0	38.2
рыболовство, рыбоводство	164.0	6.0	12.0	14.0	13.0	25.0	40.0	32.0	12.0	5.0	5.0	159.0	40.1
добыча полезных ископаемых	2509.0	37.0	348.0	377.0	274.0	293.0	372.0	373.0	291.0	98.0	46.0	2439.0	38.3
обрабатывающие производства	482.0	9.0	43.0	48.0	35.0	63.0	93.0	91.0	62.0	17.0	21.0	451.0	41.0
производство и распределение электроэнергии, газа и воды	327.0	7.0	15.0	27.0	27.0	49.0	57.0	56.0	65.0	9.0	15.0	310.0	42.4
строительство	1108.0	30.0	143.0	184.0	120.0	134.0	186.0	160.0	103.0	32.0	16.0	1082.0	37.4
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1430.0	77.0	220.0	201.0	181.0	199.0	212.0	200.0	106.0	22.0	12.0	1402.0	35.8
гостиницы и рестораны	160.0	4.0	27.0	25.0	23.0	23.0	21.0	22.0	9.0	4.0	2.0	155.0	35.9
транспорт и связь	1754.0	24.0	155.0	180.0	194.0	260.0	331.0	292.0	219.0	61.0	38.0	1698.0	40.0
финансовая деятельность	182.0	4.0	33.0	32.0	26.0	15.0	23.0	28.0	14.0	4.0	3.0	176.0	36.0
операции с недвижимым имуществом, аренда и предоставление услуг	422.0	9.0	37.0	46.0	41.0	48.0	88.0	68.0	55.0	18.0	12.0	403.0	40.4
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	1802.0	43.0	251.0	336.0	273.0	232.0	276.0	218.0	121.0	30.0	22.0	1762.0	35.9
образование	3157.0	85.0	361.0	400.0	400.0	414.0	492.0	445.0	313.0	144.0	103.0	2929.0	38.7
здравоохранение и предоставление социальных услуг	1286.0	22.0	116.0	169.0	145.0	183.0	187.0	192.0	154.0	54.0	64.0	1176.0	40.0
предоставление прочих коммунальных, социальных и персональных услуг	2129.0	65.0	245.0	251.0	233.0	250.0	357.0	335.0	276.0	70.0	47.0	2051.0	39.0
предоставление услуг по ведению домашнего хозяйства	1.0	-	-	-	-	-	-	-	-	1.0	-	-	57.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	108.0	10.0	24.0	19.0	8.0	14.0	5.0	9.0	9.0	7.0	3.0	101.0	34.5
Вологодская область													
Все население в возрасте 15-64 лет, занятое в экономике	559827.0	15025.0	63271.0	69890.0	62956.0	73765.0	92849.0	86821.0	65933.0	19690.0	9627.0	541541.0	38.7
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	63901.0	1684.0	5473.0	5910.0	6387.0	8834.0	12871.0	11499.0	8500.0	2069.0	674.0	62743.0	40.0
рыболовство, рыбоводство	503.0	4.0	57.0	58.0	32.0	49.0	114.0	120.0	57.0	4.0	8.0	495.0	39.9
добыча полезных ископаемых	929.0	-	86.0	166.0	89.0	113.0	177.0	124.0	114.0	44.0	16.0	901.0	39.4
обрабатывающие производства	139391.0	3517.0	17336.0	18787.0	14839.0	17246.0	22355.0	21707.0	17228.0	4659.0	1717.0	136378.0	38.4
производство и распределение электроэнергии, газа и воды	17653.0	212.0	1183.0	1880.0	1814.0	2105.0	3080.0	3390.0	2696.0	916.0	377.0	17082.0	41.3
строительство	33536.0	1055.0	3478.0	3532.0	2934.0	3867.0	5790.0	6000.0	4896.0	1340.0	644.0	32620.0	39.9
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	68541.0	3396.0	10973.0	10217.0	9080.0	9796.0	10177.0	8015.0	5176.0	1191.0	520.0	67294.0	35.5
гостиницы и рестораны	11708.0	659.0	1521.0	1329.0	1180.0	1426.0	1906.0	1884.0	1348.0	313.0	142.0	11285.0	37.8
транспорт и связь	44663.0	714.0	4211.0	5017.0	5129.0	6356.0	7959.0	7598.0	5449.0	1583.0	647.0	43551.0	39.6
финансовая деятельность	5839.0	60.0	426.0	925.0	856.0	784.0	1039.0	852.0	700.0	139.0	58.0	5694.0	38.8
операции с недвижимым имуществом, аренда и предоставление услуг	16132.0	432.0	2284.0	2099.0	1599.0	1915.0	2346.0	2584.0	1873.0	645.0	355.0	15547.0	38.5
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	34100.0	790.0	4652.0	5380.0	4696.0	4809.0	5181.0	4206.0	2983.0	962.0	441.0	33158.0	36.9
образование	50169.0	957.0	4976.0	5875.0	6150.0	7161.0	8060.0	7104.0	5784.0	2437.0	1665.0	46686.0	39.6
здравоохранение и предоставление социальных услуг	39410.0	619.0	3247.0	4956.0	4470.0	4939.0	6367.0	6238.0	5362.0	1868.0	1344.0	36513.0	40.4
предоставление прочих коммунальных, социальных и персональных услуг	23968.0	711.0	2212.0	2485.0	2549.0	3187.0	3917.0	4122.0	2872.0	1085.0	828.0	22552.0	40.1
предоставление услуг по ведению домашнего хозяйства	92.0	4.0	28.0	12.0	-	12.0	4.0	20.0	4.0	4.0	4.0	84.0	35.8
деятельность экстерриториальных организаций	36.0	4.0	4.0	-	8.0	-	4.0	8.0	4.0	4.0	-	32.0	39.2
не распределенные по видам деятельности и неточно указавшие вид деятельности	9256.0	207.0	1124.0	1262.0	1144.0	1166.0	1502.0	1350.0	887.0	427.0	187.0	8926.0	38.4
Калининградская область													
Все население в возрасте 15-64 лет, занятое в экономике	400793.0	8639.0	40594.0	49895.0	49441.0	51868.0	61968.0	57901.0	49702.0	18202.0	12583.0	379874.0	39.5
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	21984.0	615.0	1725.0	2313.0	2214.0	2695.0	3870.0	3900.0	3258.0	1016.0	378.0	21283.0	40.4
рыболовство, рыбоводство	6862.0	18.0	410.0	797.0	797.0	944.0	1275.0	1180.0	886.0	324.0	231.0	6604.0	41.2
добыча полезных ископаемых	3919.0	36.0	266.0	519.0	429.0	383.0	705.0	669.0	616.0	199.0	97.0	3779.0	41.0
обрабатывающие производства	58888.0	1433.0	6210.0	6948.0	6538.0	6770.0	8912.0	8894.0	8102.0	3157.0	1924.0	55880.0	39.9
производство и распределение электроэнергии, газа и воды	6106.0	40.0	427.0	516.0	705.0	661.0	926.0	985.0	1063.0	444.0	339.0	5642.0	42.7
строительство	29140.0	1071.0	3482.0	4039.0	3439.0	3592.0	4125.0	3960.0	3556.0	1254.0	622.0	28233.0	38.3
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	63258.0	2208.0	8676.0	9895.0	9325.0	8729.0	8966.0	7630.0	5620.0	1374.0	835.0	61576.0	36.5
гостиницы и рестораны	12340.0	728.0	1703.0	1356.0	1587.0	1532.0	1802.0	1690.0	1306.0	400.0	236.0	11797.0	37.3
транспорт и связь	40741.0	429.0	3308.0	4907.0	5210.0	5740.0	6865.0	6368.0	5069.0	1782.0	1063.0	39230.0	40.0
финансовая деятельность	6402.0	85.0	646.0	987.0	952.0	929.0	947.0	976.0	628.0	166.0	86.0	6211.0	38.0
операции с недвижимым имуществом, аренда и предоставление услуг	21279.0	367.0	2209.0	2388.0	2320.0	2339.0	3046.0	3078.0	3090.0	1372.0	1070.0	19730.0	40.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	50318.0	485.0	5031.0	6801.0	7082.0	8016.0	8668.0	6471.0	4749.0	1827.0	1188.0	48307.0	38.6
образование	30608.0	299.0	2461.0	3085.0	3526.0	3643.0	4616.0	4609.0	4643.0	1987.0	1739.0	27405.0	41.8
здравоохранение и предоставление социальных услуг	26600.0	226.0	1720.0	2743.0	2799.0	3229.0	4149.0	4313.0	3945.0	1754.0	1722.0	23470.0	42.4
предоставление прочих коммунальных, социальных и персональных услуг	16073.0	486.0	1615.0	1831.0	1762.0	1911.0	2209.0	2273.0	2305.0	871.0	810.0	14822.0	40.3
предоставление услуг по ведению домашнего хозяйства	151.0	4.0	8.0	20.0	26.0	26.0	39.0	8.0	8.0	8.0	4.0	139.0	38.3
деятельность экстерриториальных организаций	24.0	-	4.0	-	4.0	4.0	8.0	-	-	-	4.0	20.0	40.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	6100.0	109.0	693.0	750.0	726.0	725.0	840.0	897.0	858.0	267.0	235.0	5746.0	39.7
Ленинградская область													
Все население в возрасте 15-64 лет, занятое в экономике	726562.0	17117.0	75636.0	87687.0	80779.0	89224.0	118065.0	112532.0	91770.0	33566.0	20186.0	691257.0	39.6
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	65970.0	1739.0	5537.0	6688.0	6469.0	7710.0	11668.0	11864.0	9523.0	3207.0	1565.0	63340.0	40.6
рыболовство, рыбоводство	1333.0	25.0	129.0	118.0	108.0	179.0	243.0	280.0	162.0	54.0	35.0	1290.0	40.7
добыча полезных ископаемых	9874.0	170.0	803.0	1010.0	972.0	1192.0	1778.0	1759.0	1468.0	441.0	281.0	9481.0	40.9
обрабатывающие производства	142788.0	3516.0	16031.0	17296.0	14128.0	16423.0	22547.0	23021.0	19523.0	6746.0	3557.0	136978.0	39.6
производство и распределение электроэнергии, газа и воды	24321.0	226.0	1345.0	1850.0	1852.0	2550.0	4473.0	4743.0	4386.0	1875.0	1021.0	22680.0	43.5
строительство	55132.0	1431.0	6332.0	7000.0	5889.0	6639.0	8780.0	8371.0	6833.0	2453.0	1404.0	53215.0	39.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	92294.0	3993.0	13500.0	14178.0	12539.0	12627.0	14157.0	10939.0	7471.0	1945.0	945.0	90061.0	36.1
гостиницы и рестораны	15728.0	919.0	2515.0	2099.0	1686.0	1900.0	2300.0	2099.0	1464.0	518.0	228.0	15066.0	36.5
транспорт и связь	76346.0	993.0	7016.0	9277.0	9698.0	10011.0	13038.0	11858.0	9519.0	3329.0	1607.0	73876.0	39.7
финансовая деятельность	7562.0	93.0	802.0	1251.0	1012.0	1047.0	1146.0	1075.0	844.0	204.0	88.0	7341.0	38.0
операции с недвижимым имуществом, аренда и предоставление услуг	27898.0	449.0	2900.0	3447.0	2923.0	2988.0	3876.0	4151.0	3808.0	2003.0	1353.0	25720.0	40.7
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	50176.0	831.0	6083.0	7602.0	6857.0	7791.0	8823.0	6016.0	3792.0	1496.0	885.0	48476.0	37.4
образование	49857.0	772.0	3824.0	5243.0	5447.0	5940.0	8227.0	7768.0	7009.0	3245.0	2382.0	44942.0	41.4
здравоохранение и предоставление социальных услуг	44523.0	440.0	3350.0	4500.0	4772.0	5080.0	6976.0	7989.0	6751.0	2514.0	2151.0	40271.0	41.8
предоставление прочих коммунальных, социальных и персональных услуг	43875.0	928.0	3456.0	3889.0	4282.0	4888.0	7209.0	7715.0	6952.0	2623.0	1933.0	40771.0	41.8
предоставление услуг по ведению домашнего хозяйства	1024.0	34.0	117.0	124.0	79.0	146.0	154.0	180.0	122.0	32.0	36.0	977.0	39.3
деятельность экстерриториальных организаций	73.0	4.0	8.0	17.0	-	4.0	8.0	16.0	8.0	4.0	4.0	69.0	39.3
не распределенные по видам деятельности и неточно указавшие вид деятельности	17788.0	554.0	1888.0	2098.0	2066.0	2109.0	2662.0	2688.0	2135.0	877.0	711.0	16703.0	39.6
Мурманская область													
Все население в возрасте 15-64 лет, занятое в экономике	426181.0	6781.0	44536.0	57857.0	53971.0	55796.0	69305.0	63588.0	46606.0	16723.0	11018.0	406371.0	39.0
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	5718.0	153.0	478.0	575.0	517.0	660.0	992.0	1057.0	863.0	280.0	143.0	5456.0	40.8
рыболовство, рыбоводство	14798.0	73.0	1178.0	1852.0	1932.0	2312.0	2576.0	2419.0	1680.0	563.0	213.0	14520.0	39.6
добыча полезных ископаемых	33264.0	198.0	2922.0	4229.0	4036.0	4332.0	5930.0	5296.0	4165.0	1400.0	756.0	32028.0	40.0
обрабатывающие производства	40268.0	651.0	4009.0	4765.0	4453.0	4621.0	6760.0	7097.0	5265.0	1654.0	993.0	38811.0	39.9
производство и распределение электроэнергии, газа и воды	17235.0	118.0	1097.0	2031.0	1872.0	2147.0	3025.0	3201.0	2486.0	834.0	424.0	16504.0	41.2
строительство	19845.0	383.0	2205.0	2557.0	2153.0	2276.0	3285.0	3114.0	2491.0	840.0	541.0	19020.0	39.4
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	49284.0	1868.0	7497.0	8005.0	6949.0	7144.0	7304.0	5895.0	3276.0	867.0	479.0	48155.0	35.7
гостиницы и рестораны	10067.0	318.0	1176.0	1244.0	1188.0	1260.0	1696.0	1651.0	990.0	298.0	246.0	9537.0	38.5
транспорт и связь	39948.0	341.0	3149.0	4750.0	5117.0	5613.0	7254.0	6516.0	4986.0	1421.0	801.0	38727.0	39.9
финансовая деятельность	4437.0	30.0	456.0	756.0	708.0	617.0	714.0	639.0	378.0	110.0	29.0	4345.0	37.5
операции с недвижимым имуществом, аренда и предоставление услуг	26612.0	443.0	2742.0	3201.0	2662.0	3017.0	4073.0	4331.0	3783.0	1278.0	1082.0	24916.0	40.4
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	73625.0	850.0	9533.0	12734.0	11677.0	10979.0	11755.0	8399.0	4817.0	1805.0	1076.0	71720.0	36.6
образование	37848.0	571.0	3373.0	4421.0	4552.0	4689.0	5838.0	5652.0	4749.0	2252.0	1751.0	34279.0	40.6
здравоохранение и предоставление социальных услуг	33173.0	312.0	2695.0	4228.0	3742.0	3859.0	4952.0	5163.0	4410.0	2073.0	1739.0	29690.0	41.1
предоставление прочих коммунальных, социальных и персональных услуг	15254.0	388.0	1402.0	1839.0	1844.0	1692.0	2377.0	2451.0	1765.0	862.0	634.0	14044.0	40.1
предоставление услуг по ведению домашнего хозяйства	59.0	-	17.0	8.0	4.0	1.0	9.0	12.0	-	8.0	-	51.0	37.0
деятельность экстерриториальных организаций	6.0	-	-	-	-	1.0	5.0	-	-	-	-	6.0	41.7
не распределенные по видам деятельности и неточно указавшие вид деятельности	4740.0	84.0	607.0	662.0	565.0	576.0	760.0	695.0	502.0	178.0	111.0	4562.0	38.4
Новгородская область													
Все население в возрасте 15-64 лет, занятое в экономике	283471.0	6552.0	30237.0	34510.0	32475.0	36222.0	46713.0	44337.0	34809.0	11863.0	5753.0	272501.0	39.2
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	22294.0	578.0	1743.0	2092.0	2201.0	3180.0	4363.0	3963.0	2991.0	872.0	311.0	21796.0	40.3
рыболовство, рыбоводство	484.0	8.0	74.0	58.0	67.0	28.0	110.0	86.0	41.0	12.0	-	484.0	37.7
добыча полезных ископаемых	645.0	21.0	53.0	53.0	39.0	106.0	92.0	130.0	96.0	44.0	11.0	622.0	41.2
обрабатывающие производства	65221.0	1802.0	7680.0	7995.0	6736.0	7442.0	10567.0	10524.0	8313.0	2822.0	1340.0	62954.0	39.2
производство и распределение электроэнергии, газа и воды	7794.0	51.0	497.0	656.0	812.0	906.0	1377.0	1533.0	1335.0	425.0	202.0	7443.0	42.2
строительство	19235.0	526.0	2200.0	2474.0	1988.0	2163.0	2992.0	3118.0	2515.0	865.0	394.0	18702.0	39.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36792.0	1457.0	5045.0	5467.0	4824.0	5049.0	5693.0	4786.0	3334.0	798.0	339.0	36004.0	36.6
гостиницы и рестораны	6363.0	433.0	952.0	802.0	700.0	748.0	933.0	872.0	700.0	154.0	69.0	6145.0	36.6
транспорт и связь	24190.0	293.0	2240.0	2752.0	2916.0	3536.0	4514.0	3910.0	2798.0	908.0	323.0	23617.0	39.5
финансовая деятельность	3516.0	44.0	281.0	485.0	470.0	518.0	629.0	577.0	399.0	99.0	14.0	3430.0	38.9
операции с недвижимым имуществом, аренда и предоставление услуг	7935.0	135.0	1034.0	1067.0	918.0	987.0	1121.0	1155.0	953.0	355.0	210.0	7586.0	38.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	20873.0	199.0	2302.0	3223.0	3117.0	2944.0	3373.0	2850.0	1872.0	735.0	258.0	20234.0	37.9
образование	25123.0	363.0	2368.0	2909.0	2856.0	3439.0	3966.0	3589.0	3313.0	1436.0	884.0	23155.0	40.3
здравоохранение и предоставление социальных услуг	20657.0	221.0	1654.0	2355.0	2357.0	2365.0	3335.0	3510.0	3001.0	1110.0	749.0	19087.0	41.0
предоставление прочих коммунальных, социальных и персональных услуг	19373.0	360.0	1757.0	1756.0	2074.0	2434.0	3253.0	3349.0	2724.0	1083.0	583.0	18371.0	40.9
предоставление услуг по ведению домашнего хозяйства	59.0	4.0	4.0	8.0	8.0	8.0	7.0	8.0	12.0	-	-	59.0	38.1
деятельность экстерриториальных организаций	12.0	-	-	-	4.0	-	4.0	-	-	-	4.0	8.0	45.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	2905.0	57.0	353.0	358.0	388.0	369.0	384.0	377.0	412.0	145.0	62.0	2804.0	39.0
Псковская область													
Все население в возрасте 15-64 лет, занятое в экономике	298914.0	6647.0	30472.0	35959.0	35390.0	39092.0	48917.0	45900.0	37968.0	12589.0	5980.0	287536.0	39.3
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	30202.0	808.0	1969.0	2688.0	3070.0	4175.0	5979.0	5585.0	4306.0	1370.0	252.0	29705.0	40.7
рыболовство, рыбоводство	720.0	7.0	90.0	91.0	115.0	114.0	120.0	86.0	72.0	25.0	-	713.0	37.6
добыча полезных ископаемых	586.0	9.0	55.0	74.0	41.0	49.0	103.0	102.0	104.0	29.0	20.0	562.0	41.3
обрабатывающие производства	55673.0	1611.0	6714.0	6782.0	5711.0	6145.0	8515.0	8656.0	7887.0	2584.0	1068.0	53666.0	39.2
производство и распределение электроэнергии, газа и воды	9428.0	39.0	520.0	939.0	914.0	1152.0	1558.0	1716.0	1670.0	677.0	243.0	9080.0	42.5
строительство	19248.0	529.0	2053.0	2119.0	1868.0	2221.0	3312.0	3355.0	2520.0	884.0	387.0	18704.0	39.8
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	39319.0	1446.0	5253.0	5789.0	5455.0	5750.0	6094.0	4992.0	3387.0	794.0	359.0	38481.0	36.6
гостиницы и рестораны	5628.0	377.0	964.0	634.0	595.0	651.0	702.0	855.0	604.0	149.0	97.0	5418.0	36.6
транспорт и связь	28181.0	326.0	2246.0	3408.0	3692.0	3720.0	4897.0	4690.0	3649.0	1085.0	468.0	27438.0	39.9
финансовая деятельность	3814.0	49.0	291.0	436.0	462.0	619.0	682.0	650.0	468.0	129.0	28.0	3673.0	39.6
операции с недвижимым имуществом, аренда и предоставление услуг	10808.0	189.0	1084.0	1131.0	1107.0	1319.0	1705.0	1713.0	1586.0	602.0	372.0	10258.0	40.6
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	31758.0	338.0	4104.0	4943.0	4993.0	4849.0	5152.0	3412.0	2672.0	895.0	400.0	30941.0	37.0
образование	25920.0	302.0	1998.0	2763.0	3104.0	3537.0	4145.0	4110.0	3473.0	1434.0	1054.0	23771.0	41.0
здравоохранение и предоставление социальных услуг	21706.0	215.0	1605.0	2336.0	2491.0	2756.0	3542.0	3470.0	3391.0	1110.0	790.0	20057.0	41.2
предоставление прочих коммунальных, социальных и персональных услуг	12387.0	267.0	1166.0	1410.0	1400.0	1684.0	1942.0	1946.0	1619.0	611.0	342.0	11729.0	39.9
предоставление услуг по ведению домашнего хозяйства	89.0	4.0	25.0	-	12.0	-	8.0	12.0	24.0	4.0	-	85.0	38.5
деятельность экстерриториальных организаций	8.0	4.0	-	-	-	-	-	-	4.0	-	-	8.0	35.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	3439.0	127.0	335.0	416.0	360.0	351.0	461.0	550.0	532.0	207.0	100.0	3247.0	40.1
г. Санкт-Петербург													
Все население в возрасте 15-64 лет, занятое в экономике	1978368.0	39737.0	192665.0	237273.0	236000.0	245730.0	305519.0	287117.0	246631.0	122528.0	65168.0	1856623.0	40.0
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	12496.0	203.0	898.0	1156.0	1186.0	1538.0	2111.0	2094.0	1925.0	879.0	506.0	11655.0	41.9
рыболовство, рыбоводство	889.0	5.0	53.0	74.0	70.0	122.0	157.0	155.0	135.0	83.0	35.0	838.0	43.0
добыча полезных ископаемых	3260.0	41.0	250.0	340.0	350.0	408.0	452.0	500.0	492.0	245.0	182.0	2962.0	41.9
обрабатывающие производства	380421.0	6501.0	33527.0	39421.0	37658.0	42348.0	58308.0	59804.0	56853.0	29807.0	16194.0	353469.0	41.5
производство и распределение электроэнергии, газа и воды	24690.0	178.0	1333.0	1759.0	1906.0	2625.0	4160.0	4813.0	4348.0	2285.0	1283.0	22591.0	44.0
строительство	169395.0	3844.0	17515.0	20899.0	18646.0	21579.0	28552.0	25775.0	20098.0	8552.0	3935.0	163349.0	39.4
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	304160.0	9826.0	40602.0	47962.0	46756.0	42845.0	44717.0	35199.0	24921.0	8648.0	2684.0	296540.0	36.4
гостиницы и рестораны	57226.0	3034.0	8905.0	7020.0	6635.0	6882.0	8108.0	7526.0	6022.0	2305.0	789.0	54755.0	37.1
транспорт и связь	219407.0	2475.0	17935.0	24003.0	26513.0	29223.0	36777.0	34385.0	28779.0	13836.0	5481.0	210309.0	40.6
финансовая деятельность	39020.0	500.0	4377.0	6450.0	6122.0	4952.0	5758.0	5118.0	3784.0	1480.0	479.0	37616.0	37.7
операции с недвижимым имуществом, аренда и предоставление услуг	133811.0	2414.0	14399.0	17210.0	15254.0	14388.0	17276.0	18444.0	17109.0	10575.0	6742.0	122048.0	40.5
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	89319.0	1617.0	10120.0	12045.0	12667.0	12869.0	14224.0	11036.0	8378.0	4266.0	2097.0	85137.0	38.4
образование	164516.0	2138.0	10906.0	16107.0	17606.0	19495.0	25788.0	25016.0	23533.0	14026.0	9901.0	145132.0	42.4
здравоохранение и предоставление социальных услуг	135365.0	1305.0	9190.0	14829.0	16103.0	16601.0	21315.0	21086.0	18967.0	9525.0	6444.0	121677.0	41.6
предоставление прочих коммунальных, социальных и персональных услуг	127484.0	3267.0	11743.0	13750.0	14482.0	15270.0	20061.0	19513.0	16376.0	8377.0	4645.0	118483.0	40.4
предоставление услуг по ведению домашнего хозяйства	4592.0	97.0	363.0	590.0	510.0	640.0	733.0	674.0	646.0	205.0	134.0	4361.0	40.1
деятельность экстерриториальных организаций	359.0	14.0	31.0	27.0	45.0	49.0	70.0	30.0	65.0	20.0	8.0	343.0	40.2
не распределенные по видам деятельности и неточно указавшие вид деятельности	111958.0	2278.0	10518.0	13631.0	13491.0	13896.0	16952.0	15949.0	14200.0	7414.0	3629.0	105358.0	40.1
Южный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике	7469671.0	145291.0	771716.0	976602.0	956566.0	1010313.0	1214373.0	1067825.0	857182.0	301615.0	168188.0	7181555.0	38.9
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	907427.0	21619.0	76998.0	97877.0	105513.0	127429.0	163574.0	145723.0	114697.0	38491.0	15506.0	884890.0	39.8
рыболовство, рыбоводство	24279.0	515.0	2506.0	2700.0	2877.0	3439.0	4425.0	3643.0	2656.0	1036.0	482.0	23655.0	39.2
добыча полезных ископаемых	110454.0	837.0	8416.0	12525.0	12979.0	14719.0	20936.0	19608.0	13955.0	4584.0	1895.0	107752.0	40.4
обрабатывающие производства	1107639.0	24218.0	117196.0	135831.0	125413.0	136042.0	175158.0	168766.0	145150.0	50652.0	29213.0	1062070.0	39.5
производство и распределение электроэнергии, газа и воды	172406.0	1051.0	11299.0	18291.0	18758.0	21359.0	29347.0	29834.0	26281.0	10687.0	5499.0	164369.0	41.7
строительство	546916.0	12121.0	58982.0	70406.0	65640.0	69608.0	88804.0	81511.0	65312.0	23881.0	10651.0	532495.0	39.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1074569.0	33048.0	135289.0	161136.0	153370.0	156190.0	173569.0	133867.0	90595.0	25135.0	12370.0	1049386.0	36.9
гостиницы и рестораны	174124.0	7938.0	23687.0	22680.0	21115.0	22156.0	27455.0	24019.0	18096.0	4705.0	2273.0	168525.0	37.2
транспорт и связь	723196.0	7562.0	60581.0	87527.0	94834.0	102971.0	127836.0	111005.0	86800.0	30507.0	13573.0	703438.0	39.7
финансовая деятельность	91352.0	866.0	10446.0	16101.0	13722.0	12287.0	13942.0	11670.0	8988.0	2355.0	975.0	88923.0	37.4
операции с недвижимым имуществом, аренда и предоставление услуг	255065.0	4297.0	29195.0	33528.0	28837.0	30734.0	37912.0	36332.0	32644.0	12986.0	8600.0	241192.0	39.5
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	524788.0	5895.0	71581.0	95335.0	86063.0	77929.0	77587.0	53244.0	37357.0	13013.0	6784.0	512297.0	36.2
образование	757409.0	9693.0	73629.0	99073.0	100782.0	100266.0	115546.0	103217.0	89265.0	38532.0	27406.0	703383.0	39.6
здравоохранение и предоставление социальных услуг	642420.0	6297.0	56039.0	80682.0	84211.0	89984.0	104032.0	92840.0	79313.0	27709.0	21313.0	601052.0	39.9
предоставление прочих коммунальных, социальных и персональных услуг	305800.0	8204.0	30512.0	36445.0	36162.0	38431.0	46523.0	45201.0	39458.0	14791.0	10073.0	288920.0	39.6
предоставление услуг по ведению домашнего хозяйства	3535.0	129.0	342.0	368.0	393.0	406.0	632.0	606.0	440.0	137.0	82.0	3379.0	39.6
деятельность экстерриториальных организаций	577.0	29.0	82.0	95.0	61.0	83.0	62.0	62.0	62.0	15.0	26.0	538.0	37.1
не распределенные по видам деятельности и неточно указавшие вид деятельности	47715.0	972.0	4936.0	6002.0	5836.0	6280.0	7033.0	6677.0	6113.0	2399.0	1467.0	45291.0	39.5
Республика Адыгея													
Все население в возрасте 15-64 лет, занятое в экономике	142257.0	2645.0	14352.0	18236.0	18088.0	18825.0	23688.0	20404.0	16915.0	5909.0	3195.0	136660.0	39.1
в том числе по видам экономической деятельности:													
