4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	88928.0	2152.0	9947.0	10677.0	9558.0	11342.0	15164.0	14708.0	10998.0	3242.0	1140.0	87357.0	39.0
операторы, аппаратчики, машинисты установок и машин	75447.0	970.0	6823.0	9277.0	10585.0	11528.0	14026.0	11863.0	7641.0	2030.0	704.0	74459.0	38.7
неквалифицированные рабочие	61048.0	1776.0	5816.0	6606.0	6659.0	7901.0	11035.0	10381.0	7717.0	2056.0	1101.0	59019.0	39.5
занятые на военной службе	3952.0	5.0	527.0	722.0	768.0	668.0	758.0	347.0	121.0	28.0	8.0	3944.0	35.2
лица, неточно указавшие или не указавшие  занятия 	6367.0	156.0	682.0	837.0	703.0	825.0	1015.0	972.0	841.0	218.0	118.0	6180.0	39.0
Владимирская область													
Все население в возрасте 15-64 лет, занятое в экономике 	657408.0	17920.0	70825.0	80595.0	76376.0	83761.0	105709.0	99157.0	78367.0	28628.0	16070.0	628196.0	39.1
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	74175.0	323.0	3473.0	6775.0	8261.0	9844.0	13687.0	13453.0	11194.0	4700.0	2465.0	69762.0	42.3
специалисты высшего уровня квалификации	86357.0	558.0	7972.0	11246.0	9820.0	11498.0	13672.0	12649.0	10906.0	4941.0	3095.0	80031.0	40.3
специалисты среднего уровня квалификации	74611.0	1464.0	8704.0	9510.0	9312.0	9887.0	11614.0	10668.0	8890.0	2955.0	1607.0	71126.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	16059.0	751.0	2296.0	1952.0	1688.0	1833.0	2436.0	2423.0	1814.0	533.0	333.0	15213.0	37.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	85680.0	4432.0	13891.0	13314.0	11892.0	11136.0	11496.0	9758.0	6656.0	1864.0	1241.0	83297.0	35.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8574.0	157.0	703.0	940.0	929.0	1023.0	1808.0	1731.0	1071.0	155.0	57.0	8447.0	39.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	133505.0	4707.0	15468.0	16541.0	14263.0	15450.0	20757.0	20616.0	16825.0	6141.0	2737.0	129596.0	38.9
