4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
специалисты высшего уровня квалификации	85841.0	531.0	8099.0	11428.0	10421.0	10680.0	12908.0	11918.0	11561.0	5124.0	3171.0	79280.0	40.3
специалисты среднего уровня квалификации	77082.0	1537.0	8930.0	10777.0	10174.0	9933.0	11023.0	10562.0	9296.0	3062.0	1788.0	73282.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	16619.0	965.0	2491.0	1999.0	1765.0	1694.0	2325.0	2217.0	1932.0	724.0	507.0	15440.0	37.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	74809.0	3988.0	12082.0	11783.0	10501.0	9503.0	9646.0	8032.0	6141.0	1741.0	1392.0	72214.0	35.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	9824.0	230.0	798.0	1085.0	1176.0	1365.0	1791.0	1801.0	1227.0	198.0	153.0	9530.0	39.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	119680.0	3350.0	13473.0	14795.0	12732.0	13746.0	17838.0	18270.0	16216.0	5817.0	3443.0	115185.0	39.5
операторы, аппаратчики, машинисты установок и машин	86068.0	1175.0	7850.0	10710.0	11265.0	11974.0	14498.0	13612.0	10012.0	3461.0	1511.0	83747.0	39.4
неквалифицированные рабочие	63220.0	2661.0	6153.0	6281.0	5859.0	6362.0	8657.0	9837.0	9865.0	3655.0	3890.0	56914.0	41.0
занятые на военной службе	2632.0	4.0	309.0	378.0	434.0	522.0	552.0	255.0	121.0	20.0	37.0	2591.0	36.7
лица, неточно указавшие или не указавшие  занятия 	6634.0	230.0	806.0	751.0	679.0	812.0	966.0	1001.0	835.0	335.0	219.0	6226.0	39.3
г. Москва													
Все население в возрасте 15-64 лет, занятое в экономике 	4850351.0	89882.0	479552.0	614220.0	644312.0	640461.0	776192.0	662934.0	538210.0	254574.0	150014.0	4592337.0	39.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	702858.0	4824.0	47185.0	83615.0	98181.0	98488.0	115934.0	100995.0	83105.0	44316.0	26215.0	661634.0	40.7
специалисты высшего уровня квалификации	1055664.0	8799.0	90668.0	135486.0	131058.0	133278.0	161156.0	147928.0	127831.0	71162.0	48298.0	969447.0	40.6
специалисты среднего уровня квалификации	544974.0	12484.0	63341.0	74340.0	72420.0	70293.0	84157.0	71597.0	58009.0	24425.0	13908.0	517223.0	38.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	126126.0	6386.0	20256.0	18196.0	15506.0	14569.0	16827.0	15396.0	12061.0	4243.0	2686.0	120041.0	36.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	644646.0	22756.0	92091.0	96427.0	99794.0	87582.0	97598.0	69455.0	51937.0	18352.0	8654.0	626916.0	36.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6755.0	194.0	745.0	793.0	826.0	946.0	1015.0	991.0	816.0	297.0	132.0	6503.0	38.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	534435.0	10226.0	51779.0	60482.0	65358.0	70492.0	90849.0	79550.0	62431.0	28349.0	14919.0	513660.0	39.8
операторы, аппаратчики, машинисты установок и машин	410072.0	4163.0	33173.0	47571.0	57246.0	57528.0	75075.0	61057.0	45444.0	20952.0	7863.0	399264.0	39.8
неквалифицированные рабочие	292331.0	9603.0	27685.0	30103.0	32242.0	35229.0	46773.0	43361.0	38850.0	16043.0	12442.0	270955.0	40.3
занятые на военной службе	38716.0	358.0	3481.0	5212.0	5707.0	6487.0	7301.0	5675.0	3040.0	1121.0	334.0	38189.0	38.3
лица, неточно указавшие или не указавшие  занятия 	493774.0	10089.0	49148.0	61995.0	65974.0	65569.0	79507.0	66929.0	54686.0	25314.0	14563.0	468505.0	39.3
Северо-Западный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	6032334.0	128828.0	632018.0	759173.0	716488.0	769419.0	968303.0	907933.0	715356.0	279060.0	155756.0	5746266.0	39.3
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	736733.0	2685.0	36451.0	74847.0	87596.0	102628.0	133336.0	126506.0	105986.0	44515.0	22183.0	697173.0	41.8
специалисты высшего уровня квалификации	925285.0	5533.0	79706.0	120016.0	107086.0	115329.0	141629.0	137580.0	120449.0	60733.0	37224.0	851193.0	40.7
специалисты среднего уровня квалификации	819278.0	13414.0	89575.0	107914.0	105523.0	106339.0	128458.0	119398.0	95806.0	34454.0	18397.0	779107.0	39.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	164559.0	6657.0	23167.0	21298.0	18514.0	18928.0	24177.0	23897.0	18280.0	6140.0	3501.0	155596.0	37.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	756161.0	34215.0	122908.0	117434.0	100990.0	95432.0	104459.0	89610.0	61570.0	19309.0	10234.0	732903.0	35.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	82606.0	2139.0	8416.0	10286.0	9774.0	11042.0	16284.0	14331.0	8077.0	1558.0	699.0	81174.0	38.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	941588.0	26334.0	111680.0	119079.0	101421.0	110546.0	149157.0	144634.0	115496.0	42722.0	20519.0	914164.0	39.0
операторы, аппаратчики, машинисты установок и машин	771281.0	9461.0	70077.0	91815.0	94167.0	106958.0	139306.0	126742.0	90057.0	30134.0	12564.0	753596.0	39.6
неквалифицированные рабочие	551411.0	23605.0	57614.0	55544.0	51470.0	60097.0	83588.0	89931.0	75272.0	29199.0	25091.0	507545.0	40.2
занятые на военной службе	112522.0	609.0	14334.0	19508.0	18903.0	20851.0	21712.0	11167.0	3670.0	1252.0	516.0	111683.0	35.7
лица, неточно указавшие или не указавшие  занятия 	170910.0	4176.0	18090.0	21432.0	21044.0	21269.0	26197.0	24137.0	20693.0	9044.0	4828.0	162132.0	39.3
Республика Карелия													
Все население в возрасте 15-64 лет, занятое в экономике 	315839.0	6672.0	35492.0	42808.0	38795.0	40765.0	51054.0	48260.0	34230.0	11021.0	6742.0	303483.0	38.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	30610.0	56.0	1224.0	2566.0	3438.0	4371.0	6083.0	5716.0	4861.0	1624.0	671.0	29257.0	42.3
специалисты высшего уровня квалификации	43048.0	152.0	3866.0	5981.0	5238.0	5502.0	6635.0	6456.0	5385.0	2405.0	1428.0	39972.0	40.2
специалисты среднего уровня квалификации	46882.0	509.0	4942.0	6451.0	6429.0	6336.0	7439.0	6805.0	5344.0	1618.0	1009.0	44783.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	9118.0	335.0	1305.0	1362.0	1168.0	930.0	1374.0	1267.0	829.0	331.0	217.0	8597.0	37.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	39025.0	1649.0	6936.0	6917.0	5315.0	4612.0	5348.0	4598.0	2484.0	648.0	518.0	38038.0	35.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7426.0	166.0	982.0	1114.0	921.0	1079.0	1395.0	1217.0	458.0	67.0	27.0	7367.0	36.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	50836.0	1580.0	6624.0	7240.0	5685.0	6101.0	8060.0	7896.0	5439.0	1447.0	764.0	49878.0	37.8
операторы, аппаратчики, машинисты установок и машин	47567.0	544.0	4603.0	6115.0	6293.0	6785.0	8574.0	7746.0	4936.0	1338.0	633.0	46747.0	38.9
неквалифицированные рабочие	32714.0	1543.0	3992.0	3731.0	3029.0	3600.0	4768.0	5472.0	3857.0	1375.0	1347.0	30421.0	39.2
занятые на военной службе	3610.0	12.0	375.0	612.0	647.0	795.0	624.0	417.0	78.0	38.0	12.0	3590.0	35.9
лица, неточно указавшие или не указавшие  занятия 	5003.0	126.0	643.0	719.0	632.0	654.0	754.0	670.0	559.0	130.0	116.0	4833.0	37.9
Республика Коми													
Все население в возрасте 15-64 лет, занятое в экономике 	461771.0	9007.0	51945.0	63332.0	57486.0	61532.0	79509.0	69679.0	46838.0	14009.0	8434.0	446035.0	38.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51773.0	78.0	2035.0	4646.0	6053.0	7395.0	10435.0	9969.0	7649.0	2337.0	1176.0	49631.0	42.0
специалисты высшего уровня квалификации	56577.0	248.0	5470.0	8440.0	6806.0	7412.0	9234.0	8004.0	6589.0	2798.0	1576.0	53116.0	39.5
специалисты среднего уровня квалификации	63928.0	860.0	7246.0	9650.0	8856.0	8247.0	10180.0	9259.0	6590.0	1985.0	1055.0	61425.0	38.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13885.0	468.0	2008.0	1926.0	1617.0	1703.0	2192.0	1997.0	1327.0	391.0	256.0	13258.0	37.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	57597.0	2531.0	10819.0	10189.0	7950.0	7319.0	8195.0	6438.0	2915.0	700.0	541.0	56483.0	34.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7836.0	227.0	884.0	1048.0	1053.0	1190.0	1579.0	1241.0	462.0	69.0	83.0	7716.0	37.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	77306.0	1727.0	9739.0	10714.0	9304.0	10179.0	13765.0	11501.0	7623.0	1804.0	950.0	76100.0	37.8
операторы, аппаратчики, машинисты установок и машин	76350.0	808.0	7159.0	9883.0	9589.0	11062.0	14860.0	12481.0	7930.0	1779.0	799.0	75277.0	38.9
неквалифицированные рабочие	48264.0	1905.0	5590.0	5586.0	5085.0	5850.0	7644.0	7696.0	5126.0	1918.0	1864.0	45030.0	39.0
занятые на военной службе	2278.0	4.0	326.0	451.0	426.0	348.0	461.0	185.0	52.0	20.0	5.0	2265.0	34.8
лица, неточно указавшие или не указавшие  занятия 	5977.0	151.0	669.0	799.0	747.0	827.0	964.0	908.0	575.0	208.0	129.0	5734.0	38.4
Архангельская область													
Все население в возрасте 15-64 лет, занятое в экономике 	580608.0	12651.0	67170.0	79962.0	69195.0	75425.0	94404.0	91798.0	60869.0	18869.0	10265.0	561045.0	38.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51576.0	104.0	2001.0	4953.0	6020.0	7083.0	9585.0	10351.0	7573.0	2688.0	1218.0	49378.0	42.1
специалисты высшего уровня квалификации	66937.0	237.0	5820.0	9932.0	7769.0	8429.0	10164.0	10417.0	8410.0	3731.0	2028.0	62495.0	40.1
специалисты среднего уровня квалификации	91111.0	978.0	9758.0	13107.0	11886.0	12204.0	15046.0	14019.0	9725.0	2984.0	1404.0	87684.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	18351.0	545.0	2409.0	2454.0	1885.0	1950.0	2978.0	3133.0	2067.0	584.0	346.0	17464.0	38.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	75488.0	3565.0	14853.0	12733.0	9623.0	9709.0	10301.0	8709.0	4247.0	1086.0	662.0	73993.0	34.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	15384.0	502.0	1968.0	2234.0	1834.0	2073.0	2903.0	2735.0	937.0	137.0	61.0	15280.0	36.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	100644.0	2744.0	12852.0	13432.0	10922.0	12706.0	16072.0	16444.0	11170.0	2971.0	1331.0	98853.0	38.2
операторы, аппаратчики, машинисты установок и машин	80591.0	1079.0	8010.0	10658.0	10063.0	11359.0	14731.0	13375.0	8684.0	1846.0	786.0	79557.0	38.7
неквалифицированные рабочие	61288.0	2785.0	6770.0	6885.0	6321.0	6756.0	9303.0	10560.0	7066.0	2556.0	2286.0	57332.0	39.3
занятые на военной службе	15301.0	44.0	2245.0	3007.0	2410.0	2643.0	2688.0	1460.0	589.0	144.0	71.0	15205.0	35.2
лица, неточно указавшие или не указавшие  занятия 	3937.0	68.0	484.0	567.0	462.0	513.0	633.0	595.0	401.0	142.0	72.0	3804.0	38.3
Ненецкий автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	19277.0	506.0	2244.0	2554.0	2299.0	2569.0	3153.0	2896.0	1989.0	628.0	439.0	18500.0	38.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2050.0	7.0	77.0	178.0	222.0	275.0	417.0	408.0	302.0	106.0	58.0	1955.0	42.4
специалисты высшего уровня квалификации	2332.0	22.0	296.0	398.0	284.0	278.0	346.0	305.0	237.0	100.0	66.0	2203.0	38.2
специалисты среднего уровня квалификации	2910.0	51.0	336.0	391.0	361.0	374.0	433.0	427.0	349.0	107.0	81.0	2753.0	38.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	510.0	23.0	66.0	66.0	62.0	61.0	76.0	77.0	51.0	19.0	9.0	483.0	37.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1953.0	78.0	332.0	304.0	242.0	259.0	283.0	250.0	137.0	44.0	24.0	1889.0	35.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1045.0	49.0	122.0	140.0	146.0	168.0	182.0	145.0	58.0	21.0	14.0	1025.0	36.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2628.0	66.0	307.0	346.0	289.0	364.0	441.0	428.0	277.0	67.0	43.0	2575.0	38.3
операторы, аппаратчики, машинисты установок и машин	3000.0	46.0	341.0	418.0	353.0	421.0	577.0	449.0	284.0	64.0	47.0	2945.0	38.2
неквалифицированные рабочие	2471.0	151.0	313.0	239.0	288.0	307.0	351.0	372.0	271.0	86.0	93.0	2306.0	38.3
занятые на военной службе	189.0	-	24.0	49.0	33.0	37.0	31.0	12.0	1.0	2.0	-	187.0	33.9
лица, неточно указавшие или не указавшие  занятия 	189.0	13.0	30.0	25.0	19.0	25.0	16.0	23.0	22.0	12.0	4.0	179.0	37.1
Вологодская область													
Все население в возрасте 15-64 лет, занятое в экономике 	559827.0	15025.0	63271.0	69890.0	62956.0	73765.0	92849.0	86821.0	65933.0	19690.0	9627.0	541541.0	38.7
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	57388.0	166.0	2337.0	5544.0	6478.0	8361.0	10936.0	10523.0	8950.0	2856.0	1237.0	55031.0	42.0
специалисты высшего уровня квалификации	67281.0	453.0	6311.0	9788.0	8173.0	9217.0	10427.0	9737.0	8084.0	3289.0	1802.0	63349.0	39.6
специалисты среднего уровня квалификации	78014.0	1409.0	8991.0	9959.0	9626.0	10651.0	12575.0	11557.0	9326.0	2709.0	1211.0	75056.0	38.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13967.0	728.0	1842.0	1715.0	1353.0	1816.0	2218.0	2150.0	1542.0	405.0	198.0	13401.0	37.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	66560.0	3854.0	12420.0	10137.0	8007.0	8484.0	8903.0	7764.0	5102.0	1230.0	659.0	65065.0	35.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	13868.0	324.0	1361.0	1535.0	1566.0	1872.0	3069.0	2337.0	1495.0	220.0	89.0	13681.0	38.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	98200.0	3554.0	12706.0	12584.0	9780.0	11486.0	15951.0	15362.0	12024.0	3394.0	1359.0	96392.0	38.3
операторы, аппаратчики, машинисты установок и машин	92911.0	1350.0	9260.0	11236.0	10901.0	13384.0	17134.0	15453.0	10406.0	2904.0	883.0	91593.0	39.0
неквалифицированные рабочие	61102.0	2928.0	6701.0	6019.0	5649.0	7035.0	9940.0	10372.0	8026.0	2396.0	2036.0	57729.0	39.5
занятые на военной службе	2791.0	16.0	345.0	367.0	443.0	554.0	569.0	362.0	107.0	16.0	12.0	2771.0	36.5
лица, неточно указавшие или не указавшие  занятия 	7745.0	243.0	997.0	1006.0	980.0	905.0	1127.0	1204.0	871.0	271.0	141.0	7473.0	38.1
Калининградская область													
Все население в возрасте 15-64 лет, занятое в экономике 	400793.0	8639.0	40594.0	49895.0	49441.0	51868.0	61968.0	57901.0	49702.0	18202.0	12583.0	379874.0	39.5
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	49556.0	230.0	2345.0	4634.0	5962.0	7078.0	8811.0	8391.0	7579.0	2943.0	1583.0	46688.0	42.0
специалисты высшего уровня квалификации	53088.0	243.0	4408.0	6168.0	5990.0	6935.0	8419.0	8021.0	7370.0	3252.0	2282.0	48838.0	41.1
специалисты среднего уровня квалификации	58327.0	764.0	5782.0	7422.0	7711.0	7506.0	8824.0	8222.0	7379.0	2609.0	2108.0	54683.0	39.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10150.0	303.0	1392.0	1458.0	1169.0	1055.0	1423.0	1418.0	1266.0	431.0	235.0	9544.0	38.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	58583.0	2569.0	9176.0	8853.0	8029.0	7470.0	7426.0	6847.0	5536.0	1513.0	1164.0	56446.0	36.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6303.0	126.0	486.0	658.0	774.0	883.0	1175.0	1135.0	815.0	195.0	56.0	6149.0	39.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	58461.0	1900.0	6731.0	7804.0	6929.0	6465.0	8406.0	8380.0	7324.0	2739.0	1783.0	56128.0	38.9
операторы, аппаратчики, машинисты установок и машин	46755.0	532.0	4045.0	5782.0	6033.0	6483.0	7928.0	7082.0	5578.0	2156.0	1136.0	45323.0	39.8
неквалифицированные рабочие	33976.0	1626.0	3696.0	3523.0	3182.0	3362.0	4571.0	5177.0	5165.0	1802.0	1872.0	31017.0	40.3
занятые на военной службе	18009.0	138.0	1756.0	2661.0	2739.0	3678.0	3797.0	2162.0	701.0	262.0	115.0	17828.0	36.9
лица, неточно указавшие или не указавшие  занятия 	7585.0	208.0	777.0	932.0	923.0	953.0	1188.0	1066.0	989.0	300.0	249.0	7230.0	39.3
Ленинградская область													
Все население в возрасте 15-64 лет, занятое в экономике 	726562.0	17117.0	75636.0	87687.0	80779.0	89224.0	118065.0	112532.0	91770.0	33566.0	20186.0	691257.0	39.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	79596.0	224.0	3771.0	7221.0	8173.0	10529.0	14930.0	14738.0	12793.0	4623.0	2594.0	75178.0	42.5
специалисты высшего уровня квалификации	87740.0	638.0	7523.0	10776.0	9286.0	10484.0	14355.0	13974.0	12028.0	5314.0	3362.0	81009.0	40.9
специалисты среднего уровня квалификации	87521.0	1522.0	9102.0	10567.0	10350.0	10855.0	13726.0	13629.0	11186.0	4108.0	2476.0	82511.0	39.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17410.0	771.0	2156.0	2139.0	1871.0	2096.0	2647.0	2654.0	2093.0	562.0	421.0	16482.0	38.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	95393.0	4343.0	14476.0	14477.0	12555.0	11932.0	13359.0	11506.0	8518.0	2745.0	1482.0	92065.0	36.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	15337.0	345.0	1301.0	1837.0	1720.0	1872.0	2903.0	2798.0	1911.0	438.0	212.0	14835.0	39.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	125749.0	3669.0	14913.0	15397.0	12878.0	14109.0	19700.0	19502.0	16327.0	6242.0	3012.0	121797.0	39.3
операторы, аппаратчики, машинисты установок и машин	111468.0	1709.0	10725.0	13257.0	12986.0	14622.0	19585.0	18023.0	13635.0	4668.0	2258.0	108351.0	39.7
неквалифицированные рабочие	71735.0	3072.0	7370.0	7447.0	6498.0	7483.0	10648.0	11333.0	10308.0	3861.0	3715.0	65491.0	40.5
занятые на военной службе	13154.0	102.0	1798.0	2056.0	1938.0	2627.0	2907.0	1283.0	335.0	85.0	23.0	13112.0	35.6
лица, неточно указавшие или не указавшие  занятия 	21459.0	722.0	2501.0	2513.0	2524.0	2615.0	3305.0	3092.0	2636.0	920.0	631.0	20426.0	39.0
Мурманская область													
Все население в возрасте 15-64 лет, занятое в экономике 	426181.0	6781.0	44536.0	57857.0	53971.0	55796.0	69305.0	63588.0	46606.0	16723.0	11018.0	406371.0	39.0
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	43107.0	134.0	1709.0	3755.0	4641.0	5955.0	8569.0	8150.0	6476.0	2513.0	1205.0	40898.0	42.4
специалисты высшего уровня квалификации	51076.0	258.0	4413.0	6648.0	6100.0	6492.0	8080.0	7896.0	6682.0	2862.0	1645.0	47591.0	40.4
специалисты среднего уровня квалификации	63865.0	736.0	5899.0	8717.0	8231.0	8532.0	10245.0	9681.0	7651.0	2662.0	1511.0	60669.0	39.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13560.0	445.0	1852.0	1824.0	1649.0	1508.0	1973.0	2030.0	1468.0	504.0	307.0	12776.0	38.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	55341.0	2117.0	9087.0	9563.0	7919.0	6855.0	7659.0	6460.0	3830.0	1115.0	736.0	53658.0	35.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1740.0	26.0	130.0	218.0	201.0	257.0	329.0	300.0	218.0	28.0	33.0	1689.0	39.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	67993.0	1373.0	8218.0	9465.0	7837.0	8256.0	10497.0	10572.0	8073.0	2426.0	1276.0	66282.0	38.6
операторы, аппаратчики, машинисты установок и машин	53370.0	389.0	4336.0	6671.0	7145.0	7726.0	9804.0	8945.0	5656.0	1687.0	1011.0	52016.0	39.5
неквалифицированные рабочие	37125.0	999.0	3515.0	3702.0	3350.0	3850.0	5374.0	5952.0	4985.0	2386.0	3012.0	32281.0	41.7
занятые на военной службе	32484.0	157.0	4569.0	6410.0	6079.0	5642.0	5710.0	2697.0	833.0	284.0	103.0	32288.0	34.7
лица, неточно указавшие или не указавшие  занятия 	6520.0	147.0	808.0	884.0	819.0	723.0	1065.0	905.0	734.0	256.0	179.0	6223.0	38.6
Новгородская область													
Все население в возрасте 15-64 лет, занятое в экономике 	283471.0	6552.0	30237.0	34510.0	32475.0	36222.0	46713.0	44337.0	34809.0	11863.0	5753.0	272501.0	39.2
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	33929.0	120.0	1424.0	3072.0	3796.0	4901.0	6401.0	6283.0	5204.0	1899.0	829.0	32252.0	42.2
специалисты высшего уровня квалификации	38523.0	262.0	3525.0	4872.0	4590.0	5136.0	6236.0	5635.0	4960.0	2128.0	1179.0	35945.0	40.2
специалисты среднего уровня квалификации	36204.0	587.0	4326.0	4819.0	4630.0	4515.0	5574.0	5466.0	4324.0	1349.0	614.0	34709.0	38.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6787.0	221.0	958.0	672.0	733.0	823.0	1156.0	1056.0	818.0	206.0	144.0	6452.0	38.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	35094.0	1618.0	5441.0	5357.0	4533.0	4417.0	5051.0	4458.0	3045.0	802.0	372.0	34203.0	36.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	5060.0	137.0	513.0	593.0	558.0	663.0	1092.0	874.0	484.0	108.0	38.0	4988.0	38.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	48917.0	1540.0	6180.0	6342.0	5099.0	5426.0	7754.0	7393.0	6082.0	2246.0	855.0	47791.0	38.7
операторы, аппаратчики, машинисты установок и машин	41613.0	604.0	3872.0	4795.0	4909.0	5824.0	7648.0	7021.0	4840.0	1502.0	598.0	40769.0	39.5
неквалифицированные рабочие	31803.0	1382.0	3441.0	3174.0	2816.0	3596.0	4869.0	5426.0	4567.0	1483.0	1049.0	29972.0	40.0
занятые на военной службе	2331.0	-	195.0	417.0	390.0	497.0	490.0	250.0	76.0	12.0	4.0	2327.0	36.4
лица, неточно указавшие или не указавшие  занятия 	3210.0	81.0	362.0	397.0	421.0	424.0	442.0	475.0	409.0	128.0	71.0	3093.0	38.8
Псковская область													
Все население в возрасте 15-64 лет, занятое в экономике 	298914.0	6647.0	30472.0	35959.0	35390.0	39092.0	48917.0	45900.0	37968.0	12589.0	5980.0	287536.0	39.3
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	35454.0	136.0	1458.0	3137.0	3877.0	5019.0	6708.0	6532.0	5716.0	2005.0	866.0	33679.0	42.3
специалисты высшего уровня квалификации	39166.0	220.0	3396.0	4584.0	4349.0	5205.0	6213.0	6182.0	5281.0	2327.0	1409.0	36279.0	40.8
специалисты среднего уровня квалификации	39335.0	604.0	4182.0	5174.0	5027.0	5296.0	6067.0	6026.0	4879.0	1361.0	719.0	37677.0	39.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8233.0	294.0	1084.0	1018.0	953.0	1096.0	1284.0	1150.0	952.0	285.0	117.0	7868.0	38.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	35289.0	1486.0	5272.0	5576.0	4840.0	4646.0	5000.0	4259.0	3099.0	741.0	370.0	34413.0	36.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6363.0	199.0	492.0	746.0	807.0	764.0	1294.0	1122.0	779.0	152.0	8.0	6320.0	39.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	48619.0	1401.0	5788.0	6034.0	5397.0	5614.0	7468.0	7331.0	6388.0	2293.0	905.0	47403.0	39.0
операторы, аппаратчики, машинисты установок и машин	39344.0	576.0	3515.0	4331.0	4958.0	5441.0	7271.0	6313.0	4892.0	1536.0	511.0	38729.0	39.6
неквалифицированные рабочие	36284.0	1566.0	3732.0	3717.0	3382.0	4143.0	5696.0	6038.0	5354.0	1674.0	982.0	34531.0	39.9
