8. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Все население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
16-17	21253.0	107.0	52.0	55.0	20770.0	5.0	9.0	362.0	20006.0	505.0	217.0	288.0	19179.0	5.0	19.0	298.0
18-19	20942.0	703.0	428.0	275.0	20027.0	4.0	36.0	172.0	21478.0	2885.0	1915.0	970.0	18357.0	14.0	109.0	113.0
20-24	67449.0	19254.0	15157.0	4097.0	46575.0	28.0	1076.0	516.0	66625.0	31169.0	25208.0	5961.0	32078.0	219.0	2782.0	377.0
25-29	91208.0	59082.0	50467.0	8615.0	25460.0	137.0	5939.0	590.0	92746.0	65436.0	56721.0	8715.0	16201.0	879.0	9858.0	372.0
30-34	115858.0	91123.0	80702.0	10421.0	12734.0	384.0	10956.0	661.0	115488.0	88762.0	79414.0	9348.0	8451.0	2067.0	15831.0	377.0
35-39	137615.0	115426.0	103989.0	11437.0	7405.0	749.0	13397.0	638.0	132809.0	103604.0	94923.0	8681.0	5637.0	3972.0	19275.0	321.0
40-44	164879.0	141097.0	128554.0	12543.0	5553.0	1518.0	16136.0	575.0	158850.0	122356.0	113017.0	9339.0	4957.0	7241.0	23931.0	365.0
45-49	147193.0	126836.0	116419.0	10417.0	3752.0	2185.0	13993.0	427.0	144572.0	107423.0	99556.0	7867.0	4151.0	10486.0	22237.0	275.0
50-54	138297.0	119705.0	110570.0	9135.0	2548.0	3507.0	12228.0	309.0	141834.0	99552.0	92291.0	7261.0	3726.0	16967.0	21348.0	241.0
55-59	86770.0	74673.0	69355.0	5318.0	1346.0	3547.0	7057.0	147.0	90928.0	57939.0	53829.0	4110.0	2124.0	17671.0	13026.0	168.0
60-64	119937.0	101614.0	94608.0	7006.0	1543.0	8739.0	7889.0	152.0	132556.0	73848.0	68926.0	4922.0	2792.0	39349.0	16383.0	184.0
65-69	78661.0	65682.0	61646.0	4036.0	798.0	8171.0	3920.0	90.0	97718.0	46577.0	43364.0	3213.0	2138.0	39124.0	9745.0	134.0
70 и более	123007.0	87312.0	82700.0	4612.0	801.0	31475.0	3253.0	166.0	226601.0	52221.0	48613.0	3608.0	7872.0	152924.0	13201.0	383.0
возраст не указан	261.0	144.0	113.0	31.0	41.0	8.0	25.0	43.0	287.0	150.0	143.0	7.0	34.0	29.0	28.0	46.0
Башкиры	599630.0	381171.0	341936.0	39235.0	166066.0	16986.0	35097.0	310.0	693859.0	396125.0	355040.0	41085.0	126874.0	115295.0	55350.0	215.0
в том числе в возрасте, лет:																
до 16	1.0	1.0	1.0	-		-	-		9.0	9.0	2.0	7.0		-	-	
16-17	34400.0	78.0	40.0	38.0	34262.0	12.0	8.0	40.0	33175.0	494.0	238.0	256.0	32618.0	11.0	25.0	27.0
18-19	30812.0	549.0	360.0	189.0	30207.0	7.0	26.0	23.0	30073.0	2866.0	2013.0	853.0	27111.0	9.0	82.0	5.0
20-24	61582.0	13509.0	11105.0	2404.0	47418.0	22.0	580.0	53.0	61823.0	26484.0	22268.0	4216.0	33252.0	220.0	1850.0	17.0
25-29	53859.0	31206.0	27024.0	4182.0	19847.0	61.0	2719.0	26.0	55333.0	39011.0	34279.0	4732.0	10884.0	721.0	4704.0	13.0
30-34	56919.0	40707.0	35876.0	4831.0	11250.0	180.0	4749.0	33.0	57956.0	45040.0	39934.0	5106.0	4901.0	1495.0	6506.0	14.0
35-39	70315.0	54532.0	48522.0	6010.0	8831.0	412.0	6515.0	25.0	74163.0	57809.0	51893.0	5916.0	3957.0	3117.0	9260.0	20.0
40-44	80001.0	64671.0	58165.0	6506.0	7036.0	775.0	7494.0	25.0	85144.0	65555.0	59409.0	6146.0	3560.0	5388.0	10619.0	22.0
45-49	58899.0	49021.0	44588.0	4433.0	3478.0	955.0	5426.0	19.0	64668.0	47895.0	43546.0	4349.0	2579.0	6355.0	7825.0	14.0
50-54	40458.0	34173.0	31173.0	3000.0	1761.0	1166.0	3337.0	21.0	46257.0	32231.0	29350.0	2881.0	1844.0	7163.0	5003.0	16.0
