															
3. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И СОСТОЯНИЮ В БРАКЕ															
															
															
	Всего	в том числе							На 1000 человек данного пола и возраста						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедши- еся	не указавшие состояние в браке	состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедши- еся	не указавшие состояние в браке
			в зарегистриро- ванном браке	в незарегист- рированном браке						в зарегистриро- ванном браке	в незарегист- рированном браке				
Все население															
  до 16	1245.0	1201.0	316.0	885.0		18.0	26.0		965.0	254.0	711.0		14.0	21.0	
16 – 17	612203.0	22633.0	10026.0	12607.0	582784.0	158.0	580.0	6048.0	37.0	16.0	21.0	952.0	0.0	1.0	10.0
18 – 19	521451.0	99893.0	66669.0	33224.0	415764.0	440.0	3459.0	1895.0	191.0	128.0	63.0	797.0	1.0	7.0	4.0
20 – 24	1258272	634348	506476	127872	566363	6241	48355	2965	504	402	102	450	5	39	2
25 – 29	1206331	873901	740758	133143	212587	17291	100874	1678	725	614	111	176	14	84	1
30 – 34	1180498	928264	812785	115479	99712	31212	119977	1333	786	688	98	85	26	102	1
35 – 39	1323480	1062462	951894	110568	69131	55535	135261	1091	803	719	84	52	42	102	1
40 – 44	1595791	1266476	1140078	126398	61672	99927	166460	1256	794	715	79	39	62	104	1
45 – 49	1431056	1094690	979874	114816	50297	136368	148551	1150	765	685	80	35	95	104	1
50 – 54	1196456	859595	767125	92470	40272	177278	118229	1082	718	641	77	34	148	99	1
55 – 59	647015	425353	380865	44488	20032	145362	55719	549	657	588	69	31	225	86	1
60 – 64	1302545	735396	667618	67778	38746	442283	85181	939	565	513	52	30	339	65	1
65 – 69	1150532	548312	498636	49676	41673	503347	56502	698	477	434	43	36	437	49	1
70 и более	2789928	675277	613648	61629	192613	1829912	90097	2029	242	220	22	69	656	32	1
возраст не указан	4135	1535	1313	222	256	323	117	1904	371	317	54	62	78	28	461
