5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5897414.0	3178917.0	250726.0	1793816.0	258755.0	356396.0	46709.0	5443.0	15.0	6637.0
специалисты высшего уровня квалификации	7575256.0	5574086.0	301862.0	1313504.0	142233.0	210628.0	23001.0	315.0	100.0	9527.0
специалисты среднего уровня квалификации	6080559.0	1093692.0	305997.0	3498804.0	516332.0	570986.0	80582.0	8225.0	754.0	5187.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1291231.0	226333.0	80863.0	574804.0	134748.0	244491.0	26405.0	2303.0	18.0	1266.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	6326942.0	672251.0	223960.0	2676537.0	1060175.0	1335134.0	311338.0	32991.0	5516.0	9040.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	170507.0	13501.0	3105.0	55399.0	37374.0	38880.0	19321.0	2580.0	229.0	118.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	7968525.0	434441.0	171935.0	3152471.0	1847021.0	1749405.0	539534.0	63540.0	2610.0	7568.0
операторы, аппаратчики, машинисты установок и машин	6104445.0	338863.0	127275.0	2436658.0	1373353.0	1407273.0	371326.0	42616.0	1530.0	5551.0
неквалифицированные рабочие	3875841.0	210916.0	78108.0	1337700.0	774718.0	974894.0	428394.0	64545.0	3146.0	3420.0
занятые на военной службе	499618.0	259705.0	12606.0	154058.0	27107.0	41522.0	3810.0	291.0	88.0	431.0
лица, неточно указавшие или не указавшие занятия 	1198257.0	365550.0	57493.0	391718.0	112994.0	190697.0	46891.0	7689.0	3324.0	21901.0
