5.7. ЗАНЯТОЕ НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ											
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Все занятое в экономике население	в том числе по группам занятий									
		руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	специалисты высшего уровня квалификации	специалисты среднего уровня квалификации	работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	квалифици-рованные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	квалифици-рованные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	операторы, аппаратчики, машинисты установок и машин	неквалифици-рованные рабочие	занятые на военной службе
Республика Ингушетия	39965.0	3810.0	11373.0	5229.0	967.0	6913.0	396.0	3436.0	4812.0	1868.0	298.0
Кабардино–Балкарская Республика	282515.0	31662.0	49415.0	39347.0	6593.0	45776.0	6315.0	38632.0	37181.0	24703.0	2127.0
Республика Калмыкия	97282.0	11747.0	16345.0	13975.0	3201.0	12641.0	6611.0	8299.0	13346.0	10707.0	277.0
Карачаево-Черкесская Республика	108924.0	13548.0	20210.0	14471.0	2705.0	14518.0	3723.0	13559.0	15709.0	9133.0	823.0
Республика Северная Осетия – Алания	191905.0	21723.0	35274.0	25178.0	4810.0	31932.0	2151.0	23248.0	24365.0	16234.0	5635.0
Краснодарский край	1952115.0	213543.0	254888.0	248819.0	49767.0	301189.0	59333.0	272559.0	299034.0	213624.0	17991.0
Ставропольский край	996620.0	101761.0	140101.0	116374.0	24433.0	170284.0	27178.0	141153.0	147254.0	111568.0	9921.0
Астраханская область	393885.0	42763.0	56829.0	57316.0	10570.0	56203.0	14864.0	49481.0	52329.0	37301.0	11532.0
Волгоградская область	1056979.0	121301.0	147240.0	132163.0	29303.0	143358.0	17714.0	169887.0	166928.0	113204.0	8890.0
Ростовская область	1659942.0	179093.0	237457.0	209616.0	44159.0	232694.0	35938.0	279931.0	234458.0	173731.0	17512.0
