	Всего	в том числе проживающие на территории																																																																																															
		Централь-ного федераль-ного округа	Белгород-ской области	Брянской области	Владимир-ской области	Воронежской области	Ивановской области	Калужской области	Костромской области	Курской области	Липецкой области	Московской области	Орловской области	Рязанской области	Смоленской области	Тамбовской области	Тверской области	Тульской области	Ярославской области	г. Москвы	Северо-Западного федераль-ного округа	Республики Карелия	Республики Коми 	Архангель-ской области	Ненецкого автономного округа	Вологодской области	Калинин-градской области	Ленин-градской области	Мурманской области	Новгород-ской области	Псковской области	г. Санкт-Петербурга	Южного федераль-ного округа	Республики Адыгея	Республики Дагестан	Республики Ингушетия	Кабардино-Балкарской Республики	Республики Калмыкия	Карачаево-Черкесской Республики	Республики Северная Осетия - Алания	Чеченской Республики	Красно-дарского края	Ставро-польского края	Астраханской области	Волго-градской области	Ростовской области	При-волжского федераль-ного округа	Республики Башкорто-стан	Республики Марий Эл	Республики Мордовия	Республики Татарстан	Удмуртской Республики	Чувашской Республики	Кировской области	Ниже-городской области	Оренбург-ской области	Пензенской области	Пермской области	Коми-Пермяцкого автономного округа	Самарской области	Саратовской области	Ульяновской области	Уральского федераль-ного округа	Курганской области	Свердлов-ской области	Тюменской области	Ханты-Мансийского автономного округа - Югра	Ямало-Ненецкого автономного округа	Челябинской области	Сибирского федераль-ного округа	Республики Алтай	Республики Бурятия	Республики Тыва	Республики Хакасия	Алтайского края	Краснояр-ского края	Таймырского (Долгано-Ненецкого) автономного округа	Эвенкий-ского автономного округа	Иркутской области	Усть-Ордынского Бурятского автономного округа	Кемеровской области	Ново-сибирской области	Омской области	Томской области	Читинской области	Агинского Бурятского автономного округа	Дальне-восточного федераль-ного округа	Республики Саха (Якутия)	Приморского края	Хабаров-ского края	Амурской области	Камчатской области	Корякского автономного округа	Магаданской области	Сахалинской области	Еврейской автономной области	Чукотского автономного округа
Турки-месхетинцы	3257.0	361.0	104.0	-	-	88.0	1.0	-	-	9.0	-	3.0	39.0	24.0	83.0	-	1.0	-	-	9.0	11.0	-	-	-	-	-	5.0	1.0	1.0	-	3.0	1.0	2851.0	1.0	2.0	8.0	2283.0	12.0	-	11.0	8.0	116.0	39.0	3.0	41.0	327.0	19.0	-	-	-	3.0	-	1.0	-	1.0	-	2.0	-	-	9.0	3.0	-	5.0	-	3.0	-	-	-	2.0	10.0	-	-	-	-	-	-	-	-	-	-	1.0	-	1.0	8.0	-	-	-	-	-	-	-	-	-	-	-	-	-
Туркмены	33053.0	6476.0	189.0	51.0	190.0	221.0	133.0	188.0	46.0	76.0	81.0	833.0	47.0	136.0	89.0	88.0	289.0	183.0	110.0	3526.0	1485.0	44.0	63.0	40.0	2.0	35.0	84.0	188.0	84.0	100.0	54.0	793.0	18312.0	109.0	160.0	1.0	123.0	36.0	155.0	114.0	40.0	635.0	13937.0	2154.0	413.0	435.0	3825.0	701.0	28.0	50.0	670.0	107.0	48.0	44.0	146.0	307.0	122.0	232.0	3.0	583.0	563.0	224.0	982.0	50.0	314.0	360.0	164.0	83.0	258.0	1372.0	20.0	41.0	10.0	50.0	140.0	280.0	1.0	-	127.0	8.0	183.0	233.0	142.0	89.0	57.0	1.0	601.0	64.0	97.0	83.0	214.0	24.0	-	18.0	86.0	13.0	2.0
Удины	3721.0	503.0	8.0	1.0	51.0	1.0	81.0	110.0	-	10.0	15.0	35.0	19.0	2.0	2.0	5.0	34.0	1.0	14.0	114.0	-	-	-	-	-	-	-	-	-	-	-	-	3039.0	1.0	1.0	9.0	3.0	-	1.0	-	-	809.0	336.0	32.0	274.0	1573.0	79.0	-	-	1.0	4.0	2.0	3.0	6.0	2.0	-	1.0	4.0	-	4.0	35.0	17.0	-	-	-	-	-	-	-	73.0	-	5.0	-	-	10.0	20.0	-	1.0	8.0	1.0	13.0	11.0	1.0	4.0	1.0	-	27.0	12.0	1.0	2.0	8.0	2.0	-	1.0	1.0	-	-
Удмурты	636906.0	8749.0	328.0	126.0	959.0	313.0	495.0	304.0	222.0	137.0	155.0	1847.0	146.0	311.0	297.0	142.0	411.0	263.0	310.0	1983.0	7680.0	290.0	2336.0	807.0	95.0	288.0	382.0	959.0	933.0	253.0	167.0	1265.0	12506.0	311.0	123.0	6.0	87.0	115.0	67.0	155.0	157.0	3425.0	1141.0	216.0	3073.0	3630.0	560764.0	22625.0	2166.0	147.0	24207.0	460584.0	453.0	17952.0	828.0	1416.0	207.0	26272.0	199.0	1608.0	1800.0	499.0	29848.0	2291.0	17903.0	6310.0	3670.0	809.0	3344.0	13500.0	60.0	339.0	89.0	331.0	920.0	3250.0	22.0	13.0	1895.0	38.0	2665.0	964.0	1004.0	1485.0	498.0	23.0	3859.0	459.0	1130.0	759.0	486.0	503.0	18.0	136.0	273.0	88.0	25.0
Удэгейцы	1657.0	8.0	-	-	-	1.0	-	-	-	-	-	2.0	-	-	-	-	2.0	-	-	3.0	11.0	-	1.0	-	-	-	4.0	-	-	-	-	6.0	8.0	1.0	-	-	-	-	-	-	-	5.0	-	1.0	-	1.0	8.0	1.0	-	-	4.0	-	-	1.0	-	2.0	-	-	-	-	-	-	19.0	-	15.0	-	-	-	4.0	21.0	-	1.0	-	-	-	5.0	-	-	5.0	2.0	1.0	3.0	5.0	-	1.0	-	1582.0	3.0	918.0	613.0	5.0	16.0	5.0	5.0	12.0	10.0	-
Узбеки	122916.0	38676.0	688.0	369.0	798.0	977.0	698.0	802.0	295.0	451.0	579.0	4183.0	348.0	750.0	533.0	448.0	976.0	782.0	687.0	24312.0	7542.0	273.0	709.0	194.0	10.0	413.0	631.0	1001.0	463.0	613.0	258.0	2987.0	10791.0	187.0	245.0	7.0	290.0	142.0	193.0	361.0	84.0	2210.0	1210.0	1030.0	3012.0	1820.0	28427.0	5145.0	279.0	437.0	4852.0	830.0	356.0	516.0	1103.0	3275.0	840.0	1988.0	31.0	5438.0	2140.0	1228.0	14936.0	313.0	3836.0	7730.0	5182.0	979.0	3057.0	16801.0	149.0	596.0	161.0	668.0	1956.0	2778.0	50.0	17.0	1904.0	74.0	3017.0	2047.0	1244.0	1626.0	655.0	32.0	5743.0	1207.0	1634.0	1257.0	687.0	267.0	13.0	201.0	298.0	156.0	36.0
Уйгуры	2867.0	469.0	21.0	2.0	13.0	19.0	14.0	22.0	9.0	9.0	2.0	96.0	8.0	12.0	12.0	17.0	11.0	13.0	18.0	171.0	231.0	4.0	19.0	4.0	-	6.0	35.0	22.0	19.0	6.0	6.0	110.0	254.0	13.0	4.0	-	10.0	4.0	6.0	3.0	-	73.0	27.0	25.0	49.0	40.0	508.0	77.0	3.0	7.0	82.0	28.0	4.0	4.0	24.0	52.0	17.0	69.0	-	82.0	35.0	24.0	395.0	15.0	91.0	188.0	110.0	52.0	101.0	840.0	54.0	33.0	18.0	33.0	167.0	108.0	-	-	43.0	1.0	125.0	143.0	55.0	47.0	14.0	1.0	170.0	56.0	54.0	14.0	8.0	15.0	1.0	7.0	8.0	7.0	1.0
Украинцы	2942961.0	756087.0	57846.0	20214.0	16755.0	73716.0	10629.0	23162.0	8011.0	20920.0	13350.0	147808.0	11212.0	12671.0	17362.0	10809.0	22563.0	22260.0	13155.0	253644.0	377456.0	19248.0	62115.0	27841.0	1312.0	12297.0	47229.0	41842.0	56845.0	10449.0	12471.0	87119.0	396642.0	9091.0	2869.0	189.0	7592.0	2505.0	3331.0	5198.0	829.0	131774.0	45892.0	12605.0	56281.0	118486.0	401614.0	55249.0	5097.0	4801.0	24016.0	11527.0	6422.0	11399.0	24241.0	76921.0	12421.0	25948.0	706.0	60727.0	67257.0	15588.0	355087.0	11243.0	55478.0	211372.0	123238.0	66080.0	76994.0	373075.0	1437.0	9585.0	832.0	8360.0	52700.0	68662.0	2423.0	550.0	53631.0	1300.0	37622.0	33793.0	77884.0	16726.0	11843.0	190.0	283000.0	34633.0	94058.0	48622.0	31475.0	20870.0	1029.0	18068.0	21831.0	8483.0	4960.0
Ульта (ороки)	346.0	4.0	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	-	2.0	10.0	1.0	-	-	-	-	1.0	2.0	-	-	-	6.0	2.0	-	-	-	-	-	-	-	-	-	-	1.0	-	1.0	3.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	1.0	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	326.0	1.0	2.0	24.0	1.0	-	-	-	298.0	-	-
Ульчи	2913.0	10.0	1.0	-	-	-	1.0	-	2.0	-	-	5.0	-	-	-	-	-	1.0	-	-	34.0	-	-	1.0	-	2.0	1.0	9.0	1.0	-	-	20.0	6.0	-	-	-	-	-	-	-	1.0	4.0	-	-	-	1.0	11.0	-	2.0	-	2.0	-	-	-	1.0	-	-	2.0	1.0	-	3.0	1.0	5.0	-	2.0	3.0	1.0	2.0	-	43.0	-	11.0	3.0	2.0	-	5.0	-	-	5.0	-	4.0	7.0	2.0	2.0	2.0	-	2804.0	6.0	15.0	2718.0	2.0	15.0	7.0	9.0	9.0	27.0	3.0
Финны	34050.0	1427.0	44.0	12.0	43.0	33.0	24.0	34.0	22.0	24.0	20.0	228.0	12.0	40.0	25.0	15.0	305.0	33.0	113.0	400.0	27947.0	14156.0	207.0	154.0	3.0	300.0	84.0	7930.0	426.0	354.0	356.0	3980.0	495.0	18.0	6.0	-	17.0	9.0	8.0	5.0	4.0	165.0	64.0	25.0	78.0	96.0	790.0	76.0	10.0	17.0	65.0	43.0	28.0	46.0	77.0	35.0	35.0	173.0	11.0	104.0	50.0	31.0	940.0	24.0	220.0	455.0	194.0	107.0	241.0	2043.0	12.0	21.0	3.0	140.0	82.0	635.0	12.0	5.0	245.0	2.0	307.0	191.0	343.0	51.0	13.0	-	408.0	207.0	52.0	53.0	21.0	25.0	1.0	19.0	23.0	7.0	1.0
Финны-ингерманландцы	314.0	15.0	-	-	-	-	-	-	-	-	-	3.0	-	-	-	-	1.0	-	1.0	10.0	274.0	154.0	2.0	-	-	3.0	1.0	35.0	3.0	2.0	3.0	71.0	5.0	-	-	-	-	-	1.0	-	-	-	3.0	-	-	1.0	9.0	-	-	3.0	-	-	-	1.0	3.0	-	-	-	-	1.0	1.0	-	4.0	-	2.0	1.0	-	1.0	1.0	5.0	-	1.0	-	-	1.0	-	-	-	-	-	2.0	-	1.0	-	-	-	2.0	1.0	-	-	-	1.0	-	-	-	-	-
Французы	819.0	427.0	8.0	1.0	-	10.0	6.0	2.0	3.0	5.0	1.0	19.0	4.0	2.0	1.0	2.0	1.0	7.0	3.0	352.0	114.0	2.0	4.0	1.0	1.0	1.0	7.0	5.0	6.0	-	-	88.0	79.0	-	-	-	1.0	1.0	1.0	-	-	23.0	17.0	4.0	4.0	28.0	68.0	4.0	1.0	-	8.0	6.0	2.0	4.0	8.0	3.0	2.0	10.0	-	12.0	8.0	-	34.0	4.0	10.0	9.0	4.0	1.0	11.0	73.0	2.0	2.0	-	3.0	3.0	6.0	-	-	16.0	-	10.0	15.0	8.0	7.0	1.0	-	24.0	1.0	7.0	3.0	4.0	-	-	1.0	8.0	-	-
Хакасы	75622.0	607.0	14.0	5.0	19.0	12.0	12.0	10.0	3.0	9.0	21.0	94.0	9.0	19.0	12.0	9.0	11.0	6.0	12.0	330.0	264.0	7.0	37.0	9.0	2.0	11.0	12.0	38.0	14.0	3.0	5.0	128.0	281.0	4.0	6.0	4.0	2.0	17.0	12.0	6.0	46.0	46.0	42.0	19.0	24.0	53.0	258.0	30.0	7.0	10.0	29.0	5.0	5.0	5.0	10.0	31.0	19.0	42.0	-	32.0	21.0	12.0	397.0	14.0	92.0	256.0	125.0	82.0	35.0	73130.0	39.0	121.0	1219.0	65421.0	86.0	4489.0	121.0	152.0	397.0	9.0	503.0	279.0	82.0	402.0	92.0	4.0	685.0	186.0	152.0	107.0	56.0	47.0	4.0	46.0	70.0	8.0	13.0
Ханты	28678.0	161.0	5.0	1.0	10.0	3.0	4.0	5.0	4.0	2.0	6.0	35.0	1.0	11.0	5.0	1.0	8.0	11.0	5.0	44.0	252.0	4.0	88.0	15.0	5.0	7.0	2.0	17.0	11.0	1.0	4.0	103.0	99.0	3.0	-	-	-	5.0	1.0	1.0	4.0	33.0	22.0	1.0	9.0	20.0	131.0	6.0	10.0	10.0	4.0	11.0	6.0	8.0	13.0	11.0	1.0	26.0	1.0	11.0	8.0	6.0	26914.0	34.0	148.0	26694.0	17128.0	8760.0	38.0	1050.0	6.0	6.0	4.0	3.0	14.0	19.0	-	1.0	26.0	1.0	7.0	26.0	59.0	873.0	7.0	2.0	71.0	8.0	20.0	17.0	7.0	7.0	1.0	2.0	5.0	1.0	4.0
Хемшилы	1542.0	286.0	-	-	-	281.0	-	1.0	-	-	-	1.0	-	3.0	-	-	-	-	-	-	7.0	-	-	-	-	-	-	-	5.0	-	-	2.0	1220.0	12.0	-	-	2.0	-	-	-	-	1019.0	-	-	-	187.0	4.0	-	-	-	-	1.0	-	-	-	1.0	-	1.0	-	1.0	-	-	13.0	-	4.0	7.0	4.0	-	2.0	11.0	-	-	-	-	1.0	1.0	-	-	-	-	-	1.0	8.0	-	-	-	1.0	-	1.0	-	-	-	-	-	-	-	-
Цахуры	10366.0	358.0	51.0	8.0	4.0	23.0	28.0	14.0	7.0	4.0	20.0	48.0	4.0	11.0	4.0	1.0	18.0	26.0	4.0	83.0	119.0	1.0	16.0	1.0	-	10.0	6.0	18.0	25.0	-	-	42.0	9067.0	4.0	8168.0	-	2.0	126.0	-	6.0	4.0	139.0	197.0	54.0	128.0	239.0	272.0	11.0	6.0	1.0	17.0	-	-	4.0	14.0	16.0	-	7.0	-	82.0	99.0	15.0	321.0	1.0	55.0	243.0	143.0	100.0	22.0	146.0	-	1.0	1.0	8.0	12.0	24.0	-	-	15.0	-	27.0	36.0	8.0	12.0	2.0	-	83.0	5.0	21.0	10.0	33.0	1.0	-	6.0	6.0	1.0	-
Цыгане	182766.0	45858.0	1772.0	3572.0	2251.0	4779.0	2031.0	3187.0	1542.0	2291.0	3122.0	1511.0	989.0	2165.0	3011.0	2957.0	4553.0	3843.0	1308.0	974.0	18790.0	1098.0	522.0	1037.0	-	2079.0	1447.0	4573.0	148.0	3388.0	3220.0	1278.0	63734.0	1844.0	93.0	44.0	2357.0	334.0	804.0	1553.0	11.0	10873.0	19094.0	4331.0	7258.0	15138.0	25535.0	684.0	291.0	445.0	838.0	830.0	701.0	1499.0	4373.0	1767.0	2535.0	1606.0	-	5244.0	2688.0	2034.0	10232.0	835.0	4019.0	2054.0	151.0	59.0	3324.0	16232.0	56.0	290.0	23.0	399.0	3405.0	1992.0	1.0	1.0	1639.0	24.0	2503.0	2835.0	2272.0	505.0	313.0	3.0	2385.0	227.0	693.0	770.0	370.0	92.0	2.0	26.0	72.0	132.0	3.0
Цыгане среднеазиатские	486.0	35.0	-	-	8.0	1.0	14.0	-	-	-	-	1.0	-	-	-	-	-	-	-	11.0	26.0	-	-	-	-	-	-	1.0	17.0	-	1.0	7.0	57.0	6.0	-	-	-	-	-	-	-	-	-	-	45.0	6.0	147.0	46.0	-	-	19.0	1.0	-	-	-	-	-	3.0	-	-	9.0	69.0	197.0	185.0	4.0	8.0	8.0	-	-	19.0	-	-	-	-	12.0	3.0	-	-	2.0	-	1.0	-	-	1.0	-	-	5.0	3.0	2.0	-	-	-	-	-	-	-	-
Челканцы	855.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	-	1.0	-	-	-	-	3.0	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	849.0	830.0	-	1.0	3.0	10.0	-	-	-	-	-	-	5.0	-	-	-	-	1.0	-	-	1.0	-	-	-	-	-	-	-
Черкесы	60517.0	825.0	3.0	6.0	5.0	36.0	17.0	12.0	4.0	14.0	4.0	142.0	3.0	19.0	4.0	6.0	9.0	7.0	14.0	520.0	300.0	13.0	29.0	14.0	2.0	6.0	18.0	34.0	56.0	10.0	5.0	115.0	58013.0	642.0	47.0	26.0	725.0	56.0	49591.0	83.0	13.0	4446.0	2097.0	45.0	79.0	163.0	255.0	22.0	7.0	3.0	14.0	7.0	6.0	15.0	27.0	26.0	4.0	26.0	-	33.0	62.0	3.0	624.0	-	30.0	562.0	368.0	162.0	32.0	296.0	1.0	3.0	29.0	15.0	26.0	67.0	6.0	1.0	39.0	7.0	28.0	24.0	29.0	18.0	17.0	1.0	204.0	64.0	26.0	26.0	9.0	33.0	5.0	8.0	27.0	10.0	1.0
Чехи	2904.0	565.0	23.0	19.0	17.0	26.0	8.0	47.0	8.0	9.0	10.0	88.0	7.0	8.0	9.0	4.0	11.0	13.0	20.0	238.0	249.0	11.0	32.0	13.0	-	6.0	28.0	30.0	22.0	12.0	12.0	83.0	1042.0	127.0	4.0	-	13.0	-	7.0	7.0	1.0	732.0	29.0	7.0	40.0	75.0	336.0	24.0	11.0	5.0	13.0	9.0	8.0	11.0	7.0	85.0	9.0	19.0	-	85.0	41.0	9.0	182.0	7.0	45.0	88.0	54.0	14.0	42.0	406.0	2.0	15.0	-	2.0	27.0	26.0	-	-	42.0	-	30.0	39.0	192.0	18.0	13.0	-	124.0	11.0	35.0	36.0	13.0	5.0	-	14.0	10.0	-	-
Чеченцы 	1360253.0	28861.0	261.0	273.0	354.0	1815.0	633.0	466.0	467.0	360.0	468.0	1941.0	1630.0	504.0	405.0	637.0	2724.0	469.0	989.0	14465.0	6283.0	393.0	410.0	354.0	3.0	320.0	738.0	542.0	210.0	1074.0	557.0	1685.0	1285215.0	1122.0	87867.0	95403.0	4241.0	5979.0	1757.0	3383.0	1031647.0	2864.0	13208.0	10019.0	12256.0	15469.0	17160.0	1195.0	281.0	116.0	706.0	478.0	105.0	350.0	329.0	1996.0	455.0	899.0	15.0	1193.0	8515.0	542.0	13833.0	1041.0	920.0	10623.0	6943.0	2222.0	1249.0	6832.0	34.0	145.0	11.0	125.0	839.0	999.0	20.0	6.0	712.0	22.0	1480.0	459.0	1091.0	711.0	226.0	2.0	2069.0	520.0	649.0	278.0	196.0	147.0	11.0	52.0	185.0	33.0	9.0
Чеченцы-аккинцы	218.0	41.0	1.0	-	4.0	4.0	-	4.0	1.0	-	-	1.0	1.0	1.0	-	1.0	4.0	-	3.0	16.0	5.0	-	-	-	-	-	-	-	-	-	1.0	4.0	154.0	-	116.0	-	1.0	9.0	-	-	9.0	7.0	1.0	10.0	-	1.0	5.0	-	-	-	-	-	1.0	-	3.0	1.0	-	-	-	-	-	-	3.0	-	-	3.0	3.0	-	-	5.0	-	-	-	-	-	2.0	-	-	-	-	-	1.0	-	-	2.0	-	5.0	4.0	1.0	-	-	-	-	-	-	-	-
Чуванцы	1087.0	7.0	-	-	1.0	-	1.0	-	1.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	36.0	2.0	1.0	2.0	1.0	1.0	-	14.0	1.0	1.0	-	14.0	7.0	-	-	-	1.0	-	-	-	-	3.0	-	-	-	3.0	4.0	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0	1.0	-	5.0	-	2.0	1.0	1.0	-	2.0	8.0	-	-	3.0	-	1.0	-	-	-	3.0	-	-	-	1.0	-	-	-	1020.0	2.0	10.0	6.0	2.0	7.0	-	39.0	2.0	1.0	951.0
Чуваши	1637094.0	46101.0	718.0	355.0	2334.0	1705.0	1648.0	1108.0	943.0	368.0	400.0	12530.0	406.0	1284.0	735.0	423.0	3057.0	1085.0	991.0	16011.0	26608.0	1298.0	7529.0	1874.0	88.0	911.0	2027.0	2817.0	2759.0	728.0	658.0	6007.0	19997.0	349.0	294.0	38.0	197.0	164.0	81.0	330.0	372.0	4141.0	1404.0	1171.0	8439.0	3017.0	1417228.0	117317.0	7418.0	1097.0	126532.0	2764.0	889268.0	1856.0	11364.0	17211.0	6738.0	7033.0	91.0	101358.0	15956.0	111316.0	53110.0	1912.0	11510.0	30205.0	15261.0	3730.0	9483.0	62201.0	103.0	864.0	195.0	2530.0	3385.0	16859.0	131.0	85.0	7295.0	211.0	15480.0	4147.0	4191.0	5881.0	1271.0	63.0	11849.0	1700.0	3287.0	2225.0	1206.0	1292.0	48.0	357.0	1300.0	320.0	162.0
Чукчи	15767.0	207.0	3.0	1.0	7.0	12.0	2.0	2.0	-	5.0	1.0	19.0	-	3.0	1.0	2.0	6.0	-	5.0	138.0	141.0	3.0	10.0	2.0	-	4.0	1.0	9.0	4.0	1.0	5.0	102.0	62.0	2.0	-	-	-	4.0	-	1.0	-	30.0	5.0	1.0	6.0	13.0	68.0	11.0	-	1.0	7.0	3.0	12.0	3.0	7.0	-	4.0	3.0	-	10.0	5.0	2.0	33.0	2.0	12.0	5.0	1.0	3.0	14.0	119.0	-	7.0	-	2.0	9.0	8.0	1.0	-	12.0	2.0	13.0	11.0	48.0	6.0	3.0	-	15137.0	602.0	54.0	85.0	12.0	1487.0	1412.0	248.0	11.0	16.0	12622.0
Чулымцы	656.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	1.0	1.0	-	-	-	-	-	-	-	-	-	-	1.0	2.0	-	-	-	-	-	-	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	-	1.0	-	-	1.0	648.0	-	-	-	2.0	1.0	159.0	-	-	-	-	1.0	1.0	-	484.0	-	-	1.0	1.0	-	-	-	-	-	-	-	-	-
Шапсуги	3231.0	4.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.0	-	-	-	-	-	-	-	-	-	-	-	-	3227.0	8.0	-	-	1.0	-	-	-	-	3213.0	1.0	-	-	4.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Шорцы	13975.0	106.0	12.0	-	13.0	5.0	4.0	-	2.0	3.0	-	14.0	-	1.0	3.0	-	6.0	4.0	2.0	37.0	70.0	1.0	14.0	4.0	-	4.0	2.0	9.0	11.0	1.0	3.0	21.0	50.0	1.0	-	-	-	1.0	1.0	-	3.0	10.0	3.0	-	14.0	17.0	65.0	10.0	1.0	2.0	7.0	3.0	3.0	1.0	4.0	5.0	1.0	15.0	1.0	10.0	2.0	1.0	134.0	5.0	29.0	81.0	59.0	12.0	19.0	13369.0	141.0	6.0	42.0	1078.0	165.0	201.0	4.0	4.0	43.0	2.0	11554.0	75.0	13.0	41.0	10.0	-	181.0	69.0	23.0	37.0	13.0	6.0	-	21.0	5.0	1.0	6.0
Эвенки	35527.0	165.0	6.0	1.0	7.0	5.0	8.0	3.0	3.0	5.0	1.0	18.0	3.0	6.0	2.0	4.0	10.0	2.0	7.0	74.0	218.0	1.0	6.0	15.0	13.0	11.0	5.0	21.0	13.0	3.0	3.0	140.0	80.0	3.0	1.0	1.0	-	6.0	1.0	1.0	5.0	26.0	9.0	4.0	8.0	15.0	75.0	7.0	3.0	2.0	10.0	3.0	2.0	8.0	4.0	2.0	-	9.0	-	9.0	10.0	6.0	139.0	6.0	16.0	109.0	43.0	57.0	8.0	10089.0	-	2334.0	7.0	21.0	13.0	4632.0	305.0	3802.0	1431.0	64.0	22.0	22.0	12.0	103.0	1492.0	164.0	24761.0	18232.0	103.0	4533.0	1501.0	15.0	7.0	25.0	243.0	72.0	37.0
Эвены	19071.0	69.0	2.0	1.0	3.0	1.0	2.0	-	-	2.0	1.0	12.0	-	3.0	3.0	3.0	2.0	1.0	7.0	26.0	63.0	1.0	4.0	-	-	1.0	1.0	5.0	3.0	2.0	1.0	45.0	30.0	1.0	-	-	1.0	-	1.0	-	2.0	10.0	4.0	1.0	3.0	7.0	23.0	2.0	4.0	-	-	1.0	1.0	-	3.0	3.0	-	5.0	-	2.0	1.0	1.0	31.0	-	9.0	17.0	6.0	7.0	5.0	118.0	-	12.0	-	4.0	4.0	17.0	-	8.0	23.0	3.0	2.0	9.0	6.0	6.0	35.0	-	18737.0	11657.0	60.0	1272.0	21.0	1779.0	751.0	2527.0	8.0	6.0	1407.0
Энцы	237.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.0	-	2.0	-	-	5.0	3.0	1.0	-	-	-	4.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	-	2.0	-	2.0	-	215.0	-	-	-	1.0	1.0	213.0	197.0	-	-	-	-	-	-	-	-	-	4.0	2.0	-	2.0	-	-	-	-	-	-	-
Эскимосы	1750.0	29.0	-	-	1.0	1.0	3.0	-	1.0	-	-	3.0	-	2.0	-	2.0	-	1.0	-	15.0	31.0	-	-	1.0	-	2.0	-	15.0	-	-	-	13.0	11.0	-	8.0	-	-	-	-	-	-	1.0	-	1.0	1.0	-	14.0	3.0	1.0	-	2.0	3.0	-	-	1.0	1.0	-	1.0	-	-	1.0	1.0	13.0	-	9.0	1.0	-	1.0	3.0	33.0	-	2.0	-	1.0	3.0	5.0	1.0	-	1.0	-	3.0	5.0	10.0	3.0	-	-	1619.0	6.0	9.0	16.0	4.0	19.0	3.0	26.0	1.0	4.0	1534.0
Эстонцы 	28113.0	3102.0	85.0	54.0	74.0	95.0	61.0	74.0	43.0	35.0	57.0	460.0	25.0	42.0	70.0	44.0	443.0	65.0	131.0	1244.0	6292.0	257.0	241.0	125.0	6.0	106.0	282.0	1409.0	177.0	307.0	1122.0	2266.0	2483.0	52.0	10.0	-	44.0	114.0	65.0	44.0	7.0	1138.0	472.0	73.0	201.0	263.0	2274.0	301.0	29.0	31.0	127.0	95.0	34.0	213.0	100.0	93.0	43.0	196.0	2.0	403.0	290.0	319.0	1576.0	51.0	437.0	584.0	182.0	84.0	504.0	11400.0	19.0	55.0	79.0	308.0	420.0	4104.0	8.0	8.0	327.0	5.0	858.0	1399.0	3025.0	751.0	55.0	1.0	986.0	94.0	412.0	159.0	78.0	85.0	4.0	51.0	83.0	17.0	7.0
Эстонцы-сету	197.0	5.0	-	-	-	-	-	-	-	-	-	1.0	-	-	-	1.0	-	-	-	3.0	179.0	-	-	-	-	-	-	2.0	-	-	172.0	5.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-	1.0	-	1.0	-	-	-	-	9.0	-	-	1.0	1.0	-	7.0	-	-	-	-	-	-	-	-	-	-	1.0	-	1.0	-	-	-	-	-	-	-	-
Юкагиры	1509.0	48.0	3.0	-	-	-	5.0	-	-	1.0	3.0	10.0	-	6.0	-	-	3.0	1.0	-	16.0	31.0	-	5.0	-	-	-	-	1.0	1.0	2.0	-	22.0	16.0	-	1.0	-	-	-	-	-	-	7.0	2.0	2.0	1.0	3.0	20.0	-	-	-	6.0	-	-	1.0	1.0	7.0	-	2.0	-	-	2.0	1.0	3.0	-	-	1.0	1.0	-	2.0	17.0	1.0	-	-	3.0	1.0	-	-	-	6.0	-	2.0	1.0	3.0	-	-	-	1374.0	1097.0	4.0	5.0	1.0	1.0	-	79.0	2.0	-	185.0
