5. СОЦИАЛЬНО-ЭКОНОМИЧЕСКАЯ ХАРАКТЕРИСТИКА НАСЕЛЕНИЯ																		
5.1. НАСЕЛЕНИЕ ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																		
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																		
																		
	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
		доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безработице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Мурманская область	1079572.0	459936.0	16688.0	14893.0	189778.0	15511.0	79471.0	16726.0	13126.0	2895.0	458.0	260854.0	9236.0	10189.0	693235.0	181205.0	7713.0	192.0
Новгородская область	900325.0	292163.0	84761.0	17514.0	179601.0	30488.0	80415.0	3252.0	12627.0	1515.0	432.0	181696.0	15861.0	5679.0	487799.0	190322.0	10351.0	204.0
Псковская область	1032451.0	311776.0	131740.0	16873.0	205446.0	31229.0	100937.0	7202.0	13666.0	1405.0	499.0	193221.0	18457.0	2547.0	496132.0	250246.0	11718.0	167.0
г. Санкт-Петербург	4963858.0	2094399.0	56935.0	130427.0	1025862.0	154643.0	250837.0	14504.0	71926.0	13837.0	5010.0	1077574.0	67904.0	378738.0	3627218.0	631108.0	22722.0	1433.0
Южный федеральный округ	29942905.0	7936762.0	2666853.0	570023.0	4638539.0	773261.0	4090620.0	337507.0	236588.0	62635.0	95093.0	8168291.0	366733.0	59452.0	16015038.0	6576074.0	250866.0	5711.0
Республика Адыгея	608525.0	147245.0	70513.0	12571.0	103958.0	16355.0	78625.0	3074.0	5666.0	1638.0	1183.0	166096.0	1601.0	1772.0	289536.0	148557.0	7103.0	141.0
Республика Дагестан	3825581.0	574322.0	472252.0	102982.0	285995.0	90030.0	846592.0	95284.0	9331.0	7561.0	6870.0	1301727.0	32635.0	54.0	1361938.0	1180440.0	33637.0	462.0
Республика Ингушетия	505178.0	42664.0	15763.0	14648.0	37638.0	16168.0	163364.0	27299.0	11963.0	2439.0	1073.0	154014.0	18145.0	963.0	428289.0	37260.0	759.0	23.0
Кабардино-Балкарская Республика	1353393.0	293288.0	174005.0	38196.0	144209.0	25075.0	238277.0	6862.0	5077.0	2319.0	976.0	420182.0	4927.0	12.0	471830.0	407864.0	21319.0	469.0
Республика Калмыкия	406813.0	98713.0	27176.0	7439.0	49334.0	10960.0	70619.0	3698.0	2659.0	505.0	339.0	134438.0	933.0	31.0	183089.0	104190.0	5057.0	43.0
Карачаево-Черкесская Республика	599652.0	111924.0	57212.0	16705.0	80142.0	22694.0	100623.0	4394.0	1457.0	830.0	558.0	180858.0	22255.0	271.0	282375.0	153233.0	3554.0	37.0
Республика Северная Осетия - Алания	966258.0	213781.0	90577.0	26652.0	145727.0	23071.0	134343.0	5208.0	5655.0	3057.0	1079.0	309559.0	7549.0	3832.0	454785.0	243608.0	7946.0	104.0
Чеченская Республика	1313775.0	150958.0	89625.0	17811.0	105150.0	25930.0	363590.0	128011.0	3830.0	1011.0	684.0	381473.0	45702.0	21069.0	857108.0	220108.0	5220.0	181.0
Краснодарский край	6650838.0	2028639.0	691002.0	89458.0	1200384.0	149311.0	679038.0	16822.0	57349.0	20516.0	21887.0	1643735.0	52697.0	12263.0	3629115.0	1430899.0	51888.0	1056.0
Ставропольский край	3576235.0	1036697.0	305994.0	51986.0	589659.0	95743.0	420315.0	10226.0	34216.0	7430.0	29683.0	956751.0	37535.0	17.0	1934654.0	760927.0	38459.0	1082.0
Астраханская область	1221251.0	411377.0	55932.0	22341.0	204919.0	21915.0	112563.0	7753.0	12480.0	1645.0	751.0	339560.0	30015.0	2464.0	792441.0	202504.0	7688.0	179.0
Волгоградская область	3400055.0	1100739.0	273868.0	44458.0	641797.0	83023.0	305953.0	11940.0	39214.0	4796.0	7858.0	818137.0	68272.0	8825.0	2012734.0	646826.0	29764.0	1074.0
Ростовская область	5515351.0	1726415.0	342934.0	124776.0	1049627.0	192986.0	576718.0	16936.0	47691.0	8888.0	22152.0	1361761.0	44467.0	7879.0	3317144.0	1039658.0	38472.0	860.0
Приволжский федеральный округ	41774353.0	13627398.0	5494507.0	681263.0	6976036.0	974268.0	3644320.0	189684.0	440550.0	64244.0	27630.0	9305182.0	349271.0	77796.0	20968281.0	9535805.0	557381.0	15481.0
Республика Башкортостан	5681140.0	1708859.0	928149.0	102455.0	873866.0	99025.0	471760.0	23720.0	46189.0	9398.0	3106.0	1362267.0	52346.0	2920.0	2617903.0	1390388.0	90130.0	2995.0
Республика Марий Эл	1075236.0	305944.0	181339.0	22786.0	149913.0	29969.0	125602.0	7440.0	10450.0	1166.0	701.0	233819.0	6107.0	2614.0	398403.0	304770.0	21477.0	715.0
Республика Мордовия	1447517.0	364518.0	335916.0	29989.0	211052.0	39970.0	159989.0	6879.0	21928.0	1251.0	926.0	272354.0	2745.0	3543.0	363228.0	482778.0	38145.0	1072.0
Республика Татарстан	4624828.0	1718225.0	530899.0	77942.0	789905.0	105265.0	186767.0	13345.0	37913.0	6352.0	1848.0	1109408.0	46959.0	1145.0	2969016.0	772350.0	35924.0	830.0
Удмуртская Республика	2240467.0	739598.0	338131.0	33404.0	316515.0	47530.0	231377.0	12093.0	21822.0	2958.0	1367.0	484692.0	10980.0	2582.0	936495.0	590852.0	39307.0	1080.0
Чувашская Республика	2019354.0	562754.0	396878.0	32252.0	280455.0	43089.0	248775.0	9973.0	19319.0	3293.0	870.0	410524.0	11172.0	3452.0	649510.0	613965.0	45430.0	1397.0
Кировская область	2252052.0	685095.0	445388.0	30202.0	362450.0	50042.0	206140.0	20037.0	26380.0	3097.0	1346.0	408738.0	13137.0	3763.0	799083.0	650649.0	48492.0	1542.0
Нижегородская область	4490402.0	1628619.0	452054.0	45129.0	884071.0	116813.0	332837.0	12957.0	45727.0	7747.0	2607.0	917140.0	44701.0	404.0	2600469.0	880523.0	41668.0	964.0
Оренбургская область	3077426.0	905853.0	452697.0	50595.0	455586.0	87355.0	336308.0	4972.0	25002.0	3548.0	3587.0	737807.0	14116.0	3025.0	1327465.0	798384.0	49535.0	1142.0
Пензенская область	1911704.0	572711.0	215976.0	37029.0	368033.0	43384.0	200556.0	14208.0	15906.0	3357.0	1342.0	431464.0	7738.0	1781.0	1006951.0	428153.0	15786.0	270.0
Пермская область	3776605.0	1254786.0	485451.0	66086.0	617498.0	92449.0	279231.0	13235.0	66623.0	5537.0	1963.0	844843.0	48903.0	15959.0	1894128.0	847776.0	59402.0	2156.0
Коми-Пермяцкий автономный округ	232085.0	45616.0	60927.0	3664.0	31570.0	5346.0	29163.0	1366.0	1395.0	324.0	83.0	49017.0	3614.0	11.0	47329.0	81704.0	6787.0	245.0
Самарская область	4036090.0	1510660.0	237551.0	63657.0	723848.0	102118.0	390487.0	19908.0	45157.0	7574.0	3082.0	888019.0	44029.0	20860.0	2436857.0	747559.0	33749.0	712.0
Саратовская область	3335980.0	1078889.0	285060.0	63366.0	627590.0	65512.0	318866.0	19370.0	39037.0	5711.0	3653.0	792351.0	36575.0	15457.0	1992428.0	638072.0	22010.0	343.0
Ульяновская область	1805552.0	590887.0	209018.0	26371.0	315254.0	51747.0	155625.0	11547.0	19097.0	3255.0	1232.0	411756.0	9763.0	291.0	976345.0	389586.0	16326.0	263.0
Уральский федеральный округ	15502707.0	5707415.0	1362985.0	238783.0	2503840.0	332021.0	1103482.0	85322.0	198773.0	28503.0	13688.0	3793835.0	134060.0	68493.0	9281593.0	2854600.0	165196.0	4044.0
Курганская область	1417171.0	391006.0	205889.0	23718.0	242720.0	30248.0	159122.0	8460.0	15023.0	1341.0	1074.0	323455.0	15115.0	345.0	639149.0	362434.0	17284.0	320.0
Свердловская область	5683097.0	2106054.0	558475.0	83525.0	1013390.0	141284.0	349962.0	28877.0	82371.0	9744.0	3864.0	1245263.0	60288.0	27335.0	3307696.0	1080026.0	69348.0	1809.0
Тюменская область	3792429.0	1590581.0	184464.0	59463.0	429186.0	75456.0	213895.0	24143.0	46019.0	9329.0	4769.0	1112753.0	42371.0	33068.0	2698255.0	507147.0	25625.0	746.0
Ханты-Мансийский автономный округ – Югра	1570386.0	760517.0	27634.0	15397.0	142888.0	20574.0	58453.0	14376.0	14529.0	4298.0	1865.0	495597.0	14258.0	13717.0	1273820.0	139411.0	5734.0	135.0
Ямало-Ненецкий автономный округ	554952.0	275388.0	4188.0	3725.0	41778.0	5762.0	22978.0	5440.0	8215.0	1851.0	447.0	178660.0	6520.0	7229.0	447637.0	49231.0	2784.0	125.0
Челябинская область	4610010.0	1619774.0	414157.0	72077.0	818544.0	85033.0	380503.0	23842.0	55360.0	8089.0	3981.0	1112364.0	16286.0	7745.0	2636493.0	904993.0	52939.0	1169.0
Сибирский федеральный округ	27824524.0	8381989.0	3967566.0	474372.0	4174327.0	672413.0	2607570.0	197391.0	330348.0	39799.0	32944.0	6652487.0	293318.0	34604.0	12806052.0	6666789.0	537418.0	18075.0
Республика Алтай	351044.0	68601.0	92478.0	5275.0	35258.0	10887.0	49512.0	1380.0	2669.0	282.0	428.0	83128.0	1146.0	319.0	70278.0	117079.0	14482.0	789.0
Республика Бурятия	1401332.0	369527.0	206746.0	27927.0	178894.0	36155.0	159905.0	6288.0	14356.0	1372.0	815.0	386894.0	12453.0	816.0	603193.0	335501.0	39793.0	1935.0
Республика Тыва	479833.0	84654.0	55091.0	9167.0	51455.0	17782.0	91669.0	8626.0	5458.0	473.0	858.0	153222.0	1378.0	3.0	151489.0	134571.0	18588.0	859.0
Республика Хакасия	740003.0	218897.0	86896.0	11941.0	107485.0	20262.0	77776.0	7023.0	9459.0	854.0	526.0	187306.0	11578.0	169.0	363907.0	170239.0	11420.0	337.0
Алтайский край	4208351.0	1055577.0	1079861.0	63395.0	578038.0	92342.0	387922.0	25204.0	37377.0	5594.0	5883.0	835708.0	41450.0	507.0	1165272.0	1287641.0	148305.0	5701.0
Красноярский край	3967607.0	1332119.0	469996.0	62001.0	585568.0	94964.0	347810.0	34679.0	50134.0	6178.0	3471.0	963609.0	17078.0	14840.0	1994532.0	898207.0	57223.0	1240.0
Таймырский (Долгано-Ненецкий) автономный округ	48839.0	19839.0	448.0	505.0	5179.0	916.0	6164.0	1093.0	678.0	118.0	16.0	13734.0	149.0	944.0	29458.0	8788.0	580.0	16.0
Эвенкийский автономный округ	25457.0	8565.0	2673.0	247.0	2679.0	467.0	3467.0	448.0	197.0	148.0	16.0	6406.0	144.0	9.0	10482.0	6648.0	553.0	5.0
Иркутская область	3387536.0	1084244.0	354740.0	51491.0	526719.0	89218.0	296855.0	20338.0	50155.0	5210.0	2973.0	850262.0	55331.0	11091.0	1808369.0	709183.0	51497.0	1565.0
Усть-Ордынский Бурятский автономный округ	243286.0	41930.0	65216.0	1633.0	24455.0	7249.0	41069.0	1118.0	1245.0	647.0	410.0	55260.0	3054.0	55.0	39423.0	84303.0	10929.0	617.0
Кемеровская область	3749338.0	1233812.0	389182.0	54816.0	669521.0	85659.0	288840.0	33078.0	54340.0	5404.0	1763.0	878900.0	54023.0	2284.0	2090060.0	762293.0	43372.0	1133.0
Новосибирская область	3644406.0	1202152.0	482777.0	59611.0	591281.0	81064.0	296418.0	10597.0	39055.0	6260.0	6464.0	839085.0	29642.0	26.0	1793159.0	847397.0	50280.0	1389.0
Омская область	2835326.0	847602.0	347765.0	53545.0	431604.0	74603.0	295179.0	13520.0	30074.0	4131.0	7639.0	696237.0	33427.0	1592.0	1366869.0	665098.0	44409.0	1252.0
Томская область	1420479.0	444051.0	156930.0	53110.0	207450.0	29192.0	117222.0	16343.0	15721.0	2631.0	1352.0	366500.0	9977.0	18.0	696790.0	324678.0	23890.0	663.0
Читинская область	1639269.0	440753.0	245104.0	22093.0	211054.0	40285.0	198462.0	20315.0	21550.0	1410.0	772.0	411636.0	25835.0	2939.0	702134.0	414902.0	34159.0	1212.0
Агинский Бурятский автономный округ	143358.0	21419.0	48144.0	669.0	11650.0	2693.0	23553.0	1691.0	188.0	31.0	65.0	33081.0	174.0	4.0	11982.0	49861.0	9811.0	555.0
Дальневосточный федеральный округ	8703485.0	3046101.0	627827.0	153828.0	1302266.0	193294.0	880900.0	82166.0	122636.0	18823.0	5292.0	2140925.0	129427.0	53206.0	4699110.0	1820479.0	116977.0	3093.0
Республика Саха (Якутия)	1335385.0	428897.0	104455.0	29153.0	147762.0	28621.0	194265.0	4810.0	12876.0	4021.0	989.0	371824.0	7712.0	3421.0	585154.0	332735.0	27141.0	829.0
Приморский край	2629044.0	933290.0	200970.0	46022.0	410410.0	65083.0	233203.0	33427.0	38980.0	4576.0	1446.0	628101.0	33536.0	24254.0	1494730.0	523030.0	28568.0	628.0
Хабаровский край	1840991.0	677552.0	114170.0	33893.0	302160.0	39168.0	167123.0	13840.0	28875.0	3597.0	1255.0	425517.0	33841.0	4554.0	1048301.0	359007.0	24175.0	533.0
Амурская область	1216288.0	383226.0	119967.0	22902.0	169555.0	31124.0	139508.0	8802.0	16279.0	1300.0	638.0	298725.0	24262.0	1457.0	604014.0	280295.0	16635.0	443.0
Камчатская область	432797.0	169706.0	19805.0	3897.0	68827.0	5734.0	29983.0	7585.0	9067.0	1677.0	348.0	105420.0	10748.0	12003.0	267451.0	73033.0	5999.0	315.0
Корякский автономный округ	34895.0	11168.0	3841.0	218.0	4623.0	551.0	4324.0	1951.0	469.0	51.0	10.0	6873.0	816.0	225.0	15864.0	8227.0	793.0	48.0
Магаданская область	232389.0	92374.0	10144.0	4081.0	35875.0	4019.0	18009.0	4829.0	3451.0	1427.0	132.0	55776.0	2272.0	1886.0	132609.0	45019.0	3108.0	104.0
Сахалинская область	677657.0	253462.0	20779.0	8678.0	123245.0	12901.0	56110.0	6960.0	7647.0	1655.0	335.0	173128.0	12757.0	3579.0	415496.0	120871.0	6580.0	169.0
Еврейская автономная область	269552.0	77249.0	36998.0	4621.0	35892.0	5637.0	32169.0	1080.0	4912.0	298.0	128.0	66933.0	3635.0	427.0	115593.0	70790.0	4041.0	64.0
Чукотский автономный округ	69382.0	30345.0	539.0	581.0	8540.0	1007.0	10530.0	833.0	549.0	272.0	21.0	15501.0	664.0	1625.0	35762.0	15699.0	730.0	8.0
