10. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И УРОВНЮ ОБРАЗОВАНИЯ												
												
												
	Численность населения соответ-ствующей националь-ности	в том числе имеют образование								Не имеют начального общего образования	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более												
в том числе в возрасте, лет:												
15-17	104576.0	-	-	19.0	1170.0	1991.0	18734.0	73215.0	9079.0	328.0	265.0	40.0
18-19	60885.0	-	2.0	2759.0	8992.0	9325.0	29540.0	9562.0	489.0	207.0	184.0	9.0
20-24	123405.0	111.0	9956.0	11982.0	36966.0	27667.0	24727.0	10479.0	1112.0	371.0	334.0	34.0
25-29	109192.0	297.0	16102.0	3755.0	35125.0	28031.0	16809.0	7860.0	871.0	313.0	274.0	29.0
30-34	114875.0	249.0	14901.0	2423.0	42201.0	31771.0	17135.0	5164.0	641.0	344.0	308.0	46.0
35-39	144478.0	258.0	17373.0	2101.0	52960.0	40864.0	24177.0	5517.0	788.0	400.0	354.0	40.0
40-44	165145.0	306.0	19426.0	1785.0	56317.0	47739.0	29875.0	7949.0	1251.0	448.0	382.0	49.0
45-49	123567.0	221.0	15293.0	1133.0	38373.0	35381.0	21288.0	9794.0	1726.0	324.0	270.0	34.0
50-54	86715.0	178.0	11806.0	834.0	24271.0	21588.0	13577.0	11453.0	2707.0	262.0	201.0	39.0
55-59	40277.0	114.0	5431.0	426.0	9252.0	8219.0	4834.0	7957.0	3863.0	168.0	121.0	13.0
60-64	73955.0	143.0	6282.0	440.0	10383.0	10356.0	5905.0	20089.0	19540.0	803.0	455.0	14.0
65-69	66359.0	86.0	3843.0	292.0	6321.0	6369.0	3627.0	15944.0	27807.0	2056.0	1267.0	14.0
70 и более	116844.0	93.0	3834.0	698.0	6582.0	5530.0	3938.0	20758.0	62843.0	12545.0	8725.0	23.0
Возраст не указан	207.0	-	23.0	5.0	39.0	21.0	23.0	19.0	22.0	3.0	3.0	52.0
Чуваши	1384764.0	1709.0	137130.0	26919.0	345217.0	248369.0	256047.0	216872.0	135441.0	16417.0	9543.0	643.0
в том числе в возрасте, лет:												
15-17	81161.0	-	-	8.0	590.0	1158.0	17389.0	56186.0	5551.0	240.0	202.0	39.0
18-19	48516.0	-	3.0	2668.0	6983.0	6495.0	25671.0	6209.0	342.0	135.0	119.0	10.0
20-24	107227.0	90.0	10104.0	11186.0	30264.0	21751.0	23779.0	8806.0	832.0	359.0	307.0	56.0
25-29	109756.0	210.0	16129.0	3379.0	33848.0	25385.0	21283.0	8278.0	796.0	407.0	344.0	41.0
30-34	117794.0	193.0	15183.0	2138.0	42768.0	28828.0	21718.0	5888.0	647.0	359.0	315.0	72.0
35-39	148489.0	192.0	18953.0	1892.0	54604.0	35007.0	30723.0	5959.0	691.0	390.0	342.0	78.0
40-44	168843.0	241.0	20950.0	1683.0	57696.0	39912.0	38361.0	8590.0	945.0	367.0	311.0	98.0
45-49	137408.0	185.0	17211.0	1162.0	43623.0	32525.0	29109.0	11789.0	1460.0	281.0	224.0	63.0
50-54	108752.0	151.0	13131.0	808.0	31092.0	23801.0	20034.0	16755.0	2705.0	223.0	170.0	52.0
55-59	52030.0	96.0	6434.0	371.0	11700.0	9727.0	7644.0	11657.0	4213.0	164.0	111.0	24.0
60-64	89562.0	127.0	7780.0	474.0	13466.0	11332.0	9751.0	27457.0	18587.0	556.0	304.0	32.0
65-69	78946.0	112.0	5252.0	347.0	8370.0	6507.0	5389.0	21777.0	29381.0	1781.0	882.0	30.0
70 и более	136280.0	112.0	6000.0	803.0	10213.0	5941.0	5196.0	27521.0	69291.0	11155.0	5912.0	48.0
Возраст не указан	135.0	-	12.0	4.0	24.0	17.0	25.0	10.0	8.0	3.0	1.0	32.0
Чеченцы	898701.0	2090.0	65808.0	26119.0	104173.0	51033.0	337447.0	172539.0	83862.0	44296.0	31990.0	11334.0
в том числе в возрасте, лет:												
15-17	92299.0	-	-	51.0	830.0	810.0	15265.0	51188.0	17274.0	3172.0	371.0	3709.0
18-19	55283.0	-	11.0	3295.0	2755.0	1612.0	29725.0	12901.0	3394.0	715.0	220.0	875.0
20-24	123030.0	148.0	5035.0	9006.0	11029.0	5836.0	61839.0	22502.0	5481.0	945.0	293.0	1209.0
25-29	100688.0	299.0	9683.0	4145.0	12587.0	6428.0	48881.0	14614.0	2735.0	646.0	246.0	670.0
30-34	97256.0	376.0	11008.0	2854.0	16330.0	8066.0	44706.0	10629.0	2044.0	663.0	270.0	580.0
35-39	94953.0	350.0	10919.0	2167.0	16819.0	8227.0	41830.0	11010.0	2419.0	674.0	291.0	538.0
40-44	99038.0	367.0	11327.0	2036.0	17262.0	8423.0	40737.0	13805.0	3609.0	943.0	445.0	529.0
45-49	76869.0	258.0	7983.0	1208.0	12953.0	5985.0	27924.0	13962.0	5263.0	958.0	497.0	375.0
50-54	48917.0	155.0	5284.0	709.0	7594.0	3115.0	15137.0	9423.0	5780.0	1387.0	778.0	333.0
55-59	18060.0	57.0	1744.0	278.0	2211.0	895.0	4116.0	3218.0	3911.0	1442.0	989.0	188.0
60-64	27246.0	50.0	1682.0	218.0	1990.0	871.0	3574.0	4012.0	9206.0	5250.0	3988.0	393.0
65-69	26922.0	21.0	772.0	87.0	1036.0	454.0	2111.0	2762.0	10025.0	9016.0	7408.0	638.0
70 и более	38140.0	9.0	360.0	65.0	777.0	311.0	1602.0	2513.0	12721.0	18485.0	16194.0	1297.0
Возраст не указан	648.0	1.0	28.0	6.0	40.0	17.0	165.0	70.0	44.0	40.0	18.0	237.0
Армяне	894872.0	3775.0	157581.0	30087.0	200671.0	84075.0	250460.0	122286.0	39505.0	4092.0	2108.0	2340.0
в том числе в возрасте, лет:												
15-17	62080.0	-	-	128.0	713.0	891.0	13479.0	40511.0	5867.0	191.0	82.0	300.0
18-19	38659.0	-	19.0	3779.0	3329.0	2317.0	22347.0	6253.0	472.0	83.0	60.0	60.0
20-24	89514.0	218.0	10412.0	10628.0	16090.0	7655.0	32613.0	10518.0	1022.0	169.0	105.0	189.0
25-29	86933.0	409.0	16596.0	3292.0	19529.0	8605.0	29263.0	8195.0	666.0	135.0	67.0	243.0
30-34	94470.0	363.0	19062.0	2884.0	27710.0	11566.0	26750.0	5125.0	574.0	120.0	47.0	316.0
35-39	102931.0	416.0	22725.0	2474.0	30683.0	12661.0	27895.0	5065.0	612.0	114.0	52.0	286.0
40-44	113889.0	488.0	25102.0	2170.0	34113.0	13984.0	30659.0	6136.0	814.0	145.0	72.0	278.0
45-49	83920.0	408.0	19430.0	1447.0	24665.0	9479.0	21528.0	5879.0	782.0	106.0	39.0	196.0
50-54	59146.0	358.0	14414.0	1099.0	16383.0	5962.0	14287.0	5515.0	893.0	76.0	33.0	159.0
55-59	29243.0	238.0	7438.0	567.0	6918.0	2582.0	6854.0	3499.0	1011.0	64.0	29.0	72.0
60-64	42550.0	286.0	8163.0	559.0	8131.0	3266.0	9945.0	7800.0	4091.0	245.0	107.0	64.0
65-69	34318.0	245.0	5818.0	357.0	5541.0	2305.0	6350.0	6610.0	6482.0	546.0	287.0	64.0
70 и более	57219.0	346.0	8402.0	703.0	6866.0	2802.0	8490.0	11180.0	16219.0	2098.0	1128.0	113.0
Возраст не указан	279.0	1.0	39.0	6.0	32.0	8.0	43.0	20.0	7.0	2.0	1.0	121.0
Мордва	764606.0	1020.0	69334.0	12160.0	189113.0	122632.0	131483.0	107081.0	109021.0	22182.0	14198.0	580.0
в том числе в возрасте, лет:												
15-17	28456.0	-	-	9.0	173.0	398.0	6148.0	19890.0	1712.0	90.0	66.0	36.0
18-19	17942.0	-	-	945.0	2619.0	2126.0	9705.0	2331.0	139.0	65.0	55.0	12.0
20-24	41836.0	43.0	4716.0	4802.0	13142.0	7550.0	8049.0	2999.0	343.0	155.0	125.0	37.0
25-29	44221.0	133.0	7491.0	1253.0	14898.0	9341.0	7525.0	3083.0	320.0	137.0	113.0	40.0
30-34	51495.0	122.0	6896.0	858.0	20430.0	11363.0	8821.0	2442.0	337.0	180.0	156.0	46.0
35-39	73789.0	105.0	8899.0	954.0	28937.0	16152.0	15187.0	2908.0	390.0	202.0	178.0	55.0
40-44	96375.0	135.0	11138.0	939.0	34911.0	21325.0	22493.0	4460.0	616.0	279.0	236.0	79.0
45-49	86366.0	108.0	9608.0	705.0	28104.0	19563.0	20024.0	6858.0	1129.0	204.0	173.0	63.0
50-54	73983.0	119.0	8297.0	598.0	20943.0	15202.0	15658.0	10610.0	2270.0	234.0	180.0	52.0
55-59	32508.0	52.0	3795.0	281.0	6885.0	5541.0	5041.0	7089.0	3643.0	157.0	117.0	24.0
60-64	62377.0	97.0	3688.0	259.0	7705.0	6903.0	6599.0	18490.0	17830.0	792.0	417.0	14.0
65-69	50392.0	61.0	2384.0	181.0	4817.0	3859.0	3182.0	12019.0	21651.0	2215.0	1282.0	23.0
70 и более	104866.0	45.0	2422.0	376.0	5549.0	3309.0	3051.0	13902.0	58641.0	17472.0	11100.0	99.0
Возраст не указан	68.0	-	1.0	3.0	14.0	7.0	9.0	8.0	14.0	1.0	1.0	11.0
Аварцы	571299.0	1292.0	59472.0	24314.0	78812.0	31309.0	204194.0	108022.0	54359.0	9417.0	7495.0	108.0
в том числе в возрасте, лет:												
15-17	55632.0	-	-	13.0	591.0	422.0	13381.0	37009.0	3980.0	211.0	162.0	25.0
18-19	37653.0	-	2.0	4095.0	1995.0	1050.0	23862.0	5419.0	1107.0	117.0	91.0	6.0
20-24	76240.0	101.0	6633.0	12747.0	8547.0	3381.0	32315.0	10103.0	2191.0	213.0	173.0	9.0
25-29	64178.0	197.0	9293.0	2568.0	9481.0	3977.0	28391.0	8506.0	1561.0	196.0	153.0	8.0
30-34	65154.0	205.0	8047.0	1482.0	12693.0	5286.0	28726.0	7000.0	1464.0	244.0	203.0	7.0
35-39	63729.0	177.0	8466.0	1163.0	13142.0	5439.0	26558.0	6944.0	1606.0	226.0	184.0	8.0
40-44	58429.0	180.0	9071.0	884.0	12074.0	4747.0	21866.0	7185.0	2149.0	264.0	205.0	9.0
45-49	36447.0	129.0	6309.0	485.0	7362.0	2632.0	11490.0	5675.0	2188.0	169.0	124.0	8.0
50-54	25785.0	104.0	4678.0	306.0	4810.0	1680.0	7051.0	4600.0	2338.0	214.0	167.0	4.0
55-59	13009.0	44.0	2038.0	146.0	2175.0	676.0	2807.0	2699.0	2215.0	207.0	146.0	2.0
60-64	20641.0	66.0	2449.0	174.0	2576.0	866.0	3270.0	4374.0	6273.0	590.0	404.0	3.0
65-69	21718.0	55.0	1449.0	131.0	1828.0	672.0	2377.0	4269.0	9681.0	1250.0	914.0	6.0
70 и более	32684.0	34.0	1037.0	120.0	1538.0	481.0	2100.0	4239.0	17606.0	5516.0	4569.0	13.0
Возраст не указан	34.0	-	2.0	4.0	7.0	1.0	7.0	8.0	2.0	-	-	3.0
Белорусы	771265.0	3041.0	140075.0	16872.0	226666.0	101392.0	108503.0	88234.0	76548.0	8280.0	4117.0	1654.0
в том числе в возрасте, лет:												
15-17	15433.0	-	-	23.0	150.0	242.0	3399.0	10204.0	1263.0	63.0	47.0	89.0
18-19	10134.0	-	6.0	979.0	1281.0	888.0	5532.0	1273.0	117.0	34.0	29.0	24.0
20-24	30560.0	91.0	4390.0	4268.0	8176.0	3912.0	6697.0	2545.0	317.0	78.0	55.0	86.0
25-29	40354.0	206.0	9638.0	1864.0	13200.0	5644.0	6537.0	2843.0	266.0	64.0	50.0	92.0
30-34	54083.0	236.0	13116.0	1773.0	21560.0	7690.0	7173.0	2096.0	228.0	84.0	54.0	127.0
35-39	72789.0	329.0	18331.0	1666.0	29838.0	11021.0	9335.0	1746.0	241.0	91.0	58.0	191.0
40-44	92681.0	422.0	21759.0	1632.0	36631.0	14899.0	14160.0	2542.0	335.0	79.0	47.0	222.0
45-49	81602.0	376.0	18099.0	1180.0	30535.0	14045.0	13017.0	3594.0	499.0	70.0	45.0	187.0
50-54	75537.0	316.0	15591.0	959.0	26473.0	12545.0	12292.0	6055.0	1088.0	81.0	45.0	137.0
55-59	51909.0	254.0	10086.0	590.0	14448.0	7744.0	7832.0	7671.0	3099.0	91.0	39.0	94.0
60-64	80166.0	324.0	12256.0	681.0	19200.0	10028.0	10293.0	15985.0	10900.0	397.0	158.0	102.0
65-69	66514.0	231.0	8390.0	446.0	12780.0	6664.0	5974.0	12924.0	17648.0	1329.0	594.0	128.0
70 и более	99503.0	256.0	8413.0	811.0	12394.0	6070.0	6262.0	18756.0	40547.0	5819.0	2896.0	175.0
Возраст не указан	168.0	1.0	23.0	6.0	57.0	10.0	23.0	18.0	7.0	2.0	1.0	21.0
Казахи	500582.0	618.0	35878.0	9483.0	122680.0	71708.0	107588.0	95294.0	46171.0	10883.0	8206.0	279.0
в том числе в возрасте, лет:												
15-17	42225.0	-	-	14.0	298.0	633.0	7820.0	28844.0	4371.0	222.0	173.0	23.0
18-19	25786.0	-	1.0	1029.0	2913.0	2440.0	13274.0	5423.0	554.0	143.0	121.0	9.0
20-24	53502.0	46.0	2790.0	3704.0	13609.0	8151.0	14338.0	9317.0	1227.0	288.0	242.0	32.0
25-29	50069.0	84.0	4491.0	1089.0	13906.0	9109.0	12011.0	8214.0	906.0	235.0	188.0	24.0
30-34	55091.0	68.0	4745.0	908.0	18924.0	10629.0	12594.0	6301.0	670.0	220.0	187.0	32.0
35-39	64550.0	91.0	6495.0	923.0	23399.0	11937.0	14507.0	6148.0	759.0	252.0	215.0	39.0
