10. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И УРОВНЮ ОБРАЗОВАНИЯ												
												
												
	Численность населения соответ-ствующей националь-ности	в том числе имеют образование								Не имеют начального общего образования	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более												
30-34	16785.0	37.0	2111.0	394.0	5649.0	3630.0	3361.0	1340.0	180.0	70.0	63.0	13.0
35-39	19186.0	44.0	2297.0	322.0	6351.0	4328.0	4426.0	1150.0	171.0	86.0	71.0	11.0
40-44	28299.0	61.0	3117.0	289.0	8917.0	7217.0	6401.0	1888.0	317.0	80.0	69.0	12.0
45-49	30596.0	58.0	3694.0	302.0	8869.0	8257.0	5827.0	2861.0	631.0	89.0	76.0	8.0
50-54	25779.0	108.0	4106.0	314.0	7146.0	6044.0	4125.0	2940.0	902.0	78.0	57.0	16.0
55-59	6686.0	57.0	1150.0	79.0	1668.0	1329.0	761.0	979.0	625.0	31.0	21.0	7.0
60-64	15167.0	39.0	1758.0	106.0	2544.0	2073.0	1078.0	2608.0	4668.0	291.0	175.0	2.0
65-69	11566.0	44.0	1052.0	59.0	1461.0	1066.0	528.0	1623.0	4976.0	755.0	455.0	2.0
70 и более	18792.0	39.0	848.0	108.0	1503.0	957.0	606.0	2610.0	10422.0	1693.0	968.0	6.0
Возраст не указан	24.0	-	4.0	1.0	3.0	4.0	2.0	1.0	1.0	-	-	8.0
Кабардинцы	186311.0	744.0	31198.0	7875.0	44782.0	22520.0	46527.0	23709.0	8076.0	850.0	602.0	30.0
в том числе в возрасте, лет:												
15-17	16636.0	-	-	-	130.0	162.0	4513.0	10897.0	880.0	54.0	36.0	-
18-19	11081.0	-	-	941.0	834.0	686.0	7459.0	1082.0	58.0	20.0	18.0	1.0
20-24	24465.0	47.0	3467.0	4079.0	4943.0	2368.0	7740.0	1644.0	129.0	42.0	38.0	6.0
25-29	19856.0	93.0	5270.0	808.0	5216.0	2647.0	4416.0	1256.0	105.0	42.0	40.0	3.0
30-34	19485.0	83.0	3970.0	518.0	6196.0	3244.0	4299.0	1031.0	110.0	32.0	29.0	2.0
35-39	20816.0	80.0	3799.0	480.0	7103.0	3516.0	4631.0	1029.0	134.0	37.0	35.0	7.0
40-44	20518.0	87.0	4096.0	357.0	6987.0	3339.0	4476.0	993.0	145.0	34.0	30.0	4.0
45-49	14520.0	90.0	3269.0	230.0	4853.0	2208.0	2885.0	831.0	130.0	21.0	19.0	3.0
50-54	10275.0	81.0	2486.0	186.0	3216.0	1441.0	1911.0	756.0	184.0	13.0	13.0	1.0
55-59	5670.0	47.0	1313.0	94.0	1599.0	754.0	984.0	573.0	283.0	22.0	17.0	1.0
60-64	9047.0	62.0	1706.0	67.0	1876.0	1088.0	1578.0	1345.0	1276.0	48.0	31.0	1.0
65-69	6694.0	37.0	1011.0	59.0	1051.0	627.0	945.0	1117.0	1751.0	95.0	58.0	1.0
70 и более	7248.0	37.0	811.0	56.0	778.0	440.0	690.0	1155.0	2891.0	390.0	238.0	-
Возраст не указан	6.0	-	-	-	2.0	-	2.0	-	-	-	-	2.0
Осетины	196838.0	908.0	41643.0	10720.0	43734.0	21944.0	41427.0	24262.0	11037.0	833.0	514.0	330.0
в том числе в возрасте, лет:												
15-17	14024.0	-	-	12.0	283.0	254.0	3482.0	8960.0	979.0	40.0	12.0	14.0
18-19	9071.0	-	1.0	1493.0	861.0	582.0	5035.0	966.0	103.0	16.0	12.0	14.0
20-24	20165.0	51.0	3551.0	4214.0	3231.0	1944.0	5490.0	1417.0	208.0	36.0	28.0	23.0
25-29	19125.0	126.0	5389.0	1315.0	4371.0	2491.0	3942.0	1223.0	197.0	38.0	31.0	33.0
30-34	19106.0	90.0	4765.0	947.0	5485.0	2817.0	3825.0	928.0	182.0	34.0	26.0	33.0
35-39	20125.0	92.0	5208.0	805.0	6041.0	2925.0	3871.0	896.0	211.0	35.0	28.0	41.0
40-44	20516.0	98.0	5522.0	599.0	6215.0	2994.0	3854.0	947.0	235.0	23.0	17.0	29.0
45-49	15789.0	86.0	4283.0	394.0	4714.0	2164.0	2892.0	944.0	245.0	31.0	25.0	36.0
50-54	13104.0	83.0	3759.0	309.0	3679.0	1627.0	2406.0	929.0	266.0	17.0	12.0	29.0
55-59	7658.0	55.0	2094.0	164.0	1985.0	893.0	1308.0	784.0	342.0	10.0	5.0	23.0
60-64	13039.0	84.0	2840.0	182.0	2913.0	1409.0	2148.0	1884.0	1493.0	64.0	39.0	22.0
65-69	10898.0	65.0	1878.0	126.0	2006.0	993.0	1540.0	1926.0	2251.0	97.0	58.0	16.0
70 и более	14218.0	78.0	2353.0	160.0	1950.0	851.0	1634.0	2458.0	4325.0	392.0	221.0	17.0
Возраст не указан	93.0	1.0	8.0	5.0	4.0	1.0	3.0	3.0	2.0	2.0	-	64.0
Даргинцы	176989.0	467.0	20658.0	7845.0	23367.0	12432.0	54517.0	39526.0	16605.0	1530.0	1038.0	42.0
в том числе в возрасте, лет:												
15-17	17919.0	-	-	1.0	177.0	146.0	3716.0	11919.0	1883.0	73.0	49.0	4.0
18-19	12133.0	-	1.0	1223.0	569.0	371.0	6875.0	2395.0	639.0	58.0	42.0	2.0
20-24	24689.0	27.0	2018.0	4132.0	2154.0	1286.0	9069.0	4516.0	1398.0	80.0	60.0	9.0
25-29	20606.0	61.0	2835.0	822.0	2614.0	1591.0	7738.0	3899.0	982.0	58.0	39.0	6.0
30-34	20986.0	58.0	2699.0	519.0	3838.0	2071.0	7566.0	3358.0	812.0	57.0	44.0	8.0
35-39	20204.0	62.0	3000.0	398.0	4192.0	2049.0	6729.0	2877.0	839.0	54.0	44.0	4.0
40-44	18427.0	66.0	3276.0	273.0	3491.0	1800.0	5706.0	2882.0	873.0	57.0	39.0	3.0
45-49	11537.0	50.0	2263.0	158.0	2183.0	1159.0	2870.0	2089.0	731.0	32.0	21.0	2.0
50-54	7668.0	41.0	1713.0	136.0	1455.0	726.0	1660.0	1351.0	551.0	32.0	16.0	3.0
55-59	3566.0	39.0	784.0	49.0	667.0	256.0	668.0	641.0	436.0	25.0	15.0	1.0
60-64	5713.0	29.0	956.0	52.0	796.0	429.0	819.0	1241.0	1303.0	88.0	60.0	-
65-69	5793.0	17.0	665.0	43.0	612.0	304.0	598.0	1156.0	2198.0	200.0	115.0	-
70 и более	7748.0	17.0	448.0	39.0	619.0	244.0	503.0	1202.0	3960.0	716.0	494.0	-
Возраст не указан	15.0	1.0	1.0	-	-	-	1.0	2.0	1.0	1.0	1.0	8.0
Буряты	157292.0	630.0	30304.0	7272.0	25802.0	16873.0	44356.0	23244.0	7557.0	1188.0	851.0	66.0
в том числе в возрасте, лет:												
15-17	15756.0	-	-	3.0	153.0	128.0	3315.0	10843.0	1211.0	102.0	82.0	1.0
18-19	9527.0	-	-	748.0	764.0	645.0	5726.0	1390.0	191.0	59.0	47.0	4.0
20-24	20194.0	25.0	2284.0	2807.0	3241.0	1974.0	7267.0	2105.0	348.0	129.0	112.0	14.0
25-29	16875.0	73.0	3687.0	947.0	3064.0	2037.0	5256.0	1530.0	176.0	95.0	74.0	10.0
30-34	14447.0	50.0	2954.0	666.0	3123.0	1982.0	4667.0	834.0	110.0	52.0	43.0	9.0
35-39	16216.0	53.0	4007.0	603.0	3453.0	2312.0	4799.0	775.0	127.0	81.0	67.0	6.0
40-44	18062.0	63.0	4549.0	523.0	3655.0	2546.0	5394.0	1070.0	178.0	79.0	68.0	5.0
45-49	14704.0	70.0	3955.0	378.0	2948.0	2035.0	3836.0	1156.0	238.0	84.0	68.0	4.0
50-54	10536.0	76.0	3366.0	263.0	2167.0	1256.0	2258.0	897.0	208.0	43.0	37.0	2.0
55-59	4375.0	57.0	1411.0	128.0	859.0	556.0	711.0	409.0	219.0	23.0	16.0	2.0
60-64	5921.0	65.0	1867.0	79.0	948.0	670.0	596.0	784.0	857.0	55.0	36.0	-
65-69	4078.0	43.0	1123.0	44.0	594.0	360.0	259.0	528.0	1041.0	86.0	53.0	-
70 и более	6601.0	55.0	1101.0	83.0	833.0	372.0	272.0	923.0	2653.0	300.0	148.0	9.0
Возраст не указан	18.0	-	1.0	1.0	3.0	-	4.0	1.0	-	1.0	1.0	7.0
Якуты	150000.0	493.0	19498.0	5001.0	30499.0	22452.0	42600.0	19406.0	8094.0	1682.0	1088.0	275.0
в том числе в возрасте, лет:												
15-17	15245.0	-	-	30.0	63.0	87.0	3342.0	9865.0	1746.0	77.0	72.0	35.0
18-19	9850.0	-	7.0	479.0	560.0	614.0	7018.0	1032.0	102.0	32.0	25.0	6.0
20-24	18041.0	23.0	1268.0	1813.0	3219.0	2430.0	7670.0	1276.0	228.0	85.0	69.0	29.0
25-29	14624.0	55.0	2111.0	660.0	3515.0	2642.0	4262.0	1109.0	174.0	74.0	64.0	22.0
30-34	14645.0	39.0	1915.0	519.0	3721.0	2916.0	4636.0	678.0	129.0	63.0	53.0	29.0
35-39	16720.0	50.0	2575.0	457.0	4626.0	3504.0	4673.0	616.0	123.0	69.0	58.0	27.0
40-44	17602.0	55.0	2773.0	331.0	4836.0	3671.0	4711.0	874.0	236.0	79.0	70.0	36.0
45-49	13853.0	61.0	2446.0	228.0	3732.0	2794.0	3229.0	957.0	315.0	63.0	54.0	28.0
50-54	9209.0	47.0	1972.0	167.0	2425.0	1711.0	1646.0	819.0	358.0	42.0	35.0	22.0
55-59	4983.0	35.0	1302.0	99.0	1212.0	814.0	661.0	476.0	315.0	56.0	35.0	13.0
60-64	4550.0	49.0	1230.0	70.0	917.0	580.0	330.0	474.0	773.0	120.0	70.0	7.0
65-69	4571.0	40.0	1053.0	55.0	859.0	399.0	225.0	514.0	1142.0	278.0	144.0	6.0
70 и более	6107.0	39.0	846.0	93.0	814.0	290.0	197.0	716.0	2453.0	644.0	339.0	15.0
Возраст не указан	16.0	-	1.0	-	3.0	-	1.0	2.0	1.0	-	-	8.0
Кумыки	143837.0	493.0	18609.0	7261.0	27230.0	14860.0	42366.0	24603.0	7506.0	862.0	545.0	47.0
в том числе в возрасте, лет:												
15-17	15239.0	-	-	5.0	196.0	213.0	3853.0	10047.0	852.0	60.0	27.0	13.0
18-19	10194.0	-	-	1193.0	728.0	533.0	6091.0	1427.0	197.0	20.0	13.0	5.0
20-24	19854.0	32.0	2064.0	3669.0	2698.0	1730.0	7135.0	2089.0	379.0	53.0	39.0	5.0
25-29	15824.0	68.0	2798.0	792.0	3136.0	1918.0	5081.0	1729.0	264.0	36.0	23.0	2.0
30-34	15243.0	43.0	2298.0	459.0	3830.0	2287.0	4620.0	1437.0	235.0	31.0	22.0	3.0
35-39	15758.0	60.0	2348.0	362.0	4292.0	2322.0	4702.0	1374.0	250.0	42.0	31.0	6.0
40-44	15560.0	80.0	2804.0	313.0	4342.0	2126.0	4116.0	1462.0	273.0	42.0	27.0	2.0
45-49	10694.0	49.0	2030.0	157.0	2967.0	1408.0	2575.0	1199.0	288.0	20.0	8.0	1.0
50-54	7638.0	48.0	1689.0	137.0	2050.0	857.0	1670.0	914.0	253.0	19.0	13.0	1.0
55-59	3671.0	24.0	782.0	60.0	912.0	450.0	703.0	492.0	233.0	14.0	8.0	1.0
60-64	4906.0	38.0	844.0	50.0	956.0	481.0	805.0	844.0	832.0	55.0	31.0	1.0
65-69	4099.0	30.0	512.0	32.0	578.0	313.0	520.0	764.0	1234.0	113.0	69.0	3.0
70 и более	5157.0	21.0	440.0	32.0	545.0	222.0	495.0	825.0	2216.0	357.0	234.0	4.0
Возраст не указан	10.0	-	-	2.0	1.0	1.0	4.0	1.0	-	-	-	1.0
Ингуши	130825.0	433.0	17150.0	8900.0	18966.0	13610.0	41628.0	19015.0	8135.0	2717.0	1474.0	271.0
в том числе в возрасте, лет:												
15-17	13375.0	-	-	3.0	270.0	238.0	3119.0	8371.0	1259.0	48.0	10.0	67.0
18-19	8844.0	-	3.0	1414.0	872.0	517.0	4849.0	961.0	192.0	24.0	13.0	12.0
20-24	19241.0	39.0	2089.0	3386.0	2394.0	1726.0	7652.0	1531.0	369.0	34.0	17.0	21.0
25-29	15739.0	72.0	3017.0	1470.0	2459.0	1850.0	5343.0	1173.0	293.0	43.0	17.0	19.0
30-34	15239.0	81.0	2731.0	918.0	2903.0	2207.0	4972.0	1074.0	265.0	57.0	21.0	31.0
35-39	13727.0	57.0	2554.0	608.0	2675.0	1953.0	4501.0	1040.0	259.0	53.0	26.0	27.0
40-44	13732.0	74.0	2503.0	487.0	2764.0	2012.0	4278.0	1124.0	408.0	66.0	23.0	16.0
45-49	9617.0	42.0	1604.0	273.0	1938.0	1343.0	2905.0	985.0	454.0	64.0	27.0	9.0
50-54	6168.0	24.0	1064.0	150.0	1125.0	762.0	1741.0	781.0	426.0	86.0	20.0	9.0
55-59	3142.0	14.0	524.0	82.0	544.0	366.0	728.0	434.0	376.0	69.0	24.0	5.0
60-64	3959.0	22.0	625.0	60.0	489.0	310.0	690.0	597.0	935.0	224.0	100.0	7.0
65-69	3438.0	6.0	286.0	22.0	281.0	199.0	468.0	471.0	1230.0	464.0	222.0	11.0
70 и более	4604.0	2.0	150.0	27.0	252.0	127.0	382.0	473.0	1669.0	1485.0	954.0	37.0
Возраст не указан	102.0	-	2.0	3.0	3.0	1.0	10.0	3.0	3.0	3.0	-	74.0
Лезгины	150456.0	624.0	25665.0	7985.0	30036.0	13744.0	48394.0	17975.0	5290.0	684.0	431.0	59.0
в том числе в возрасте, лет:												
15-17	15177.0	-	-	3.0	250.0	200.0	4062.0	9842.0	780.0	31.0	22.0	9.0
18-19	10674.0	-	2.0	1478.0	747.0	473.0	6971.0	891.0	91.0	19.0	16.0	2.0
20-24	19707.0	33.0	2261.0	3964.0	2764.0	1433.0	8014.0	1045.0	144.0	41.0	33.0	8.0
25-29	16476.0	82.0	3297.0	800.0	3328.0	1737.0	6268.0	785.0	135.0	39.0	23.0	5.0
30-34	16731.0	68.0	3135.0	510.0	4385.0	2060.0	5698.0	700.0	132.0	38.0	27.0	5.0
35-39	17579.0	67.0	3643.0	402.0	5063.0	2233.0	5298.0	672.0	159.0	32.0	22.0	10.0
40-44	17423.0	77.0	4362.0	316.0	4957.0	2196.0	4646.0	685.0	146.0	33.0	19.0	5.0
45-49	11179.0	79.0	2944.0	167.0	3198.0	1353.0	2717.0	567.0	127.0	20.0	9.0	7.0
50-54	7321.0	76.0	2226.0	130.0	2000.0	763.0	1585.0	410.0	120.0	10.0	7.0	1.0
55-59	2901.0	33.0	959.0	44.0	739.0	278.0	563.0	192.0	90.0	3.0	1.0	-
60-64	4867.0	47.0	1313.0	80.0	1025.0	409.0	946.0	535.0	477.0	32.0	16.0	3.0
65-69	4708.0	41.0	832.0	53.0	836.0	355.0	822.0	705.0	987.0	76.0	39.0	1.0
70 и более	5713.0	21.0	691.0	38.0	744.0	254.0	804.0	946.0	1902.0	310.0	197.0	3.0
Возраст не указан	13.0	-	-	2.0	5.0	-	1.0	2.0	1.0	-	-	2.0
Коми	107132.0	200.0	9103.0	1689.0	25909.0	24156.0	15471.0	21648.0	8209.0	704.0	456.0	43.0
в том числе в возрасте, лет:												
15-17	7649.0	-	-	-	23.0	81.0	676.0	5680.0	1114.0	71.0	40.0	4.0
18-19	4301.0	-	-	63.0	409.0	589.0	1708.0	1364.0	135.0	32.0	26.0	1.0
20-24	10326.0	7.0	503.0	577.0	2648.0	2233.0	1795.0	2187.0	305.0	67.0	56.0	4.0
25-29	9796.0	17.0	902.0	229.0	2716.0	2262.0	1605.0	1830.0	190.0	43.0	31.0	2.0
30-34	8837.0	10.0	707.0	144.0	2803.0	2206.0	1576.0	1221.0	110.0	55.0	45.0	5.0
35-39	11537.0	26.0	957.0	127.0	3665.0	3148.0	2126.0	1290.0	152.0	41.0	32.0	5.0
40-44	14978.0	25.0	1298.0	156.0	4474.0	4295.0	2536.0	1857.0	265.0	65.0	43.0	7.0
45-49	12200.0	19.0	1277.0	107.0	3354.0	3710.0	1485.0	1816.0	385.0	45.0	28.0	2.0
50-54	8907.0	33.0	1187.0	99.0	2298.0	2370.0	1004.0	1498.0	387.0	25.0	20.0	6.0
55-59	3439.0	20.0	586.0	33.0	911.0	802.0	323.0	527.0	214.0	23.0	22.0	-
60-64	5162.0	12.0	708.0	58.0	1016.0	1099.0	292.0	909.0	1024.0	42.0	21.0	2.0
65-69	4622.0	19.0	480.0	34.0	784.0	786.0	163.0	663.0	1623.0	68.0	30.0	2.0
70 и более	5378.0	12.0	498.0	62.0	808.0	575.0	182.0	806.0	2305.0	127.0	62.0	3.0
Возраст не указан	31.0	-	2.0	-	7.0	2.0	5.0	5.0	3.0	1.0	1.0	6.0
Тувинцы	77850.0	63.0	5458.0	1322.0	14098.0	11489.0	21904.0	17730.0	5154.0	627.0	411.0	5.0
в том числе в возрасте, лет:												
15-17	9631.0	-	-	-	37.0	135.0	1339.0	7025.0	1046.0	49.0	44.0	-
18-19	5673.0	-	-	54.0	407.0	571.0	3141.0	1319.0	140.0	39.0	30.0	2.0
20-24	11531.0	1.0	372.0	517.0	1863.0	1725.0	4718.0	1993.0	299.0	42.0	35.0	1.0
25-29	9874.0	7.0	725.0	193.0	1856.0	1747.0	3342.0	1707.0	244.0	53.0	43.0	-
30-34	9247.0	7.0	696.0	162.0	2164.0	1555.0	3037.0	1366.0	225.0	35.0	29.0	-
35-39	8629.0	9.0	882.0	160.0	2290.0	1579.0	2376.0	1087.0	208.0	38.0	32.0	-
40-44	7118.0	9.0	726.0	79.0	1952.0	1382.0	1749.0	931.0	256.0	34.0	26.0	-
45-49	4635.0	4.0	506.0	46.0	1223.0	959.0	968.0	669.0	228.0	32.0	26.0	-
50-54	3347.0	10.0	450.0	31.0	903.0	722.0	562.0	437.0	217.0	14.0	7.0	1.0
55-59	2825.0	8.0	372.0	32.0	654.0	535.0	356.0	443.0	389.0	36.0	22.0	-
60-64	2777.0	2.0	399.0	25.0	444.0	418.0	221.0	445.0	766.0	57.0	33.0	-
65-69	1319.0	1.0	193.0	8.0	171.0	115.0	66.0	185.0	530.0	49.0	23.0	1.0
70 и более	1244.0	5.0	137.0	15.0	134.0	46.0	29.0	123.0	606.0	149.0	61.0	-
Возраст не указан	5.0	-	-	-	1.0	-	3.0	-	-	-	-	1.0
Евреи	112351.0	3962.0	65701.0	4942.0	17195.0	3814.0	9215.0	4582.0	1982.0	245.0	107.0	713.0
в том числе в возрасте, лет:												
15-17	2180.0	-	-	28.0	24.0	32.0	649.0	1270.0	132.0	12.0	4.0	33.0
18-19	1791.0	-	3.0	412.0	116.0	51.0	1067.0	114.0	13.0	7.0	3.0	8.0
20-24	4401.0	40.0	1177.0	1318.0	530.0	174.0	915.0	166.0	32.0	19.0	10.0	30.0
25-29	4827.0	164.0	2547.0	401.0	629.0	230.0	619.0	155.0	43.0	8.0	3.0	31.0
30-34	5585.0	152.0	2939.0	372.0	1012.0	218.0	662.0	130.0	35.0	12.0	7.0	53.0
35-39	5581.0	131.0	3325.0	255.0	928.0	219.0	543.0	90.0	29.0	14.0	9.0	47.0
40-44	7577.0	217.0	4805.0	295.0	1133.0	256.0	632.0	139.0	45.0	15.0	9.0	40.0
45-49	8448.0	274.0	5534.0	232.0	1303.0	302.0	541.0	122.0	51.0	22.0	13.0	67.0
50-54	10714.0	392.0	7108.0	281.0	1561.0	349.0	689.0	205.0	56.0	8.0	6.0	65.0
55-59	9511.0	398.0	6351.0	236.0	1365.0	311.0	522.0	196.0	54.0	11.0	6.0	67.0
60-64	13292.0	569.0	8646.0	303.0	2127.0	396.0	640.0	349.0	167.0	16.0	6.0	79.0
65-69	12780.0	644.0	8329.0	245.0	1990.0	356.0	538.0	357.0	236.0	27.0	10.0	58.0
70 и более	25664.0	981.0	14937.0	564.0	4477.0	920.0	1198.0	1289.0	1089.0	74.0	21.0	135.0
Возраст не указан	50.0	1.0	14.0	1.0	10.0	2.0	4.0	-	-	-	-	18.0
Карачаевцы	70336.0	309.0	13624.0	3948.0	9508.0	4589.0	24356.0	8866.0	4576.0	554.0	374.0	6.0
в том числе в возрасте, лет:												
15-17	5871.0	-	-	-	71.0	50.0	1551.0	3775.0	413.0	10.0	8.0	1.0
18-19	4173.0	-	-	572.0	209.0	123.0	2893.0	337.0	32.0	7.0	6.0	-
20-24	8782.0	18.0	1504.0	1907.0	857.0	451.0	3430.0	517.0	86.0	12.0	12.0	-
25-29	7099.0	57.0	2147.0	460.0	945.0	495.0	2444.0	484.0	52.0	15.0	12.0	-
30-34	6863.0	40.0	1575.0	268.0	1219.0	645.0	2654.0	391.0	51.0	20.0	18.0	-
35-39	7767.0	40.0	1641.0	226.0	1474.0	750.0	3132.0	420.0	67.0	15.0	14.0	2.0
40-44	7787.0	40.0	1693.0	184.0	1462.0	711.0	3142.0	474.0	69.0	11.0	10.0	1.0
45-49	6161.0	36.0	1567.0	116.0	1113.0	512.0	2242.0	465.0	95.0	15.0	14.0	-
50-54	3871.0	27.0	1237.0	77.0	710.0	286.0	1104.0	336.0	90.0	2.0	2.0	2.0
55-59	1305.0	11.0	432.0	26.0	241.0	85.0	307.0	129.0	72.0	2.0	-	-
60-64	2893.0	25.0	848.0	50.0	441.0	182.0	561.0	403.0	363.0	20.0	12.0	-
65-69	3336.0	9.0	654.0	44.0	408.0	163.0	528.0	482.0	949.0	99.0	63.0	-
70 и более	4428.0	6.0	326.0	18.0	358.0	136.0	368.0	653.0	2237.0	326.0	203.0	-
Возраст не указан	18.0	-	-	-	-	-	-	2.0	-	-	-	16.0
Калмыки	64335.0	178.0	9891.0	2629.0	13559.0	6172.0	18509.0	8521.0	4206.0	637.0	392.0	33.0
в том числе в возрасте, лет:												
15-17	6130.0	-	-	4.0	32.0	85.0	1614.0	4110.0	262.0	20.0	17.0	3.0
18-19	3854.0	-	1.0	268.0	508.0	293.0	2337.0	407.0	25.0	12.0	11.0	3.0
20-24	7386.0	11.0	1047.0	1129.0	1737.0	660.0	2218.0	502.0	52.0	23.0	22.0	7.0
25-29	5517.0	22.0	1272.0	303.0	1421.0	613.0	1416.0	417.0	40.0	9.0	7.0	4.0
30-34	5132.0	13.0	899.0	189.0	1434.0	682.0	1593.0	280.0	28.0	10.0	9.0	4.0
35-39	7647.0	21.0	1330.0	225.0	2010.0	959.0	2656.0	348.0	67.0	27.0	26.0	4.0
40-44	8883.0	21.0	1509.0	181.0	2380.0	1136.0	3023.0	536.0	65.0	29.0	22.0	3.0
45-49	7274.0	24.0	1451.0	146.0	1865.0	901.0	2167.0	597.0	102.0	18.0	15.0	3.0
50-54	4129.0	19.0	1118.0	101.0	1059.0	407.0	944.0	384.0	86.0	10.0	9.0	1.0
55-59	1029.0	11.0	313.0	28.0	247.0	83.0	157.0	116.0	70.0	4.0	3.0	-
60-64	1807.0	13.0	413.0	30.0	318.0	125.0	152.0	232.0	476.0	48.0	30.0	-
65-69	2371.0	13.0	349.0	9.0	303.0	134.0	133.0	286.0	1012.0	131.0	71.0	1.0
70 и более	3176.0	10.0	189.0	16.0	245.0	94.0	99.0	306.0	1921.0	296.0	150.0	-
Возраст не указан	5.0	-	-	-	1.0	-	1.0	-	2.0	1.0	-	-
Адыгейцы	49423.0	229.0	9605.0	2297.0	11609.0	5684.0	12509.0	5149.0	2061.0	271.0	192.0	9.0
в том числе в возрасте, лет:												
15-17	3828.0	-	-	-	33.0	51.0	1074.0	2535.0	120.0	15.0	10.0	-
18-19	2530.0	-	-	283.0	215.0	128.0	1692.0	197.0	9.0	6.0	5.0	-
20-24	5084.0	13.0	944.0	959.0	886.0	421.0	1521.0	279.0	41.0	20.0	19.0	-
25-29	4451.0	29.0	1208.0	288.0	1031.0	549.0	1091.0	218.0	29.0	7.0	7.0	1.0
30-34	4494.0	21.0	1014.0	182.0	1322.0	655.0	1120.0	141.0	25.0	11.0	10.0	3.0
35-39	5175.0	20.0	1111.0	170.0	1654.0	798.0	1235.0	147.0	26.0	13.0	11.0	1.0
40-44	5896.0	19.0	1233.0	151.0	1981.0	894.0	1408.0	170.0	30.0	9.0	9.0	1.0
45-49	4426.0	24.0	1054.0	82.0	1404.0	633.0	1028.0	169.0	25.0	7.0	7.0	-
50-54	3369.0	21.0	962.0	63.0	1067.0	410.0	681.0	123.0	35.0	7.0	5.0	-
55-59	1685.0	20.0	473.0	26.0	453.0	240.0	310.0	105.0	55.0	3.0	3.0	-
60-64	3175.0	26.0	716.0	42.0	771.0	411.0	578.0	306.0	304.0	19.0	12.0	2.0
65-69	2315.0	21.0	487.0	35.0	436.0	242.0	399.0	283.0	374.0	38.0	24.0	-
70 и более	2995.0	15.0	403.0	16.0	356.0	252.0	372.0	476.0	988.0	116.0	70.0	1.0
Возраст не указан	5.0	-	-	-	2.0	-	-	-	-	-	-	3.0
Коми-пермяки	47626.0	50.0	2770.0	430.0	10660.0	14031.0	5991.0	8220.0	5086.0	373.0	241.0	15.0
в том числе в возрасте, лет:												
15-17	2739.0	-	-	-	24.0	108.0	266.0	1963.0	350.0	26.0	24.0	2.0
18-19	1439.0	-	-	9.0	249.0	295.0	400.0	413.0	58.0	14.0	11.0	1.0
20-24	3438.0	2.0	106.0	98.0	906.0	989.0	470.0	718.0	129.0	18.0	15.0	2.0
25-29	4000.0	4.0	202.0	40.0	1024.0	1207.0	652.0	740.0	106.0	24.0	21.0	1.0
30-34	4240.0	2.0	199.0	53.0	1243.0	1316.0	807.0	543.0	50.0	25.0	17.0	2.0
35-39	5468.0	6.0	300.0	50.0	1655.0	1735.0	1089.0	544.0	67.0	21.0	19.0	1.0
40-44	6800.0	5.0	446.0	45.0	1962.0	2501.0	1007.0	688.0	118.0	25.0	18.0	3.0
45-49	5966.0	5.0	417.0	33.0	1434.0	2497.0	609.0	745.0	206.0	19.0	17.0	1.0
50-54	4654.0	11.0	436.0	42.0	1068.0	1859.0	389.0	590.0	241.0	18.0	14.0	-
55-59	1797.0	4.0	199.0	13.0	362.0	576.0	116.0	295.0	223.0	8.0	7.0	1.0
60-64	2611.0	7.0	230.0	13.0	342.0	519.0	103.0	474.0	895.0	28.0	19.0	-
65-69	1830.0	1.0	101.0	15.0	197.0	250.0	45.0	219.0	963.0	39.0	19.0	-
70 и более	2644.0	3.0	134.0	19.0	194.0	179.0	38.0	288.0	1680.0	108.0	40.0	1.0
Возраст не указан	2.0	-	-	-	-	-	1.0	-	-	-	-	1.0
Балкарцы	40318.0	203.0	8460.0	2330.0	8486.0	3707.0	9817.0	4557.0	2488.0	265.0	165.0	5.0
в том числе в возрасте, лет:												
15-17	2981.0	-	-	-	23.0	25.0	793.0	1995.0	136.0	8.0	5.0	1.0
18-19	2201.0	-	-	248.0	104.0	76.0	1606.0	154.0	9.0	4.0	3.0	-
20-24	5232.0	12.0	880.0	1240.0	886.0	298.0	1638.0	251.0	21.0	5.0	5.0	1.0
25-29	4199.0	23.0	1391.0	261.0	928.0	377.0	955.0	239.0	15.0	10.0	10.0	-
30-34	4129.0	26.0	1122.0	185.0	1073.0	509.0	970.0	209.0	28.0	6.0	6.0	1.0
35-39	4412.0	23.0	1071.0	139.0	1299.0	583.0	1026.0	231.0	32.0	7.0	7.0	1.0
40-44	4658.0	15.0	1147.0	97.0	1459.0	607.0	1048.0	235.0	45.0	5.0	5.0	-
45-49	3645.0	34.0	977.0	76.0	1099.0	479.0	698.0	229.0	44.0	8.0	8.0	1.0
50-54	2249.0	19.0	695.0	33.0	650.0	255.0	401.0	163.0	31.0	2.0	-	-
55-59	951.0	13.0	271.0	16.0	245.0	115.0	156.0	88.0	43.0	4.0	3.0	-
