7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образования	Не указавшие уровень образования
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Центральный федеральный округ										
Все население, занятое в экономике	16396856.0	4482729.0	567637.0	5732604.0	2180822.0	2557839.0	720851.0	93189.0	10300.0	50885.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	992140.0	83724.0	9904.0	271324.0	256752.0	207988.0	137175.0	23339.0	1158.0	776.0
рыболовство, рыбоводство	6761.0	1094.0	179.0	2250.0	1299.0	1399.0	474.0	55.0	-	11.0
добыча полезных ископаемых	104832.0	27247.0	2949.0	37676.0	16609.0	15622.0	3822.0	619.0	41.0	247.0
обрабатывающие производства	3211000.0	673670.0	82431.0	1157553.0	527910.0	586221.0	159375.0	17225.0	1040.0	5575.0
производство и распределение электроэнергии, газа и воды	303803.0	69894.0	7375.0	119614.0	46867.0	47671.0	10529.0	1363.0	87.0	403.0
строительство	1224586.0	240017.0	37167.0	438369.0	220220.0	209996.0	65026.0	8974.0	642.0	4175.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2315212.0	514915.0	103344.0	889573.0	282281.0	413108.0	91159.0	10504.0	2290.0	8038.0
гостиницы и рестораны	363530.0	48890.0	14912.0	150131.0	62538.0	66815.0	17145.0	1857.0	274.0	968.0
транспорт и связь	1575620.0	288848.0	51217.0	606696.0	245281.0	301028.0	70234.0	7084.0	949.0	4283.0
финансовая деятельность	312714.0	181567.0	19420.0	75773.0	11940.0	20925.0	1942.0	173.0	65.0	909.0
операции с недвижимым имуществом, аренда и предоставление услуг	1005642.0	404249.0	45690.0	285164.0	98547.0	132256.0	32404.0	4432.0	462.0	2438.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	967833.0	428201.0	41546.0	303651.0	72226.0	105583.0	13427.0	1388.0	239.0	1572.0
образование	1232573.0	685005.0	46388.0	313053.0	72248.0	88089.0	22414.0	2525.0	348.0	2503.0
здравоохранение и предоставление социальных услуг	1123800.0	329835.0	27758.0	533698.0	98072.0	97910.0	29903.0	3991.0	415.0	2218.0
предоставление прочих коммунальных, социальных и персональных услуг	849973.0	231140.0	37607.0	294834.0	100469.0	140395.0	37127.0	5456.0	544.0	2401.0
предоставление услуг по ведению домашнего хозяйства	13319.0	3503.0	704.0	4910.0	1196.0	2238.0	592.0	130.0	4.0	42.0
деятельность экстерриториальных организаций	7142.0	3209.0	396.0	1927.0	453.0	939.0	174.0	16.0	7.0	21.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	786376.0	267721.0	38650.0	246408.0	65914.0	119656.0	27929.0	4058.0	1735.0	14305.0
Белгородская область										
Все население, занятое в экономике	596817.0	128175.0	13526.0	243759.0	95457.0	91539.0	20917.0	2663.0	221.0	560.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	86352.0	6833.0	855.0	25527.0	20606.0	22720.0	8483.0	1210.0	61.0	57.0
рыболовство, рыбоводство	585.0	70.0	8.0	193.0	107.0	144.0	59.0	4.0	-	-
добыча полезных ископаемых	23322.0	4164.0	593.0	11537.0	3964.0	2628.0	362.0	61.0	-	13.0
обрабатывающие производства	109545.0	20003.0	2298.0	47217.0	19603.0	16927.0	2938.0	387.0	18.0	154.0
производство и распределение электроэнергии, газа и воды	12700.0	2633.0	296.0	5358.0	2168.0	1966.0	235.0	24.0	-	20.0
строительство	43914.0	6740.0	805.0	18205.0	9071.0	7118.0	1690.0	242.0	11.0	32.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	70057.0	14071.0	2113.0	32488.0	9696.0	9810.0	1640.0	149.0	26.0	64.0
гостиницы и рестораны	10871.0	786.0	212.0	5193.0	2464.0	1839.0	330.0	33.0	-	14.0
транспорт и связь	46631.0	5753.0	946.0	20558.0	8816.0	8874.0	1488.0	134.0	18.0	44.0
финансовая деятельность	5944.0	3172.0	203.0	1828.0	372.0	347.0	17.0	5.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	30215.0	6844.0	742.0	12770.0	4504.0	4301.0	901.0	121.0	10.0	22.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	30486.0	12676.0	1280.0	10576.0	2355.0	3286.0	266.0	31.0	3.0	13.0
образование	56816.0	28748.0	1818.0	17528.0	3906.0	3892.0	769.0	85.0	20.0	50.0
здравоохранение и предоставление социальных услуг	42376.0	8989.0	584.0	23724.0	4143.0	3863.0	936.0	106.0	8.0	23.0
предоставление прочих коммунальных, социальных и персональных услуг	12673.0	2930.0	448.0	5643.0	1585.0	1729.0	297.0	23.0	-	18.0
предоставление услуг по ведению домашнего хозяйства	65.0	16.0	-	21.0	16.0	12.0	-	-	-	-
деятельность экстерриториальных организаций	4.0	-	-	4.0	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	14261.0	3747.0	325.0	5389.0	2081.0	2083.0	506.0	48.0	46.0	36.0
Брянская область										
Все население, занятое в экономике	525835.0	101568.0	11886.0	199306.0	95829.0	90335.0	23801.0	2774.0	80.0	256.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	54256.0	3494.0	417.0	13778.0	15029.0	12814.0	7541.0	1101.0	35.0	47.0
рыболовство, рыбоводство	172.0	12.0	4.0	83.0	25.0	30.0	9.0	9.0	-	-
добыча полезных ископаемых	373.0	53.0	4.0	114.0	116.0	73.0	13.0	-	-	-
обрабатывающие производства	118173.0	16966.0	2183.0	42919.0	24428.0	25445.0	5615.0	527.0	7.0	83.0
производство и распределение электроэнергии, газа и воды	14195.0	2217.0	204.0	5803.0	2725.0	2661.0	516.0	58.0	11.0	-
строительство	35459.0	4394.0	696.0	13120.0	8887.0	6411.0	1761.0	185.0	-	5.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	72024.0	11338.0	1912.0	32604.0	11923.0	11898.0	2121.0	184.0	14.0	30.0
гостиницы и рестораны	10350.0	749.0	185.0	4363.0	2623.0	1961.0	413.0	50.0	-	6.0
транспорт и связь	49777.0	5756.0	1029.0	20524.0	10557.0	9974.0	1703.0	201.0	9.0	24.0
финансовая деятельность	5402.0	2206.0	305.0	2147.0	292.0	425.0	23.0	4.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	18707.0	4913.0	567.0	6450.0	2949.0	3030.0	678.0	108.0	-	12.0
