7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образования	Не указавшие уровень образования
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	37067.0	13986.0	1566.0	13460.0	3655.0	3973.0	390.0	31.0	-	6.0
образование	49994.0	24159.0	1644.0	14704.0	4203.0	4175.0	954.0	133.0	-	22.0
здравоохранение и предоставление социальных услуг	40520.0	7600.0	685.0	21593.0	5024.0	4291.0	1213.0	94.0	4.0	16.0
предоставление прочих коммунальных, социальных и персональных услуг	14911.0	2596.0	372.0	6114.0	2674.0	2445.0	646.0	64.0	-	-
предоставление услуг по ведению домашнего хозяйства	185.0	28.0	4.0	62.0	24.0	54.0	-	8.0	-	5.0
деятельность экстерриториальных организаций	4.0	4.0	-	-	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4266.0	1097.0	109.0	1468.0	695.0	675.0	205.0	17.0	-	-
Владимирская область										
Все население, занятое в экономике	657408.0	129970.0	14719.0	238750.0	113894.0	115708.0	38722.0	4870.0	168.0	607.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	37828.0	2912.0	373.0	10788.0	10289.0	7445.0	5118.0	865.0	22.0	16.0
рыболовство, рыбоводство	115.0	16.0	-	50.0	12.0	28.0	9.0	-	-	-
добыча полезных ископаемых	2367.0	184.0	57.0	754.0	516.0	609.0	224.0	12.0	-	11.0
обрабатывающие производства	205585.0	31275.0	3828.0	70354.0	39596.0	43920.0	14906.0	1526.0	29.0	151.0
производство и распределение электроэнергии, газа и воды	11158.0	2534.0	204.0	4380.0	1693.0	1745.0	501.0	86.0	-	15.0
строительство	36023.0	5161.0	715.0	12628.0	8395.0	6122.0	2654.0	306.0	9.0	33.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	82206.0	12930.0	2423.0	34560.0	13658.0	14509.0	3503.0	496.0	64.0	63.0
гостиницы и рестораны	14504.0	1184.0	325.0	6157.0	3454.0	2425.0	842.0	108.0	5.0	4.0
транспорт и связь	49831.0	6069.0	984.0	19276.0	10319.0	9980.0	2831.0	323.0	11.0	38.0
финансовая деятельность	6490.0	3177.0	268.0	2169.0	336.0	481.0	55.0	4.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	43687.0	9321.0	1115.0	14888.0	7548.0	7931.0	2463.0	380.0	7.0	34.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	37842.0	14258.0	1366.0	13172.0	3461.0	4752.0	696.0	109.0	-	28.0
образование	44945.0	22906.0	1301.0	12532.0	3208.0	3696.0	1127.0	131.0	10.0	34.0
здравоохранение и предоставление социальных услуг	36245.0	7942.0	517.0	19472.0	3728.0	3259.0	1146.0	156.0	-	25.0
предоставление прочих коммунальных, социальных и персональных услуг	17972.0	3766.0	538.0	6745.0	2839.0	3013.0	937.0	119.0	-	15.0
предоставление услуг по ведению домашнего хозяйства	168.0	19.0	-	48.0	40.0	49.0	8.0	4.0	-	-
деятельность экстерриториальных организаций	16.0	4.0	-	8.0	-	4.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	30426.0	6312.0	705.0	10769.0	4802.0	5740.0	1702.0	245.0	11.0	140.0
Воронежская область										
Все население, занятое в экономике	895008.0	218685.0	21429.0	292505.0	132515.0	185632.0	37882.0	4994.0	380.0	986.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	126427.0	9138.0	1020.0	32259.0	29346.0	35336.0	16607.0	2525.0	156.0	40.0
рыболовство, рыбоводство	666.0	48.0	8.0	242.0	99.0	213.0	47.0	4.0	-	5.0
добыча полезных ископаемых	4217.0	603.0	45.0	1719.0	722.0	947.0	156.0	12.0	4.0	9.0
обрабатывающие производства	169108.0	35029.0	3442.0	55840.0	28260.0	40341.0	5354.0	594.0	44.0	204.0
производство и распределение электроэнергии, газа и воды	18795.0	4554.0	415.0	6963.0	2670.0	3751.0	387.0	37.0	5.0	13.0
строительство	56414.0	10428.0	1440.0	18102.0	11128.0	12575.0	2331.0	326.0	16.0	68.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	118941.0	27198.0	4137.0	43467.0	15453.0	24902.0	3262.0	349.0	59.0	114.0
гостиницы и рестораны	19293.0	1989.0	481.0	6850.0	4238.0	4930.0	730.0	63.0	-	12.0
транспорт и связь	83320.0	12031.0	1657.0	30874.0	14246.0	21181.0	2891.0	307.0	21.0	112.0
финансовая деятельность	9133.0	4988.0	360.0	2593.0	347.0	803.0	34.0	4.0	-	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	23387.0	11370.0	838.0	5605.0	1696.0	3402.0	397.0	50.0	-	29.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	52385.0	22376.0	1939.0	16403.0	3985.0	6971.0	581.0	73.0	22.0	35.0
образование	76831.0	45727.0	2468.0	16540.0	4066.0	6701.0	1141.0	115.0	9.0	64.0
здравоохранение и предоставление социальных услуг	70085.0	17878.0	1240.0	33150.0	6844.0	8978.0	1730.0	192.0	14.0	59.0
предоставление прочих коммунальных, социальных и персональных услуг	47959.0	9921.0	1377.0	16230.0	7441.0	11037.0	1645.0	228.0	4.0	76.0
предоставление услуг по ведению домашнего хозяйства	447.0	118.0	21.0	144.0	60.0	75.0	25.0	-	4.0	-
деятельность экстерриториальных организаций	325.0	111.0	12.0	106.0	28.0	60.0	8.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	17275.0	5178.0	529.0	5418.0	1886.0	3429.0	556.0	115.0	22.0	142.0
Ивановская область										
Все население, занятое в экономике	477036.0	98858.0	10329.0	167680.0	88695.0	79507.0	28499.0	2930.0	145.0	393.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	30312.0	2611.0	284.0	8513.0	8200.0	5659.0	4379.0	632.0	21.0	13.0
рыболовство, рыбоводство	134.0	12.0	4.0	52.0	24.0	29.0	13.0	-	-	-
добыча полезных ископаемых	1101.0	99.0	25.0	355.0	274.0	210.0	134.0	4.0	-	-
обрабатывающие производства	153802.0	19436.0	2572.0	50043.0	36950.0	32533.0	11241.0	897.0	22.0	108.0
производство и распределение электроэнергии, газа и воды	9250.0	2472.0	206.0	3219.0	1476.0	1387.0	414.0	62.0	-	14.0
строительство	24605.0	3359.0	453.0	8101.0	6432.0	4066.0	1957.0	212.0	9.0	16.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	59125.0	10625.0	1830.0	24130.0	9330.0	10062.0	2766.0	237.0	75.0	70.0
гостиницы и рестораны	7882.0	648.0	209.0	3555.0	1578.0	1353.0	463.0	64.0	-	12.0
транспорт и связь	32837.0	3980.0	618.0	12992.0	6862.0	6392.0	1785.0	170.0	9.0	29.0
финансовая деятельность	4309.0	2091.0	134.0	1454.0	267.0	340.0	23.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	22771.0	6368.0	767.0	7217.0	3570.0	3544.0	1149.0	141.0	-	15.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31541.0	13000.0	1013.0	10551.0	2886.0	3470.0	563.0	40.0	-	18.0
образование	37280.0	20099.0	914.0	9793.0	2630.0	2737.0	989.0	81.0	5.0	32.0
здравоохранение и предоставление социальных услуг	32769.0	7721.0	553.0	16820.0	3514.0	2937.0	1029.0	162.0	-	33.0
предоставление прочих коммунальных, социальных и персональных услуг	15800.0	2854.0	416.0	6261.0	2702.0	2517.0	883.0	157.0	-	10.0
предоставление услуг по ведению домашнего хозяйства	79.0	23.0	4.0	20.0	16.0	8.0	4.0	4.0	-	-
деятельность экстерриториальных организаций	16.0	8.0	-	4.0	4.0	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	13423.0	3452.0	327.0	4600.0	1980.0	2263.0	707.0	67.0	4.0	23.0
Калужская область										
Все население, занятое в экономике	461716.0	103824.0	11258.0	184120.0	69697.0	67736.0	21816.0	2686.0	175.0	404.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	31445.0	2474.0	306.0	8978.0	8598.0	5545.0	4671.0	817.0	31.0	25.0
рыболовство, рыбоводство	112.0	8.0	8.0	31.0	29.0	21.0	9.0	-	-	6.0
добыча полезных ископаемых	2087.0	230.0	33.0	725.0	455.0	513.0	98.0	30.0	-	3.0
обрабатывающие производства	120342.0	21244.0	2295.0	49086.0	20115.0	21183.0	5789.0	563.0	4.0	63.0
производство и распределение электроэнергии, газа и воды	10481.0	1777.0	213.0	4680.0	1777.0	1591.0	382.0	52.0	-	9.0
строительство	35131.0	5058.0	675.0	13947.0	7560.0	5476.0	2111.0	268.0	-	36.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	62326.0	11288.0	2154.0	28150.0	8086.0	9751.0	2510.0	233.0	115.0	39.0
гостиницы и рестораны	7932.0	719.0	181.0	3707.0	1526.0	1365.0	406.0	17.0	-	11.0
транспорт и связь	36354.0	4646.0	758.0	15810.0	6693.0	6522.0	1747.0	151.0	13.0	14.0
финансовая деятельность	5590.0	2878.0	293.0	1751.0	247.0	381.0	36.0	-	-	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	30824.0	10286.0	1008.0	10393.0	3879.0	3934.0	1160.0	135.0	5.0	24.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	33622.0	13574.0	1222.0	12289.0	2825.0	3217.0	460.0	33.0	-	2.0
образование	35399.0	18351.0	1080.0	10453.0	2201.0	2506.0	708.0	83.0	7.0	10.0
здравоохранение и предоставление социальных услуг	28326.0	6480.0	388.0	15421.0	2695.0	2401.0	806.0	122.0	-	13.0
предоставление прочих коммунальных, социальных и персональных услуг	12484.0	2575.0	394.0	5060.0	1805.0	2026.0	525.0	95.0	-	4.0
предоставление услуг по ведению домашнего хозяйства	150.0	44.0	4.0	61.0	20.0	12.0	5.0	4.0	-	-
деятельность экстерриториальных организаций	4.0	-	-	4.0	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9107.0	2192.0	246.0	3574.0	1186.0	1292.0	393.0	83.0	-	141.0
Костромская область										
Все население, занятое в экономике	312787.0	60442.0	5715.0	132138.0	51821.0	39775.0	19833.0	2758.0	129.0	176.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	37280.0	2854.0	326.0	11583.0	9814.0	6443.0	5317.0	876.0	52.0	15.0
рыболовство, рыбоводство	128.0	16.0	4.0	55.0	28.0	12.0	13.0	-	-	-
добыча полезных ископаемых	980.0	71.0	12.0	280.0	337.0	157.0	102.0	17.0	4.0	-
обрабатывающие производства	67103.0	9665.0	1053.0	27953.0	12454.0	10041.0	5229.0	671.0	14.0	23.0
производство и распределение электроэнергии, газа и воды	11012.0	2218.0	263.0	4581.0	2019.0	1375.0	470.0	77.0	5.0	4.0
строительство	19532.0	2410.0	322.0	8237.0	4393.0	2532.0	1400.0	218.0	5.0	15.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36936.0	5788.0	806.0	18673.0	5519.0	4395.0	1558.0	150.0	32.0	15.0
гостиницы и рестораны	7269.0	530.0	152.0	3780.0	1390.0	978.0	398.0	37.0	4.0	-
транспорт и связь	24917.0	2355.0	348.0	11944.0	4918.0	3843.0	1345.0	149.0	-	15.0
финансовая деятельность	3646.0	1460.0	129.0	1586.0	184.0	206.0	76.0	5.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	11691.0	2903.0	290.0	4652.0	1576.0	1549.0	647.0	61.0	-	13.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	24684.0	9287.0	784.0	9372.0	2210.0	2507.0	451.0	59.0	4.0	10.0
образование	29521.0	13726.0	637.0	9940.0	2252.0	1871.0	959.0	113.0	5.0	18.0
здравоохранение и предоставление социальных услуг	24017.0	4460.0	275.0	13447.0	2603.0	2006.0	1049.0	162.0	4.0	11.0
предоставление прочих коммунальных, социальных и персональных услуг	12046.0	2320.0	289.0	5203.0	1809.0	1607.0	684.0	125.0	-	9.0
предоставление услуг по ведению домашнего хозяйства	76.0	32.0	4.0	12.0	8.0	16.0	4.0	-	-	-
деятельность экстерриториальных организаций	4.0	-	-	4.0	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1945.0	347.0	21.0	836.0	307.0	237.0	131.0	38.0	-	28.0
Курская область										
Все население, занятое в экономике	477108.0	101554.0	9972.0	166484.0	98976.0	73123.0	22773.0	3622.0	150.0	454.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	71733.0	5104.0	515.0	17892.0	21694.0	14051.0	10248.0	2088.0	77.0	64.0
рыболовство, рыбоводство	300.0	16.0	-	86.0	107.0	78.0	13.0	-	-	-
добыча полезных ископаемых	8041.0	1579.0	151.0	3246.0	2179.0	751.0	91.0	40.0	-	4.0
обрабатывающие производства	91000.0	14438.0	1795.0	30945.0	22287.0	17480.0	3568.0	412.0	11.0	64.0
производство и распределение электроэнергии, газа и воды	18617.0	4082.0	432.0	7410.0	3522.0	2603.0	475.0	79.0	-	14.0
строительство	30176.0	4005.0	543.0	10088.0	8633.0	5209.0	1452.0	168.0	8.0	70.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	59504.0	11286.0	1710.0	24683.0	10656.0	9046.0	1798.0	224.0	36.0	65.0
гостиницы и рестораны	6375.0	665.0	94.0	2716.0	1536.0	1013.0	334.0	17.0	-	-
транспорт и связь	38211.0	3656.0	692.0	14673.0	10122.0	7314.0	1543.0	190.0	4.0	17.0
финансовая деятельность	5148.0	2575.0	204.0	1707.0	327.0	316.0	14.0	-	-	5.0
операции с недвижимым имуществом, аренда и предоставление услуг	11270.0	3992.0	398.0	3505.0	1723.0	1338.0	271.0	35.0	-	8.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	33523.0	14324.0	1105.0	10930.0	3360.0	3401.0	362.0	13.0	-	28.0
образование	45790.0	23490.0	1251.0	12578.0	4156.0	3322.0	882.0	64.0	-	47.0
здравоохранение и предоставление социальных услуг	34300.0	8172.0	538.0	17135.0	4021.0	3378.0	893.0	117.0	9.0	37.0
предоставление прочих коммунальных, социальных и персональных услуг	19750.0	3338.0	466.0	7854.0	4006.0	3303.0	665.0	102.0	-	16.0
предоставление услуг по ведению домашнего хозяйства	77.0	12.0	-	20.0	25.0	20.0	-	-	-	-
деятельность экстерриториальных организаций	8.0	4.0	-	4.0	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3285.0	816.0	78.0	1012.0	622.0	500.0	164.0	73.0	5.0	15.0
Липецкая область										
Все население, занятое в экономике	489163.0	103060.0	10147.0	190591.0	100970.0	58616.0	21505.0	3590.0	204.0	480.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	58583.0	3671.0	479.0	16526.0	16336.0	11591.0	8456.0	1410.0	88.0	26.0
рыболовство, рыбоводство	167.0	4.0	-	55.0	79.0	13.0	16.0	-	-	-
добыча полезных ископаемых	3332.0	424.0	46.0	1197.0	975.0	493.0	120.0	65.0	8.0	4.0
обрабатывающие производства	121423.0	20462.0	2318.0	50380.0	29072.0	14496.0	3946.0	588.0	49.0	112.0
производство и распределение электроэнергии, газа и воды	9796.0	1926.0	176.0	4073.0	2182.0	1152.0	233.0	44.0	-	10.0
строительство	28579.0	4224.0	430.0	10920.0	8039.0	3388.0	1339.0	217.0	4.0	18.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	56951.0	10031.0	1629.0	25481.0	10583.0	7192.0	1608.0	311.0	39.0	77.0
гостиницы и рестораны	8275.0	653.0	146.0	3703.0	2438.0	959.0	298.0	70.0	-	8.0
транспорт и связь	39862.0	4528.0	653.0	17233.0	9796.0	5607.0	1753.0	260.0	-	32.0
финансовая деятельность	4937.0	2319.0	238.0	1738.0	316.0	290.0	33.0	-	-	3.0
операции с недвижимым имуществом, аренда и предоставление услуг	24947.0	5437.0	640.0	9602.0	5236.0	2930.0	877.0	197.0	-	28.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	26601.0	10628.0	928.0	9233.0	2872.0	2513.0	325.0	61.0	-	41.0
образование	43793.0	25607.0	1250.0	10105.0	3558.0	2443.0	697.0	104.0	-	29.0
здравоохранение и предоставление социальных услуг	37681.0	7846.0	591.0	20119.0	5067.0	2876.0	1005.0	138.0	8.0	31.0
предоставление прочих коммунальных, социальных и персональных услуг	13294.0	2680.0	381.0	5841.0	2445.0	1424.0	444.0	65.0	-	14.0
предоставление услуг по ведению домашнего хозяйства	45.0	12.0	-	21.0	4.0	8.0	-	-	-	-
деятельность экстерриториальных организаций	4.0	4.0	-	-	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10893.0	2604.0	242.0	4364.0	1972.0	1241.0	355.0	60.0	8.0	47.0
Московская область										
Все население, занятое в экономике	3061673.0	853620.0	111642.0	1072093.0	344548.0	510712.0	142005.0	16916.0	1487.0	8650.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	89695.0	11789.0	1466.0	25870.0	17301.0	19739.0	11383.0	1927.0	61.0	159.0
рыболовство, рыбоводство	1032.0	203.0	38.0	379.0	141.0	235.0	36.0	-	-	-
добыча полезных ископаемых	10413.0	2723.0	257.0	3458.0	1291.0	2046.0	510.0	93.0	-	35.0
обрабатывающие производства	620889.0	141003.0	18327.0	217678.0	81367.0	121903.0	35266.0	3691.0	261.0	1393.0
производство и распределение электроэнергии, газа и воды	49955.0	11911.0	1287.0	19113.0	6174.0	8892.0	2193.0	284.0	10.0	91.0
строительство	216683.0	49157.0	6912.0	75839.0	32220.0	37959.0	12470.0	1393.0	126.0	607.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	403841.0	93169.0	18821.0	150625.0	45852.0	75330.0	17545.0	1413.0	199.0	887.0
гостиницы и рестораны	72566.0	8943.0	2811.0	29524.0	11579.0	14813.0	4189.0	489.0	65.0	153.0
транспорт и связь	319682.0	57218.0	10302.0	119247.0	45897.0	67178.0	17359.0	1633.0	146.0	702.0
финансовая деятельность	53745.0	30458.0	3595.0	13405.0	1960.0	3851.0	321.0	34.0	6.0	115.0
операции с недвижимым имуществом, аренда и предоставление услуг	233296.0	90130.0	10421.0	66408.0	21490.0	34396.0	8641.0	1252.0	46.0	512.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	220348.0	100641.0	9680.0	65561.0	14278.0	26054.0	3310.0	301.0	71.0	452.0
образование	182027.0	97650.0	7487.0	49298.0	8750.0	14149.0	3690.0	542.0	39.0	422.0
здравоохранение и предоставление социальных услуг	213573.0	57274.0	5259.0	106476.0	17141.0	19596.0	6383.0	854.0	111.0	479.0
предоставление прочих коммунальных, социальных и персональных услуг	190845.0	42737.0	6984.0	68246.0	23532.0	35675.0	11213.0	1843.0	114.0	501.0
предоставление услуг по ведению домашнего хозяйства	1524.0	276.0	47.0	670.0	163.0	257.0	98.0	13.0	-	-
деятельность экстерриториальных организаций	1195.0	420.0	51.0	325.0	151.0	205.0	27.0	16.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	180364.0	57918.0	7897.0	59971.0	15261.0	28434.0	7371.0	1138.0	232.0	2142.0
Орловская область										
Все население, занятое в экономике	343744.0	77232.0	6833.0	122462.0	66771.0	50687.0	17206.0	2210.0	82.0	261.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	52536.0	4203.0	430.0	13361.0	16150.0	9873.0	7270.0	1190.0	29.0	30.0
рыболовство, рыбоводство	138.0	28.0	4.0	36.0	30.0	37.0	3.0	-	-	-
добыча полезных ископаемых	189.0	12.0	5.0	65.0	58.0	36.0	13.0	-	-	-
обрабатывающие производства	70696.0	11820.0	1274.0	26470.0	14806.0	13120.0	2800.0	355.0	7.0	44.0
производство и распределение электроэнергии, газа и воды	6770.0	1199.0	110.0	2696.0	1461.0	1009.0	261.0	23.0	-	11.0
строительство	22408.0	3018.0	376.0	8603.0	5729.0	3352.0	1194.0	114.0	3.0	19.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	41812.0	8640.0	1275.0	17295.0	7136.0	5975.0	1315.0	125.0	13.0	38.0
гостиницы и рестораны	6245.0	559.0	83.0	2747.0	1648.0	939.0	257.0	8.0	-	4.0
