13. НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
	Население, проживающее в коллективных домохозяйствах	в том числе проживающие в			
		стационарных учреждениях социального обслуживания	больницах для лиц, страдающих хроническими заболеваниями	детских домах, домах ребенка, школах-интернатах для детей-сирот и детей, оставшихся без попечения родителей	других учреждениях
					
45 – 54	251.0	20.0	70.0	-	161.0
55 – 64	122.0	41.0	48.0	-	33.0
65 и более	161.0	109.0	41.0	-	11.0
возраст не указан	-	-	-	-	-
Республика Калмыкия					
Все население	2541.0	702.0	85.0	155.0	1599.0
в том числе в возрасте, лет:					
  0 – 3	30.0	-	-	29.0	1.0
  4 – 5	21.0	8.0	-	12.0	1.0
  6 – 9	50.0	23.0	-	27.0	-
10 – 14 	133.0	69.0	-	64.0	-
15 – 17 	67.0	38.0	1.0	23.0	5.0
18 – 24	520.0	60.0	7.0	-	453.0
25 – 34 	670.0	60.0	18.0	-	592.0
35 – 44 	511.0	87.0	25.0	-	399.0
45 – 54	195.0	60.0	22.0	-	113.0
55 – 64	122.0	87.0	11.0	-	24.0
65 и более	222.0	210.0	1.0	-	11.0
возраст не указан	-	-	-	-	-
Карачаево-Черкесская Республика					
Все население	1808.0	116.0	49.0	225.0	1418.0
в том числе в возрасте, лет:					
  0 – 3	39.0	-	-	39.0	-
  4 – 5	17.0	-	-	17.0	-
  6 – 9	64.0	-	-	64.0	-
10 – 14 	90.0	-	-	90.0	-
15 – 17 	15.0	-	-	14.0	1.0
18 – 24	1357.0	-	2.0	1.0	1354.0
25 – 34 	51.0	1.0	5.0	-	45.0
35 – 44 	28.0	1.0	13.0	-	14.0
45 – 54	28.0	9.0	15.0	-	4.0
55 – 64	21.0	14.0	7.0	-	-
65 и более	98.0	91.0	7.0	-	-
возраст не указан	-	-	-	-	-
Республика Северная Осетия – Алания					
Все население	19225.0	221.0	377.0	455.0	18172.0
в том числе в возрасте, лет:					
  0 – 3	24.0	-	-	7.0	17.0
  4 – 5	29.0	-	-	26.0	3.0
  6 – 9	79.0	3.0	-	66.0	10.0
10 – 14 	492.0	-	-	196.0	296.0
15 – 17 	437.0	-	-	78.0	359.0
18 – 24	16059.0	-	10.0	47.0	16002.0
25 – 34 	927.0	14.0	57.0	28.0	828.0
35 – 44 	566.0	20.0	75.0	5.0	466.0
45 – 54	251.0	22.0	82.0	2.0	145.0
55 – 64	166.0	42.0	89.0	-	35.0
65 и более	193.0	120.0	63.0	-	10.0
возраст не указан	2.0	-	1.0	-	1.0
Чеченская Республика					
Все население	34066.0	-	19.0	-	34047.0
в том числе в возрасте, лет:					
  0 – 3	47.0	-	-	-	47.0
  4 – 5	25.0	-	-	-	25.0
  6 – 9	38.0	-	-	-	38.0
10 – 14 	33.0	-	-	-	33.0
15 – 17 	25.0	-	-	-	25.0
18 – 24	24953.0	-	-	-	24953.0
25 – 34 	5539.0	-	1.0	-	5538.0
35 – 44 	2972.0	-	3.0	-	2969.0
45 – 54	378.0	-	13.0	-	365.0
55 – 64	13.0	-	2.0	-	11.0
65 и более	3.0	-	-	-	3.0
возраст не указан	40.0	-	-	-	40.0
Краснодарский край					
Все население	68969.0	7811.0	3737.0	5379.0	52042.0
в том числе в возрасте, лет:					
  0 – 3	549.0	18.0	40.0	429.0	62.0
  4 – 5	332.0	89.0	7.0	226.0	10.0
  6 – 9	1040.0	234.0	21.0	756.0	29.0
10 – 14 	3387.0	455.0	28.0	2832.0	72.0
15 – 17 	2335.0	305.0	28.0	1075.0	927.0
18 – 24	33362.0	376.0	255.0	51.0	32680.0
25 – 34 	10636.0	501.0	553.0	-	9582.0
35 – 44 	7513.0	703.0	766.0	5.0	6039.0
45 – 54	3619.0	819.0	805.0	4.0	1991.0
55 – 64	2012.0	906.0	621.0	-	485.0
65 и более	4163.0	3404.0	611.0	-	148.0
возраст не указан	21.0	1.0	2.0	1.0	17.0
Ставропольский край					
Все население	44295.0	4265.0	378.0	4082.0	35570.0
в том числе в возрасте, лет:					
  0 – 3	179.0	4.0	8.0	152.0	15.0
  4 – 5	115.0	11.0	-	98.0	6.0
  6 – 9	847.0	71.0	-	765.0	11.0
10 – 14 	2391.0	212.0	6.0	2133.0	40.0
15 – 17 	1963.0	121.0	6.0	870.0	966.0
18 – 24	23443.0	170.0	11.0	47.0	23215.0
25 – 34 	6481.0	331.0	38.0	2.0	6110.0
35 – 44 	4131.0	480.0	58.0	5.0	3588.0
45 – 54	1904.0	560.0	99.0	6.0	1239.0
55 – 64	963.0	628.0	68.0	2.0	265.0
65 и более	1877.0	1677.0	83.0	2.0	115.0
возраст не указан	1.0	-	1.0	-	-
Астраханская область					
Все население	16757.0	1583.0	331.0	1444.0	13399.0
в том числе в возрасте, лет:					
  0 – 3	277.0	2.0	2.0	265.0	8.0
  4 – 5	129.0	19.0	9.0	88.0	13.0
  6 – 9	296.0	43.0	-	221.0	32.0
10 – 14 	736.0	70.0	1.0	629.0	36.0
15 – 17 	523.0	65.0	-	240.0	218.0
18 – 24	9086.0	132.0	14.0	1.0	8939.0
25 – 34 	2441.0	112.0	48.0	-	2281.0
35 – 44 	1462.0	124.0	66.0	-	1272.0
45 – 54	735.0	151.0	88.0	-	496.0
55 – 64	340.0	210.0	54.0	-	76.0
65 и более	731.0	655.0	49.0	-	27.0
возраст не указан	1.0	-	-	-	1.0
Волгоградская область					
Все население	43577.0	4365.0	2808.0	3957.0	32447.0
в том числе в возрасте, лет:					
  0 – 3	405.0	7.0	8.0	352.0	38.0
  4 – 5	173.0	12.0	3.0	126.0	32.0
  6 – 9	811.0	94.0	1.0	632.0	84.0
10 – 14 	2370.0	334.0	10.0	1929.0	97.0
15 – 17 	1462.0	100.0	34.0	855.0	473.0
18 – 24	21045.0	246.0	256.0	54.0	20489.0
25 – 34 	7202.0	354.0	539.0	1.0	6308.0
35 – 44 	4214.0	411.0	598.0	1.0	3204.0
45 – 54	2505.0	510.0	658.0	2.0	1335.0
55 – 64	1157.0	582.0	318.0	-	257.0
65 и более	2187.0	1703.0	382.0	-	102.0
возраст не указан	46.0	12.0	1.0	5.0	28.0
Ростовская область					
Все население	56274.0	5400.0	1842.0	4621.0	44411.0
в том числе в возрасте, лет:					
  0 – 3	542.0	-	2.0	497.0	43.0
  4 – 5	235.0	14.0	1.0	194.0	26.0
  6 – 9	891.0	60.0	1.0	778.0	52.0
10 – 14 	2681.0	278.0	2.0	2229.0	172.0
15 – 17 	2319.0	208.0	10.0	805.0	1296.0
18 – 24	28753.0	282.0	177.0	102.0	28192.0
25 – 34 	8606.0	342.0	284.0	6.0	7974.0
35 – 44 	5323.0	417.0	437.0	1.0	4468.0
45 – 54	2634.0	615.0	429.0	1.0	1589.0
55 – 64	1347.0	716.0	254.0	1.0	376.0
65 и более	2873.0	2463.0	244.0	-	166.0
возраст не указан	70.0	5.0	1.0	7.0	57.0
Приволжский федеральный округ					
Все население	439601.0	50263.0	17542.0	42443.0	329353.0
в том числе в возрасте, лет:					
  0 – 3	4740.0	51.0	272.0	3927.0	490.0
  4 – 5	2535.0	279.0	42.0	1894.0	320.0
  6 – 9	8001.0	932.0	69.0	6251.0	749.0
10 – 14 	24955.0	2629.0	171.0	20021.0	2134.0
15 – 17 	18399.0	1354.0	152.0	8262.0	8631.0
18 – 24	157073.0	2480.0	937.0	1446.0	152210.0
25 – 34 	94103.0	3648.0	2151.0	228.0	88076.0
35 – 44 	55196.0	4532.0	3297.0	75.0	47292.0
45 – 54	32945.0	6215.0	4142.0	78.0	22510.0
55 – 64	14451.0	7050.0	2628.0	74.0	4699.0
65 и более	26726.0	21067.0	3345.0	129.0	2185.0
возраст не указан	477.0	26.0	336.0	58.0	57.0
Республика Башкортостан					
Все население	35871.0	5329.0	2535.0	5027.0	22980.0
в том числе в возрасте, лет:					
  0 – 3	442.0	7.0	39.0	389.0	7.0
  4 – 5	228.0	84.0	-	128.0	16.0
  6 – 9	972.0	273.0	-	666.0	33.0
10 – 14 	3241.0	410.0	11.0	2632.0	188.0
15 – 17 	2017.0	183.0	14.0	1135.0	685.0
18 – 24	8548.0	286.0	107.0	67.0	8088.0
25 – 34 	7903.0	404.0	359.0	5.0	7135.0
35 – 44 	5708.0	727.0	585.0	3.0	4393.0
45 – 54	3205.0	758.0	603.0	1.0	1843.0
55 – 64	1374.0	642.0	375.0	-	357.0
65 и более	2210.0	1554.0	426.0	-	230.0
возраст не указан	23.0	1.0	16.0	1.0	5.0
Республика Марий Эл					
Все население	9957.0	2064.0	186.0	1616.0	6091.0
в том числе в возрасте, лет:					
  0 – 3	130.0	1.0	7.0	120.0	2.0
  4 – 5	66.0	11.0	-	48.0	7.0
  6 – 9	275.0	51.0	-	201.0	23.0
10 – 14 	1034.0	142.0	-	853.0	39.0
15 – 17 	607.0	70.0	-	343.0	194.0
18 – 24	3303.0	118.0	4.0	45.0	3136.0
25 – 34 	1673.0	167.0	24.0	5.0	1477.0
35 – 44 	1017.0	224.0	42.0	-	751.0
45 – 54	712.0	299.0	62.0	1.0	350.0
55 – 64	380.0	275.0	25.0	-	80.0
65 и более	758.0	704.0	22.0	-	32.0
возраст не указан	2.0	2.0	-	-	-
Республика Мордовия					
Все население	21790.0	2005.0	67.0	1462.0	18256.0
в том числе в возрасте, лет:					
  0 – 3	146.0	1.0	-	109.0	36.0
  4 – 5	84.0	3.0	2.0	57.0	22.0
  6 – 9	369.0	35.0	10.0	282.0	42.0
10 – 14 	903.0	117.0	1.0	717.0	68.0
15 – 17 	366.0	49.0	-	268.0	49.0
18 – 24	3416.0	94.0	1.0	28.0	3293.0
25 – 34 	8067.0	170.0	4.0	-	7893.0
35 – 44 	4518.0	175.0	9.0	-	4334.0
45 – 54	2238.0	238.0	20.0	-	1980.0
55 – 64	675.0	242.0	12.0	-	421.0
65 и более	1007.0	881.0	8.0	-	118.0
возраст не указан	1.0	-	-	1.0	-
Республика Татарстан					
Все население	30688.0	3009.0	2777.0	3547.0	21355.0
в том числе в возрасте, лет:					
  0 – 3	367.0	1.0	22.0	326.0	18.0
  4 – 5	196.0	12.0	-	163.0	21.0
  6 – 9	572.0	48.0	2.0	469.0	53.0
10 – 14 	1812.0	117.0	10.0	1419.0	266.0
15 – 17 	2112.0	65.0	6.0	740.0	1301.0
18 – 24	9821.0	121.0	201.0	390.0	9109.0
25 – 34 	6822.0	153.0	409.0	16.0	6244.0
35 – 44 	3566.0	184.0	627.0	3.0	2752.0
45 – 54	2200.0	294.0	726.0	3.0	1177.0
55 – 64	1153.0	467.0	399.0	1.0	286.0
65 и более	2048.0	1543.0	372.0	7.0	126.0
возраст не указан	19.0	4.0	3.0	10.0	2.0
Удмуртская Республика					
Все население	21070.0	2532.0	1196.0	2345.0	14997.0
в том числе в возрасте, лет:					
  0 – 3	449.0	20.0	92.0	161.0	176.0
  4 – 5	226.0	10.0	10.0	120.0	86.0
  6 – 9	611.0	48.0	12.0	379.0	172.0
10 – 14 	1758.0	153.0	65.0	1268.0	272.0
15 – 17 	703.0	86.0	38.0	347.0	232.0
18 – 24	5178.0	221.0	56.0	32.0	4869.0
25 – 34 	4822.0	270.0	142.0	21.0	4389.0
35 – 44 	3192.0	323.0	204.0	7.0	2658.0
45 – 54	1983.0	339.0	259.0	9.0	1376.0
55 – 64	893.0	303.0	161.0	1.0	428.0
65 и более	1250.0	759.0	156.0	-	335.0
возраст не указан	5.0	-	1.0	-	4.0
Чувашская Республика					
Все население	16845.0	2625.0	165.0	2093.0	11962.0
в том числе в возрасте, лет:					
  0 – 3	208.0	-	2.0	187.0	19.0
  4 – 5	105.0	8.0	3.0	92.0	2.0
  6 – 9	345.0	30.0	-	313.0	2.0
10 – 14 	1176.0	84.0	2.0	1068.0	22.0
15 – 17 	631.0	78.0	-	385.0	168.0
18 – 24	3777.0	135.0	7.0	15.0	3620.0
25 – 34 	4427.0	243.0	19.0	1.0	4164.0
35 – 44 	2822.0	320.0	44.0	-	2458.0
45 – 54	1586.0	383.0	38.0	-	1165.0
55 – 64	575.0	311.0	19.0	-	245.0
65 и более	1158.0	1032.0	31.0	-	95.0
возраст не указан	35.0	1.0	-	32.0	2.0
Кировская область					
Все население	26993.0	4048.0	1645.0	2806.0	18494.0
в том числе в возрасте, лет:					
  0 – 3	355.0	-	1.0	353.0	1.0
  4 – 5	174.0	4.0	-	167.0	3.0
  6 – 9	478.0	52.0	15.0	407.0	4.0
10 – 14 	1605.0	215.0	14.0	1366.0	10.0
15 – 17 	873.0	147.0	3.0	494.0	229.0
18 – 24	7205.0	252.0	32.0	12.0	6909.0
25 – 34 	6025.0	375.0	82.0	-	5568.0
35 – 44 	4113.0	362.0	216.0	2.0	3533.0
45 – 54	2854.0	586.0	380.0	-	1888.0
55 – 64	1123.0	597.0	258.0	1.0	267.0
65 и более	2181.0	1457.0	641.0	1.0	82.0
возраст не указан	7.0	1.0	3.0	3.0	-
Нижегородская область					
Все население	57438.0	6304.0	1389.0	4254.0	45491.0
в том числе в возрасте, лет:					
  0 – 3	490.0	3.0	3.0	430.0	54.0
  4 – 5	269.0	11.0	3.0	235.0	20.0
  6 – 9	803.0	40.0	4.0	660.0	99.0
10 – 14 	2285.0	156.0	4.0	1873.0	252.0
15 – 17 	1719.0	59.0	13.0	781.0	866.0
18 – 24	27892.0	206.0	54.0	162.0	27470.0
25 – 34 	9669.0	370.0	154.0	21.0	9124.0
35 – 44 	5222.0	537.0	268.0	6.0	4411.0
45 – 54	3548.0	854.0	371.0	12.0	2311.0
55 – 64	1790.0	1028.0	194.0	15.0	553.0
65 и более	3751.0	3040.0	321.0	59.0	331.0
возраст не указан	-	-	-	-	-
Оренбургская область					
Все население	33623.0	2749.0	676.0	3234.0	26964.0
в том числе в возрасте, лет:					
  0 – 3	315.0	-	19.0	295.0	1.0
  4 – 5	177.0	-	16.0	158.0	3.0
  6 – 9	556.0	22.0	8.0	524.0	2.0
10 – 14 	1455.0	87.0	2.0	1339.0	27.0
15 – 17 	1131.0	41.0	5.0	793.0	292.0
18 – 24	16362.0	139.0	21.0	106.0	16096.0
25 – 34 	6274.0	253.0	72.0	10.0	5939.0
35 – 44 	3651.0	317.0	150.0	6.0	3178.0
45 – 54	1711.0	380.0	158.0	2.0	1171.0
55 – 64	697.0	398.0	94.0	1.0	204.0
65 и более	1290.0	1112.0	130.0	-	48.0
возраст не указан	4.0	-	1.0	-	3.0
Пензенская область					
Все население	15670.0	2792.0	756.0	1761.0	10361.0
в том числе в возрасте, лет:					
  0 – 3	135.0	1.0	-	116.0	18.0
  4 – 5	91.0	6.0	-	51.0	34.0
  6 – 9	290.0	30.0	-	232.0	28.0
10 – 14 	967.0	96.0	-	818.0	53.0
15 – 17 	693.0	44.0	-	411.0	238.0
18 – 24	4739.0	38.0	15.0	122.0	4564.0
25 – 34 	3058.0	110.0	66.0	11.0	2871.0
35 – 44 	1828.0	174.0	129.0	-	1525.0
45 – 54	1259.0	295.0	195.0	-	769.0
55 – 64	735.0	402.0	153.0	-	180.0
65 и более	1861.0	1596.0	188.0	-	77.0
возраст не указан	14.0	-	10.0	-	4.0
Пермская область					
Все население	59823.0	6148.0	3473.0	5491.0	44711.0
в том числе в возрасте, лет:					
  0 – 3	650.0	7.0	38.0	566.0	39.0
  4 – 5	341.0	27.0	3.0	268.0	43.0
  6 – 9	916.0	90.0	12.0	720.0	94.0
10 – 14 	3089.0	377.0	53.0	2446.0	213.0
15 – 17 	2280.0	224.0	60.0	1144.0	852.0
18 – 24	16931.0	273.0	355.0	132.0	16171.0
25 – 34 	15145.0	311.0	562.0	52.0	14220.0
35 – 44 	8864.0	345.0	562.0	34.0	7923.0
45 – 54	5488.0	555.0	751.0	43.0	4139.0
55 – 64	2113.0	824.0	504.0	50.0	735.0
65 и более	3956.0	3100.0	561.0	29.0	266.0
возраст не указан	50.0	15.0	12.0	7.0	16.0
Коми–Пермяцкий автономный округ					
Все население	1205.0	707.0	3.0	315.0	180.0
в том числе в возрасте, лет:					
  0 – 3	58.0	-	-	56.0	2.0
  4 – 5	32.0	-	-	27.0	5.0
  6 – 9	83.0	-	-	62.0	21.0
10 – 14 	175.0	-	-	132.0	43.0
15 – 17 	52.0	1.0	-	38.0	13.0
18 – 24	45.0	16.0	-	-	29.0
25 – 34 	55.0	21.0	-	-	34.0
35 – 44 	47.0	26.0	-	-	21.0
45 – 54	64.0	51.0	2.0	-	11.0
55 – 64	101.0	99.0	1.0	-	1.0
65 и более	493.0	493.0	-	-	-
возраст не указан	-	-	-	-	-
Самарская  область					
Все население	47309.0	4206.0	736.0	3434.0	38933.0
в том числе в возрасте, лет:					
  0 – 3	479.0	8.0	12.0	408.0	51.0
  4 – 5	189.0	36.0	2.0	141.0	10.0
  6 – 9	579.0	50.0	3.0	493.0	33.0
10 – 14 	1729.0	174.0	-	1368.0	187.0
15 – 17 	1889.0	79.0	-	638.0	1172.0
18 – 24	23567.0	231.0	8.0	259.0	23069.0
25 – 34 	8785.0	445.0	23.0	74.0	8243.0
35 – 44 	4406.0	411.0	56.0	8.0	3931.0
45 – 54	2452.0	604.0	107.0	4.0	1737.0
55 – 64	1064.0	596.0	100.0	5.0	363.0
65 и более	1866.0	1572.0	136.0	32.0	126.0
возраст не указан	304.0	-	289.0	4.0	11.0
Саратовская область					
Все население	42317.0	4273.0	1146.0	3903.0	32995.0
в том числе в возрасте, лет:					
  0 – 3	341.0	-	37.0	268.0	36.0
  4 – 5	261.0	34.0	3.0	191.0	33.0
  6 – 9	861.0	101.0	3.0	671.0	86.0
10 – 14 	2761.0	370.0	9.0	2192.0	190.0
15 – 17 	1949.0	181.0	9.0	540.0	1219.0
18 – 24	18694.0	250.0	48.0	38.0	18358.0
25 – 34 	7614.0	236.0	142.0	2.0	7234.0
35 – 44 	3995.0	262.0	234.0	-	3499.0
45 – 54	2337.0	396.0	246.0	-	1695.0
55 – 64	1202.0	623.0	196.0	-	383.0
65 и более	2290.0	1818.0	219.0	1.0	252.0
возраст не указан	12.0	2.0	-	-	10.0
Ульяновская область					
Все население	20207.0	2179.0	795.0	1470.0	15763.0
в том числе в возрасте, лет:					
  0 – 3	233.0	2.0	-	199.0	32.0
  4 – 5	128.0	33.0	-	75.0	20.0
  6 – 9	374.0	62.0	-	234.0	78.0
10 – 14 	1140.0	131.0	-	662.0	347.0
15 – 17 	1429.0	48.0	4.0	243.0	1134.0
18 – 24	7640.0	116.0	28.0	38.0	7458.0
25 – 34 	3819.0	141.0	93.0	10.0	3575.0
35 – 44 	2294.0	171.0	171.0	6.0	1946.0
45 – 54	1372.0	234.0	226.0	3.0	909.0
55 – 64	677.0	342.0	138.0	-	197.0
65 и более	1100.0	899.0	134.0	-	67.0
возраст не указан	1.0	-	1.0	-	-
Уральский федеральный округ					
Все население	194172.0	16175.0	4802.0	18942.0	154253.0
в том числе в возрасте, лет:					
  0 – 3	2645.0	54.0	161.0	2158.0	272.0
  4 – 5	1165.0	79.0	45.0	923.0	118.0
  6 – 9	3398.0	273.0	70.0	2725.0	330.0
10 – 14 	10597.0	810.0	117.0	8688.0	982.0
15 – 17 	8207.0	389.0	60.0	3628.0	4130.0
18 – 24	74982.0	1114.0	270.0	646.0	72952.0
25 – 34 	45374.0	1305.0	610.0	61.0	43398.0
35 – 44 	22224.0	1304.0	854.0	9.0	20057.0
45 – 54	12608.0	1893.0	1172.0	4.0	9539.0
55 – 64	4749.0	2306.0	674.0	14.0	1755.0
65 и более	8070.0	6634.0	750.0	83.0	603.0
возраст не указан	153.0	14.0	19.0	3.0	117.0
Курганская область					
Все население	13402.0	1905.0	762.0	1845.0	8890.0
в том числе в возрасте, лет:					
  0 – 3	142.0	-	3.0	136.0	3.0
  4 – 5	81.0	-	-	80.0	1.0
  6 – 9	258.0	10.0	1.0	241.0	6.0
10 – 14 	991.0	108.0	-	846.0	37.0
15 – 17 	661.0	56.0	-	443.0	162.0
18 – 24	3706.0	116.0	22.0	97.0	3471.0
25 – 34 	2996.0	121.0	83.0	-	2792.0
35 – 44 	1709.0	124.0	161.0	1.0	1423.0
45 – 54	1165.0	186.0	188.0	1.0	790.0
55 – 64	530.0	266.0	123.0	-	141.0
65 и более	1152.0	916.0	175.0	-	61.0
возраст не указан	11.0	2.0	6.0	-	3.0
Свердловская область					
Все население	87228.0	6856.0	2004.0	7780.0	70588.0
в том числе в возрасте, лет:					
  0 – 3	1182.0	25.0	103.0	898.0	156.0
  4 – 5	543.0	37.0	23.0	444.0	39.0
  6 – 9	1302.0	89.0	29.0	1087.0	97.0
10 – 14 	4352.0	317.0	70.0	3473.0	492.0
15 – 17 	3261.0	101.0	21.0	1417.0	1722.0
18 – 24	36532.0	344.0	117.0	392.0	35679.0
25 – 34 	19497.0	609.0	226.0	55.0	18607.0
35 – 44 	9507.0	624.0	303.0	6.0	8574.0
45 – 54	5503.0	884.0	477.0	1.0	4141.0
55 – 64	2075.0	1056.0	275.0	4.0	740.0
65 и более	3378.0	2760.0	348.0	1.0	269.0
возраст не указан	96.0	10.0	12.0	2.0	72.0
Тюменская область					
Все население	34324.0	3835.0	607.0	3936.0	25946.0
в том числе в возрасте, лет:					
  0 – 3	455.0	16.0	21.0	405.0	13.0
  4 – 5	192.0	31.0	15.0	124.0	22.0
  6 – 9	749.0	104.0	22.0	548.0	75.0
10 – 14 	2138.0	205.0	27.0	1768.0	138.0
15 – 17 	1876.0	160.0	12.0	926.0	778.0
18 – 24	9496.0	272.0	46.0	67.0	9111.0
25 – 34 	9610.0	276.0	96.0	4.0	9234.0
35 – 44 	4691.0	298.0	91.0	1.0	4301.0
45 – 54	2336.0	428.0	130.0	1.0	1777.0
55 – 64	920.0	494.0	75.0	9.0	342.0
65 и более	1825.0	1551.0	71.0	82.0	121.0
возраст не указан	36.0	-	1.0	1.0	34.0
Ханты-Мансийский автономный округ - Югра					
Все население	9800.0	450.0	79.0	1314.0	7957.0
в том числе в возрасте, лет:					
  0 – 3	158.0	16.0	11.0	122.0	9.0
  4 – 5	68.0	5.0	-	55.0	8.0
  6 – 9	204.0	8.0	2.0	173.0	21.0
10 – 14 	628.0	15.0	-	566.0	47.0
15 – 17 	417.0	10.0	1.0	363.0	43.0
18 – 24	2520.0	1.0	7.0	32.0	2480.0
25 – 34 	3401.0	9.0	11.0	1.0	3380.0
35 – 44 	1365.0	18.0	9.0	1.0	1337.0
45 – 54	519.0	61.0	11.0	1.0	446.0
55 – 64	187.0	75.0	11.0	-	101.0
65 и более	306.0	232.0	15.0	-	59.0
возраст не указан	27.0	-	1.0	-	26.0
Ямало-Ненецкий автономный округ					
Все население	4209.0	147.0	7.0	465.0	3590.0
в том числе в возрасте, лет:					
  0 – 3	20.0	-	1.0	19.0	-
  4 – 5	16.0	-	-	16.0	-
  6 – 9	67.0	-	-	66.0	1.0
10 – 14 	231.0	-	-	224.0	7.0
15 – 17 	138.0	-	-	132.0	6.0
18 – 24	389.0	-	1.0	8.0	380.0
25 – 34 	1487.0	4.0	2.0	-	1481.0
35 – 44 	1131.0	10.0	-	-	1121.0
45 – 54	529.0	23.0	3.0	-	503.0
55 – 64	115.0	40.0	-	-	75.0
65 и более	85.0	70.0	-	-	15.0
возраст не указан	1.0	-	-	-	1.0
Челябинская область					
Все население	59218.0	3579.0	1429.0	5381.0	48829.0
в том числе в возрасте, лет:					
  0 – 3	866.0	13.0	34.0	719.0	100.0
  4 – 5	349.0	11.0	7.0	275.0	56.0
  6 – 9	1089.0	70.0	18.0	849.0	152.0
10 – 14 	3116.0	180.0	20.0	2601.0	315.0
15 – 17 	2409.0	72.0	27.0	842.0	1468.0
18 – 24	25248.0	382.0	85.0	90.0	24691.0
25 – 34 	13271.0	299.0	205.0	2.0	12765.0
35 – 44 	6317.0	258.0	299.0	1.0	5759.0
45 – 54	3604.0	395.0	377.0	1.0	2831.0
55 – 64	1224.0	490.0	201.0	1.0	532.0
65 и более	1715.0	1407.0	156.0	-	152.0
возраст не указан	10.0	2.0	-	-	8.0
Сибирский федеральный округ					
Все население	353265.0	38273.0	11147.0	43754.0	260091.0
в том числе в возрасте, лет:					
  0 – 3	4727.0	117.0	527.0	3611.0	472.0
  4 – 5	2846.0	312.0	85.0	2092.0	357.0
  6 – 9	8748.0	1054.0	225.0	6510.0	959.0
10 – 14 	27040.0	2607.0	376.0	21158.0	2899.0
15 – 17 	16183.0	1508.0	166.0	8560.0	5949.0
18 – 24	134440.0	2802.0	788.0	901.0	129949.0
25 – 34 	72716.0	2999.0	1394.0	163.0	68160.0
35 – 44 	37344.0	3260.0	1856.0	140.0	32088.0
45 – 54	21672.0	4409.0	2471.0	146.0	14646.0
55 – 64	9161.0	4812.0	1354.0	145.0	2850.0
65 и более	18218.0	14380.0	1894.0	314.0	1630.0
возраст не указан	170.0	13.0	11.0	14.0	132.0
Республика Алтай					
Все население	2748.0	216.0	34.0	704.0	1794.0
в том числе в возрасте, лет:					
  0 – 3	67.0	-	8.0	52.0	7.0
  4 – 5	33.0	-	1.0	27.0	5.0
  6 – 9	75.0	-	1.0	69.0	5.0
10 – 14 	235.0	-	-	213.0	22.0
15 – 17 	232.0	-	-	207.0	25.0
18 – 24	785.0	4.0	1.0	131.0	649.0
25 – 34 	541.0	7.0	4.0	3.0	527.0
35 – 44 	354.0	6.0	4.0	-	344.0
45 – 54	188.0	12.0	10.0	1.0	165.0
55 – 64	60.0	29.0	2.0	-	29.0
65 и более	175.0	157.0	3.0	-	15.0
возраст не указан	3.0	1.0	-	1.0	1.0
Республика Бурятия					
Все население	21600.0	2095.0	703.0	1582.0	17220.0
в том числе в возрасте, лет:					
  0 – 3	144.0	1.0	18.0	124.0	1.0
  4 – 5	91.0	22.0	5.0	61.0	3.0
  6 – 9	320.0	67.0	17.0	214.0	22.0
10 – 14 	1026.0	134.0	40.0	807.0	45.0
15 – 17 	598.0	76.0	9.0	341.0	172.0
18 – 24	11935.0	162.0	50.0	35.0	11688.0
25 – 34 	3392.0	212.0	99.0	-	3081.0
35 – 44 	1849.0	275.0	118.0	-	1456.0
45 – 54	1054.0	292.0	161.0	-	601.0
55 – 64	412.0	233.0	77.0	-	102.0
65 и более	774.0	621.0	109.0	-	44.0
возраст не указан	5.0	-	-	-	5.0
Республика Тыва					
Все население	5881.0	970.0	313.0	944.0	3654.0
в том числе в возрасте, лет:					
  0 – 3	82.0	3.0	5.0	68.0	6.0
  4 – 5	56.0	6.0	1.0	47.0	2.0
  6 – 9	220.0	37.0	2.0	177.0	4.0
10 – 14 	578.0	121.0	3.0	438.0	16.0
15 – 17 	331.0	65.0	2.0	204.0	60.0
18 – 24	1608.0	80.0	10.0	10.0	1508.0
25 – 34 	1514.0	102.0	61.0	-	1351.0
35 – 44 	731.0	84.0	107.0	-	540.0
45 – 54	265.0	69.0	75.0	-	121.0
55 – 64	215.0	148.0	30.0	-	37.0
65 и более	279.0	255.0	17.0	-	7.0
возраст не указан	2.0	-	-	-	2.0
Республика Хакасия					
Все население	9179.0	1391.0	183.0	1242.0	6363.0
в том числе в возрасте, лет:					
  0 – 3	67.0	-	11.0	46.0	10.0
  4 – 5	53.0	5.0	2.0	35.0	11.0
  6 – 9	253.0	25.0	24.0	173.0	31.0
10 – 14 	877.0	64.0	39.0	678.0	96.0
15 – 17 	497.0	20.0	20.0	302.0	155.0
18 – 24	2750.0	52.0	12.0	8.0	2678.0
25 – 34 	1944.0	75.0	20.0	-	1849.0
35 – 44 	1104.0	158.0	20.0	-	926.0
45 – 54	704.0	216.0	21.0	-	467.0
55 – 64	327.0	225.0	10.0	-	92.0
65 и более	603.0	551.0	4.0	-	48.0
возраст не указан	-	-	-	-	-
Алтайский край					
Все население	35189.0	6127.0	1428.0	3873.0	23761.0
