13. НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
	Население, проживающее в коллективных домохозяйствах	в том числе проживающие в			
		стационарных учреждениях социального обслуживания	больницах для лиц, страдающих хроническими заболеваниями	детских домах, домах ребенка, школах-интернатах для детей-сирот и детей, оставшихся без попечения родителей	других учреждениях
					
65 и более	1274.0	860.0	347.0	-	67.0
возраст не указан	45.0	2.0	1.0	2.0	40.0
Курская область					
Все население	10645.0	1728.0	640.0	1505.0	6772.0
в том числе в возрасте, лет:					
  0 – 3	161.0	-	4.0	157.0	-
  4 – 5	86.0	6.0	-	80.0	-
  6 – 9	312.0	21.0	2.0	286.0	3.0
10 – 14 	785.0	60.0	-	720.0	5.0
15 – 17 	512.0	61.0	4.0	251.0	196.0
18 – 24	3165.0	117.0	59.0	7.0	2982.0
25 – 34 	1767.0	161.0	74.0	3.0	1529.0
35 – 44 	1325.0	93.0	110.0	-	1122.0
45 – 54	986.0	160.0	151.0	-	675.0
55 – 64	528.0	254.0	93.0	-	181.0
65 и более	1014.0	795.0	143.0	-	76.0
возраст не указан	4.0	-	-	1.0	3.0
Липецкая область					
Все население	10760.0	2020.0	303.0	1896.0	6541.0
в том числе в возрасте, лет:					
  0 – 3	210.0	2.0	5.0	195.0	8.0
  4 – 5	116.0	6.0	-	102.0	8.0
  6 – 9	387.0	14.0	-	372.0	1.0
10 – 14 	878.0	29.0	-	834.0	15.0
15 – 17 	526.0	1.0	-	371.0	154.0
18 – 24	2022.0	112.0	1.0	22.0	1887.0
25 – 34 	2375.0	110.0	7.0	-	2258.0
35 – 44 	1474.0	162.0	33.0	-	1279.0
45 – 54	970.0	254.0	53.0	-	663.0
55 – 64	603.0	390.0	44.0	-	169.0
65 и более	1198.0	940.0	160.0	-	98.0
возраст не указан	1.0	-	-	-	1.0
Московская область					
Все население	119788.0	8134.0	6973.0	4955.0	99726.0
в том числе в возрасте, лет:					
  0 – 3	1296.0	47.0	102.0	484.0	663.0
  4 – 5	680.0	46.0	3.0	282.0	349.0
  6 – 9	1542.0	117.0	7.0	735.0	683.0
10 – 14 	3721.0	358.0	3.0	2159.0	1201.0
15 – 17 	4132.0	217.0	62.0	1093.0	2760.0
18 – 24	83579.0	834.0	604.0	131.0	82010.0
25 – 34 	6533.0	877.0	856.0	3.0	4797.0
35 – 44 	5131.0	823.0	1069.0	11.0	3228.0
45 – 54	4659.0	1202.0	1500.0	10.0	1947.0
55 – 64	3504.0	1287.0	1299.0	2.0	916.0
65 и более	4834.0	2319.0	1445.0	4.0	1066.0
возраст не указан	177.0	7.0	23.0	41.0	106.0
Орловская область					
Все население	14028.0	2075.0	1375.0	1881.0	8697.0
в том числе в возрасте, лет:					
  0 – 3	203.0	-	-	202.0	1.0
  4 – 5	89.0	11.0	-	78.0	-
  6 – 9	366.0	46.0	-	317.0	3.0
10 – 14 	1019.0	75.0	1.0	922.0	21.0
15 – 17 	1047.0	94.0	9.0	342.0	602.0
18 – 24	4322.0	157.0	164.0	7.0	3994.0
25 – 34 	2225.0	93.0	316.0	-	1816.0
35 – 44 	1811.0	150.0	384.0	11.0	1266.0
45 – 54	1277.0	263.0	305.0	2.0	707.0
55 – 64	631.0	336.0	107.0	-	188.0
65 и более	1035.0	850.0	89.0	-	96.0
возраст не указан	3.0	-	-	-	3.0
Рязанская область					
Все население	21389.0	1650.0	1525.0	1508.0	16706.0
в том числе в возрасте, лет:					
  0 – 3	192.0	7.0	10.0	167.0	8.0
  4 – 5	121.0	28.0	24.0	60.0	9.0
  6 – 9	409.0	61.0	99.0	236.0	13.0
10 – 14 	1034.0	95.0	183.0	720.0	36.0
15 – 17 	1306.0	50.0	48.0	250.0	958.0
18 – 24	10296.0	50.0	59.0	9.0	10178.0
25 – 34 	3164.0	72.0	83.0	9.0	3000.0
35 – 44 	1731.0	79.0	162.0	6.0	1484.0
45 – 54	1102.0	151.0	251.0	8.0	692.0
55 – 64	694.0	268.0	223.0	8.0	195.0
65 и более	1340.0	789.0	383.0	35.0	133.0
возраст не указан	-	-	-	-	-
Смоленская область					
Все население	18156.0	3054.0	1947.0	1926.0	11229.0
в том числе в возрасте, лет:					
  0 – 3	173.0	1.0	11.0	155.0	6.0
  4 – 5	69.0	4.0	5.0	52.0	8.0
  6 – 9	283.0	5.0	4.0	230.0	44.0
10 – 14 	979.0	19.0	6.0	870.0	84.0
15 – 17 	769.0	8.0	16.0	449.0	296.0
18 – 24	6220.0	161.0	185.0	38.0	5836.0
25 – 34 	3187.0	176.0	367.0	12.0	2632.0
35 – 44 	2070.0	210.0	412.0	10.0	1438.0
45 – 54	1389.0	332.0	375.0	28.0	654.0
55 – 64	838.0	460.0	217.0	32.0	129.0
65 и более	2136.0	1675.0	349.0	50.0	62.0
возраст не указан	43.0	3.0	-	-	40.0
Тамбовская область					
Все население	15014.0	2146.0	918.0	2554.0	9396.0
в том числе в возрасте, лет:					
  0 – 3	44.0	5.0	2.0	36.0	1.0
  4 – 5	129.0	24.0	-	99.0	6.0
  6 – 9	481.0	23.0	-	449.0	9.0
10 – 14 	1458.0	-	2.0	1394.0	62.0
15 – 17 	773.0	6.0	-	512.0	255.0
18 – 24	4584.0	99.0	8.0	37.0	4440.0
25 – 34 	2698.0	190.0	25.0	-	2483.0
35 – 44 	1595.0	167.0	91.0	3.0	1334.0
45 – 54	1079.0	296.0	144.0	-	639.0
55 – 64	690.0	414.0	153.0	2.0	121.0
65 и более	1465.0	920.0	491.0	18.0	36.0
возраст не указан	18.0	2.0	2.0	4.0	10.0
Тверская область					
Все население	22508.0	4292.0	1035.0	2320.0	14861.0
в том числе в возрасте, лет:					
  0 – 3	241.0	2.0	1.0	215.0	23.0
  4 – 5	140.0	18.0	-	110.0	12.0
  6 – 9	417.0	53.0	1.0	305.0	58.0
10 – 14 	1756.0	123.0	16.0	1176.0	441.0
15 – 17 	1607.0	82.0	15.0	494.0	1016.0
18 – 24	6917.0	305.0	39.0	18.0	6555.0
25 – 34 	3953.0	385.0	95.0	-	3473.0
35 – 44 	2349.0	349.0	125.0	2.0	1873.0
45 – 54	1760.0	555.0	224.0	-	981.0
55 – 64	1076.0	637.0	182.0	-	257.0
65 и более	2257.0	1783.0	336.0	-	138.0
возраст не указан	35.0	-	1.0	-	34.0
Тульская область					
Все население	22160.0	2624.0	836.0	2976.0	15724.0
в том числе в возрасте, лет:					
  0 – 3	241.0	3.0	2.0	232.0	4.0
  4 – 5	134.0	10.0	-	119.0	5.0
  6 – 9	429.0	30.0	2.0	389.0	8.0
10 – 14 	1513.0	67.0	2.0	1430.0	14.0
15 – 17 	950.0	49.0	6.0	539.0	356.0
18 – 24	8524.0	233.0	10.0	44.0	8237.0
25 – 34 	3875.0	214.0	33.0	33.0	3595.0
35 – 44 	2441.0	226.0	88.0	52.0	2075.0
45 – 54	1709.0	356.0	158.0	64.0	1131.0
55 – 64	775.0	355.0	157.0	38.0	225.0
65 и более	1559.0	1080.0	378.0	36.0	65.0
возраст не указан	10.0	1.0	-	-	9.0
Ярославская область					
Все население	24563.0	2883.0	1444.0	2047.0	18189.0
в том числе в возрасте, лет:					
  0 – 3	194.0	1.0	27.0	162.0	4.0
  4 – 5	112.0	9.0	-	99.0	4.0
  6 – 9	357.0	55.0	-	285.0	17.0
10 – 14 	1284.0	135.0	-	992.0	157.0
15 – 17 	1229.0	72.0	3.0	456.0	698.0
18 – 24	9233.0	114.0	60.0	37.0	9022.0
25 – 34 	3960.0	115.0	106.0	1.0	3738.0
35 – 44 	2666.0	147.0	213.0	3.0	2303.0
45 – 54	2029.0	267.0	325.0	4.0	1433.0
55 – 64	1219.0	478.0	309.0	3.0	429.0
65 и более	2190.0	1488.0	399.0	5.0	298.0
возраст не указан	90.0	2.0	2.0	-	86.0
г. Москва					
Все население	61126.0	8244.0	2241.0	3537.0	47104.0
в том числе в возрасте, лет:					
  0 – 3	1671.0	66.0	101.0	994.0	510.0
  4 – 5	623.0	58.0	16.0	224.0	325.0
  6 – 9	1080.0	189.0	3.0	320.0	568.0
10 – 14 	2339.0	366.0	54.0	893.0	1026.0
15 – 17 	3653.0	250.0	17.0	651.0	2735.0
18 – 24	32290.0	741.0	290.0	121.0	31138.0
25 – 34 	6117.0	956.0	434.0	99.0	4628.0
35 – 44 	4482.0	754.0	366.0	131.0	3231.0
45 – 54	3045.0	987.0	296.0	78.0	1684.0
55 – 64	1884.0	1064.0	203.0	14.0	603.0
65 и более	3631.0	2741.0	420.0	5.0	465.0
возраст не указан	311.0	72.0	41.0	7.0	191.0
Северо-Западный федеральный округ					
Все население	289665.0	31206.0	12317.0	24790.0	221352.0
в том числе в возрасте, лет:					
  0 – 3	3686.0	317.0	217.0	2768.0	384.0
  4 – 5	1796.0	206.0	32.0	1286.0	272.0
  6 – 9	4314.0	583.0	61.0	3033.0	637.0
10 – 14 	15419.0	1675.0	128.0	11100.0	2516.0
15 – 17 	15482.0	1087.0	154.0	5153.0	9088.0
18 – 24	146894.0	2295.0	969.0	773.0	142857.0
25 – 34 	38440.0	2828.0	1660.0	87.0	33865.0
35 – 44 	24357.0	3105.0	2121.0	54.0	19077.0
45 – 54	16442.0	4117.0	2748.0	95.0	9482.0
