1. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Городские и сельские населенные пункты	Городские населенные пункты	Сельские населенные пункты	В процентах		
				городские и сельские населенные пункты	городские населенные пункты	сельские населенные пункты
Российская Федерация						
в индивидуальных домах	193233.0	73619.0	119614.0	27.8291363928	15.1816794523	57.1127080001
в отдельных квартирах	459092.0	375114.0	83978.0	66.117763968	77.3558525118	40.0974049228
в коммунальных квартирах	10336.0	9617.0	719.0	1.48857572855	1.98321372598	0.343304605247
в общежитиях	16888.0	16504.0	384.0	2.43218526546	3.40344799142	0.183350442858
в институциональных учреждениях	11411.0	7236.0	4175.0	1.7	1.49220489978	1.99345859097
в гостиницах	237.0	228.0	9.0	0.0341323962526	0.0470180648354	0.00429727600449
в других жилых помещениях	839.0	698.0	141.0	0.120831563105	0.143941268663	0.067323990737
бездомные	468.0	431.0	37.0	0.0674006812077	0.0888806401056	0.0176665791296
не указали тип жилого помещения	1851.0	1473.0	378.0	0.26657833529	0.303761445187	0.180485592189
Псковская область						
Все население	760810.0	502654.0	258156.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	263092.0	82981.0	180111.0	34.5805128744	16.5085724972	69.7682796449
в отдельных квартирах	445229.0	377012.0	68217.0	58.5203927393	75.0042772961	26.4247199368
в коммунальных квартирах	8693.0	7868.0	825.0	1.14259802053	1.56529143307	0.319574210942
в общежитиях	22877.0	21958.0	919.0	3.00692682799	4.36841246663	0.355986302856
в институциональных учреждениях	18059.0	10778.0	7281.0	2.37365439466	2.14421848826	2.82038767257
в гостиницах	329.0	320.0	9.0	0.0432433853393	0.0636620816705	0.00348626411937
в других жилых помещениях	333.0	194.0	139.0	0.1	0.0385951370127	0.0538434125103
бездомные	216.0	132.0	84.0	0.0283907940222	0.0262606086891	0.0325384651141
не указали тип жилого помещения	1982.0	1411.0	571.0	0.260511822926	0.280709991366	0.22118409024
г. Санкт-Петербург						
Все население	4661219.0	4661219.0	-	100.0	100.0	-
в том числе проживает:						
в индивидуальных домах	47530.0	47530.0	-	1.01969034281	1.01969034281	-
в отдельных квартирах	3788048.0	3788048.0	-	81.2673251353	81.2673251353	-
в коммунальных квартирах	494565.0	494565.0	-	10.6102073299	10.6102073299	-
в общежитиях	189926.0	189926.0	-	4.07459936982	4.07459936982	-
в институциональных учреждениях	66573.0	66573.0	-	1.42823154201	1.42823154201	-
в гостиницах	994.0	994.0	-	0.0213248937671	0.0213248937671	-
в других жилых помещениях	9408.0	9408.0	-	0.201835614246	0.201835614246	-
бездомные	28874.0	28874.0	-	0.619451692787	0.619451692787	-
не указали тип жилого помещения	35301.0	35301.0	-	0.757334079347	0.757334079347	-
Южный федеральный округ						
Все население	22907141.0	13166327.0	9740814.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	12005041.0	4362252.0	7642789.0	52.4074174075	33.1318825668	78.4615022933
в отдельных квартирах	9479331.0	7711470.0	1767861.0	41.3815543371	58.5696375306	18.1490068489
в коммунальных квартирах	197258.0	145622.0	51636.0	0.861120119704	1.10601840589	0.530099435222
в общежитиях	603543.0	557015.0	46528.0	2.63473735112	4.23060280973	0.477660285886
в институциональных учреждениях	322851.0	219500.0	103351.0	1.40939019845	1.66713161537	1.06100989096
в гостиницах	5616.0	4542.0	1074.0	0.0245163724273	0.0344970924693	0.0110257725894
в других жилых помещениях	161601.0	76219.0	85382.0	0.705461235865	0.578893414997	0.876538654778
бездомные	24604.0	21979.0	2625.0	0.107407554701	0.166933420384	0.0269484665245
не указали тип жилого помещения	107296.0	67728.0	39568.0	0.468395423069	0.514403143717	0.406208351787
Республика Адыгея						
Все население	447109.0	234900.0	212209.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	270073.0	92253.0	177820.0	60.4042862031	39.2733077905	83.7947495158
в отдельных квартирах	159816.0	129944.0	29872.0	35.7443039617	55.318859089	14.0766885476
в коммунальных квартирах	675.0	556.0	119.0	0.150969897721	0.236696466582	0.0
в общежитиях	6933.0	6600.0	333.0	1.55062859392	2.80970625798	0.156920771504
в институциональных учреждениях	6470.0	4441.0	2029.0	1.44707442704	1.89059174117	0.9
в гостиницах	13.0	11.0	2.0	0.00290756840055	0.0046828437633	0.000942467096118
в других жилых помещениях	1674.0	252.0	1422.0	0.374405346347	0.107279693487	0.67009410534
бездомные	190.0	173.0	17.0	0.0424952304695	0.0736483610047	0.008010970317
не указали тип жилого помещения	1265.0	670.0	595.0	0.282928771284	0.285227756492	0.280383961095
Республика Дагестан						
Все население	2576531.0	1102577.0	1473954.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	1821092.0	467157.0	1353935.0	70.6799956996	42.3695578631	91.857344259
в отдельных квартирах	610489.0	535217.0	75272.0	23.6942229688	48.5423693765	5.10680794652
в коммунальных квартирах	40423.0	12860.0	27563.0	1.56889243716	1.16635844934	1.87000408425
в общежитиях	64721.0	61509.0	3212.0	2.51194338434	5.57865799849	0.217917248435
в институциональных учреждениях	16655.0	13387.0	3268.0	0.646411783906	1.21415556465	0.221716552891
в гостиницах	81.0	73.0	8.0	0.00314376190312	0.00662085278398	0.000542757779415
в других жилых помещениях	5089.0	2896.0	2193.0	0.197513633642	0.262657392636	0.148783476282
бездомные	377.0	376.0	1.0	0.0146320770059	0.0341019266682	6.78447224269e-05
не указали тип жилого помещения	17604.0	9102.0	8502.0	0.683244253611	0.825520575887	0.576815830073
Республика Ингушетия						
Все население	467294.0	198496.0	268798.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	318651.0	124100.0	194551.0	68.1906893733	62.5201515396	72.3781426945
в отдельных квартирах	73125.0	45163.0	27962.0	15.6486066588	22.7525995486	10.4026071623
в коммунальных квартирах	7363.0	4477.0	2886.0	1.57566756689	2.25546106723	1.07366870289
в общежитиях	4139.0	627.0	3512.0	0.885737886641	0.315875382879	1.30655734046
в институциональных учреждениях	3738.0	1367.0	2371.0	0.79992467269	0.688678865065	0.882075015439
в гостиницах	5.0	-	5.0	0.00106999019889	-	0.00186013288789
в других жилых помещениях	53450.0	19952.0	33498.0	11.4381952261	10.0	12.4
бездомные	24.0	17.0	7.0	0.00513595295467	0.00856440432049	0.00260418604305
не указали тип жилого помещения	6799.0	2793.0	4006.0	1.45497267245	1.40708125101	1.49033846978
Кабардино–Балкарская Республика						
Все население	901494.0	510346.0	391148.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	549007.0	188738.0	360269.0	60.8996843018	36.9823609865	92.1055457269
в отдельных квартирах	315029.0	290735.0	24294.0	35.0	56.9682137217	6.21094828556
в коммунальных квартирах	2297.0	1280.0	1017.0	0.254799255458	0.250810234625	0.260003885997
в общежитиях	21761.0	20925.0	836.0	2.41388184503	4.10015949963	0.21372984139
в институциональных учреждениях	8476.0	5030.0	3446.0	0.940217017529	0.985605843878	0.880996451471
в гостиницах	218.0	218.0	-	0.0241820799695	0.0427161180846	-
в других жилых помещениях	717.0	667.0	50.0	0.0795346391657	0.130695645699	0.0127828852506
бездомные	1235.0	1231.0	4.0	0.136994810836	0.241208905331	0.00102263082005
не указали тип жилого помещения	2754.0	1522.0	1232.0	0.305492881816	0.298229044609	0.314970292575
Республика Калмыкия						
Все население	292410.0	129539.0	162871.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	143824.0	48047.0	95777.0	49.1857323621	37.0907603116	58.8054349761
в отдельных квартирах	135917.0	72203.0	63714.0	46.4816524743	55.8	39.1193030067
в коммунальных квартирах	1355.0	810.0	545.0	0.4	0.62529431291	0.334620650699
в общежитиях	7210.0	6635.0	575.0	2.46571594679	5.12200958785	0.353040136059
в институциональных учреждениях	2541.0	943.0	1598.0	0.868985328819	0.727966095153	0.98114458682
в гостиницах	44.0	44.0	-	0.0150473650012	0.1	-
в других жилых помещениях	275.0	169.0	106.0	0.0940460312575	0.130462640595	0.0650821816038
бездомные	53.0	32.0	21.0	0.0181252351151	0.0247029852014	0.0128936397517
не указали тип жилого помещения	1191.0	656.0	535.0	0.407304811737	0.506411196628	0.328480822246
Карачаево-Черкесская Республика						
Все население	439470.0	193531.0	245939.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	282244.0	67491.0	214753.0	64.2237240312	34.8734828012	87.3196199057
в отдельных квартирах	142498.0	115183.0	27315.0	32.4249664368	59.5165632379	11.1064125657
в коммунальных квартирах	1012.0	651.0	361.0	0.230277379571	0.336380218156	0.2
в общежитиях	9029.0	8186.0	843.0	2.05452021753	4.22981331156	0.342767922127
в институциональных учреждениях	1808.0	733.0	1075.0	0.411404646506	0.378750691104	0.437100256568
в гостиницах	23.0	16.0	7.0	0.00523357680843	0.00826740935561	0.00284623422881
в других жилых помещениях	179.0	52.0	127.0	0.1	0.0268690804057	0.0516388210085
бездомные	324.0	156.0	168.0	0.0737251689535	0.0806072412172	0.0683096214915
не указали тип жилого помещения	2353.0	1063.0	1290.0	0.535417662184	0.6	0.524520307881
Республика Северная Осетия – Алания						
Все население	710275.0	464875.0	245400.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	349950.0	141592.0	208358.0	49.2696490796	30.4	84.9054604727
в отдельных квартирах	314840.0	288601.0	26239.0	44.3264932597	62.0814197365	10.6923390383
в коммунальных квартирах	2502.0	1890.0	612.0	0.352257928267	0.406560903469	0.249388753056
в общежитиях	13109.0	11987.0	1122.0	1.84562317412	2.57854261898	0.457212713936
в институциональных учреждениях	19225.0	16754.0	2471.0	2.70669810989	3.6039795644	1.00692746536
в гостиницах	638.0	344.0	294.0	0.0898243638028	0.0739983866631	0.119804400978
в других жилых помещениях	6231.0	834.0	5397.0	0.877265847735	0.17940306534	2.19926650367
бездомные	244.0	237.0	7.0	0.0343528914857	0.0	0.00285248573757
не указали тип жилого помещения	3536.0	2636.0	900.0	0.497835345465	0.567034148965	0.366748166259
Чеченская Республика						
Все население	1103686.0	373177.0	730509.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	789190.0	197436.0	591754.0	71.5049389047	52.9067975786	81.0057097175
в отдельных квартирах	201258.0	125040.0	76218.0	18.2350777304	33.5068881523	10.43354702
в коммунальных квартирах	9586.0	1850.0	7736.0	0.868544133023	0.495743306795	1.05898763739
в общежитиях	7316.0	6882.0	434.0	0.662869693011	1.9	0.0594106301223
в институциональных учреждениях	34066.0	7594.0	26472.0	3.08656628788	2.03495928206	3.62377465575
в гостиницах	148.0	133.0	15.0	0.0134096110669	0.0356399242183	0.00205336279224
в других жилых помещениях	54180.0	31831.0	22349.0	4.90900491625	8.52973253979	3.05937366959
бездомные	20.0	6.0	14.0	0.00181210960364	0.00160781613015	0.00191647193943
не указали тип жилого помещения	7922.0	2405.0	5517.0	0.717776614001	0.7	0.7
Краснодарский край						
Все население	5125221.0	2740544.0	2384677.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	2825276.0	1004066.0	1821210.0	55.1249594896	36.6374705168	76.3713492435
в отдельных квартирах	2021454.0	1519731.0	501723.0	39.4413040921	55.4536252656	21.0394531419
в коммунальных квартирах	26113.0	21792.0	4321.0	0.509499980586	0.795170593867	0.18119854387
в общежитиях	127061.0	112584.0	14477.0	2.47913211938	4.1080894888	0.607084313725
в институциональных учреждениях	68969.0	43733.0	25236.0	1.34567855708	1.5957780645	1.05825652698
в гостиницах	2631.0	2271.0	360.0	0.0513343717276	0.0828667593003	0.0150963841225
в других жилых помещениях	20865.0	11756.0	9109.0	0.407104396084	0.428965927933	0.381980452699
бездомные	13974.0	12744.0	1230.0	0.272651657363	0.465017164475	0.0
не указали тип жилого помещения	18878.0	11867.0	7011.0	0.368335336174	0.433016218678	0.294002080785
Ставропольский край						
Все население	2735139.0	1530591.0	1204548.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	1422381.0	527443.0	894938.0	52.0039749351	34.4	74.2965826185
в отдельных квартирах	1113725.0	836707.0	277018.0	40.7191371261	54.6656160921	22.9976721559
в коммунальных квартирах	14550.0	11812.0	2738.0	0.531965651471	0.771728044919	0.227305180034
в общежитиях	119016.0	112668.0	6348.0	4.3513693454	7.3	0.527002659919
в институциональных учреждениях	44295.0	31727.0	12568.0	1.6194789369	2.07285943796	1.1
в гостиницах	685.0	463.0	222.0	0.0250444310143	0.0302497531999	0.0184301497325
в других жилых помещениях	10752.0	3069.0	7683.0	0.393106163891	0.20051078309	0.7
бездомные	1225.0	1041.0	184.0	0.1	0.0680129440197	0.0152754394179
не указали тип жилого помещения	8510.0	5661.0	2849.0	0.311135923988	0.369857133617	0.236520254901
Астраханская область						
Все население	1005276.0	680441.0	324835.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	387165.0	161367.0	225798.0	38.5133038091	23.7150612617	69.511598196
в отдельных квартирах	552244.0	462816.0	89428.0	54.9345652338	68.0170654032	27.530284606
в коммунальных квартирах	4087.0	3554.0	533.0	0.406555015737	0.522308326512	0.164083303831
в общежитиях	36732.0	31832.0	4900.0	3.65392190801	4.67814255755	1.50845814029
в институциональных учреждениях	16757.0	14912.0	1845.0	1.66690540707	2.19151991135	0.567980667108
в гостиницах	476.0	467.0	9.0	0.047350180448	0.0686319607431	0.00277063740053
в других жилых помещениях	1705.0	580.0	1125.0	0.169605163159	0.0852388377538	0.4
бездомные	434.0	318.0	116.0	0.0431722233496	0.0467343972512	0.0357104376068
не указали тип жилого помещения	5676.0	4595.0	1081.0	0.564621059291	0.675297343928	0.332784336663
Волгоградская область						
Все население	2699223.0	2029785.0	669438.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	953147.0	455729.0	497418.0	35.3119027216	22.4520823634	74.3038190243
в отдельных квартирах	1568914.0	1409369.0	159545.0	58.1246529094	69.4343982244	23.8326775594
в коммунальных квартирах	30332.0	29396.0	936.0	1.12373079216	1.44823220193	0.139818773359
в общежитиях	85464.0	83232.0	2232.0	3.16624450814	4.10053281505	0.33341399801
в институциональных учреждениях	43577.0	37862.0	5715.0	1.61442755934	1.86532071131	0.85370116426
в гостиницах	262.0	211.0	51.0	0.00970649701785	0.0103951896383	0.0076183305997
в других жилых помещениях	3327.0	2323.0	1004.0	0.123257693047	0.114445618625	0.2
бездомные	3614.0	3317.0	297.0	0.2	0.163416322418	0.1
не указали тип жилого помещения	10586.0	8346.0	2240.0	0.392186936759	0.411176553182	0.334609030261
Ростовская область						
Все население	4404013.0	2977525.0	1426488.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	1893041.0	886833.0	1006208.0	42.9844553138	29.7842335497	70.5374317905
в отдельных квартирах	2270022.0	1880761.0	389261.0	51.5443982568	63.1652463036	27.2880669168
в коммунальных квартирах	56963.0	54694.0	2269.0	1.29343396579	1.8368947364	0.159061975986
в общежитиях	101052.0	93348.0	7704.0	2.29454363554	3.13508702698	0.540067634638
в институциональных учреждениях	56274.0	41017.0	15257.0	1.27778914367	1.37755350501	1.06954983147
в гостиницах	392.0	291.0	101.0	0.00890097281729	0.00977321768919	0.00708032594736
в других жилых помещениях	3157.0	1838.0	1319.0	0.0716846203678	0.0617291206623	0.0924648507383
бездомные	2890.0	2331.0	559.0	0.0656219679642	0.078286496335	0.0391871505403
не указали тип жилого помещения	20222.0	16412.0	3810.0	0.4	0.5	0.267089523361
Приволжский федеральный округ						
Все население	31154744.0	22047106.0	9107638.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	8740221.0	2919963.0	5820258.0	28.0542218546	13.2442008489	63.9052408539
в отдельных квартирах	20383514.0	17327475.0	3056039.0	65.4266778761	78.5929681655	33.5546823446
в коммунальных квартирах	412910.0	390284.0	22626.0	1.32535192714	1.77022780223	0.248428846206
в общежитиях	1050262.0	989476.0	60786.0	3.37111420335	4.48800853953	0.667417831056
в институциональных учреждениях	439601.0	321257.0	118344.0	1.4110242729	1.45713909118	1.2993928832
в гостиницах	4158.0	3317.0	841.0	0.0133462820301	0.0150450585215	0.00923400776359
в других жилых помещениях	11974.0	6008.0	5966.0	0.0384339540713	0.0272507421155	0.065505458166
бездомные	12089.0	11029.0	1060.0	0.1	0.0	0.0116385829125
не указали тип жилого помещения	100015.0	78297.0	21718.0	0.321026550563	0.355135045842	0.238459192164
Республика Башкортостан						
Все население	4104336.0	2626613.0	1477723.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	1497036.0	369721.0	1127315.0	36.4744991638	14.0759601814	76.2873014767
в отдельных квартирах	2319350.0	2005035.0	314315.0	56.5097496891	76.3353794411	21.2702245279
в коммунальных квартирах	48204.0	44191.0	4013.0	1.17446524846	1.68243285174	0.271566457313
в общежитиях	183672.0	162848.0	20824.0	4.47507221631	6.19992362788	1.40919509272
в институциональных учреждениях	35871.0	32007.0	3864.0	0.873978153835	1.21856550622	0.26148337679
в гостиницах	441.0	286.0	155.0	0.0107447343492	0.0108885473421	0.0104891106114
в других жилых помещениях	3366.0	1134.0	2232.0	0.0820108295227	0.0431734709301	0.1
бездомные	1816.0	1697.0	119.0	0.0442458902	0.0646079190197	0.0080529300823
не указали тип жилого помещения	14580.0	9694.0	4886.0	0.3	0.369068454317	0.330643835144
Республика Марий Эл						
Все население	727979.0	459687.0	268292.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	218277.0	46145.0	172132.0	29.9839693178	10.0383521831	64.1584542215
в отдельных квартирах	463844.0	376939.0	86905.0	63.7166731458	81.9990558793	32.3919460886
в коммунальных квартирах	5821.0	4904.0	917.0	0.799610977789	1.06681285309	0.341791779106
в общежитиях	28571.0	26013.0	2558.0	3.92470112462	5.6588504787	0.953438790571
в институциональных учреждениях	9957.0	4632.0	5325.0	1.36775923481	1.00764215651	1.98477777943
в гостиницах	209.0	169.0	40.0	0.0287096193709	0.0367641460385	0.0149091288596
в других жилых помещениях	46.0	27.0	19.0	0.00631886359359	0.00587356179313	0.00708183620831
бездомные	84.0	49.0	35.0	0.0115387943883	0.0106594269579	0.0130454877522
не указали тип жилого помещения	1170.0	809.0	361.0	0.160718921837	0.175989314468	0.134554887958
Республика Мордовия						
Все население	888766.0	531478.0	357288.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	344442.0	83602.0	260840.0	38.7550828902	15.7300960717	73.0055305524
в отдельных квартирах	485838.0	408125.0	77713.0	54.6643323439	76.7905727048	21.7508004747
в коммунальных квартирах	5465.0	4390.0	1075.0	0.614897509581	0.82599844208	0.300877723293
в общежитиях	29944.0	29057.0	887.0	3.36916578717	5.46720654477	0.248259107499
в институциональных учреждениях	21790.0	5485.0	16305.0	2.4	1.03202766624	4.56354537516
в гостиницах	118.0	118.0	-	0.0132768355225	0.0222022360286	-
в других жилых помещениях	112.0	51.0	61.0	0.0126017421909	0.00959588167337	0.0170730615078
бездомные	227.0	185.0	42.0	0.0255410310475	0.1	0.0117552226775
не указали тип жилого помещения	830.0	465.0	365.0	0.0933879108787	0.087491862316	0.102158482793
Республика Татарстан						
Все население	3779265.0	2790661.0	988604.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	1101920.0	324956.0	776964.0	29.1569921665	11.6444096936	78.5920348289
в отдельных квартирах	2431632.0	2233647.0	197985.0	64.3413997166	80.0400693599	20.026724553
в коммунальных квартирах	56761.0	54733.0	2028.0	1.50190579385	1.96129160797	0.205137749797
в общежитиях	141316.0	137602.0	3714.0	3.73924559405	4.9308031323	0.375681263681
в институциональных учреждениях	30688.0	26591.0	4097.0	0.812009742635	0.952856688792	0.414422761793
в гостиницах	297.0	173.0	124.0	0.00785867093205	0.00619924813512	0.0125429393367
в других жилых помещениях	2279.0	1590.0	689.0	0.060302730822	0.0569757487563	0.0696942355078
бездомные	1310.0	1252.0	58.0	0.0346628246498	0.0448639229201	0.005866858722
не указали тип жилого помещения	13062.0	10117.0	2945.0	0.4	0.36253059759	0.297894809246
Удмуртская Республика						
Все население	1570316.0	1094338.0	475978.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	411647.0	146791.0	264856.0	26.2142778906	13.4136802341	55.7
в отдельных квартирах	1057565.0	863206.0	194359.0	67.4	78.8792859245	40.8336099568
в коммунальных квартирах	19076.0	18022.0	1054.0	1.21478734217	1.7	0.221438805995
в общежитиях	55157.0	52163.0	2994.0	3.51247774333	4.76662603327	0.629020669023
в институциональных учреждениях	21070.0	9634.0	11436.0	1.34176815367	0.880349581208	2.40263205442
в гостиницах	145.0	142.0	3.0	0.00923381026494	0.0129758813091	0.000630281231485
в других жилых помещениях	674.0	376.0	298.0	0.1	0.0343586716353	0.0626079356609
бездомные	484.0	423.0	61.0	0.0308218218499	0.0386535055897	0.0128157183735
не указали тип жилого помещения	4498.0	3581.0	917.0	0.286439162563	0.327229795548	0.192655963091
Чувашская Республика						
Все население	1313754.0	796196.0	517558.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	528412.0	80534.0	447878.0	40.2215331028	10.1148460932	86.5367746224
в отдельных квартирах	691371.0	628172.0	63199.0	52.625605707	78.8966535878	12.2109985741
в коммунальных квартирах	10877.0	10120.0	757.0	0.827932778892	1.27104381333	0.146263800386
в общежитиях	62603.0	60687.0	1916.0	4.76519957313	7.62211817191	0.370200054873
в институциональных учреждениях	16845.0	14462.0	2383.0	1.28220351755	1.8163869198	0.460431487872
в гостиницах	83.0	80.0	3.0	0.00631777334265	0.0100477771805	0.000579645179864
в других жилых помещениях	184.0	70.0	114.0	0.0140056662054	0.00879180503293	0.0220265168348
бездомные	273.0	266.0	7.0	0.0207801460547	0.1	0.00135250541968
не указали тип жилого помещения	3106.0	1805.0	1301.0	0.3	0.226702972635	0.251372793001
Кировская область						
Все население	1503529.0	1079024.0	424505.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	302044.0	119721.0	182323.0	20.0890039367	11.0953046457	43.0
в отдельных квартирах	1094509.0	861538.0	232971.0	72.7960019394	79.9	54.8806256699
в коммунальных квартирах	27919.0	27027.0	892.0	1.85689800463	2.50476356411	0.210127089198
в общежитиях	49796.0	48338.0	1458.0	3.31194143911	4.47978914278	0.343458852075
в институциональных учреждениях	26993.0	20779.0	6214.0	1.79530956836	1.92572176337	1.46382256982
в гостиницах	78.0	59.0	19.0	0.00518779484799	0.00546790432836	0.00447580122731
в других жилых помещениях	77.0	27.0	50.0	0.00512128465763	0.00250226130281	0.0117784242824
бездомные	197.0	147.0	50.0	0.0131025075007	0.0136234226486	0.0117784242824
не указали тип жилого помещения	1916.0	1388.0	528.0	0.127433524727	0.128634766233	0.124380160422
Нижегородская область						
Все население	3524028.0	2754997.0	769031.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	761524.0	334757.0	426767.0	21.6094764287	12.1509025237	55.4941218234
в отдельных квартирах	2565466.0	2254285.0	311181.0	72.7992513113	81.8253159622	40.4640385108
в коммунальных квартирах	39353.0	36980.0	2373.0	1.11670508861	1.34228821302	0.308570135664
в общежитиях	83015.0	80006.0	3009.0	2.35568502861	2.9040322004	0.391271613238
в институциональных учреждениях	57438.0	34315.0	23123.0	1.62989624373	1.3	3.00677085839
в гостиницах	229.0	143.0	86.0	0.00649824575741	0.00519056826559	0.0111829042002
в других жилых помещениях	573.0	394.0	179.0	0.016259802703	0.0143012859905	0.0232760447888
бездомные	655.0	605.0	50.0	0.0185866854633	0.0219600965083	0.0065016884885
не указали тип жилого помещения	15775.0	13512.0	2263.0	0.5	0.490454254578	0.29426642099
Оренбургская область						
Все население	2179551.0	1260128.0	919423.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	787192.0	265984.0	521208.0	36.1171635809	21.1076969959	56.6885970875
в отдельных квартирах	1276431.0	902638.0	373793.0	58.563942757	71.6306597425	40.6
в коммунальных квартирах	14146.0	11443.0	2703.0	0.6490327595	0.908082353539	0.293988729888
в общежитиях	59282.0	52275.0	7007.0	2.71991800146	4.2	0.762108409296
в институциональных учреждениях	33623.0	21411.0	12212.0	1.54265718031	1.69911310597	1.328224332
в гостиницах	281.0	164.0	117.0	0.0128925636519	0.0130145509028	0.0127253723259
в других жилых помещениях	1200.0	410.0	790.0	0.0550572113247	0.0325363772569	0.0859234541664
бездомные	1345.0	1208.0	137.0	0.0617099576931	0.0958632773813	0.0149006496466
не указали тип жилого помещения	6051.0	4595.0	1456.0	0.277625988105	0.364645496331	0.158360188945
Пензенская область						
Все население	1452941.0	945214.0	507727.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	544260.0	187510.0	356750.0	37.4591948331	19.8378356647	70.2641380112
в отдельных квартирах	836351.0	691526.0	144825.0	57.5626264246	73.1607868694	28.5241872108
в коммунальных квартирах	15566.0	14856.0	710.0	1.07134425968	1.57170757098	0.2
в общежитиях	36682.0	35617.0	1065.0	2.52467237142	3.76814139444	0.209758393782
в институциональных учреждениях	15670.0	12512.0	3158.0	1.07850215528	1.32372140066	0.621987800531
в гостиницах	277.0	277.0	-	0.0190647796435	0.0293055329269	-
в других жилых помещениях	124.0	59.0	65.0	0.00853441399203	0.00624197271729	0.0128021554891
бездомные	672.0	645.0	27.0	0.0462510177633	0.0682385152992	0.00531781843392
не указали тип жилого помещения	3339.0	2212.0	1127.0	0.229809744511	0.234021078824	0.221969680557
Пермская область						
Все население	2819421.0	2121647.0	697774.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	538404.0	208430.0	329974.0	19.0962612536	9.82397165975	47.289523542
в отдельных квартирах	2050284.0	1709263.0	341021.0	72.7200371991	80.5630248576	48.8727009032
в коммунальных квартирах	51951.0	49450.0	2501.0	1.84261236616	2.33073645145	0.358425507399
в общежитиях	106651.0	100640.0	6011.0	3.7827270209	4.8	0.861453708507
в институциональных учреждениях	59823.0	43649.0	16174.0	2.12181862872	2.0573167921	2.31794248568
в гостиницах	609.0	553.0	56.0	0.0216001796113	0.0260646563731	0.00802552115728
в других жилых помещениях	1208.0	817.0	391.0	0.1	0.0385078196326	0.0
бездомные	1960.0	1793.0	167.0	0.0695178194388	0.0845098171373	0.023933250594
не указали тип жилого помещения	8531.0	7052.0	1479.0	0.302579855935	0.33238328525	0.211959746279
Коми–Пермяцкий автономный округ						
Все население	136076.0	35740.0	100336.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	66511.0	9503.0	57008.0	48.8778329757	26.5892557359	56.8170945623
в отдельных квартирах	64483.0	22264.0	42219.0	47.3874893442	62.2943480694	42.0776191995
в коммунальных квартирах	411.0	234.0	177.0	0.302037096916	0.6	0.176407271568
в общежитиях	3276.0	2979.0	297.0	2.40747817396	8.33519865697	0.296005421783
в институциональных учреждениях	1205.0	699.0	506.0	0.88553455422	1.95579182988	0.504305533408
в гостиницах	-	-	-	-	-	-
в других жилых помещениях	10.0	5.0	5.0	0.00734883447485	0.0139899272524	0.00498325625897
бездомные	31.0	24.0	7.0	0.022781386872	0.0671516508114	0.00697655876256
не указали тип жилого помещения	149.0	32.0	117.0	0.109497633675	0.0895355344152	0.11660819646
Самарская область						
Все население	3239737.0	2611680.0	628057.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	554863.0	218998.0	335865.0	17.1267914649	8.38533051522	53.476834109
в отдельных квартирах	2453641.0	2177684.0	275957.0	75.7358081844	83.38249709	43.93820943
в коммунальных квартирах	65671.0	63652.0	2019.0	2.02704725723	2.5	0.321467637492
в общежитиях	99136.0	94633.0	4503.0	3.06000147543	3.62345310298	0.716973140973
в институциональных учреждениях	47309.0	40120.0	7189.0	1.46027285548	1.53617594805	1.2
в гостиницах	609.0	408.0	201.0	0.0187978221689	0.0156221282852	0.0320034646537
в других жилых помещениях	1377.0	767.0	610.0	0.0425034501257	0.029368069595	0.0971249424813
