1. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспо-собном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
производство и распределение электроэнергии, газа и воды	978303.0	7953.0	73117.0	110568.0	108849.0	117003.0	160424.0	163461.0	142424.0	62297.0	32207.0	946040.0	41.3
строительство	3357040.0	78480.0	372829.0	439100.0	399386.0	433678.0	555581.0	492943.0	376567.0	143892.0	64584.0	3291151.0	38.8
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	3016741.0	96652.0	421027.0	525952.0	501696.0	437969.0	422178.0	304846.0	200159.0	75121.0	31141.0	2983420.0	35.7
гостиницы и рестораны	273490.0	17428.0	52521.0	44272.0	36485.0	31336.0	32914.0	25787.0	20264.0	8541.0	3942.0	269334.0	34.7
транспорт и связь	4020851.0	47738.0	362980.0	510273.0	543001.0	561140.0	695368.0	598755.0	446518.0	178252.0	76826.0	3943540.0	39.3
финансовая деятельность	241066.0	1898.0	27886.0	44912.0	42511.0	32855.0	32864.0	25930.0	19735.0	8791.0	3684.0	237375.0	37.0
операции с недвижимым имуществом, аренда и предоставление услуг	1627164.0	30469.0	196546.0	226195.0	195318.0	188338.0	225075.0	212909.0	189605.0	96209.0	66500.0	1560336.0	39.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	2345525.0	25784.0	349058.0	455127.0	410954.0	352945.0	323094.0	202092.0	133427.0	60692.0	32352.0	2313079.0	35.5
образование	975156.0	14822.0	81228.0	102167.0	96675.0	109789.0	141627.0	139687.0	137399.0	81674.0	70088.0	904701.0	42.1
здравоохранение и предоставление социальных услуг	735762.0	8981.0	61027.0	86234.0	85880.0	97510.0	114982.0	106507.0	93808.0	46650.0	34183.0	701455.0	40.8
предоставление прочих коммунальных, социальных и персональных услуг	1156787.0	29457.0	114212.0	135528.0	131789.0	138152.0	174801.0	167504.0	146975.0	73666.0	44703.0	1111406.0	40.1
предоставление услуг по ведению домашнего хозяйства	11352.0	304.0	1176.0	1532.0	1368.0	1483.0	1762.0	1547.0	1246.0	639.0	295.0	11041.0	39.0
деятельность экстерриториальных организаций	5275.0	106.0	634.0	658.0	798.0	645.0	808.0	598.0	537.0	279.0	212.0	5063.0	38.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	703219.0	15094.0	76159.0	93953.0	90672.0	91122.0	105662.0	92350.0	76091.0	38476.0	23640.0	679085.0	39.1
Женщины в возрасте 15-64 лет, занятые в экономике 	29449153.0	624330.0	2916087.0	3552839.0	3503204.0	3895714.0	5001837.0	4660949.0	3634769.0	1064324.0	595100.0	27783885.0	39.3
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	1585467.0	29320.0	110884.0	150545.0	170967.0	229910.0	320999.0	306800.0	217869.0	32951.0	15222.0	1536559.0	40.3
рыболовство, рыбоводство	20213.0	324.0	1664.0	2179.0	2043.0	2581.0	3604.0	3742.0	2876.0	751.0	449.0	19011.0	40.5
добыча полезных ископаемых	309161.0	2052.0	20245.0	30474.0	32221.0	41615.0	62630.0	61357.0	44347.0	10027.0	4193.0	294930.0	41.0
обрабатывающие производства	4931052.0	93611.0	437526.0	511188.0	499104.0	618191.0	878660.0	890692.0	727911.0	192016.0	82153.0	4656213.0	40.4
производство и распределение электроэнергии, газа и воды	446092.0	2597.0	22734.0	37297.0	41918.0	56299.0	87572.0	91609.0	76013.0	20958.0	9095.0	416027.0	42.4
строительство	855080.0	13198.0	68369.0	79262.0	77641.0	105290.0	163367.0	167165.0	130703.0	34324.0	15761.0	804903.0	41.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4941456.0	188212.0	703140.0	745359.0	679633.0	693616.0	783055.0	620386.0	400432.0	86595.0	41028.0	4812017.0	36.2
гостиницы и рестораны	1042293.0	50563.0	136213.0	124535.0	115740.0	130271.0	170902.0	157132.0	115173.0	28077.0	13687.0	1000132.0	37.7
транспорт и связь	1689729.0	24017.0	128351.0	172984.0	186345.0	221726.0	311566.0	310783.0	248322.0	59249.0	26386.0	1603917.0	40.6
финансовая деятельность	601097.0	7866.0	64651.0	94407.0	85908.0	82432.0	96844.0	86769.0	62876.0	14516.0	4828.0	581715.0	37.8
операции с недвижимым имуществом, аренда и предоставление услуг	1257088.0	21799.0	124276.0	136242.0	126276.0	148690.0	203135.0	208280.0	180359.0	65634.0	42397.0	1148892.0	40.6
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	1592086.0	31209.0	167611.0	200920.0	192639.0	218868.0	279383.0	242934.0	179649.0	54450.0	24423.0	1513131.0	38.8
образование	4360762.0	63380.0	399781.0	554823.0	575307.0	590524.0	700135.0	628451.0	508313.0	211463.0	128585.0	4020164.0	39.6
здравоохранение и предоставление социальных услуг	3642584.0	41543.0	320888.0	466637.0	465964.0	479502.0	584449.0	545131.0	457736.0	158953.0	121781.0	3361585.0	39.9
предоставление прочих коммунальных, социальных и персональных услуг	1567964.0	40380.0	149641.0	176628.0	182800.0	199742.0	255958.0	245730.0	202570.0	66977.0	47538.0	1452987.0	39.8
