11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
рыболовство, рыбоводство	503.0	447.0	56.0	22.0	34.0	-	-	-
добыча полезных ископаемых	929.0	919.0	10.0	-	10.0	-	-	-
обрабатывающие производства	139391.0	135569.0	3768.0	1090.0	2329.0	209.0	140.0	54.0
производство и распределение электроэнергии, газа и воды	17653.0	17498.0	147.0	16.0	98.0	22.0	11.0	8.0
строительство	33536.0	31634.0	1896.0	582.0	1133.0	130.0	51.0	6.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	68541.0	55618.0	12906.0	4921.0	7406.0	370.0	209.0	17.0
гостиницы и рестораны	11708.0	11151.0	553.0	167.0	318.0	41.0	27.0	4.0
транспорт и связь	44663.0	41754.0	2895.0	438.0	2220.0	181.0	56.0	14.0
финансовая деятельность	5839.0	5641.0	198.0	40.0	135.0	14.0	9.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	16132.0	15089.0	1035.0	308.0	642.0	52.0	33.0	8.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	34100.0	34100.0						-
образование	50169.0	49403.0	746.0	93.0	578.0	49.0	26.0	20.0
здравоохранение и предоставление социальных услуг	39410.0	38489.0	909.0	74.0	738.0	83.0	14.0	12.0
предоставление прочих коммунальных, социальных и персональных услуг	23968.0	22568.0	1396.0	247.0	975.0	145.0	29.0	4.0
предоставление услуг по ведению домашнего хозяйства	92.0	92.0						-
деятельность экстерриториальных организаций	36.0	36.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9256.0	8531.0	695.0	150.0	442.0	64.0	39.0	30.0
Калининградская область								
Все население, занятое в экономике	400793.0	376053.0	24543.0	7437.0	14261.0	2155.0	690.0	197.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	21984.0	20925.0	1059.0	346.0	629.0	38.0	46.0	-
рыболовство, рыбоводство	6862.0	6656.0	206.0	45.0	106.0	50.0	5.0	-
добыча полезных ископаемых	3919.0	3855.0	59.0	8.0	51.0	-	-	5.0
обрабатывающие производства	58888.0	56788.0	2079.0	752.0	1035.0	212.0	80.0	21.0
производство и распределение электроэнергии, газа и воды	6106.0	6009.0	97.0	22.0	45.0	25.0	5.0	-
строительство	29140.0	27476.0	1638.0	621.0	806.0	160.0	51.0	26.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	63258.0	51555.0	11681.0	3652.0	7093.0	677.0	259.0	22.0
гостиницы и рестораны	12340.0	11678.0	657.0	365.0	235.0	41.0	16.0	5.0
транспорт и связь	40741.0	38310.0	2405.0	593.0	1529.0	188.0	95.0	26.0
финансовая деятельность	6402.0	6206.0	185.0	41.0	108.0	24.0	12.0	11.0
операции с недвижимым имуществом, аренда и предоставление услуг	21279.0	20013.0	1261.0	395.0	734.0	102.0	30.0	5.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	50318.0	50318.0						-
образование	30608.0	29920.0	678.0	56.0	424.0	188.0	10.0	10.0
здравоохранение и предоставление социальных услуг	26600.0	25780.0	786.0	141.0	482.0	157.0	6.0	34.0
предоставление прочих коммунальных, социальных и персональных услуг	16073.0	14892.0	1170.0	271.0	665.0	190.0	44.0	11.0
предоставление услуг по ведению домашнего хозяйства	151.0	151.0						-
деятельность экстерриториальных организаций	24.0	24.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	6100.0	5497.0	582.0	129.0	319.0	103.0	31.0	21.0
Ленинградская область								
Все население, занятое в экономике	726562.0	696376.0	29574.0	9973.0	15219.0	2615.0	1767.0	612.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	65970.0	63571.0	2385.0	637.0	1376.0	258.0	114.0	14.0
рыболовство, рыбоводство	1333.0	1246.0	87.0	38.0	30.0	11.0	8.0	-
добыча полезных ископаемых	9874.0	9769.0	89.0	44.0	25.0	4.0	16.0	16.0
обрабатывающие производства	142788.0	139866.0	2799.0	900.0	1379.0	297.0	223.0	123.0
производство и распределение электроэнергии, газа и воды	24321.0	24103.0	205.0	52.0	106.0	24.0	23.0	13.0
строительство	55132.0	52645.0	2414.0	752.0	1086.0	401.0	175.0	73.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	92294.0	79461.0	12739.0	5506.0	6064.0	640.0	529.0	94.0
гостиницы и рестораны	15728.0	15025.0	689.0	360.0	249.0	39.0	41.0	14.0
транспорт и связь	76346.0	73086.0	3208.0	642.0	2038.0	299.0	229.0	52.0
финансовая деятельность	7562.0	7363.0	187.0	58.0	82.0	17.0	30.0	12.0
операции с недвижимым имуществом, аренда и предоставление услуг	27898.0	26812.0	1065.0	282.0	605.0	110.0	68.0	21.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	50176.0	50176.0						-
образование	49857.0	49220.0	595.0	80.0	385.0	56.0	74.0	42.0
здравоохранение и предоставление социальных услуг	44523.0	43851.0	640.0	77.0	416.0	87.0	60.0	32.0
предоставление прочих коммунальных, социальных и персональных услуг	43875.0	42359.0	1493.0	295.0	948.0	182.0	68.0	23.0
предоставление услуг по ведению домашнего хозяйства	1024.0	1024.0						-
деятельность экстерриториальных организаций	73.0	69.0	4.0			4.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	17788.0	16730.0	975.0	250.0	430.0	186.0	109.0	83.0
Мурманская область								
Все население, занятое в экономике	426181.0	408913.0	17089.0	5428.0	10206.0	1052.0	403.0	179.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	5718.0	5203.0	514.0	47.0	70.0	394.0	3.0	1.0
рыболовство, рыбоводство	14798.0	14564.0	222.0	73.0	129.0	20.0	-	12.0
добыча полезных ископаемых	33264.0	33195.0	65.0	9.0	55.0	1.0	-	4.0
обрабатывающие производства	40268.0	39353.0	898.0	350.0	444.0	70.0	34.0	17.0
производство и распределение электроэнергии, газа и воды	17235.0	17155.0	80.0	24.0	36.0	13.0	7.0	-
строительство	19845.0	19050.0	778.0	311.0	455.0	7.0	5.0	17.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	49284.0	38984.0	10275.0	3671.0	6142.0	266.0	196.0	25.0
гостиницы и рестораны	10067.0	9701.0	360.0	190.0	138.0	21.0	11.0	6.0
транспорт и связь	39948.0	38410.0	1523.0	256.0	1129.0	93.0	45.0	15.0
финансовая деятельность	4437.0	4347.0	90.0	29.0	60.0	-	1.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	26612.0	26067.0	523.0	139.0	350.0	13.0	21.0	22.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	73625.0	73621.0						4.0
образование	37848.0	37570.0	248.0	24.0	177.0	33.0	14.0	30.0
здравоохранение и предоставление социальных услуг	33173.0	32874.0	288.0	45.0	207.0	13.0	23.0	11.0
предоставление прочих коммунальных, социальных и персональных услуг	15254.0	14336.0	917.0	188.0	634.0	66.0	29.0	1.0
предоставление услуг по ведению домашнего хозяйства	59.0	59.0						-
деятельность экстерриториальных организаций	6.0	6.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4740.0	4418.0	308.0	72.0	180.0	42.0	14.0	14.0
Новгородская область								
Все население, занятое в экономике	283471.0	268148.0	15152.0	4114.0	9116.0	1217.0	705.0	171.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	22294.0	20775.0	1513.0	424.0	781.0	263.0	45.0	6.0
рыболовство, рыбоводство	484.0	437.0	47.0	18.0	19.0	10.0	-	-
добыча полезных ископаемых	645.0	645.0	-	-	-	-	-	-
обрабатывающие производства	65221.0	63373.0	1800.0	582.0	939.0	148.0	131.0	48.0
производство и распределение электроэнергии, газа и воды	7794.0	7642.0	152.0	18.0	109.0	20.0	5.0	-
строительство	19235.0	18291.0	934.0	330.0	451.0	135.0	18.0	10.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36792.0	30210.0	6558.0	1981.0	4051.0	264.0	262.0	24.0
гостиницы и рестораны	6363.0	6029.0	317.0	119.0	125.0	47.0	26.0	17.0
транспорт и связь	24190.0	22889.0	1301.0	272.0	913.0	61.0	55.0	-
финансовая деятельность	3516.0	3409.0	107.0	4.0	83.0	10.0	10.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	7935.0	7441.0	490.0	120.0	295.0	56.0	19.0	4.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	20873.0	20873.0						-
образование	25123.0	24619.0	494.0	40.0	362.0	58.0	34.0	10.0
здравоохранение и предоставление социальных услуг	20657.0	20230.0	422.0	39.0	323.0	34.0	26.0	5.0
предоставление прочих коммунальных, социальных и персональных услуг	19373.0	18627.0	735.0	122.0	506.0	66.0	41.0	11.0
предоставление услуг по ведению домашнего хозяйства	59.0	59.0						-
деятельность экстерриториальных организаций	12.0	12.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	2905.0	2587.0	282.0	45.0	159.0	45.0	33.0	36.0
Псковская область								
Все население, занятое в экономике	298914.0	283005.0	15785.0	4400.0	9821.0	1239.0	325.0	124.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	30202.0	28312.0	1871.0	262.0	1225.0	336.0	48.0	19.0
рыболовство, рыбоводство	720.0	642.0	78.0	23.0	23.0	32.0	-	-
добыча полезных ископаемых	586.0	582.0	4.0	4.0	-	-	-	-
обрабатывающие производства	55673.0	54094.0	1542.0	606.0	793.0	124.0	19.0	37.0
производство и распределение электроэнергии, газа и воды	9428.0	9312.0	105.0	19.0	86.0	-	-	11.0
строительство	19248.0	18353.0	889.0	256.0	497.0	110.0	26.0	6.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	39319.0	31575.0	7741.0	2458.0	4780.0	352.0	151.0	3.0
гостиницы и рестораны	5628.0	5398.0	230.0	132.0	94.0	4.0	-	-
транспорт и связь	28181.0	26847.0	1329.0	237.0	1025.0	47.0	20.0	5.0
финансовая деятельность	3814.0	3756.0	58.0	8.0	41.0	9.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	10808.0	10247.0	554.0	130.0	396.0	22.0	6.0	7.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31758.0	31758.0						-
образование	25920.0	25733.0	182.0	12.0	133.0	31.0	6.0	5.0
здравоохранение и предоставление социальных услуг	21706.0	21329.0	358.0	43.0	226.0	60.0	29.0	19.0
предоставление прочих коммунальных, социальных и персональных услуг	12387.0	11803.0	572.0	123.0	372.0	71.0	6.0	12.0
предоставление услуг по ведению домашнего хозяйства	89.0	89.0						-
деятельность экстерриториальных организаций	8.0	8.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3439.0	3167.0	272.0	87.0	130.0	41.0	14.0	-
г. Санкт-Петербург								
Все население, занятое в экономике	1978368.0	1872775.0	101438.0	36177.0	47247.0	12248.0	5766.0	4155.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	12496.0	11350.0	1114.0	383.0	552.0	133.0	46.0	32.0
рыболовство, рыбоводство	889.0	803.0	81.0	19.0	32.0	21.0	9.0	5.0
добыча полезных ископаемых	3260.0	3110.0	150.0	69.0	50.0	26.0	5.0	-
обрабатывающие производства	380421.0	364696.0	15014.0	5879.0	6414.0	1792.0	929.0	711.0
производство и распределение электроэнергии, газа и воды	24690.0	23904.0	736.0	150.0	408.0	90.0	88.0	50.0
строительство	169395.0	159894.0	9240.0	4069.0	3636.0	1043.0	492.0	261.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	304160.0	273340.0	30348.0	13696.0	12729.0	2485.0	1438.0	472.0
гостиницы и рестораны	57226.0	54190.0	2910.0	1293.0	1171.0	295.0	151.0	126.0
транспорт и связь	219407.0	208909.0	10093.0	2694.0	5621.0	1181.0	597.0	405.0
финансовая деятельность	39020.0	37540.0	1412.0	547.0	634.0	138.0	93.0	68.0
операции с недвижимым имуществом, аренда и предоставление услуг	133811.0	126650.0	6956.0	2289.0	3463.0	874.0	330.0	205.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	89319.0	89319.0						-
образование	164516.0	159524.0	4640.0	475.0	2863.0	951.0	351.0	352.0
здравоохранение и предоставление социальных услуг	135365.0	130295.0	4794.0	893.0	2783.0	790.0	328.0	276.0
предоставление прочих коммунальных, социальных и персональных услуг	127484.0	119235.0	7982.0	2001.0	4289.0	1307.0	385.0	267.0
предоставление услуг по ведению домашнего хозяйства	4592.0	4592.0						-
деятельность экстерриториальных организаций	359.0	359.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	111958.0	105065.0	5968.0	1720.0	2602.0	1122.0	524.0	925.0
Южный федеральный округ								
Все население, занятое в экономике	7469671.0	6843860.0	625426.0	133274.0	431183.0	37542.0	23427.0	385.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	907427.0	808087.0	99318.0	16615.0	73984.0	5522.0	3197.0	22.0
рыболовство, рыбоводство	24279.0	22806.0	1473.0	180.0	1165.0	66.0	62.0	-
добыча полезных ископаемых	110454.0	108760.0	1688.0	284.0	1051.0	187.0	166.0	6.0
обрабатывающие производства	1107639.0	1057911.0	49671.0	13635.0	30567.0	3496.0	1973.0	57.0
производство и распределение электроэнергии, газа и воды	172406.0	169598.0	2803.0	442.0	1831.0	331.0	199.0	5.0
строительство	546916.0	506483.0	40414.0	9562.0	25418.0	3677.0	1757.0	19.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1074569.0	782318.0	292183.0	68735.0	203809.0	10857.0	8782.0	68.0
гостиницы и рестораны	174124.0	161373.0	12744.0	5664.0	5782.0	787.0	511.0	7.0
транспорт и связь	723196.0	668122.0	55025.0	6821.0	41672.0	4043.0	2489.0	49.0
финансовая деятельность	91352.0	88766.0	2583.0	671.0	1432.0	333.0	147.0	3.0
операции с недвижимым имуществом, аренда и предоставление услуг	255065.0	240118.0	14939.0	3835.0	9257.0	1268.0	579.0	8.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	524788.0	524788.0						-
образование	757409.0	742629.0	14720.0	912.0	10383.0	2225.0	1200.0	60.0
здравоохранение и предоставление социальных услуг	642420.0	626840.0	15541.0	1728.0	10309.0	2293.0	1211.0	39.0
предоставление прочих коммунальных, социальных и персональных услуг	305800.0	288053.0	17729.0	3390.0	11777.0	1690.0	872.0	18.0
предоставление услуг по ведению домашнего хозяйства	3535.0	3535.0						-
деятельность экстерриториальных организаций	577.0	567.0	10.0			10.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	47715.0	43106.0	4585.0	800.0	2746.0	757.0	282.0	24.0
Республика Адыгея								
Все население, занятое в экономике	142257.0	132947.0	9310.0	2749.0	6296.0	133.0	132.0	-
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	13579.0	12479.0	1100.0	328.0	686.0	52.0	34.0	-
рыболовство, рыбоводство	189.0	181.0	8.0	2.0	5.0	-	1.0	-
добыча полезных ископаемых	1426.0	1418.0	8.0	6.0	1.0	-	1.0	-
обрабатывающие производства	21959.0	21049.0	910.0	464.0	420.0	9.0	17.0	-
производство и распределение электроэнергии, газа и воды	3485.0	3473.0	12.0	1.0	11.0	-	-	-
строительство	10151.0	9650.0	501.0	140.0	349.0	7.0	5.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	19913.0	14494.0	5419.0	1465.0	3855.0	43.0	56.0	-
гостиницы и рестораны	3507.0	3359.0	148.0	98.0	45.0	4.0	1.0	-
транспорт и связь	10171.0	9471.0	700.0	100.0	588.0	5.0	7.0	-
финансовая деятельность	1821.0	1809.0	12.0	7.0	4.0	-	1.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	3715.0	3594.0	121.0	44.0	74.0	-	3.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	13561.0	13561.0						-
образование	15653.0	15624.0	29.0	7.0	21.0	-	1.0	-
здравоохранение и предоставление социальных услуг	13922.0	13857.0	65.0	17.0	45.0	1.0	2.0	-
предоставление прочих коммунальных, социальных и персональных услуг	7788.0	7570.0	218.0	47.0	158.0	12.0	1.0	-
предоставление услуг по ведению домашнего хозяйства	217.0	217.0						-
деятельность экстерриториальных организаций	208.0	208.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	992.0	933.0	59.0	23.0	34.0	-	2.0	-
Республика Дагестан								
Все население, занятое в экономике	547282.0	450857.0	96421.0	7634.0	74778.0	10332.0	3677.0	4.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	66915.0	45405.0	21509.0	1150.0	18766.0	984.0	609.0	1.0
рыболовство, рыбоводство	2009.0	1565.0	444.0	14.0	410.0	20.0	-	-
добыча полезных ископаемых	4681.0	4428.0	253.0	32.0	183.0	27.0	11.0	-
обрабатывающие производства	39786.0	32248.0	7538.0	925.0	5477.0	881.0	255.0	-
производство и распределение электроэнергии, газа и воды	8349.0	8069.0	280.0	46.0	173.0	38.0	23.0	-
строительство	39798.0	32072.0	7725.0	744.0	5378.0	1258.0	345.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	60833.0	28462.0	32370.0	2629.0	25122.0	3491.0	1128.0	1.0
гостиницы и рестораны	9632.0	7658.0	1974.0	602.0	1118.0	187.0	67.0	-
транспорт и связь	54895.0	42222.0	12672.0	658.0	10037.0	1479.0	498.0	1.0
финансовая деятельность	7003.0	6594.0	409.0	88.0	224.0	73.0	24.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	20942.0	18980.0	1962.0	244.0	1375.0	270.0	73.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	48080.0	48080.0						-
образование	104824.0	100819.0	4005.0	129.0	2995.0	645.0	236.0	-
здравоохранение и предоставление социальных услуг	58807.0	55930.0	2877.0	141.0	2024.0	460.0	252.0	-
предоставление прочих коммунальных, социальных и персональных услуг	16873.0	15293.0	1580.0	186.0	964.0	350.0	80.0	-
предоставление услуг по ведению домашнего хозяйства	104.0	104.0						-
деятельность экстерриториальных организаций	40.0	40.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3711.0	2888.0	823.0	46.0	532.0	169.0	76.0	-
Республика Ингушетия								
Все население, занятое в экономике	39965.0	34275.0	5578.0	531.0	2913.0	741.0	1393.0	112.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	1883.0	1475.0	403.0	77.0	205.0	41.0	80.0	5.0
рыболовство, рыбоводство	2.0	2.0	-	-	-	-	-	-
добыча полезных ископаемых	1015.0	800.0	214.0	16.0	114.0	29.0	55.0	1.0
обрабатывающие производства	1742.0	1412.0	327.0	50.0	159.0	45.0	73.0	3.0
производство и распределение электроэнергии, газа и воды	345.0	300.0	44.0	5.0	21.0	4.0	14.0	1.0
строительство	3188.0	2699.0	484.0	112.0	207.0	54.0	111.0	5.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2753.0	1647.0	1098.0	120.0	652.0	124.0	202.0	8.0
гостиницы и рестораны	593.0	471.0	119.0	41.0	43.0	16.0	19.0	3.0
транспорт и связь	4210.0	3449.0	750.0	23.0	427.0	112.0	188.0	11.0
финансовая деятельность	725.0	630.0	92.0	3.0	42.0	13.0	34.0	3.0
операции с недвижимым имуществом, аренда и предоставление услуг	308.0	258.0	50.0	3.0	23.0	4.0	20.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	7511.0	7511.0						-
образование	7922.0	6958.0	931.0	26.0	495.0	126.0	284.0	33.0
здравоохранение и предоставление социальных услуг	5205.0	4509.0	675.0	25.0	343.0	95.0	212.0	21.0
предоставление прочих коммунальных, социальных и персональных услуг	1839.0	1561.0	273.0	18.0	128.0	51.0	76.0	5.0
предоставление услуг по ведению домашнего хозяйства	18.0	18.0						-
деятельность экстерриториальных организаций	16.0	16.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	690.0	559.0	118.0	12.0	54.0	27.0	25.0	13.0
Кабардино–Балкарская Республика								
Все население, занятое в экономике	282515.0	250950.0	31564.0	4642.0	25593.0	977.0	352.0	1.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	28720.0	24176.0	4544.0	1010.0	3254.0	235.0	45.0	-
рыболовство, рыбоводство	176.0	162.0	14.0	8.0	6.0	-	-	-
добыча полезных ископаемых	1926.0	1926.0	-	-	-	-	-	-
обрабатывающие производства	40719.0	34756.0	5962.0	729.0	5103.0	68.0	62.0	1.0
производство и распределение электроэнергии, газа и воды	6744.0	6703.0	41.0	8.0	33.0	-	-	-
строительство	18951.0	16780.0	2171.0	277.0	1801.0	77.0	16.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36384.0	22717.0	13667.0	1915.0	11239.0	378.0	135.0	-
гостиницы и рестораны	7236.0	6511.0	725.0	319.0	379.0	15.0	12.0	-
транспорт и связь	25749.0	23067.0	2682.0	136.0	2437.0	57.0	52.0	-
финансовая деятельность	3239.0	3183.0	56.0	20.0	36.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	9117.0	8661.0	456.0	82.0	347.0	27.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	23840.0	23840.0						-
образование	40977.0	40628.0	349.0	8.0	294.0	40.0	7.0	-
здравоохранение и предоставление социальных услуг	27767.0	27405.0	362.0	45.0	273.0	37.0	7.0	-
предоставление прочих коммунальных, социальных и персональных услуг	10402.0	9943.0	459.0	77.0	323.0	43.0	16.0	-
предоставление услуг по ведению домашнего хозяйства	132.0	132.0						-
деятельность экстерриториальных организаций	5.0	5.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	431.0	355.0	76.0	8.0	68.0	-	-	-
Республика Калмыкия								
Все население, занятое в экономике	97282.0	90998.0	6282.0	1939.0	4105.0	131.0	107.0	2.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	18520.0	16729.0	1791.0	418.0	1273.0	69.0	31.0	-
рыболовство, рыбоводство	676.0	613.0	63.0	4.0	55.0	1.0	3.0	-
добыча полезных ископаемых	1147.0	1140.0	7.0	5.0	2.0	-	-	-
обрабатывающие производства	4149.0	3889.0	260.0	110.0	143.0	3.0	4.0	-
производство и распределение электроэнергии, газа и воды	3263.0	3246.0	17.0	6.0	10.0	-	1.0	-
строительство	5562.0	5400.0	162.0	73.0	81.0	4.0	4.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	9642.0	6975.0	2667.0	963.0	1644.0	19.0	41.0	-
гостиницы и рестораны	2272.0	2119.0	153.0	100.0	52.0	1.0	-	-
транспорт и связь	6947.0	6215.0	732.0	164.0	547.0	10.0	11.0	-
финансовая деятельность	1067.0	1058.0	9.0	5.0	4.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	3307.0	3171.0	135.0	37.0	90.0	3.0	5.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	11479.0	11479.0						-
образование	14582.0	14540.0	41.0	3.0	31.0	3.0	4.0	1.0
здравоохранение и предоставление социальных услуг	10088.0	10002.0	86.0	13.0	66.0	7.0	-	-
предоставление прочих коммунальных, социальных и персональных услуг	4475.0	4325.0	150.0	34.0	104.0	11.0	1.0	-
предоставление услуг по ведению домашнего хозяйства	11.0	11.0						-
деятельность экстерриториальных организаций	1.0	1.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	94.0	85.0	9.0	4.0	3.0	-	2.0	-
Карачаево-Черкесская Республика								
Все население, занятое в экономике	108924.0	101559.0	7365.0	1873.0	4485.0	397.0	610.0	-
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	12853.0	12174.0	679.0	142.0	399.0	70.0	68.0	-
рыболовство, рыбоводство	31.0	22.0	9.0	4.0	5.0	-	-	-
добыча полезных ископаемых	1181.0	1171.0	10.0	7.0	2.0	1.0	-	-
обрабатывающие производства	17995.0	16852.0	1143.0	390.0	610.0	65.0	78.0	-
производство и распределение электроэнергии, газа и воды	3999.0	3974.0	25.0	7.0	7.0	1.0	10.0	-
строительство	6034.0	5588.0	446.0	116.0	263.0	34.0	33.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	12116.0	8376.0	3740.0	939.0	2445.0	139.0	217.0	-
гостиницы и рестораны	2040.0	1893.0	147.0	80.0	41.0	9.0	17.0	-
транспорт и связь	7725.0	7098.0	627.0	88.0	453.0	27.0	59.0	-
финансовая деятельность	1417.0	1388.0	29.0	5.0	9.0	3.0	12.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	3762.0	3661.0	101.0	27.0	56.0	9.0	9.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	10696.0	10696.0						-
образование	15272.0	15165.0	107.0	6.0	46.0	11.0	44.0	-
здравоохранение и предоставление социальных услуг	9292.0	9195.0	97.0	13.0	43.0	6.0	35.0	-
предоставление прочих коммунальных, социальных и персональных услуг	3939.0	3776.0	163.0	35.0	89.0	16.0	23.0	-
предоставление услуг по ведению домашнего хозяйства	29.0	29.0						-
деятельность экстерриториальных организаций	2.0	2.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	541.0	499.0	42.0	14.0	17.0	6.0	5.0	-
Республика Северная Осетия – Алания								
Все население, занятое в экономике	191905.0	178679.0	13216.0	3019.0	8856.0	449.0	892.0	10.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	11524.0	10729.0	793.0	220.0	490.0	33.0	50.0	2.0
рыболовство, рыбоводство	64.0	62.0	2.0	-	1.0	-	1.0	-
добыча полезных ископаемых	796.0	785.0	11.0	5.0	3.0	2.0	1.0	-
обрабатывающие производства	31073.0	29945.0	1126.0	491.0	520.0	32.0	83.0	2.0
производство и распределение электроэнергии, газа и воды	4512.0	4475.0	37.0	11.0	22.0	1.0	3.0	-
строительство	13204.0	12054.0	1150.0	211.0	831.0	38.0	70.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	23888.0	17576.0	6311.0	1438.0	4305.0	188.0	380.0	1.0
гостиницы и рестораны	4785.0	4381.0	404.0	216.0	153.0	4.0	31.0	-
транспорт и связь	16835.0	14606.0	2229.0	168.0	1831.0	82.0	148.0	-
финансовая деятельность	2364.0	2317.0	47.0	17.0	19.0	4.0	7.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	4567.0	4366.0	201.0	51.0	123.0	13.0	14.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	26979.0	26979.0						-
образование	24116.0	23921.0	193.0	19.0	127.0	13.0	34.0	2.0
