11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
Все население, занятое в экономике	657408.0	622520.0	34285.0	9741.0	21381.0	1905.0	1258.0	603.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	37828.0	36783.0	1011.0	267.0	613.0	76.0	55.0	34.0
рыболовство, рыбоводство	115.0	111.0	4.0	-	4.0	-	-	-
добыча полезных ископаемых	2367.0	2341.0	22.0	8.0	-	10.0	4.0	4.0
обрабатывающие производства	205585.0	201804.0	3643.0	1162.0	2064.0	275.0	142.0	138.0
производство и распределение электроэнергии, газа и воды	11158.0	10958.0	192.0	37.0	115.0	27.0	13.0	8.0
строительство	36023.0	33684.0	2310.0	764.0	1259.0	181.0	106.0	29.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	82206.0	64256.0	17847.0	5731.0	11074.0	602.0	440.0	103.0
гостиницы и рестораны	14504.0	13813.0	662.0	331.0	264.0	44.0	23.0	29.0
транспорт и связь	49831.0	46533.0	3239.0	520.0	2429.0	170.0	120.0	59.0
финансовая деятельность	6490.0	6364.0	122.0	26.0	75.0	17.0	4.0	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	43687.0	42367.0	1289.0	288.0	823.0	85.0	93.0	31.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	37842.0	37842.0						-
образование	44945.0	44304.0	592.0	49.0	455.0	71.0	17.0	49.0
здравоохранение и предоставление социальных услуг	36245.0	35635.0	598.0	65.0	418.0	97.0	18.0	12.0
предоставление прочих коммунальных, социальных и персональных услуг	17972.0	16897.0	1059.0	148.0	773.0	83.0	55.0	16.0
предоставление услуг по ведению домашнего хозяйства	168.0	168.0						-
деятельность экстерриториальных организаций	16.0	16.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	30426.0	28644.0	1695.0	345.0	1015.0	167.0	168.0	87.0
Воронежская область								
Все население, занятое в экономике	895008.0	845442.0	48113.0	11221.0	30120.0	4776.0	1996.0	1453.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	126427.0	122035.0	4206.0	775.0	2286.0	954.0	191.0	186.0
рыболовство, рыбоводство	666.0	634.0	32.0	19.0	8.0	5.0	-	-
добыча полезных ископаемых	4217.0	4190.0	20.0	-	9.0	11.0	-	7.0
обрабатывающие производства	169108.0	164102.0	4793.0	1190.0	2610.0	749.0	244.0	213.0
производство и распределение электроэнергии, газа и воды	18795.0	18495.0	285.0	27.0	154.0	84.0	20.0	15.0
строительство	56414.0	53602.0	2725.0	790.0	1451.0	333.0	151.0	87.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	118941.0	95576.0	23120.0	6304.0	15265.0	868.0	683.0	245.0
гостиницы и рестораны	19293.0	18486.0	761.0	280.0	381.0	73.0	27.0	46.0
транспорт и связь	83320.0	78938.0	4263.0	625.0	3060.0	393.0	185.0	119.0
финансовая деятельность	9133.0	8845.0	255.0	77.0	131.0	38.0	9.0	33.0
операции с недвижимым имуществом, аренда и предоставление услуг	23387.0	22134.0	1223.0	282.0	738.0	155.0	48.0	30.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	52385.0	52385.0						-
образование	76831.0	75321.0	1370.0	77.0	835.0	299.0	159.0	140.0
здравоохранение и предоставление социальных услуг	70085.0	68514.0	1475.0	134.0	968.0	304.0	69.0	96.0
предоставление прочих коммунальных, социальных и персональных услуг	47959.0	45904.0	1987.0	368.0	1246.0	286.0	87.0	68.0
предоставление услуг по ведению домашнего хозяйства	447.0	447.0						-
деятельность экстерриториальных организаций	325.0	325.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	17275.0	15509.0	1598.0	273.0	978.0	224.0	123.0	168.0
Ивановская область								
Все население, занятое в экономике	477036.0	450687.0	25734.0	7686.0	16152.0	1216.0	680.0	615.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	30312.0	29097.0	1185.0	231.0	787.0	94.0	73.0	30.0
рыболовство, рыбоводство	134.0	122.0	12.0	8.0	4.0	-	-	-
добыча полезных ископаемых	1101.0	1092.0	9.0	4.0	5.0	-	-	-
обрабатывающие производства	153802.0	149982.0	3640.0	1426.0	1959.0	135.0	120.0	180.0
производство и распределение электроэнергии, газа и воды	9250.0	9141.0	95.0	31.0	59.0	5.0	-	14.0
строительство	24605.0	23121.0	1453.0	447.0	867.0	78.0	61.0	31.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	59125.0	46538.0	12489.0	3998.0	7914.0	312.0	265.0	98.0
гостиницы и рестораны	7882.0	7586.0	279.0	155.0	97.0	27.0	-	17.0
транспорт и связь	32837.0	30298.0	2501.0	512.0	1863.0	83.0	43.0	38.0
финансовая деятельность	4309.0	4239.0	63.0	4.0	49.0	10.0	-	7.0
