8. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
операторы, аппаратчики, машинисты установок и машин	6104445.0	5875481.0	224804.0	21148.0	174439.0	19090.0	10127.0	4160.0
неквалифицированные рабочие	3875841.0	3792715.0	80156.0	9071.0	53589.0	12296.0	5200.0	2970.0
занятые на военной службе	499618.0	499618.0						-
лица, неточно указавшие или не указавшие занятия 	1198257.0	1122811.0	65517.0	15210.0	32793.0	11662.0	5852.0	9929.0
Мужчины, занятые в экономике 	23394993.0	21845894.0	1524712.0	519814.0	849206.0	101311.0	54381.0	24387.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3423446.0	2740994.0	679442.0	400723.0	241549.0	21031.0	16139.0	3010.0
специалисты высшего уровня квалификации	2430562.0	2343704.0	83934.0	16686.0	51953.0	11086.0	4209.0	2924.0
специалисты среднего уровня квалификации	1979873.0	1908432.0	69679.0	15346.0	44646.0	6562.0	3125.0	1762.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	121687.0	117920.0	3627.0	1162.0	1950.0	364.0	151.0	140.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1945263.0	1741445.0	201706.0	24669.0	158412.0	12026.0	6599.0	2112.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	100628.0	81935.0	18619.0	3792.0	13190.0	992.0	645.0	74.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5964809.0	5786864.0	173649.0	21087.0	125708.0	18378.0	8476.0	4296.0
операторы, аппаратчики, машинисты установок и машин	4852810.0	4641720.0	207675.0	19644.0	162282.0	16676.0	9073.0	3415.0
неквалифицированные рабочие	1529042.0	1482473.0	45059.0	6008.0	29443.0	6967.0	2641.0	1510.0
занятые на военной службе	396763.0	396763.0						-
лица, неточно указавшие или не указавшие занятия 	650110.0	603644.0	41322.0	10697.0	20073.0	7229.0	3323.0	5144.0
Женщины, занятые в экономике	23593602.0	22471504.0	1099705.0	280703.0	695319.0	79549.0	44134.0	22393.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2473968.0	2082513.0	389599.0	194679.0	173400.0	11927.0	9593.0	1856.0
специалисты высшего уровня квалификации	5144694.0	5031142.0	108775.0	14828.0	71799.0	15896.0	6252.0	4777.0
специалисты среднего уровня квалификации	4100686.0	4018064.0	79676.0	12335.0	52425.0	10364.0	4552.0	2946.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1169544.0	1151576.0	17259.0	2171.0	11466.0	2488.0	1134.0	709.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	4381679.0	4006128.0	372039.0	42176.0	295371.0	21041.0	13451.0	3512.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	69879.0	64266.0	5567.0	714.0	4216.0	408.0	229.0	46.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2003716.0	1951790.0	50369.0	4720.0	37619.0	5249.0	2781.0	1557.0
операторы, аппаратчики, машинисты установок и машин	1251635.0	1233761.0	17129.0	1504.0	12157.0	2414.0	1054.0	745.0
неквалифицированные рабочие	2346799.0	2310242.0	35097.0	3063.0	24146.0	5329.0	2559.0	1460.0
занятые на военной службе	102855.0	102855.0						-
лица, неточно указавшие или не указавшие занятия 	548147.0	519167.0	24195.0	4513.0	12720.0	4433.0	2529.0	4785.0
Сельское население, занятое в экономике 	12663842.0	12100676.0	558848.0	117106.0	356051.0	63145.0	22546.0	4318.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	1028462.0	884782.0	143393.0	69791.0	64388.0	5478.0	3736.0	287.0
специалисты высшего уровня квалификации	1295183.0	1278297.0	16468.0	1889.0	10027.0	3156.0	1396.0	418.0
специалисты среднего уровня квалификации	1498537.0	1479248.0	18813.0	2901.0	10933.0	3569.0	1410.0	476.0
