7. ГРУППИРОВКА РАЙОНОВ (КРОМЕ ГОРОДСКИХ) ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                                       ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
	Всего    районов	из них с числом жителей				
		20000 и менее	20001-30000	30001-40000	40001-50000	более 50000
женщины	138203.0	31014.0	73155.0	34034.0	-	-
Архангельская область						
Число районов	21.0	9.0	5.0	5.0	-	2.0
численность населения	514830.0	109443.0	119335.0	165976.0	-	120076.0
мужчины	248669.0	52861.0	57264.0	79940.0	-	58604.0
женщины	266161.0	56582.0	62071.0	86036.0	-	61472.0
Ненецкий автономный округ						
Число районов	-	-	-	-	-	-
Вологодская область						
Число районов	26.0	13.0	8.0	2.0	2.0	1.0
численность населения	569943.0	182625.0	186083.0	67764.0	82515.0	50956.0
мужчины	271107.0	86264.0	87935.0	33772.0	38624.0	24512.0
женщины	298836.0	96361.0	98148.0	33992.0	43891.0	26444.0
Калининградская область						
Число районов	13.0	4.0	3.0	3.0	2.0	1.0
численность населения	384587.0	66468.0	65530.0	102066.0	93002.0	57521.0
мужчины	185675.0	32024.0	31350.0	49880.0	45565.0	26856.0
женщины	198912.0	34444.0	34180.0	52186.0	47437.0	30665.0
Ленинградская область						
Число районов	17.0	6.0	1.0	-	3.0	7.0
численность населения	865702.0	81920.0	20408.0	-	132872.0	630502.0
мужчины	402819.0	37835.0	9447.0	-	61330.0	294207.0
женщины	462883.0	44085.0	10961.0	-	71542.0	336295.0
Мурманская область						
Число районов	5.0	2.0	1.0	-	1.0	1.0
численность населения	143678.0	21745.0	24404.0	-	46404.0	51125.0
мужчины	74796.0	11275.0	11485.0	-	25538.0	26498.0
женщины	68882.0	10470.0	12919.0	-	20866.0	24627.0
Новгородская область						
Число районов	21.0	15.0	4.0	1.0	-	1.0
численность населения	377826.0	186635.0	101416.0	31153.0	-	58622.0
мужчины	173511.0	85779.0	46116.0	13973.0	-	27643.0
женщины	204315.0	100856.0	55300.0	17180.0	-	30979.0
Псковская область						
Число районов	24.0	16.0	5.0	3.0	-	-
численность населения	453051.0	220480.0	127251.0	105320.0	-	-
мужчины	210009.0	100892.0	59047.0	50070.0	-	-
женщины	243042.0	119588.0	68204.0	55250.0	-	-
г. Санкт-Петербург						
Число районов	-	-	-	-	-	-
Южный федеральный округ						
Число районов	256.0	44.0	44.0	50.0	29.0	89.0
численность населения	11503039.0	650487.0	1094480.0	1764210.0	1291662.0	6702200.0
мужчины	5471444.0	317050.0	523116.0	834100.0	611010.0	3186168.0
женщины	6031595.0	333437.0	571364.0	930110.0	680652.0	3516032.0
Республика Адыгея						
Число районов	7.0	2.0	-	3.0	-	2.0
численность населения	256788.0	36339.0	-	96290.0	-	124159.0
мужчины	121693.0	18407.0	-	45268.0	-	58018.0
женщины	135095.0	17932.0	-	51022.0	-	66141.0
Республика Дагестан						
Число районов	41.0	9.0	14.0	4.0	1.0	13.0
численность населения	1493525.0	129769.0	335861.0	133294.0	41331.0	853270.0
мужчины	722503.0	62758.0	161942.0	64362.0	20012.0	413429.0
женщины	771022.0	67011.0	173919.0	68932.0	21319.0	439841.0
Республика Ингушетия						
Число районов	4.0	1.0	-	-	-	3.0
численность населения	268798.0	2334.0	-	-	-	266464.0
мужчины	124279.0	1148.0	-	-	-	123131.0
женщины	144519.0	1186.0	-	-	-	143333.0
Кабардино-Балкарская Республика						
Число районов	9.0	-	1.0	1.0	2.0	5.0
численность населения	539330.0	-	25927.0	35968.0	86476.0	390959.0
мужчины	257789.0	-	12789.0	16746.0	40626.0	187628.0
женщины	281541.0	-	13138.0	19222.0	45850.0	203331.0
Республика Калмыкия						
Число районов	13.0	12.0	1.0	-	-	-
численность населения	183899.0	163892.0	20007.0	-	-	-
мужчины	90810.0	81007.0	9803.0	-	-	-
женщины	93089.0	82885.0	10204.0	-	-	-
Карачаево-Черкесская Республика						
Число районов	8.0	1.0	2.0	3.0	-	2.0
численность населения	285833.0	18654.0	54681.0	106888.0	-	105610.0
мужчины	136136.0	8856.0	25973.0	51426.0	-	49881.0
женщины	149697.0	9798.0	28708.0	55462.0	-	55729.0
Республика Северная  Осетия-Алания						
Число районов	8.0	1.0	3.0	1.0	-	3.0
численность населения	377625.0	15708.0	76027.0	38581.0	-	247309.0
мужчины	180341.0	7555.0	36037.0	18309.0	-	118440.0
женщины	197284.0	8153.0	39990.0	20272.0	-	128869.0
Чеченская Республика						
Число районов	15.0	3.0	2.0	-	1.0	9.0
численность населения	753174.0	21474.0	43498.0	-	40542.0	647660.0
мужчины	368338.0	13504.0	20213.0	-	19414.0	315207.0
женщины	384836.0	7970.0	23285.0	-	21128.0	332453.0
Краснодарский край						
Число районов	38.0	-	-	4.0	7.0	27.0
численность населения	2695854.0	-	-	149185.0	311462.0	2235207.0
мужчины	1263394.0	-	-	69531.0	146146.0	1047717.0
женщины	1432460.0	-	-	79654.0	165316.0	1187490.0
Ставропольский край						
Число районов	26.0	-	4.0	4.0	3.0	15.0
