8. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
предоставление прочих коммунальных, социальных и персональных услуг	1567964.0	1496103.0	70414.0	14428.0	45939.0	6725.0	3322.0	1447.0
предоставление услуг по ведению домашнего хозяйства	20374.0	20374.0						-
деятельность экстерриториальных организаций	4662.0	4618.0	44.0			44.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	581993.0	548600.0	28396.0	5308.0	15059.0	5170.0	2859.0	4997.0
Городское население, занятое в экономике	46988595.0	44317398.0	2624417.0	800517.0	1544525.0	180860.0	98515.0	46780.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	799472.0	739141.0	59816.0	17488.0	35898.0	4169.0	2261.0	515.0
рыболовство, рыбоводство	91447.0	87907.0	3493.0	940.0	2069.0	361.0	123.0	47.0
добыча полезных ископаемых	1129919.0	1118179.0	11217.0	2777.0	6609.0	1051.0	780.0	523.0
обрабатывающие производства	10129731.0	9858907.0	264578.0	89139.0	141851.0	21780.0	11808.0	6246.0
производство и распределение электроэнергии, газа и воды	1182501.0	1165165.0	16831.0	2955.0	10642.0	2174.0	1060.0	505.0
строительство	3622832.0	3426164.0	192800.0	69032.0	98171.0	17295.0	8302.0	3868.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	6922291.0	5614285.0	1301244.0	439177.0	776254.0	50053.0	35760.0	6762.0
гостиницы и рестораны	1085161.0	1031303.0	52658.0	23879.0	22510.0	4105.0	2164.0	1200.0
транспорт и связь	4787159.0	4530355.0	252293.0	48010.0	174987.0	18913.0	10383.0	4511.0
финансовая деятельность	754290.0	732051.0	21300.0	6676.0	10951.0	2421.0	1252.0	939.0
операции с недвижимым имуществом, аренда и предоставление услуг	2555709.0	2433459.0	119298.0	37155.0	66064.0	11333.0	4746.0	2952.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	3145578.0	3145577.0						1.0
образование	3872248.0	3802629.0	66413.0	6503.0	44994.0	10612.0	4304.0	3206.0
здравоохранение и предоставление социальных услуг	3450122.0	3372851.0	74482.0	11061.0	48311.0	10919.0	4191.0	2789.0
предоставление прочих коммунальных, социальных и персональных услуг	2256768.0	2136409.0	117630.0	28708.0	70391.0	13315.0	5216.0	2729.0
предоставление услуг по ведению домашнего хозяйства	28181.0	28181.0						-
деятельность экстерриториальных организаций	9004.0	8928.0	76.0			76.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1166182.0	1085907.0	70288.0	17017.0	34823.0	12283.0	6165.0	9987.0
Мужчины, занятые в экономике	23394993.0	21845894.0	1524712.0	519814.0	849206.0	101311.0	54381.0	24387.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	529160.0	482385.0	46488.0	15047.0	26879.0	2915.0	1647.0	287.0
рыболовство, рыбоводство	78804.0	75614.0	3152.0	882.0	1821.0	328.0	121.0	38.0
добыча полезных ископаемых	848413.0	839228.0	8832.0	2400.0	4985.0	825.0	622.0	353.0
обрабатывающие производства	5640812.0	5469449.0	167930.0	68340.0	80210.0	12491.0	6889.0	3433.0
производство и распределение электроэнергии, газа и воды	790218.0	777861.0	11985.0	2466.0	7359.0	1467.0	693.0	372.0
строительство	2838874.0	2667231.0	168563.0	62571.0	84475.0	14523.0	6994.0	3080.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2673590.0	2013803.0	656742.0	250161.0	364335.0	25294.0	16952.0	3045.0
гостиницы и рестораны	242637.0	220210.0	21935.0	12641.0	7168.0	1388.0	738.0	492.0
транспорт и связь	3370280.0	3146253.0	220723.0	40278.0	156649.0	15225.0	8571.0	3304.0
финансовая деятельность	223574.0	213120.0	10082.0	4289.0	4472.0	871.0	450.0	372.0
операции с недвижимым имуществом, аренда и предоставление услуг	1410887.0	1334611.0	74591.0	25632.0	39326.0	6731.0	2902.0	1685.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1868131.0	1868131.0						-
образование	686080.0	670250.0	15068.0	2521.0	9392.0	2226.0	929.0	762.0
здравоохранение и предоставление социальных услуг	579533.0	558275.0	20675.0	5562.0	11820.0	2264.0	1029.0	583.0
предоставление прочих коммунальных, социальных и персональных услуг	965545.0	910475.0	53689.0	14974.0	29271.0	7176.0	2268.0	1381.0
предоставление услуг по ведению домашнего хозяйства	9608.0	9608.0						-
деятельность экстерриториальных организаций	4831.0	4793.0	38.0			38.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	634016.0	584597.0	44219.0	12050.0	21044.0	7549.0	3576.0	5200.0
Женщины, занятые в экономике	23593602.0	22471504.0	1099705.0	280703.0	695319.0	79549.0	44134.0	22393.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	270312.0	256756.0	13328.0	2441.0	9019.0	1254.0	614.0	228.0
рыболовство, рыбоводство	12643.0	12293.0	341.0	58.0	248.0	33.0	2.0	9.0
добыча полезных ископаемых	281506.0	278951.0	2385.0	377.0	1624.0	226.0	158.0	170.0
обрабатывающие производства	4488919.0	4389458.0	96648.0	20799.0	61641.0	9289.0	4919.0	2813.0
производство и распределение электроэнергии, газа и воды	392283.0	387304.0	4846.0	489.0	3283.0	707.0	367.0	133.0
строительство	783958.0	758933.0	24237.0	6461.0	13696.0	2772.0	1308.0	788.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4248701.0	3600482.0	644502.0	189016.0	411919.0	24759.0	18808.0	3717.0
гостиницы и рестораны	842524.0	811093.0	30723.0	11238.0	15342.0	2717.0	1426.0	708.0
транспорт и связь	1416879.0	1384102.0	31570.0	7732.0	18338.0	3688.0	1812.0	1207.0
финансовая деятельность	530716.0	518931.0	11218.0	2387.0	6479.0	1550.0	802.0	567.0
операции с недвижимым имуществом, аренда и предоставление услуг	1144822.0	1098848.0	44707.0	11523.0	26738.0	4602.0	1844.0	1267.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1277447.0	1277446.0						1.0
образование	3186168.0	3132379.0	51345.0	3982.0	35602.0	8386.0	3375.0	2444.0
здравоохранение и предоставление социальных услуг	2870589.0	2814576.0	53807.0	5499.0	36491.0	8655.0	3162.0	2206.0
предоставление прочих коммунальных, социальных и персональных услуг	1291223.0	1225934.0	63941.0	13734.0	41120.0	6139.0	2948.0	1348.0
предоставление услуг по ведению домашнего хозяйства	18573.0	18573.0						-
деятельность экстерриториальных организаций	4173.0	4135.0	38.0			38.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	532166.0	501310.0	26069.0	4967.0	13779.0	4734.0	2589.0	4787.0
Сельское население, занятое в экономике	12663842.0	12100676.0	558848.0	117106.0	356051.0	63145.0	22546.0	4318.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	4145856.0	3933258.0	211482.0	33961.0	128400.0	41715.0	7406.0	1116.0
рыболовство, рыбоводство	43092.0	40238.0	2850.0	426.0	1944.0	364.0	116.0	4.0
добыча полезных ископаемых	167666.0	166373.0	1253.0	276.0	709.0	118.0	150.0	40.0
обрабатывающие производства	1094263.0	1063200.0	30668.0	8225.0	18934.0	2285.0	1224.0	395.0
производство и распределение электроэнергии, газа и воды	241894.0	240141.0	1719.0	211.0	1156.0	221.0	131.0	34.0
строительство	589288.0	563331.0	25729.0	4907.0	16551.0	2870.0	1401.0	228.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1035906.0	839081.0	196379.0	56867.0	126930.0	6568.0	6014.0	446.0
гостиницы и рестораны	230622.0	223129.0	7420.0	3067.0	3320.0	621.0	412.0	73.0
транспорт и связь	923421.0	883486.0	39583.0	4322.0	30639.0	2703.0	1919.0	352.0
финансовая деятельность	87873.0	87018.0	834.0	140.0	463.0	143.0	88.0	21.0
