3.6. СТРУКТУРА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ДОМОХОЗЯЙСТВ БЕЗДОМНЫХ И КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ												
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
	На 1000 частных домохозяйств приходится домохозяйств, состоящих из						На 1000 домохозяйств бездомных приходится домохозяйств, состоящих из			Удельный вес (%) населения, проживающего		
	1 человека	2 человек	3 человек	4 человек	5 человек	6 и более человек	1 человека	2 человек	3 и более человек	в частных домо-
хозяйствах	в домо-
хозяйствах бездомных	в коллектив-ных домо-
хозяйствах
Сельские населенные пункты	168.0	245.0	236.0	205.0	92.0	54.0	586.0	207.0	207.0	98.7	0.1	1.2
Республика Бурятия	166.0	252.0	247.0	199.0	83.0	53.0	622.0	110.0	268.0	97.7	0.1	2.2
Городские населенные пункты	174.0	261.0	260.0	196.0	70.0	39.0	561.0	115.0	324.0	96.9	0.2	2.9
Сельские населенные пункты	153.0	240.0	225.0	204.0	103.0	75.0	881.0	89.0	30.0	98.8	0.0	1.2
Республика Тыва	125.0	181.0	213.0	205.0	133.0	143.0	845.0	85.0	70.0	98.0	0.1	1.9
Городские населенные пункты	170.0	208.0	228.0	195.0	104.0	95.0	822.0	97.0	81.0	97.0	0.1	2.9
Сельские населенные пункты	67.0	145.0	194.0	218.0	171.0	205.0	1000.0	-	-	99.2	0.0	0.8
Республика Хакасия	198.0	291.0	251.0	174.0	56.0	30.0	667.0	70.0	263.0	98.3	0.0	1.7
Городские населенные пункты	201.0	294.0	263.0	172.0	48.0	22.0	625.0	75.0	300.0	97.7	0.0	2.3
Сельские населенные пункты	192.0	283.0	222.0	178.0	76.0	49.0	765.0	59.0	176.0	99.7	0.0	0.3
Алтайский край	200.0	307.0	257.0	163.0	49.0	24.0	905.0	41.0	54.0	98.6	0.1	1.3
Городские населенные пункты	219.0	294.0	264.0	157.0	44.0	22.0	929.0	27.0	44.0	98.0	0.1	1.9
Сельские населенные пункты	179.0	321.0	250.0	170.0	54.0	26.0	676.0	173.0	151.0	99.3	0.0	0.7
Красноярский край	209.0	291.0	256.0	168.0	51.0	25.0	805.0	75.0	120.0	98.1	0.0	1.9
Городские населенные пункты	210.0	287.0	266.0	169.0	47.0	21.0	800.0	75.0	125.0	98.2	0.0	1.8
Сельские населенные пункты	204.0	306.0	222.0	165.0	63.0	40.0	837.0	75.0	88.0	98.0	0.0	2.0
Таймырский (Долгано-Ненецкий) автономный округ	228.0	266.0	258.0	154.0	57.0	37.0	1000.0	-	-	98.9	0.0	1.1
Городские населенные пункты	245.0	286.0	268.0	146.0	40.0	15.0	-	-	-	98.5	-	1.5
Сельские населенные пункты	186.0	218.0	233.0	174.0	98.0	91.0	1000.0	-	-	99.6	0.0	0.4
Эвенкийский автономный округ	208.0	262.0	254.0	165.0	68.0	43.0	1000.0	-	-	99.1	0.0	0.9
Городские населенные пункты	198.0	267.0	286.0	167.0	56.0	26.0	-	-	-	98.9	-	1.1
Сельские населенные пункты	213.0	259.0	238.0	164.0	74.0	52.0	1000.0	-	-	99.2	0.0	0.8
Иркутская область	197.0	279.0	251.0	179.0	61.0	33.0	770.0	77.0	153.0	98.1	0.1	1.8
Городские населенные пункты	201.0	283.0	260.0	177.0	54.0	25.0	783.0	58.0	159.0	98.1	0.1	1.8
Сельские населенные пункты	181.0	262.0	211.0	189.0	91.0	66.0	655.0	241.0	104.0	98.2	0.0	1.8
Усть-Ордынский Бурятский автономный округ - сельские населенные пункты	143.0	221.0	209.0	211.0	121.0	95.0	786.0	214.0	-	99.3	0.0	0.7
Кемеровская область	221.0	301.0	247.0	163.0	46.0	22.0	933.0	18.0	49.0	98.1	0.2	1.7
Городские населенные пункты	224.0	302.0	251.0	161.0	43.0	19.0	937.0	17.0	46.0	98.1	0.3	1.6
Сельские населенные пункты	203.0	291.0	214.0	179.0	69.0	44.0	714.0	95.0	191.0	98.0	0.1	1.9
Новосибирская область	222.0	288.0	248.0	165.0	52.0	25.0	990.0	7.0	3.0	98.1	0.2	1.7
Городские населенные пункты	233.0	282.0	255.0	161.0	48.0	21.0	991.0	6.0	3.0	97.8	0.3	1.9
Сельские населенные пункты	189.0	306.0	227.0	179.0	64.0	35.0	926.0	18.0	56.0	99.0	0.0	1.0
Омская область	199.0	276.0	249.0	181.0	62.0	33.0	956.0	13.0	31.0	98.4	0.2	1.4
Городские населенные пункты	213.0	277.0	258.0	175.0	52.0	25.0	962.0	12.0	26.0	97.9	0.2	1.9
Сельские населенные пункты	167.0	273.0	228.0	197.0	83.0	52.0	795.0	38.0	167.0	99.5	0.0	0.5
Томская область	199.0	282.0	251.0	177.0	56.0	35.0	580.0	115.0	305.0	98.4	0.1	1.5
Городские населенные пункты	196.0	277.0	261.0	177.0	54.0	35.0	525.0	82.0	393.0	98.2	0.0	1.8
Сельские населенные пункты	205.0	292.0	229.0	177.0	62.0	35.0	628.0	143.0	229.0	99.0	0.0	1.0
Читинская область	173.0	271.0	256.0	186.0	71.0	43.0	734.0	133.0	133.0	96.7	0.0	3.3
Городские населенные пункты	183.0	281.0	268.0	180.0	58.0	30.0	754.0	144.0	102.0	96.0	0.0	4.0
Сельские населенные пункты	155.0	253.0	232.0	198.0	95.0	67.0	689.0	108.0	203.0	98.0	0.0	2.0
Агинский Бурятский автономный округ	117.0	193.0	219.0	221.0	136.0	114.0	1000.0	-	-	99.4	0.0	0.6
Городские населенные пункты	130.0	197.0	231.0	233.0	118.0	91.0	1000.0	-	-	99.8	0.0	0.2
Сельские населенные пункты	110.0	190.0	213.0	213.0	147.0	127.0	1000.0	-	-	99.2	0.0	0.8
Дальневосточный федеральный округ	220.0	282.0	257.0	161.0	51.0	29.0	836.0	69.0	95.0	97.0	0.1	2.9
Городские населенные пункты	228.0	288.0	263.0	156.0	44.0	21.0	852.0	63.0	85.0	97.2	0.1	2.7
Сельские населенные пункты	190.0	264.0	235.0	177.0	77.0	57.0	682.0	125.0	193.0	96.3	0.0	3.7
Республика Саха (Якутия)	176.0	228.0	239.0	192.0	91.0	74.0	805.0	65.0	130.0	98.8	0.1	1.1
Городские населенные пункты	195.0	253.0	261.0	185.0	66.0	40.0	796.0	58.0	146.0	98.5	0.1	1.4
Сельские населенные пункты	132.0	169.0	188.0	209.0	150.0	152.0	843.0	98.0	59.0	99.4	0.0	0.6
Приморский край	229.0	293.0	255.0	157.0	45.0	21.0	837.0	85.0	78.0	96.5	0.1	3.4
Городские населенные пункты	236.0	294.0	258.0	153.0	41.0	18.0	848.0	82.0	70.0	96.9	0.1	3.0
Сельские населенные пункты	202.0	289.0	241.0	172.0	59.0	37.0	691.0	118.0	191.0	95.1	0.0	4.9
Хабаровский край 	219.0	288.0	261.0	160.0	48.0	24.0	851.0	54.0	95.0	96.3	0.1	3.6
Городские населенные пункты	224.0	292.0	263.0	157.0	44.0	20.0	892.0	39.0	69.0	96.9	0.1	3.0
Сельские населенные пункты	193.0	268.0	256.0	177.0	64.0	42.0	459.0	200.0	341.0	93.7	0.1	6.2
Амурская область	202.0	295.0	263.0	165.0	50.0	25.0	865.0	62.0	73.0	97.1	0.1	2.8
Городские населенные пункты	209.0	293.0	271.0	162.0	44.0	21.0	868.0	60.0	72.0	97.1	0.2	2.7
Сельские населенные пункты	187.0	298.0	247.0	172.0	63.0	33.0	818.0	91.0	91.0	96.9	0.0	3.1
Камчатская область	255.0	273.0	264.0	152.0	39.0	17.0	798.0	82.0	120.0	96.2	0.1	3.7
Городские населенные пункты	255.0	272.0	270.0	150.0	37.0	16.0	808.0	88.0	104.0	95.7	0.1	4.2
Сельские населенные пункты	253.0	274.0	239.0	159.0	49.0	26.0	757.0	61.0	182.0	98.4	0.1	1.5
Корякский автономный округ	270.0	280.0	220.0	142.0	55.0	33.0	500.0	-	500.0	98.9	0.0	1.1
Городские населенные пункты	252.0	290.0	250.0	132.0	48.0	28.0	-	-	-	98.6	-	1.4
Сельские населенные пункты	276.0	277.0	210.0	146.0	57.0	34.0	500.0	-	500.0	98.9	0.0	1.1
Магаданская область	295.0	292.0	250.0	122.0	29.0	12.0	967.0	11.0	22.0	98.1	0.1	1.8
Городские населенные пункты	296.0	291.0	251.0	122.0	29.0	11.0	966.0	11.0	23.0	98.0	0.1	1.9
Сельские населенные пункты	285.0	299.0	239.0	116.0	40.0	21.0	1000.0	-	-	99.5	0.0	0.5
Сахалинская область	225.0	292.0	268.0	151.0	44.0	20.0	761.0	81.0	158.0	97.5	0.1	2.4
Городские населенные пункты	224.0	293.0	271.0	151.0	42.0	19.0	755.0	80.0	165.0	97.8	0.1	2.1
Сельские населенные пункты	235.0	285.0	245.0	153.0	54.0	28.0	818.0	91.0	91.0	95.3	0.0	4.7
Еврейская автономная область	211.0	291.0	256.0	159.0	54.0	29.0	484.0	129.0	387.0	95.8	0.1	4.1
Городские населенные пункты	224.0	299.0	262.0	151.0	45.0	19.0	381.0	190.0	429.0	96.8	0.1	3.1
Сельские населенные пункты	180.0	270.0	244.0	178.0	76.0	52.0	700.0	-	300.0	93.9	0.0	6.1
Чукотский автономный округ	310.0	268.0	229.0	117.0	43.0	33.0	571.0	286.0	143.0	98.2	0.0	1.8
Городские населенные пункты	337.0	281.0	241.0	101.0	24.0	16.0	600.0	200.0	200.0	97.2	0.0	2.8
Сельские населенные пункты	240.0	236.0	201.0	156.0	92.0	75.0	500.0	500.0	-	100.0	0.0	0.0
