3.6. СТРУКТУРА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ДОМОХОЗЯЙСТВ БЕЗДОМНЫХ И КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ												
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
	На 1000 частных домохозяйств приходится домохозяйств, состоящих из						На 1000 домохозяйств бездомных приходится домохозяйств, состоящих из			Удельный вес (%) населения, проживающего		
	1 человека	2 человек	3 человек	4 человек	5 человек	6 и более человек	1 человека	2 человек	3 и более человек	в частных домо-
хозяйствах	в домо-
хозяйствах бездомных	в коллектив-ных домо-
хозяйствах
Городские населенные пункты	227.0	268.0	262.0	162.0	56.0	25.0	922.0	35.0	43.0	98.3	0.0	1.7
Сельские населенные пункты	271.0	296.0	188.0	148.0	61.0	36.0	625.0	-	375.0	98.4	0.0	1.6
Рязанская область	261.0	296.0	233.0	143.0	46.0	21.0	901.0	66.0	33.0	98.3	0.0	1.7
Городские населенные пункты	224.0	289.0	265.0	155.0	48.0	19.0	916.0	53.0	31.0	98.2	0.0	1.8
Сельские населенные пункты	334.0	312.0	171.0	120.0	41.0	22.0	846.0	115.0	39.0	98.4	0.0	1.6
Смоленская область	265.0	292.0	238.0	143.0	43.0	19.0	868.0	88.0	44.0	98.3	0.0	1.7
Городские населенные пункты	244.0	286.0	261.0	149.0	43.0	17.0	889.0	68.0	43.0	98.5	0.0	1.5
Сельские населенные пункты	313.0	304.0	186.0	130.0	44.0	23.0	700.0	250.0	50.0	97.7	0.0	2.3
Тамбовская область	246.0	292.0	238.0	152.0	49.0	23.0	890.0	59.0	51.0	98.7	0.0	1.3
Городские населенные пункты	224.0	285.0	266.0	156.0	48.0	21.0	906.0	42.0	52.0	98.8	0.0	1.2
Сельские населенные пункты	275.0	299.0	202.0	147.0	51.0	26.0	818.0	136.0	46.0	98.6	0.0	1.4
Тверская область	274.0	302.0	228.0	137.0	41.0	18.0	765.0	115.0	120.0	98.5	0.0	1.5
