													
3. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ОДИН ИСТОЧНИК СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ													
													
													
	Население, указавшее один источник средств к существованию	в том числе указали источником						средств к существованию					
		доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалидности)	пенсию по инвалидности	пособие (кроме пособия по безработице)	пособие по безработице	другой вид государственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существованию 
55 – 59	1374942.0	840167.0	8724.0	-	309571.0	116262.0	1379.0	9135.0	4628.0	3212.0	552.0	50102.0	31210.0
60 – 64	1503345.0	120902.0	1046.0	-	1279543.0	85227.0	404.0	-	2383.0	314.0	86.0	3422.0	10018.0
65 и более	3229949.0	41124.0	1245.0	-	2962956.0	209360.0	669.0	-	3768.0	238.0	72.0	4087.0	6430.0
возраст не указан	13286.0	8884.0	53.0	115.0	796.0	175.0	69.0	33.0	645.0	30.0	16.0	1532.0	938.0
Женщины	44706493.0	19966730.0	145116.0	234149.0	11375536.0	1039982.0	454264.0	294307.0	135275.0	50568.0	12555.0	10583608.0	414403.0
из них в возрасте, лет:													
до 15	4489425.0	591.0	144.0	477.0	11085.0	8611.0	187925.0	-	44614.0	160.0	1168.0	4229037.0	5613.0
15 – 19	3155142.0	416971.0	2637.0	143040.0	15645.0	13935.0	41797.0	11539.0	16265.0	838.0	661.0	2474681.0	17133.0
20 – 29	7069999.0	4753092.0	21530.0	88677.0	11598.0	51710.0	123487.0	68062.0	29295.0	10228.0	2059.0	1808238.0	102023.0
30 – 49	15005138.0	12105695.0	94798.0	1875.0	132425.0	324770.0	90627.0	172019.0	31529.0	32461.0	6791.0	1777986.0	234162.0
50 – 54	3360479.0	2331757.0	21704.0	-	444989.0	191766.0	7068.0	42638.0	3829.0	5917.0	1548.0	266949.0	42314.0
55 – 59	1472602.0	263389.0	1275.0	-	1115153.0	73636.0	653.0	-	856.0	459.0	129.0	11396.0	5656.0
60 – 64	2565228.0	61329.0	1005.0	-	2408999.0	84014.0	657.0	-	1266.0	196.0	63.0	4256.0	3443.0
65 и более	7576898.0	27718.0	1957.0	-	7233901.0	291335.0	1960.0	-	7338.0	283.0	123.0	8858.0	3425.0
возраст не указан	11582.0	6188.0	66.0	80.0	1741.0	205.0	90.0	49.0	283.0	26.0	13.0	2207.0	634.0
Сельское население	20232914.0	7377888.0	1534851.0	67060.0	4987830.0	708521.0	580276.0	253152.0	174247.0	18391.0	6647.0	4118529.0	405522.0
из него в возрасте, лет:													
до 15	1884170.0	215.0	535.0	249.0	10803.0	9975.0	425860.0	-	35363.0	104.0	425.0	1399092.0	1549.0
15 – 19	1548707.0	303141.0	34677.0	48709.0	14860.0	23706.0	74201.0	17851.0	19173.0	321.0	268.0	995035.0	16765.0
20 – 29	3479808.0	2006292.0	293500.0	17723.0	6111.0	71599.0	43218.0	75634.0	50525.0	3503.0	1027.0	821561.0	89115.0
30 – 49	6737622.0	4174956.0	970531.0	363.0	67624.0	285794.0	32370.0	136341.0	52634.0	11382.0	3780.0	765281.0	236566.0
50 – 54	1328504.0	705420.0	178808.0	-	141099.0	114927.0	2447.0	20145.0	5974.0	2254.0	843.0	110454.0	46133.0
55 – 59	613799.0	162507.0	44673.0	-	313661.0	52718.0	553.0	3134.0	2236.0	626.0	228.0	20728.0	12735.0
60 – 64	1147156.0	18545.0	5479.0	-	1071614.0	44636.0	414.0	-	2353.0	106.0	32.0	2366.0	1611.0
65 и более	3490194.0	5657.0	6487.0	-	3361513.0	105091.0	1142.0	-	5870.0	90.0	42.0	3413.0	889.0
возраст не указан	2954.0	1155.0	161.0	16.0	545.0	75.0	71.0	47.0	119.0	5.0	2.0	599.0	159.0
Мужчины	9646157.0	4115191.0	808752.0	34336.0	1531232.0	415584.0	256365.0	100735.0	128158.0	11682.0	3824.0	1968357.0	271941.0
из них в возрасте, лет:													
до 15	963481.0	157.0	303.0	155.0	5573.0	6056.0	212648.0	-	20523.0	58.0	223.0	716955.0	830.0
15 – 19	838680.0	206166.0	16700.0	25253.0	7804.0	15309.0	34369.0	7106.0	13518.0	158.0	150.0	502487.0	9660.0
20 – 29	1871581.0	1183997.0	142528.0	8738.0	1589.0	45204.0	2572.0	28881.0	42770.0	2230.0	589.0	355997.0	56486.0
30 – 49	3490865.0	2186500.0	507662.0	181.0	34522.0	167883.0	5093.0	53102.0	42083.0	7203.0	2154.0	325241.0	159241.0
50 – 54	672432.0	382827.0	94621.0	-	37427.0	62953.0	851.0	8506.0	4215.0	1373.0	464.0	47082.0	32113.0
55 – 59	306966.0	137575.0	40751.0	-	56400.0	36589.0	344.0	3134.0	1642.0	558.0	211.0	18040.0	11722.0
60 – 64	459136.0	13654.0	3445.0	-	412418.0	25333.0	153.0	-	1390.0	67.0	19.0	1306.0	1351.0
65 и более	1041577.0	3656.0	2681.0	-	975335.0	56221.0	302.0	-	1929.0	30.0	12.0	979.0	432.0
возраст не указан	1439.0	659.0	61.0	9.0	164.0	36.0	33.0	6.0	88.0	5.0	2.0	270.0	106.0
Женщины	10586757.0	3262697.0	726099.0	32724.0	3456598.0	292937.0	323911.0	152417.0	46089.0	6709.0	2823.0	2150172.0	133581.0
из них в возрасте, лет:													
до 15	920689.0	58.0	232.0	94.0	5230.0	3919.0	213212.0	-	14840.0	46.0	202.0	682137.0	719.0
15 – 19	710027.0	96975.0	17977.0	23456.0	7056.0	8397.0	39832.0	10745.0	5655.0	163.0	118.0	492548.0	7105.0
20 – 29	1608227.0	822295.0	150972.0	8985.0	4522.0	26395.0	40646.0	46753.0	7755.0	1273.0	438.0	465564.0	32629.0
30 – 49	3246757.0	1988456.0	462869.0	182.0	33102.0	117911.0	27277.0	83239.0	10551.0	4179.0	1626.0	440040.0	77325.0
50 – 54	656072.0	322593.0	84187.0	-	103672.0	51974.0	1596.0	11639.0	1759.0	881.0	379.0	63372.0	14020.0
55 – 59	306833.0	24932.0	3922.0	-	257261.0	16129.0	209.0	-	594.0	68.0	17.0	2688.0	1013.0
60 – 64	688020.0	4891.0	2034.0	-	659196.0	19303.0	261.0	-	963.0	39.0	13.0	1060.0	260.0
65 и более	2448617.0	2001.0	3806.0	-	2386178.0	48870.0	840.0	-	3941.0	60.0	30.0	2434.0	457.0
возраст не указан	1515.0	496.0	100.0	7.0	381.0	39.0	38.0	41.0	31.0	-	-	329.0	53.0
