name	vs	F5000	F5000_9999	F10000_19999	F20000
Кабардино-Балкарская Республика	 	 	 	 	 
Число поселков городского типа	3	1	2	0	0
численность населения	16165	1678	14487	0	0
мужчины	7770	787	6983	0	0
женщины	8395	891	7504	0	0
Республика Калмыкия	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Карачаево-Черкесская Республика	 	 	 	 	 
Число поселков городского типа	4	4	0	0	0
численность населения	10567	10567	0	0	0
мужчины	4892	4892	0	0	0
женщины	5675	5675	0	0	0
Республика Северная Осетия - Алания	 	 	 	 	 
Число поселков городского типа	6	6	0	0	0
численность населения	5442	5442	0	0	0
мужчины	2576	2576	0	0	0
женщины	2866	2866	0	0	0
Чеченская Республика	 	 	 	 	 
Число поселков городского типа	3	1	1	1	0
численность населения	22665	4773	5125	12767	0
мужчины	10737	2229	2416	6092	0
женщины	11928	2544	2709	6675	0
Краснодарский край	 	 	 	 	 
Число поселков городского типа	12	2	4	4	2
численность населения	138537	5203	27680	58465	47189
мужчины	63901	2379	12780	26899	21843
женщины	74636	2824	14900	31566	25346
Ставропольский край	 	 	 	 	 
Число поселков городского типа	3	0	2	1	0
численность населения	28094	0	15165	12929	0
мужчины	13194	0	7138	6056	0
женщины	14900	0	8027	6873	0
Астраханская область	 	 	 	 	 
Число поселков городского типа	9	4	5	0	0
численность населения	52780	12733	40047	0	0
мужчины	24686	6027	18659	0	0
женщины	28094	6706	21388	0	0
Волгоградская область	 	 	 	 	 
Число поселков городского типа	19	4	9	6	0
численность населения	158977	13141	62133	83703	0
мужчины	73484	6101	29037	38346	0
женщины	85493	7040	33096	45357	0
Ростовская область	 	 	 	 	 
Число поселков городского типа	8	2	2	4	0
численность населения	66341	6354	15041	44946	0
мужчины	30422	2939	6919	20564	0
женщины	35919	3415	8122	24382	0
Приволжский федеральный округ	 	 	 	 	 
Число поселков городского типа	316	150	133	29	4
численность населения	1827500	415416	945853	379000	87231
мужчины	858256	194023	445218	178284	40731
женщины	969244	221393	500635	200716	46500
Республика Башкортостан	 	 	 	 	 
Число поселков городского типа	26	17	5	2	2
численность населения	147551	50007	30787	25727	41030
мужчины	70090	23536	15163	12186	19205
женщины	77461	26471	15624	13541	21825
Республика Марий Эл	 	 	 	 	 
Число поселков городского типа	16	6	8	2	0
численность населения	108508	22565	58527	27416	0
мужчины	50655	10459	27092	13104	0
женщины	57853	12106	31435	14312	0
Республика Мордовия	 	 	 	 	 
Число поселков городского типа	14	6	6	2	0
численность населения	96723	23685	48453	24585	0
мужчины	45063	11478	22334	11251	0
женщины	51660	12207	26119	13334	0
Республика Татарстан	 	 	 	 	 
Число поселков городского типа	20	7	7	6	0
численность населения	165475	17374	56204	91897	0
мужчины	78630	8238	27874	42518	0
женщины	86845	9136	28330	49379	0
Удмуртская Республика	 	 	 	 	 
Число поселков городского типа	10	4	2	3	1
численность населения	98967	12453	17159	47075	22280
мужчины	46154	5748	8051	21817	10538
женщины	52813	6705	9108	25258	11742
Чувашская Республика	 	 	 	 	 
Число поселков городского типа	6	2	2	2	0
численность населения	42150	4046	15517	22587	0
мужчины	19478	1794	7173	10511	0
женщины	22672	2252	8344	12076	0
Кировская область	 	 	 	 	 
Число поселков городского типа	50	29	20	1	0
численность населения	220241	82972	126615	10654	0
мужчины	104949	38745	61554	4650	0
женщины	115292	44227	65061	6004	0
Нижегородская область	 	 	 	 	 
Число поселков городского типа	63	32	30	1	0
численность населения	290651	72615	207919	10117	0
мужчины	134717	33903	96076	4738	0
женщины	155934	38712	111843	5379	0
Оренбургская область	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Пензенская область	 	 	 	 	 
Число поселков городского типа	16	4	10	2	0
численность населения	112682	11630	77156	23896	0
мужчины	51578	5266	35274	11038	0
женщины	61104	6364	41882	12858	0
Пермская область	 	 	 	 	 
Число поселков городского типа	21	13	7	1	0
численность населения	90766	27931	52796	10039	0
мужчины	43879	12966	26155	4758	0
женщины	46887	14965	26641	5281	0
Коми-Пермяцкий автономный округ	 	 	 	 	 
Число поселков городского типа	1	1	0	0	0
численность населения	3826	3826	0	0	0
мужчины	1756	1756	0	0	0
женщины	2070	2070	0	0	0
Самарская область	 	 	 	 	 
Число поселков городского типа	13	3	7	2	1
численность населения	107295	6678	49411	27285	23921
мужчины	52980	3070	23933	14989	10988
женщины	54315	3608	25478	12296	12933
Саратовская область	 	 	 	 	 
Число поселков городского типа	28	11	15	2	0
численность населения	166905	33137	109161	24607	0
мужчины	77760	16032	50364	11364	0
женщины	89145	17105	58797	13243	0
Ульяновская область	 	 	 	 	 
Число поселков городского типа	33	16	14	3	0
численность населения	179586	50323	96148	33115	0
мужчины	82323	22788	44175	15360	0
женщины	97263	27535	51973	17755	0
Уральский федеральный округ	 	 	 	 	 
Число поселков городского типа	97	47	32	17	1
численность населения	597986	124852	222706	222888	27540
мужчины	288127	59107	106317	108507	14196
женщины	309859	65745	116389	114381	13344
Курганская область	 	 	 	 	 
Число поселков городского типа	6	1	5	0	0
численность населения	46751	4178	42573	0	0
мужчины	21386	1912	19474	0	0
женщины	25365	2266	23099	0	0
Свердловская область	 	 	 	 	 
Число поселков городского типа	51	31	12	8	0
численность населения	248493	80691	73815	93987	0
мужчины	117314	37757	34950	44607	0
женщины	131179	42934	38865	49380	0
Тюменская область	 	 	 	 	 
Число поселков городского типа	32	13	9	9	1
численность населения	260414	34883	69090	128901	27540
мужчины	129801	17067	34638	63900	14196
женщины	130613	17816	34452	65001	13344
Ханты-Мансийский автономный округ - Югра	 	 	 	 	 
Число поселков городского типа	22	11	6	4	1
численность населения	162029	31130	44149	59210	27540
мужчины	81256	15090	22018	29952	14196
женщины	80773	16040	22131	29258	13344
Ямало-Ненецкий автономный округ	 	 	 	 	 
Число поселков городского типа	6	2	2	2	0
численность населения	48432	3753	15294	29385	0
мужчины	24895	1977	7884	15034	0
женщины	23537	1776	7410	14351	0
Челябинская область	 	 	 	 	 
Число поселков городского типа	8	2	6	0	0
численность населения	42328	5100	37228	0	0
мужчины	19626	2371	17255	0	0
женщины	22702	2729	19973	0	0
Сибирский федеральный округ	 	 	 	 	 
Число поселков городского типа	235	121	73	38	3
численность населения	1398490	319015	525462	490790	63223
мужчины	665111	152786	252360	230779	29186
женщины	733379	166229	273102	260011	34037
Республика Алтай	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Республика Бурятия	 	 	 	 	 
Число поселков городского типа	27	16	8	3	0
численность населения	121564	35747	48266	37551	0
мужчины	58501	17335	23437	17729	0
женщины	63063	18412	24829	19822	0
Республика Тыва	 	 	 	 	 
Число поселков городского типа	2	1	0	1	0
численность населения	14169	3706	0	10463	0
мужчины	6608	1661	0	4947	0
женщины	7561	2045	0	5516	0
Республика Хакасия	 	 	 	 	 
Число поселков городского типа	9	6	2	1	0
численность населения	49188	19729	14546	14913	0
мужчины	22709	9258	6688	6763	0
женщины	26479	10471	7858	8150	0
Алтайский край	 	 	 	 	 
Число поселков городского типа	4	1	1	1	1
численность населения	43794	4133	7184	12416	20061
мужчины	20186	1889	3278	5828	9191
женщины	23608	2244	3906	6588	10870
Красноярский край	 	 	 	 	 
Число поселков городского типа	33	16	13	3	1
численность населения	203179	41526	95023	45284	21346
мужчины	96784	19552	46609	20730	9893
женщины	106395	21974	48414	24554	11453
Таймырский (Долгано-Ненецкий) автономный округ	 	 	 	 	 
Число поселков городского типа	1	1	0	0	0
численность населения	1198	1198	0	0	0
мужчины	675	675	0	0	0
женщины	523	523	0	0	0
Эвенкийский автономный округ	 	 	 	 	 
Число поселков городского типа	1	0	1	0	0
численность населения	5836	0	5836	0	0
мужчины	2813	0	2813	0	0
женщины	3023	0	3023	0	0
Иркутская область	 	 	 	 	 
Число поселков городского типа	53	34	15	4	0
