5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
производство и распределение электроэнергии, газа и воды	446092.0	103178.0	10965.0	191646.0	55341.0	69305.0	13733.0	1606.0	63.0	255.0
строительство	855080.0	210100.0	25412.0	328588.0	136448.0	115520.0	33320.0	4205.0	279.0	1208.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4941456.0	861200.0	178562.0	2188031.0	679840.0	837418.0	171268.0	17094.0	2967.0	5076.0
гостиницы и рестораны	1042293.0	91319.0	27610.0	442248.0	218864.0	195957.0	58972.0	6060.0	373.0	890.0
транспорт и связь	1689729.0	322859.0	54212.0	710632.0	228613.0	297539.0	67299.0	6533.0	443.0	1599.0
финансовая деятельность	601097.0	307423.0	33385.0	190682.0	25767.0	38849.0	3949.0	344.0	55.0	643.0
операции с недвижимым имуществом, аренда и предоставление услуг	1257088.0	486261.0	53275.0	407934.0	108766.0	156199.0	37628.0	5285.0	323.0	1417.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	1592086.0	642070.0	80076.0	579861.0	97902.0	166589.0	22150.0	2452.0	173.0	813.0
образование	4360762.0	2055840.0	158572.0	1340596.0	313652.0	365963.0	110600.0	12000.0	635.0	2904.0
здравоохранение и предоставление социальных услуг	3642584.0	788691.0	74045.0	1936518.0	362699.0	345263.0	117654.0	14357.0	743.0	2614.0
предоставление прочих коммунальных, социальных и персональных услуг	1567964.0	356456.0	57243.0	614189.0	198056.0	259630.0	70925.0	9277.0	413.0	1775.0
предоставление услуг по ведению домашнего хозяйства	20374.0	4313.0	903.0	7672.0	2391.0	3740.0	1147.0	164.0	13.0	31.0
деятельность экстерриториальных организаций	4662.0	2019.0	235.0	1433.0	248.0	584.0	101.0	11.0	20.0	11.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	581993.0	188936.0	27566.0	202529.0	47527.0	83258.0	18420.0	2779.0	1064.0	9914.0
Городское население, занятое в экономике	46988595.0	12368255.0	1613930.0	17385469.0	6284810.0	7120306.0	1897311.0	230538.0	17330.0	70646.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	799472.0	131652.0	17165.0	261493.0	161764.0	145187.0	70203.0	10813.0	758.0	437.0
рыболовство, рыбоводство	91447.0	16395.0	2076.0	42121.0	14304.0	12834.0	3219.0	355.0	18.0	125.0
добыча полезных ископаемых	1129919.0	208338.0	30337.0	450515.0	204230.0	189208.0	41434.0	4981.0	109.0	767.0
обрабатывающие производства	10129731.0	1977158.0	265356.0	3812112.0	1703796.0	1812328.0	493605.0	55313.0	2147.0	7916.0
производство и распределение электроэнергии, газа и воды	1182501.0	266325.0	30702.0	474266.0	179593.0	180229.0	44787.0	5810.0	148.0	641.0
