7.2. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ 								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все население	в том числе население, проживающее						
		в индивидуальных домах	в отдельных квартирах	в коммунальных квартирах	в общежитиях	в институциональных учреждениях	в гостиницах	в других жилых помещениях
Городские населенные пункты	594386.0	98055.0	435838.0	3193.0	37674.0	16269.0	321.0	353.0
Сельские населенные пункты	308458.0	111298.0	183872.0	376.0	2528.0	9394.0	30.0	132.0
Камчатская область	358801.0	19321.0	312730.0	1310.0	8921.0	13201.0	183.0	1652.0
Городские населенные пункты	290811.0	13213.0	252948.0	1238.0	8334.0	12196.0	142.0	1529.0
Сельские населенные пункты	67990.0	6108.0	59782.0	72.0	587.0	1005.0	41.0	123.0
Корякский автономный округ	25157.0	1082.0	23206.0	14.0	387.0	283.0	21.0	50.0
Городские населенные пункты	6517.0	59.0	6118.0	-	150.0	89.0	21.0	37.0
Сельские населенные пункты	18640.0	1023.0	17088.0	14.0	237.0	194.0	-	13.0
Магаданская область	182726.0	9481.0	159010.0	1859.0	8240.0	3277.0	26.0	95.0
Городские населенные пункты	168725.0	7870.0	147021.0	1821.0	8020.0	3208.0	25.0	59.0
Сельские населенные пункты	14001.0	1611.0	11989.0	38.0	220.0	69.0	1.0	36.0
Сахалинская область	546695.0	44935.0	471153.0	1488.0	12712.0	13256.0	42.0	916.0
Городские населенные пункты	474123.0	34189.0	414245.0	1353.0	11765.0	9844.0	11.0	723.0
Сельские населенные пункты	72572.0	10746.0	56908.0	135.0	947.0	3412.0	31.0	193.0
Еврейская автономная область	190915.0	34011.0	142291.0	169.0	5839.0	7808.0	22.0	35.0
Городские населенные пункты	128359.0	22785.0	95463.0	147.0	5378.0	3997.0	19.0	6.0
Сельские населенные пункты	62556.0	11226.0	46828.0	22.0	461.0	3811.0	3.0	29.0
Чукотский автономный округ	53824.0	1840.0	47272.0	944.0	2024.0	987.0	16.0	474.0
Городские населенные пункты	35869.0	201.0	31791.0	746.0	1929.0	987.0	16.0	15.0
Сельские населенные пункты	17955.0	1639.0	15481.0	198.0	95.0	-	-	459.0
