12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
Адыгейцы	62791.0	88775.0	22111.0	12713.0	1848.0	8445.0	2632.0	12397.0	334.0	807.0	386.0	366.0	26424.0	312.0	12.0	38196.0	23204.0	1347.0	32.0
в том числе в возрасте, лет:																			
до 15	13363.0	24400.0	-	282.0	4.0	153.0	150.0	10633.0	-	80.0	1.0	21.0	13065.0	11.0	6.0	2798.0	10084.0	466.0	9.0
15-19	6358.0	9902.0	479.0	538.0	1248.0	79.0	109.0	1683.0	11.0	112.0	6.0	4.0	5625.0	8.0	-	3205.0	2774.0	367.0	12.0
20-29	9535.0	11670.0	4710.0	1814.0	590.0	15.0	204.0	21.0	108.0	287.0	75.0	27.0	3760.0	59.0	-	7489.0	1961.0	82.0	3.0
30-49	19991.0	24301.0	12712.0	5891.0	6.0	225.0	955.0	45.0	178.0	289.0	238.0	156.0	3424.0	182.0	4.0	15810.0	4042.0	133.0	2.0
50-54	3369.0	4216.0	2210.0	995.0	-	147.0	380.0	2.0	24.0	15.0	31.0	28.0	348.0	36.0	-	2557.0	778.0	33.0	1.0
55-59	1685.0	2197.0	961.0	540.0	-	233.0	273.0	5.0	13.0	8.0	16.0	17.0	122.0	9.0	-	1199.0	462.0	23.0	1.0
60-64	3175.0	4724.0	687.0	1042.0	-	2678.0	220.0	2.0	-	4.0	13.0	43.0	30.0	5.0	-	1761.0	1280.0	133.0	1.0
65 и более	5310.0	7362.0	349.0	1611.0	-	4915.0	341.0	6.0	-	12.0	6.0	70.0	50.0	2.0	-	3374.0	1823.0	110.0	3.0
возраст не указан	5.0	3.0	3.0	-	-	-	-	-	-	-	-	-	-	-	2.0	3.0	-	-	-
Коми-пермяки	55977.0	89703.0	25390.0	23584.0	1164.0	9029.0	3018.0	7688.0	358.0	1335.0	146.0	53.0	16270.0	1668.0	12.0	24344.0	29576.0	1976.0	69.0
в том числе в возрасте, лет:																			
до 15	8349.0	15723.0	-	399.0	8.0	337.0	146.0	6631.0	-	130.0	2.0	4.0	8049.0	17.0	-	1629.0	6085.0	616.0	19.0
15-19	4178.0	7429.0	669.0	1107.0	1077.0	233.0	131.0	955.0	10.0	77.0	1.0	2.0	3109.0	58.0	-	1562.0	2015.0	568.0	33.0
20-29	7438.0	10516.0	5062.0	2822.0	79.0	15.0	263.0	27.0	53.0	348.0	13.0	-	1549.0	285.0	3.0	4456.0	2880.0	97.0	2.0
30-49	22474.0	34058.0	15581.0	11709.0	-	391.0	1396.0	53.0	209.0	561.0	62.0	27.0	2982.0	1087.0	7.0	11224.0	10899.0	340.0	4.0
50-54	4654.0	7293.0	2882.0	2494.0	-	628.0	518.0	8.0	69.0	73.0	12.0	7.0	440.0	162.0	2.0	2130.0	2407.0	111.0	4.0
55-59	1797.0	2938.0	812.0	980.0	-	704.0	227.0	5.0	17.0	17.0	8.0	4.0	123.0	41.0	-	739.0	975.0	83.0	-
60-64	2611.0	4383.0	275.0	1457.0	-	2460.0	115.0	6.0	-	35.0	14.0	5.0	6.0	10.0	-	936.0	1580.0	93.0	2.0
65 и более	4474.0	7360.0	107.0	2615.0	-	4261.0	222.0	3.0	-	94.0	34.0	4.0	12.0	8.0	-	1667.0	2734.0	68.0	5.0
возраст не указан	2.0	3.0	2.0	1.0	-	-	-	-	-	-	-	-	-	-	-	1.0	1.0	-	-
Балкарцы	52199.0	78326.0	19561.0	9880.0	2750.0	5851.0	1577.0	13366.0	407.0	317.0	117.0	50.0	24218.0	232.0	2.0	27047.0	24184.0	953.0	13.0
в том числе в возрасте, лет:																			
до 15	11881.0	23587.0	-	19.0	1.0	220.0	104.0	11485.0	-	24.0	2.0	14.0	11709.0	9.0	-	465.0	11130.0	282.0	4.0
15-19	5182.0	8987.0	243.0	434.0	1495.0	119.0	71.0	1810.0	21.0	60.0	2.0	2.0	4720.0	10.0	1.0	1632.0	3297.0	247.0	5.0
20-29	9431.0	12241.0	4468.0	1676.0	1243.0	32.0	122.0	21.0	115.0	90.0	19.0	10.0	4387.0	58.0	1.0	6727.0	2597.0	104.0	2.0
30-49	16844.0	20951.0	11585.0	4886.0	11.0	129.0	681.0	39.0	247.0	130.0	73.0	14.0	3023.0	133.0	-	12824.0	3934.0	85.0	1.0
50-54	2249.0	2822.0	1622.0	621.0	-	112.0	167.0	1.0	22.0	6.0	7.0	1.0	249.0	14.0	-	1693.0	539.0	17.0	-
55-59	951.0	1196.0	703.0	212.0	-	144.0	80.0	2.0	2.0	2.0	5.0	2.0	41.0	3.0	-	723.0	212.0	15.0	1.0
60-64	1662.0	2482.0	567.0	407.0	-	1352.0	118.0	1.0	-	3.0	5.0	5.0	21.0	3.0	-	925.0	654.0	83.0	-
65 и более	3999.0	6060.0	373.0	1625.0	-	3743.0	234.0	7.0	-	2.0	4.0	2.0	68.0	2.0	-	2058.0	1821.0	120.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Карелы	39871.0	52996.0	19341.0	6223.0	747.0	9649.0	1736.0	3473.0	587.0	881.0	117.0	42.0	8665.0	1535.0	32.0	27388.0	11763.0	672.0	16.0
в том числе в возрасте, лет:																			
до 15	4387.0	7563.0	-	8.0	-	206.0	63.0	2935.0	-	72.0	1.0	3.0	4267.0	8.0	3.0	1369.0	2851.0	164.0	-
15-19	2490.0	3843.0	426.0	63.0	630.0	177.0	41.0	470.0	14.0	54.0	-	2.0	1935.0	31.0	1.0	1279.0	1074.0	129.0	7.0
20-29	5485.0	6224.0	4237.0	390.0	115.0	15.0	119.0	18.0	78.0	228.0	26.0	3.0	809.0	186.0	3.0	4774.0	674.0	34.0	-
30-49	14783.0	18067.0	10992.0	2760.0	2.0	317.0	744.0	37.0	405.0	325.0	55.0	30.0	1352.0	1048.0	15.0	11562.0	3118.0	84.0	4.0
50-54	3792.0	4974.0	2517.0	763.0	-	782.0	308.0	8.0	84.0	47.0	8.0	3.0	252.0	202.0	5.0	2663.0	1061.0	63.0	-
55-59	1437.0	2173.0	654.0	310.0	-	1009.0	93.0	-	6.0	26.0	2.0	-	31.0	42.0	1.0	782.0	571.0	83.0	-
60-64	1896.0	2774.0	316.0	526.0	-	1821.0	59.0	2.0	-	30.0	4.0	-	5.0	11.0	-	1082.0	754.0	56.0	4.0
65 и более	5598.0	7374.0	196.0	1402.0	-	5322.0	309.0	3.0	-	99.0	21.0	1.0	14.0	7.0	4.0	3875.0	1659.0	59.0	1.0
возраст не указан	3.0	4.0	3.0	1.0	-	-	-	-	-	-	-	-	-	-	-	2.0	1.0	-	-
Хакасы	35569.0	51973.0	12875.0	7458.0	986.0	4371.0	1719.0	7275.0	429.0	1193.0	50.0	23.0	14442.0	1152.0	2.0	20371.0	14028.0	1128.0	40.0
в том числе в возрасте, лет:																			
до 15	8505.0	15369.0	-	204.0	2.0	600.0	155.0	6111.0	-	239.0	-	8.0	8037.0	13.0	1.0	2202.0	5753.0	535.0	14.0
15-19	4029.0	6525.0	424.0	407.0	745.0	415.0	103.0	1082.0	12.0	137.0	3.0	-	3156.0	41.0	-	1927.0	1729.0	353.0	20.0
20-29	6083.0	7499.0	3593.0	1102.0	235.0	36.0	206.0	34.0	82.0	336.0	15.0	5.0	1610.0	245.0	-	4735.0	1286.0	57.0	5.0
30-49	11196.0	14549.0	7160.0	3719.0	4.0	174.0	692.0	40.0	258.0	404.0	23.0	6.0	1377.0	692.0	1.0	7919.0	3198.0	78.0	-
50-54	1955.0	2638.0	1148.0	715.0	-	152.0	225.0	7.0	62.0	28.0	3.0	2.0	174.0	122.0	-	1305.0	617.0	33.0	-
55-59	731.0	1026.0	332.0	277.0	-	195.0	90.0	1.0	15.0	12.0	2.0	1.0	69.0	32.0	-	453.0	261.0	17.0	-
60-64	1156.0	1707.0	158.0	397.0	-	1038.0	83.0	-	-	14.0	2.0	1.0	8.0	6.0	-	642.0	477.0	37.0	-
65 и более	1912.0	2658.0	58.0	637.0	-	1761.0	165.0	-	-	23.0	2.0	-	11.0	1.0	-	1186.0	707.0	18.0	1.0
возраст не указан	2.0	2.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	2.0	-	-	-
Алтайцы	31650.0	55165.0	9023.0	14427.0	882.0	3335.0	2142.0	9125.0	185.0	801.0	37.0	25.0	14947.0	236.0	2.0	10652.0	18622.0	2228.0	146.0
в том числе в возрасте, лет:																			
до 15	8777.0	18184.0	-	813.0	3.0	629.0	301.0	7920.0	-	80.0	-	4.0	8433.0	1.0	-	797.0	6650.0	1234.0	96.0
15-19	3805.0	6886.0	546.0	964.0	667.0	272.0	190.0	1161.0	8.0	128.0	1.0	3.0	2940.0	6.0	-	1417.0	1741.0	601.0	46.0
20-29	5436.0	8105.0	2607.0	2901.0	211.0	24.0	272.0	15.0	48.0	247.0	10.0	2.0	1724.0	44.0	2.0	2858.0	2483.0	91.0	2.0
30-49	9586.0	15092.0	4867.0	6926.0	1.0	130.0	916.0	26.0	110.0	284.0	20.0	12.0	1646.0	154.0	-	4221.0	5225.0	139.0	1.0
50-54	1338.0	2192.0	689.0	995.0	-	74.0	235.0	1.0	13.0	25.0	3.0	2.0	131.0	24.0	-	539.0	744.0	55.0	-
55-59	496.0	830.0	190.0	353.0	-	136.0	83.0	-	6.0	5.0	1.0	-	50.0	6.0	-	185.0	288.0	23.0	-
60-64	714.0	1311.0	82.0	507.0	-	645.0	60.0	-	-	10.0	-	2.0	5.0	-	-	165.0	501.0	48.0	-
65 и более	1495.0	2561.0	40.0	968.0	-	1425.0	85.0	1.0	-	22.0	2.0	-	17.0	1.0	-	468.0	989.0	37.0	1.0
возраст не указан	3.0	4.0	2.0	-	-	-	-	1.0	-	-	-	-	1.0	-	-	2.0	1.0	-	-
Черкесы	29488.0	40101.0	9037.0	4399.0	1083.0	3286.0	1363.0	6564.0	158.0	281.0	72.0	231.0	12632.0	995.0	8.0	19107.0	10126.0	246.0	1.0
в том числе в возрасте, лет:																			
до 15	6521.0	12005.0	-	1.0	3.0	23.0	57.0	5580.0	-	29.0	1.0	28.0	6277.0	6.0	-	1085.0	5388.0	48.0	-
15-19	3153.0	4794.0	246.0	111.0	687.0	11.0	43.0	950.0	13.0	34.0	2.0	6.0	2663.0	28.0	-	1551.0	1563.0	39.0	-
20-29	5001.0	5886.0	2083.0	863.0	388.0	3.0	115.0	14.0	48.0	100.0	9.0	6.0	2016.0	241.0	2.0	4131.0	849.0	19.0	-
30-49	9379.0	10807.0	5219.0	2395.0	5.0	74.0	635.0	19.0	76.0	102.0	48.0	91.0	1523.0	620.0	5.0	7992.0	1331.0	51.0	-
50-54	1433.0	1664.0	852.0	337.0	-	69.0	189.0	-	12.0	8.0	8.0	18.0	104.0	67.0	1.0	1210.0	212.0	10.0	-
55-59	717.0	881.0	343.0	173.0	-	129.0	140.0	1.0	9.0	3.0	3.0	17.0	42.0	21.0	-	569.0	132.0	16.0	-
60-64	1268.0	1619.0	203.0	198.0	-	1080.0	92.0	-	-	2.0	-	35.0	4.0	5.0	-	953.0	279.0	36.0	-
65 и более	2013.0	2442.0	89.0	321.0	-	1897.0	92.0	-	-	3.0	1.0	30.0	3.0	6.0	-	1613.0	372.0	27.0	1.0
возраст не указан	3.0	3.0	2.0	-	-	-	-	-	-	-	-	-	-	1.0	-	3.0	-	-	-
Ненцы	19267.0	27871.0	5809.0	2288.0	201.0	2047.0	535.0	5551.0	461.0	1343.0	16.0	25.0	9053.0	542.0	20.0	11521.0	6863.0	828.0	35.0
в том числе в возрасте, лет:																			
до 15	7387.0	12719.0	1.0	8.0	-	463.0	70.0	4803.0	-	825.0	1.0	5.0	6532.0	11.0	6.0	2574.0	4295.0	493.0	19.0
15-19	2306.0	3376.0	429.0	185.0	136.0	147.0	56.0	556.0	49.0	214.0	-	3.0	1565.0	36.0	5.0	1379.0	776.0	139.0	7.0
20-29	3024.0	3662.0	1816.0	675.0	64.0	8.0	94.0	54.0	120.0	116.0	9.0	8.0	543.0	155.0	4.0	2438.0	524.0	56.0	2.0
30-49	4688.0	5584.0	3100.0	1044.0	1.0	32.0	234.0	81.0	272.0	164.0	4.0	7.0	344.0	301.0	3.0	3838.0	796.0	50.0	1.0
50-54	607.0	815.0	310.0	130.0	-	241.0	43.0	8.0	18.0	5.0	2.0	1.0	29.0	28.0	1.0	429.0	146.0	30.0	1.0
55-59	325.0	468.0	68.0	64.0	-	283.0	17.0	15.0	2.0	7.0	-	1.0	7.0	4.0	-	201.0	106.0	17.0	1.0
60-64	311.0	421.0	39.0	60.0	-	299.0	4.0	6.0	-	4.0	-	-	7.0	2.0	-	219.0	76.0	14.0	2.0
65 и более	598.0	799.0	38.0	117.0	-	570.0	16.0	26.0	-	7.0	-	-	24.0	1.0	-	430.0	137.0	29.0	2.0
возраст не указан	21.0	27.0	8.0	5.0	-	4.0	1.0	2.0	-	1.0	-	-	2.0	4.0	1.0	13.0	7.0	-	-
Эвенки	17005.0	25394.0	5490.0	1918.0	372.0	1899.0	713.0	5150.0	353.0	591.0	73.0	13.0	8225.0	597.0	3.0	9269.0	7096.0	615.0	22.0
в том числе в возрасте, лет:																			
до 15	5501.0	10331.0	-	95.0	1.0	348.0	105.0	4426.0	-	196.0	-	5.0	5147.0	8.0	2.0	1048.0	4083.0	355.0	13.0
15-19	2122.0	3382.0	299.0	157.0	266.0	170.0	72.0	670.0	43.0	77.0	6.0	1.0	1576.0	45.0	-	1019.0	954.0	141.0	8.0
20-29	2864.0	3427.0	1637.0	363.0	103.0	7.0	131.0	14.0	97.0	135.0	9.0	-	777.0	154.0	1.0	2320.0	522.0	21.0	-
30-49	4652.0	5732.0	2993.0	942.0	2.0	115.0	276.0	34.0	191.0	139.0	45.0	5.0	651.0	339.0	-	3621.0	983.0	47.0	1.0
50-54	585.0	770.0	331.0	128.0	-	124.0	50.0	1.0	20.0	13.0	5.0	-	57.0	41.0	-	408.0	169.0	8.0	-
55-59	354.0	514.0	130.0	60.0	-	280.0	20.0	-	2.0	6.0	3.0	1.0	5.0	7.0	-	212.0	124.0	18.0	-
60-64	355.0	490.0	64.0	63.0	-	321.0	26.0	2.0	-	8.0	2.0	-	2.0	2.0	-	234.0	107.0	14.0	-
65 и более	568.0	742.0	36.0	110.0	-	534.0	33.0	2.0	-	16.0	3.0	1.0	6.0	1.0	-	405.0	152.0	11.0	-
возраст не указан	4.0	6.0	-	-	-	-	-	1.0	-	1.0	-	-	4.0	-	-	2.0	2.0	-	-
Ханты	13033.0	17724.0	4044.0	1063.0	254.0	1145.0	453.0	2803.0	394.0	615.0	29.0	240.0	6160.0	524.0	19.0	8659.0	4023.0	313.0	19.0
в том числе в возрасте, лет:																			
до 15	4485.0	7152.0	-	19.0	1.0	234.0	64.0	2398.0	-	228.0	2.0	54.0	4124.0	28.0	6.0	1985.0	2323.0	163.0	8.0
15-19	1646.0	2288.0	232.0	61.0	194.0	99.0	34.0	321.0	34.0	97.0	1.0	24.0	1145.0	46.0	-	1064.0	525.0	54.0	3.0
20-29	2209.0	2603.0	1259.0	260.0	58.0	12.0	81.0	28.0	116.0	116.0	6.0	61.0	472.0	134.0	4.0	1846.0	329.0	25.0	5.0
30-49	3547.0	4180.0	2247.0	530.0	1.0	40.0	201.0	45.0	227.0	151.0	16.0	74.0	373.0	275.0	7.0	2935.0	572.0	31.0	2.0
50-54	388.0	490.0	207.0	57.0	-	91.0	36.0	3.0	16.0	11.0	3.0	7.0	27.0	32.0	-	298.0	78.0	12.0	-
55-59	207.0	290.0	50.0	35.0	-	167.0	14.0	1.0	1.0	5.0	1.0	9.0	4.0	3.0	-	140.0	52.0	14.0	1.0
60-64	230.0	303.0	35.0	35.0	-	209.0	10.0	-	-	3.0	-	6.0	2.0	3.0	-	164.0	59.0	7.0	-
65 и более	307.0	406.0	14.0	65.0	-	292.0	13.0	7.0	-	4.0	-	5.0	4.0	2.0	-	215.0	85.0	7.0	-
возраст не указан	14.0	12.0	-	1.0	-	1.0	-	-	-	-	-	-	9.0	1.0	2.0	12.0	-	-	-
Чукчи	7443.0	10497.0	2818.0	279.0	115.0	740.0	260.0	2449.0	311.0	233.0	35.0	5.0	3014.0	238.0	84.0	4412.0	2761.0	182.0	4.0
в том числе в возрасте, лет:																			
до 15	2406.0	4432.0	4.0	1.0	-	162.0	35.0	2060.0	-	97.0	1.0	2.0	2066.0	4.0	23.0	459.0	1800.0	123.0	1.0
15-19	967.0	1480.0	212.0	22.0	85.0	93.0	23.0	363.0	27.0	43.0	4.0	-	588.0	20.0	14.0	469.0	443.0	39.0	2.0
20-29	1248.0	1376.0	840.0	69.0	30.0	4.0	55.0	7.0	70.0	37.0	7.0	-	194.0	63.0	18.0	1087.0	140.0	3.0	-
30-49	2171.0	2384.0	1512.0	147.0	-	29.0	112.0	18.0	204.0	49.0	21.0	3.0	147.0	142.0	25.0	1923.0	210.0	12.0	1.0
50-54	225.0	276.0	137.0	18.0	-	72.0	18.0	-	10.0	2.0	2.0	-	12.0	5.0	2.0	170.0	53.0	-	-
55-59	133.0	177.0	48.0	10.0	-	108.0	6.0	-	-	-	-	-	2.0	3.0	1.0	88.0	43.0	1.0	-
60-64	136.0	177.0	37.0	4.0	-	122.0	7.0	1.0	-	2.0	-	-	3.0	1.0	1.0	95.0	38.0	2.0	-
65 и более	155.0	192.0	27.0	8.0	-	150.0	3.0	-	-	2.0	-	-	2.0	-	-	120.0	33.0	2.0	-
возраст не указан	2.0	3.0	1.0	-	-	-	1.0	-	-	1.0	-	-	-	-	-	1.0	1.0	-	-
Манси	5167.0	7220.0	1617.0	685.0	122.0	437.0	188.0	1160.0	193.0	207.0	12.0	6.0	2450.0	143.0	11.0	3194.0	1862.0	98.0	2.0
в том числе в возрасте, лет:																			
до 15	1776.0	2819.0	1.0	12.0	-	66.0	14.0	999.0	-	77.0	-	-	1644.0	6.0	4.0	777.0	944.0	50.0	1.0
15-19	682.0	957.0	87.0	32.0	97.0	29.0	20.0	148.0	10.0	29.0	-	-	498.0	7.0	1.0	422.0	243.0	15.0	1.0
20-29	827.0	1008.0	491.0	139.0	25.0	2.0	30.0	3.0	61.0	51.0	2.0	3.0	166.0	35.0	1.0	649.0	172.0	5.0	-
30-49	1404.0	1766.0	911.0	364.0	-	18.0	90.0	9.0	111.0	44.0	8.0	2.0	127.0	82.0	5.0	1043.0	345.0	11.0	-
50-54	166.0	226.0	89.0	46.0	-	35.0	20.0	-	10.0	1.0	1.0	1.0	12.0	11.0	-	112.0	48.0	6.0	-
55-59	58.0	89.0	17.0	19.0	-	45.0	4.0	-	1.0	1.0	-	-	1.0	1.0	-	31.0	23.0	4.0	-
60-64	103.0	151.0	13.0	31.0	-	97.0	3.0	1.0	-	4.0	1.0	-	1.0	-	-	60.0	38.0	5.0	-
65 и более	151.0	204.0	8.0	42.0	-	145.0	7.0	-	-	-	-	-	1.0	1.0	-	100.0	49.0	2.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Коряки	4191.0	5591.0	1169.0	269.0	79.0	349.0	152.0	1049.0	485.0	202.0	10.0	5.0	1578.0	244.0	10.0	2854.0	1255.0	63.0	9.0
в том числе в возрасте, лет:																			
до 15	1227.0	2069.0	2.0	-	2.0	59.0	15.0	895.0	-	74.0	2.0	-	1016.0	4.0	1.0	417.0	776.0	32.0	1.0
15-19	572.0	815.0	87.0	26.0	64.0	32.0	20.0	141.0	45.0	49.0	2.0	-	323.0	26.0	4.0	362.0	175.0	23.0	8.0
20-29	706.0	808.0	334.0	66.0	13.0	-	28.0	4.0	114.0	37.0	1.0	2.0	127.0	82.0	-	608.0	94.0	4.0	-
30-49	1309.0	1447.0	647.0	140.0	-	10.0	67.0	8.0	305.0	36.0	4.0	3.0	105.0	122.0	3.0	1167.0	137.0	2.0	-
50-54	138.0	157.0	64.0	13.0	-	32.0	13.0	1.0	21.0	1.0	-	-	3.0	9.0	-	119.0	19.0	-	-
55-59	83.0	112.0	24.0	13.0	-	68.0	3.0	-	-	1.0	-	-	2.0	1.0	1.0	54.0	26.0	2.0	-
60-64	54.0	66.0	5.0	6.0	-	50.0	2.0	-	-	1.0	1.0	-	1.0	-	-	42.0	12.0	-	-
65 и более	102.0	117.0	6.0	5.0	-	98.0	4.0	-	-	3.0	-	-	1.0	-	1.0	85.0	16.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Долганы	3262.0	4636.0	1279.0	32.0	65.0	352.0	133.0	1091.0	94.0	167.0	3.0	1.0	1404.0	15.0	1.0	2018.0	1115.0	124.0	4.0
в том числе в возрасте, лет:																			
до 15	1165.0	2158.0	-	-	-	83.0	15.0	936.0	-	102.0	-	-	1022.0	-	-	284.0	772.0	106.0	3.0
15-19	390.0	594.0	63.0	1.0	47.0	35.0	11.0	134.0	22.0	26.0	-	-	254.0	1.0	-	204.0	169.0	16.0	1.0
20-29	550.0	604.0	400.0	10.0	18.0	-	26.0	11.0	37.0	17.0	2.0	-	81.0	2.0	-	497.0	52.0	1.0	-
30-49	844.0	898.0	699.0	19.0	-	7.0	61.0	6.0	32.0	19.0	1.0	1.0	43.0	10.0	-	791.0	52.0	1.0	-
50-54	84.0	99.0	61.0	-	-	20.0	8.0	1.0	3.0	1.0	-	-	4.0	1.0	-	69.0	15.0	-	-
55-59	81.0	111.0	34.0	1.0	-	69.0	4.0	1.0	-	1.0	-	-	-	1.0	-	51.0	30.0	-	-
60-64	63.0	79.0	16.0	-	-	55.0	6.0	1.0	-	1.0	-	-	-	-	-	47.0	16.0	-	-
65 и более	85.0	93.0	6.0	1.0	-	83.0	2.0	1.0	-	-	-	-	-	-	1.0	75.0	9.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Женщины																			
Русские	62551611.0	80019763.0	25210719.0	7139989.0	1400399.0	17816873.0	1764149.0	6674631.0	488242.0	480532.0	125984.0	99152.0	18182062.0	637031.0	125199.0	45805943.0	15674596.0	920110.0	25763.0
в том числе в возрасте, лет:																			
до 15	9011982.0	13790422.0	1003.0	88572.0	4337.0	174021.0	80428.0	4617502.0	-	126611.0	1409.0	5598.0	8666728.0	24213.0	20180.0	4383068.0	4423173.0	181286.0	4275.0
15-19	5091825.0	7141137.0	555387.0	211048.0	971971.0	140475.0	58822.0	845947.0	26377.0	60476.0	3132.0	2700.0	4229508.0	35294.0	9126.0	3208110.0	1698199.0	169184.0	7206.0
20-29	8894750.0	10719339.0	5604603.0	779644.0	418832.0	39373.0	116570.0	706528.0	123808.0	78273.0	18938.0	8076.0	2674774.0	149920.0	20129.0	7164511.0	1580289.0	125254.0	4567.0
30-49	17861392.0	21066897.0	14142557.0	2713374.0	5046.0	326612.0	537401.0	423068.0	269870.0	95051.0	56415.0	34040.0	2131393.0	332070.0	38354.0	14726678.0	2953104.0	139343.0	3913.0
50-54	4512366.0	5676615.0	3139637.0	723575.0	-	966112.0	291116.0	25429.0	68120.0	17255.0	13222.0	8926.0	358703.0	64520.0	9421.0	3418637.0	996692.0	85952.0	1664.0
55-59	2494919.0	3562141.0	938565.0	362924.0	-	2097674.0	106505.0	6937.0	-	8145.0	4543.0	4438.0	22410.0	10000.0	4510.0	1511383.0	887783.0	89851.0	1392.0
60-64	3942131.0	5170140.0	527593.0	688316.0	-	3756501.0	127279.0	11237.0	-	14858.0	7584.0	9592.0	18977.0	8203.0	5009.0	2770258.0	1101978.0	63681.0	1205.0
65 и более	10727591.0	12882252.0	296882.0	1571992.0	-	10314027.0	445756.0	37643.0	-	79697.0	20711.0	25744.0	77404.0	12396.0	13164.0	8615275.0	2032152.0	65486.0	1514.0
возраст не указан	14655.0	10820.0	4492.0	544.0	213.0	2078.0	272.0	340.0	67.0	166.0	30.0	38.0	2165.0	415.0	5306.0	8023.0	1226.0	73.0	27.0
Татары	2949562.0	3809729.0	1203003.0	492233.0	61990.0	765426.0	76199.0	265876.0	20938.0	17088.0	4973.0	2500.0	872817.0	26686.0	1632.0	2132599.0	770031.0	44177.0	1123.0
в том числе в возрасте, лет:																			
до 15	452008.0	631458.0	15.0	7869.0	171.0	7968.0	3928.0	172034.0	-	3628.0	51.0	311.0	434611.0	872.0	197.0	281572.0	161037.0	8996.0	206.0
15-19	243415.0	330266.0	22960.0	14172.0	45641.0	6401.0	2626.0	32584.0	870.0	2020.0	124.0	92.0	201380.0	1396.0	112.0	165211.0	69524.0	8281.0	287.0
20-29	378077.0	463427.0	238281.0	48428.0	16001.0	1619.0	4795.0	33304.0	4050.0	3275.0	713.0	261.0	107143.0	5557.0	251.0	298673.0	72911.0	6042.0	200.0
30-49	963149.0	1180522.0	764053.0	196284.0	167.0	16558.0	30339.0	25564.0	13239.0	4798.0	2623.0	1003.0	110296.0	15598.0	620.0	753928.0	199474.0	8878.0	249.0
50-54	186314.0	241867.0	128399.0	40696.0	-	38916.0	12748.0	896.0	2778.0	609.0	482.0	187.0	13806.0	2350.0	117.0	134407.0	47970.0	3763.0	57.0
55-59	95314.0	138278.0	28874.0	21655.0	-	82011.0	3980.0	206.0	-	261.0	154.0	80.0	780.0	277.0	53.0	56065.0	35431.0	3710.0	55.0
60-64	170287.0	230994.0	13545.0	46499.0	-	163632.0	4962.0	303.0	-	502.0	270.0	174.0	847.0	260.0	51.0	111707.0	56336.0	2158.0	35.0
65 и более	460522.0	592446.0	6693.0	116591.0	-	448212.0	12812.0	968.0	-	1992.0	555.0	392.0	3864.0	367.0	152.0	330706.0	127288.0	2342.0	34.0
возраст не указан	476.0	471.0	183.0	39.0	10.0	109.0	9.0	17.0	1.0	3.0	1.0	-	90.0	9.0	79.0	330.0	60.0	7.0	-
Украинцы	1532797.0	1883420.0	693956.0	188833.0	13200.0	567952.0	44934.0	64994.0	12845.0	8325.0	4275.0	3379.0	260794.0	19933.0	2330.0	1196666.0	315123.0	18245.0	433.0
в том числе в возрасте, лет:																			
до 15	80142.0	114031.0	18.0	593.0	37.0	1212.0	681.0	32741.0	-	835.0	8.0	54.0	77636.0	216.0	203.0	47108.0	31590.0	1222.0	19.0
15-19	51641.0	68897.0	5958.0	1804.0	8339.0	1076.0	509.0	7013.0	304.0	460.0	44.0	22.0	42809.0	559.0	108.0	35584.0	14582.0	1325.0	42.0
20-29	159371.0	186285.0	100038.0	12765.0	4660.0	587.0	1609.0	10741.0	2270.0	1269.0	543.0	152.0	46932.0	4719.0	373.0	133586.0	23592.0	1768.0	52.0
30-49	551719.0	639940.0	430080.0	73739.0	162.0	10084.0	13369.0	12394.0	8323.0	2520.0	2098.0	1223.0	74689.0	11259.0	951.0	465813.0	80860.0	3987.0	108.0
50-54	141834.0	182142.0	94951.0	21807.0	-	38735.0	8262.0	688.0	1946.0	405.0	469.0	355.0	12544.0	1980.0	182.0	103962.0	34958.0	2671.0	61.0
55-59	90928.0	129847.0	32305.0	13514.0	-	78067.0	3638.0	212.0	-	219.0	202.0	236.0	1060.0	394.0	113.0	54828.0	32991.0	2949.0	47.0
