7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие
начального
общего
образова-ния
	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
										
Центральный федеральный округ										
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1953.0	38.0	15.0	833.0	423.0	315.0	307.0	22.0	-	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1045.0	2.0	-	96.0	90.0	182.0	516.0	105.0	54.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2628.0	35.0	27.0	968.0	692.0	388.0	450.0	67.0	1.0	-
операторы, аппаратчики, машинисты установок и машин	3000.0	42.0	39.0	1263.0	833.0	439.0	359.0	24.0	1.0	-
неквалифицированные рабочие	2471.0	30.0	13.0	687.0	454.0	422.0	743.0	119.0	3.0	-
занятые на военной службе	189.0	74.0	3.0	76.0	10.0	18.0	7.0	-	-	1.0
лица, неточно указавшие или не указавшие занятия 	189.0	36.0	7.0	61.0	30.0	26.0	14.0	1.0	-	14.0
Вологодская область										
Все население, занятое в экономике	559827.0	100907.0	12124.0	223747.0	90943.0	86640.0	40262.0	4754.0	181.0	269.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	57388.0	26807.0	1768.0	21437.0	3175.0	3434.0	731.0	23.0	-	13.0
специалисты высшего уровня квалификации	67281.0	47984.0	2285.0	12982.0	1769.0	1768.0	451.0	4.0	-	38.0
специалисты среднего уровня квалификации	78014.0	9645.0	2551.0	50277.0	7125.0	6734.0	1567.0	99.0	-	16.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13967.0	1683.0	517.0	6893.0	1637.0	2740.0	453.0	35.0	-	9.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	66560.0	3737.0	1401.0	30589.0	12815.0	12978.0	4642.0	357.0	10.0	31.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	13868.0	213.0	84.0	3311.0	3697.0	3097.0	3020.0	422.0	24.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	98200.0	3459.0	1484.0	39934.0	22255.0	20426.0	9518.0	1072.0	26.0	26.0
операторы, аппаратчики, машинисты установок и машин	92911.0	2533.0	1115.0	35424.0	24065.0	20200.0	8682.0	850.0	21.0	21.0
неквалифицированные рабочие	61102.0	1969.0	662.0	19122.0	13116.0	13859.0	10437.0	1820.0	100.0	17.0
занятые на военной службе	2791.0	1325.0	47.0	933.0	193.0	272.0	13.0	4.0	-	4.0
лица, неточно указавшие или не указавшие занятия 	7745.0	1552.0	210.0	2845.0	1096.0	1132.0	748.0	68.0	-	94.0
Калининградская область										
Все население, занятое в экономике	400793.0	101919.0	12695.0	156998.0	55065.0	53342.0	17773.0	2532.0	100.0	369.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	49556.0	25662.0	2088.0	16258.0	2590.0	2562.0	345.0	34.0	-	17.0
специалисты высшего уровня квалификации	53088.0	40204.0	1980.0	8840.0	850.0	1039.0	134.0	-	-	41.0
специалисты среднего уровня квалификации	58327.0	10481.0	2621.0	36104.0	4214.0	4167.0	634.0	52.0	-	54.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10150.0	1722.0	609.0	5045.0	1010.0	1574.0	166.0	19.0	-	5.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	58583.0	5866.0	2139.0	26849.0	10080.0	10696.0	2675.0	237.0	-	41.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6303.0	255.0	62.0	1501.0	1756.0	1258.0	1198.0	261.0	5.0	7.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	58461.0	3410.0	1049.0	23642.0	13933.0	11653.0	4248.0	499.0	13.0	14.0
операторы, аппаратчики, машинисты установок и машин	46755.0	2867.0	922.0	18348.0	11433.0	9566.0	3056.0	497.0	5.0	61.0
неквалифицированные рабочие	33976.0	1590.0	616.0	11118.0	7075.0	7820.0	4798.0	888.0	41.0	30.0
занятые на военной службе	18009.0	7882.0	388.0	6525.0	1288.0	1753.0	151.0	5.0	-	17.0
лица, неточно указавшие или не указавшие занятия 	7585.0	1980.0	221.0	2768.0	836.0	1254.0	368.0	40.0	36.0	82.0
Ленинградская область										
Все население, занятое в экономике	726562.0	145246.0	22985.0	280807.0	131598.0	100824.0	38448.0	5413.0	171.0	1070.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	79596.0	37480.0	3395.0	28304.0	4746.0	4664.0	869.0	56.0	-	82.0
специалисты высшего уровня квалификации	87740.0	59480.0	3868.0	17862.0	2809.0	3017.0	569.0	5.0	-	130.0
специалисты среднего уровня квалификации	87521.0	13177.0	4441.0	51360.0	9154.0	7581.0	1496.0	187.0	7.0	118.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17410.0	2319.0	1002.0	8300.0	2178.0	3141.0	423.0	36.0	-	11.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	95393.0	7635.0	3109.0	41267.0	20066.0	17213.0	5377.0	581.0	27.0	118.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	15337.0	558.0	168.0	4845.0	4421.0	2809.0	2167.0	344.0	20.0	5.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	125749.0	5504.0	2584.0	49164.0	34578.0	22974.0	9434.0	1257.0	29.0	225.0
операторы, аппаратчики, машинисты установок и машин	111468.0	4897.0	2106.0	43839.0	31676.0	20491.0	7370.0	960.0	19.0	110.0
неквалифицированные рабочие	71735.0	3031.0	1285.0	23854.0	17659.0	14677.0	9370.0	1734.0	47.0	78.0
занятые на военной службе	13154.0	6838.0	281.0	4065.0	935.0	869.0	108.0	15.0	5.0	38.0
лица, неточно указавшие или не указавшие занятия 	21459.0	4327.0	746.0	7947.0	3376.0	3388.0	1265.0	238.0	17.0	155.0
Мурманская область										
Все население, занятое в экономике	426181.0	93826.0	11263.0	156912.0	73683.0	72802.0	15638.0	1583.0	53.0	421.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	43107.0	19159.0	1459.0	15946.0	2849.0	3267.0	387.0	35.0	-	5.0
специалисты высшего уровня квалификации	51076.0	37043.0	1788.0	9651.0	1040.0	1438.0	105.0	-	-	11.0
специалисты среднего уровня квалификации	63865.0	10955.0	2444.0	37947.0	5899.0	5870.0	671.0	37.0	3.0	39.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13560.0	1812.0	766.0	5590.0	1667.0	3480.0	236.0	9.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	55341.0	3306.0	1285.0	21147.0	12814.0	14002.0	2549.0	203.0	6.0	29.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1740.0	91.0	31.0	494.0	456.0	440.0	212.0	13.0	3.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	67993.0	2529.0	1198.0	22929.0	20959.0	15922.0	4057.0	336.0	16.0	47.0
операторы, аппаратчики, машинисты установок и машин	53370.0	2179.0	1035.0	19057.0	15306.0	13056.0	2459.0	238.0	5.0	35.0
неквалифицированные рабочие	37125.0	1301.0	499.0	10781.0	9211.0	10321.0	4317.0	664.0	20.0	11.0
занятые на военной службе	32484.0	13812.0	563.0	11330.0	2578.0	3756.0	381.0	23.0	-	41.0
лица, неточно указавшие или не указавшие занятия 	6520.0	1639.0	195.0	2040.0	904.0	1250.0	264.0	25.0	-	203.0
Новгородская область										
Все население, занятое в экономике	283471.0	57176.0	6938.0	107664.0	46008.0	46213.0	17264.0	1969.0	142.0	97.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	33929.0	16064.0	1165.0	12284.0	1724.0	2211.0	431.0	45.0	-	5.0
специалисты высшего уровня квалификации	38523.0	26462.0	1253.0	8048.0	1188.0	1285.0	245.0	4.0	12.0	26.0
специалисты среднего уровня квалификации	36204.0	4801.0	1563.0	23072.0	2949.0	3165.0	572.0	63.0	-	19.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6787.0	925.0	289.0	3149.0	974.0	1263.0	170.0	7.0	-	10.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	35094.0	2476.0	800.0	14979.0	6820.0	7577.0	2107.0	265.0	70.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	5060.0	165.0	49.0	1394.0	1174.0	1188.0	979.0	109.0	-	2.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	48917.0	1969.0	757.0	17915.0	12591.0	11259.0	4030.0	378.0	16.0	2.0
операторы, аппаратчики, машинисты установок и машин	41613.0	1575.0	513.0	15080.0	11078.0	9388.0	3584.0	386.0	-	9.0
неквалифицированные рабочие	31803.0	1134.0	425.0	9694.0	6841.0	8086.0	4920.0	659.0	25.0	19.0
занятые на военной службе	2331.0	960.0	40.0	934.0	165.0	212.0	20.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	3210.0	645.0	84.0	1115.0	504.0	579.0	206.0	53.0	19.0	5.0
Псковская область										
Все население, занятое в экономике	298914.0	58759.0	6433.0	114968.0	52840.0	48107.0	15592.0	2055.0	83.0	77.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	35454.0	15512.0	1047.0	13858.0	2159.0	2488.0	353.0	31.0	-	6.0
специалисты высшего уровня квалификации	39166.0	25629.0	1227.0	9209.0	1325.0	1472.0	290.0	-	-	14.0
специалисты среднего уровня квалификации	39335.0	5566.0	1254.0	24416.0	3737.0	3782.0	520.0	51.0	-	9.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8233.0	1133.0	316.0	4125.0	915.0	1613.0	115.0	16.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	35289.0	2609.0	868.0	15462.0	7209.0	7277.0	1710.0	134.0	5.0	15.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6363.0	163.0	50.0	1518.0	1786.0	1249.0	1338.0	242.0	17.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	48619.0	2003.0	631.0	17880.0	13319.0	11012.0	3355.0	383.0	17.0	19.0
операторы, аппаратчики, машинисты установок и машин	39344.0	1251.0	373.0	13679.0	12017.0	9053.0	2634.0	326.0	-	11.0
неквалифицированные рабочие	36284.0	1095.0	386.0	10879.0	9260.0	8844.0	4926.0	850.0	44.0	-
занятые на военной службе	7732.0	3117.0	193.0	2840.0	686.0	768.0	123.0	5.0	-	-
лица, неточно указавшие или не указавшие занятия 	3095.0	681.0	88.0	1102.0	427.0	549.0	228.0	17.0	-	3.0
г. Санкт-Петербург										
Все население, занятое в экономике	1978368.0	730671.0	107898.0	683319.0	178401.0	216729.0	44742.0	5709.0	1017.0	9882.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	303744.0	189252.0	17867.0	70521.0	9923.0	13770.0	1368.0	167.0	-	876.0
специалисты высшего уровня квалификации	421849.0	331560.0	19090.0	53348.0	5955.0	9621.0	956.0	35.0	-	1284.0
специалисты среднего уровня квалификации	254091.0	61396.0	20574.0	128036.0	17787.0	22960.0	2426.0	251.0	35.0	626.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	53098.0	12662.0	4999.0	21783.0	4578.0	8011.0	788.0	95.0	-	182.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	237791.0	35973.0	14879.0	107244.0	30026.0	39889.0	8097.0	867.0	183.0	633.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3289.0	564.0	157.0	1339.0	539.0	502.0	158.0	15.0	-	15.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	264863.0	22169.0	10446.0	122420.0	48720.0	46853.0	11776.0	1447.0	139.0	893.0
операторы, аппаратчики, машинисты установок и машин	181312.0	18336.0	7572.0	84175.0	30217.0	32699.0	6632.0	956.0	128.0	597.0
неквалифицированные рабочие	137120.0	13127.0	5518.0	55303.0	22549.0	28842.0	9896.0	1385.0	118.0	382.0
занятые на военной службе	14832.0	9348.0	496.0	3580.0	463.0	818.0	66.0	20.0	18.0	23.0
лица, неточно указавшие или не указавшие занятия 	106379.0	36284.0	6300.0	35570.0	7644.0	12764.0	2579.0	471.0	396.0	4371.0
Южный федеральный округ										
Все население, занятое в экономике	7469671.0	1782691.0	217360.0	2575625.0	1030712.0	1358196.0	432317.0	67758.0	4353.0	659.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	809187.0	407139.0	28867.0	252356.0	42710.0	65275.0	11112.0	1676.0	-	52.0
специалисты высшего уровня квалификации	1117678.0	819082.0	43137.0	191830.0	22843.0	35849.0	4744.0	98.0	6.0	89.0
специалисты среднего уровня квалификации	951992.0	162996.0	39934.0	559385.0	80348.0	93364.0	14165.0	1685.0	48.0	67.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	191014.0	33545.0	9943.0	86524.0	19289.0	37035.0	4297.0	356.0	12.0	13.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1124722.0	132985.0	35524.0	430457.0	173274.0	275153.0	67136.0	8705.0	1410.0	78.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	207316.0	11359.0	2060.0	44057.0	38112.0	62691.0	39494.0	9065.0	476.0	2.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1073098.0	67140.0	22597.0	396479.0	236559.0	256518.0	82280.0	10859.0	525.0	141.0
операторы, аппаратчики, машинисты установок и машин	1078076.0	60113.0	19563.0	353314.0	249667.0	290733.0	91348.0	13059.0	244.0	35.0
неквалифицированные рабочие	771067.0	35701.0	11572.0	215778.0	154356.0	219250.0	111707.0	21105.0	1553.0	45.0
занятые на военной службе	80963.0	39519.0	2251.0	26224.0	4484.0	7643.0	756.0	79.0	-	7.0
лица, неточно указавшие или не указавшие занятия 	64558.0	13112.0	1912.0	19221.0	9070.0	14685.0	5278.0	1071.0	79.0	130.0
Республика Адыгея										
Все население, занятое в экономике	142257.0	34966.0	4084.0	49822.0	20962.0	24324.0	7012.0	1008.0	72.0	7.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	17513.0	8765.0	664.0	5637.0	979.0	1253.0	187.0	28.0	-	-
специалисты высшего уровня квалификации	21789.0	16607.0	973.0	3185.0	423.0	520.0	78.0	1.0	-	2.0
специалисты среднего уровня квалификации	18575.0	2963.0	710.0	11224.0	1858.0	1573.0	210.0	34.0	3.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4542.0	779.0	268.0	1978.0	511.0	901.0	102.0	3.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	21160.0	2143.0	574.0	8326.0	3804.0	4990.0	1179.0	127.0	17.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	2871.0	202.0	31.0	779.0	656.0	761.0	370.0	68.0	4.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	18929.0	916.0	319.0	7049.0	4523.0	4455.0	1480.0	180.0	5.0	2.0
операторы, аппаратчики, машинисты установок и машин	18690.0	814.0	302.0	6436.0	4566.0	5028.0	1353.0	187.0	4.0	-
неквалифицированные рабочие	15576.0	592.0	175.0	4358.0	3460.0	4562.0	2015.0	376.0	38.0	-
занятые на военной службе	2020.0	990.0	47.0	660.0	114.0	190.0	18.0	1.0	-	-
лица, неточно указавшие или не указавшие занятия 	592.0	195.0	21.0	190.0	68.0	91.0	20.0	3.0	1.0	3.0
Республика Дагестан										
Все население, занятое в экономике	547282.0	154861.0	18529.0	149128.0	43655.0	130111.0	39503.0	11023.0	469.0	3.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	50723.0	23641.0	1711.0	13491.0	2638.0	7407.0	1463.0	372.0	-	-
специалисты высшего уровня квалификации	126757.0	85454.0	5966.0	23402.0	3051.0	7620.0	1230.0	33.0	-	1.0
специалисты среднего уровня квалификации	70929.0	15047.0	3114.0	38794.0	4243.0	8315.0	1204.0	193.0	18.0	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	9964.0	2053.0	509.0	3713.0	810.0	2535.0	299.0	39.0	6.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	88054.0	13761.0	3211.0	23269.0	7582.0	31244.0	7106.0	1791.0	89.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	30222.0	1011.0	240.0	3390.0	2017.0	12079.0	8178.0	3204.0	103.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	53984.0	4319.0	1292.0	15378.0	7042.0	19111.0	5692.0	1080.0	70.0	-
операторы, аппаратчики, машинисты установок и машин	63970.0	5592.0	1564.0	18563.0	11157.0	19974.0	5811.0	1289.0	20.0	-
неквалифицированные рабочие	43418.0	1526.0	605.0	6714.0	4340.0	19218.0	8043.0	2816.0	156.0	-
занятые на военной службе	3937.0	1469.0	160.0	1285.0	241.0	717.0	51.0	14.0	-	-
лица, неточно указавшие или не указавшие занятия 	5324.0	988.0	157.0	1129.0	534.0	1891.0	426.0	192.0	7.0	-
Республика Ингушетия										
Все население, занятое в экономике	39965.0	13300.0	2339.0	8818.0	4958.0	7649.0	1939.0	798.0	129.0	35.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3810.0	2034.0	230.0	679.0	325.0	413.0	86.0	39.0	-	4.0
специалисты высшего уровня квалификации	11373.0	6766.0	780.0	1785.0	846.0	1010.0	166.0	4.0	1.0	15.0
специалисты среднего уровня квалификации	5229.0	1455.0	345.0	1933.0	646.0	656.0	130.0	55.0	5.0	4.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	967.0	259.0	88.0	263.0	117.0	192.0	38.0	9.0	1.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	6913.0	1279.0	416.0	1597.0	991.0	1978.0	442.0	172.0	32.0	6.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	396.0	49.0	15.0	85.0	76.0	112.0	37.0	19.0	3.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	3436.0	456.0	141.0	804.0	679.0	920.0	291.0	128.0	13.0	4.0
операторы, аппаратчики, машинисты установок и машин	4812.0	551.0	202.0	1139.0	873.0	1455.0	387.0	179.0	25.0	1.0
неквалифицированные рабочие	1868.0	135.0	51.0	288.0	277.0	626.0	291.0	158.0	42.0	-
занятые на военной службе	298.0	85.0	16.0	58.0	35.0	87.0	15.0	2.0	-	-
лица, неточно указавшие или не указавшие занятия 	863.0	231.0	55.0	187.0	93.0	200.0	56.0	33.0	7.0	1.0
Кабардино–Балкарская Республика										
Все население, занятое в экономике	282515.0	79595.0	8105.0	101655.0	33873.0	44477.0	12721.0	1921.0	164.0	4.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	31662.0	18153.0	1011.0	8773.0	1476.0	1795.0	402.0	52.0	-	-
специалисты высшего уровня квалификации	49415.0	38911.0	1754.0	6754.0	779.0	1064.0	147.0	5.0	-	1.0
специалисты среднего уровня квалификации	39347.0	6241.0	1560.0	25323.0	2872.0	2934.0	373.0	43.0	-	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6593.0	1285.0	319.0	3252.0	574.0	1019.0	128.0	16.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	45776.0	6743.0	1429.0	18668.0	6355.0	10029.0	2178.0	313.0	60.0	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6315.0	595.0	86.0	1746.0	1163.0	1718.0	887.0	104.0	16.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	38632.0	2807.0	782.0	14729.0	7962.0	9397.0	2519.0	385.0	51.0	-
операторы, аппаратчики, машинисты установок и машин	37181.0	2595.0	673.0	14147.0	8026.0	8982.0	2445.0	312.0	-	1.0
неквалифицированные рабочие	24703.0	1075.0	398.0	7232.0	4423.0	7308.0	3544.0	686.0	37.0	-
занятые на военной службе	2127.0	919.0	74.0	808.0	150.0	152.0	24.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	764.0	271.0	19.0	223.0	93.0	79.0	74.0	5.0	-	-
Республика Калмыкия										
Все население, занятое в экономике	97282.0	24360.0	2866.0	34108.0	10353.0	18949.0	5519.0	1046.0	73.0	8.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	11747.0	5891.0	444.0	3660.0	539.0	1019.0	170.0	24.0	-	-
специалисты высшего уровня квалификации	16345.0	12977.0	545.0	2265.0	164.0	360.0	33.0	1.0	-	-
специалисты среднего уровня квалификации	13975.0	1703.0	670.0	9504.0	750.0	1191.0	140.0	16.0	1.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	3201.0	586.0	214.0	1535.0	260.0	546.0	58.0	2.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	12641.0	1341.0	394.0	5548.0	1727.0	2994.0	561.0	64.0	7.0	5.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6611.0	341.0	74.0	1159.0	841.0	2484.0	1325.0	356.0	30.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	8299.0	413.0	174.0	3253.0	1435.0	2313.0	626.0	79.0	5.0	1.0
операторы, аппаратчики, машинисты установок и машин	13346.0	522.0	197.0	4054.0	2721.0	4536.0	1136.0	177.0	2.0	1.0
неквалифицированные рабочие	10707.0	395.0	142.0	3020.0	1897.0	3440.0	1459.0	326.0	28.0	-
занятые на военной службе	277.0	156.0	9.0	74.0	5.0	31.0	1.0	1.0	-	-
лица, неточно указавшие или не указавшие занятия 	133.0	35.0	3.0	36.0	14.0	35.0	10.0	-	-	-
Карачаево-Черкесская Республика										
Все население, занятое в экономике	108924.0	32007.0	3291.0	36135.0	12012.0	20323.0	4421.0	716.0	19.0	-
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	13548.0	7556.0	491.0	3639.0	639.0	1071.0	140.0	12.0	-	-
специалисты высшего уровня квалификации	20210.0	15734.0	729.0	2771.0	325.0	587.0	62.0	2.0	-	-
специалисты среднего уровня квалификации	14471.0	3160.0	636.0	8123.0	1127.0	1272.0	134.0	18.0	1.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	2705.0	591.0	139.0	1176.0	241.0	479.0	70.0	9.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	14518.0	2102.0	513.0	5725.0	1977.0	3521.0	590.0	86.0	4.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3723.0	164.0	44.0	901.0	519.0	1593.0	435.0	66.0	1.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	13559.0	889.0	272.0	5173.0	2637.0	3556.0	881.0	148.0	3.0	-
операторы, аппаратчики, машинисты установок и машин	15709.0	773.0	277.0	5533.0	2962.0	4913.0	1080.0	169.0	2.0	-
неквалифицированные рабочие	9133.0	436.0	142.0	2707.0	1501.0	3139.0	998.0	202.0	8.0	-
занятые на военной службе	823.0	469.0	32.0	217.0	30.0	69.0	6.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	525.0	133.0	16.0	170.0	54.0	123.0	25.0	4.0	-	-
Республика Северная Осетия – Алания										
Все население, занятое в экономике	191905.0	65335.0	6616.0	64458.0	20903.0	24915.0	7768.0	1837.0	65.0	8.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	21723.0	13018.0	773.0	5613.0	998.0	1075.0	193.0	53.0	-	-
специалисты высшего уровня квалификации	35274.0	28779.0	894.0	4417.0	534.0	558.0	89.0	2.0	-	1.0
специалисты среднего уровня квалификации	25178.0	6185.0	1206.0	14031.0	1912.0	1509.0	263.0	69.0	3.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4810.0	1388.0	303.0	2093.0	408.0	535.0	73.0	10.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	31932.0	6043.0	1407.0	12889.0	4373.0	5578.0	1356.0	271.0	15.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	2151.0	223.0	48.0	517.0	403.0	563.0	291.0	101.0	4.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	23248.0	2537.0	756.0	9034.0	4205.0	4763.0	1619.0	320.0	11.0	3.0
операторы, аппаратчики, машинисты установок и машин	24365.0	2605.0	702.0	8571.0	4692.0	5531.0	1814.0	443.0	5.0	2.0
неквалифицированные рабочие	16234.0	1268.0	314.0	5292.0	2875.0	4048.0	1879.0	534.0	24.0	-
занятые на военной службе	5635.0	3013.0	174.0	1590.0	286.0	483.0	81.0	8.0	-	-
лица, неточно указавшие или не указавшие занятия 	1355.0	276.0	39.0	411.0	217.0	272.0	110.0	26.0	3.0	1.0
Краснодарский край										
Все население, занятое в экономике	1952115.0	423299.0	53411.0	645478.0	313027.0	378496.0	122149.0	15614.0	558.0	83.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	213543.0	101846.0	7472.0	68082.0	13499.0	19339.0	3034.0	271.0	-	-
специалисты высшего уровня квалификации	254888.0	183990.0	9884.0	44126.0	6400.0	9341.0	1129.0	18.0	-	-
специалисты среднего уровня квалификации	248819.0	43644.0	10457.0	139683.0	23511.0	27177.0	3934.0	400.0	7.0	6.0
