7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие
начального
общего
образова-ния
	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
										
Центральный федеральный округ										
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	14475.0	2369.0	641.0	7630.0	1588.0	2104.0	130.0	9.0	-	4.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	72922.0	7696.0	1742.0	34614.0	13197.0	13065.0	2274.0	237.0	22.0	75.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	16948.0	560.0	105.0	4541.0	3741.0	5383.0	2292.0	300.0	7.0	19.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	96037.0	5189.0	1590.0	43052.0	22696.0	18836.0	4032.0	488.0	42.0	112.0
операторы, аппаратчики, машинисты установок и машин	101857.0	4384.0	1333.0	40557.0	26152.0	24035.0	4730.0	556.0	18.0	92.0
неквалифицированные рабочие	64796.0	2598.0	849.0	24072.0	14418.0	16103.0	5748.0	888.0	58.0	62.0
занятые на военной службе	1358.0	612.0	60.0	402.0	108.0	167.0	9.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	12357.0	3398.0	340.0	4348.0	1784.0	1830.0	494.0	65.0	67.0	31.0
Брянская область										
Все население, занятое в экономике	525835.0	101568.0	11886.0	199306.0	95829.0	90335.0	23801.0	2774.0	80.0	256.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	55227.0	25864.0	1726.0	20930.0	2965.0	3283.0	402.0	39.0	-	18.0
специалисты высшего уровня квалификации	70380.0	49915.0	2686.0	14163.0	1564.0	1819.0	222.0	-	-	11.0
специалисты среднего уровня квалификации	66086.0	7874.0	2367.0	44158.0	6124.0	4866.0	590.0	70.0	4.0	33.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	14219.0	1768.0	586.0	7076.0	1841.0	2621.0	295.0	17.0	4.0	11.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	73568.0	5945.0	1592.0	32458.0	15628.0	15091.0	2586.0	233.0	12.0	23.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	10613.0	184.0	55.0	2037.0	2885.0	3163.0	1992.0	287.0	-	10.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	88928.0	3078.0	1301.0	31666.0	25309.0	21484.0	5415.0	593.0	9.0	73.0
операторы, аппаратчики, машинисты установок и машин	75447.0	2428.0	752.0	25610.0	22294.0	19431.0	4414.0	472.0	13.0	33.0
неквалифицированные рабочие	61048.0	1797.0	638.0	17664.0	15648.0	16841.0	7377.0	1012.0	38.0	33.0
занятые на военной службе	3952.0	1585.0	85.0	1459.0	400.0	399.0	20.0	4.0	-	-
лица, неточно указавшие или не указавшие занятия 	6367.0	1130.0	98.0	2085.0	1171.0	1337.0	488.0	47.0	-	11.0
Владимирская область										
Все население, занятое в экономике	657408.0	129970.0	14719.0	238750.0	113894.0	115708.0	38722.0	4870.0	168.0	607.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	74175.0	35180.0	2421.0	26204.0	4300.0	5278.0	684.0	63.0	-	45.0
специалисты высшего уровня квалификации	86357.0	58441.0	2734.0	18981.0	2564.0	3014.0	532.0	-	5.0	86.0
специалисты среднего уровня квалификации	74611.0	11112.0	2566.0	44148.0	7657.0	7782.0	1198.0	90.0	5.0	53.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	16059.0	2245.0	737.0	7341.0	1907.0	3449.0	347.0	21.0	-	12.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	85680.0	6728.0	2115.0	35748.0	18076.0	17654.0	4580.0	668.0	57.0	54.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8574.0	217.0	24.0	2165.0	2216.0	2117.0	1644.0	178.0	13.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	133505.0	4664.0	1724.0	46528.0	34941.0	32468.0	11734.0	1305.0	21.0	120.0
операторы, аппаратчики, машинисты установок и машин	93322.0	3221.0	1072.0	31817.0	25157.0	23310.0	7729.0	949.0	-	67.0
неквалифицированные рабочие	62081.0	2254.0	755.0	17997.0	13887.0	16582.0	9092.0	1417.0	56.0	41.0
занятые на военной службе	5886.0	2671.0	122.0	1927.0	542.0	549.0	57.0	14.0	-	4.0
лица, неточно указавшие или не указавшие занятия 	17158.0	3237.0	449.0	5894.0	2647.0	3505.0	1125.0	165.0	11.0	125.0
Воронежская область										
Все население, занятое в экономике	895008.0	218685.0	21429.0	292505.0	132515.0	185632.0	37882.0	4994.0	380.0	986.0
в том числе по группам занятий:										
