5.6. ЗАНЯТОЕ НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 																		
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																		
																		
	Все занятое в экономике население	в том числе по видам экономической деятельности																
		сельское хозяйство, охота и лесное хозяйство	рыболовство, рыбоводство	добыча полезных ископаемых	обрабатываю-щие производства	производство и распределение электро-энергии, газа и воды	строительство	оптовая и розничная торговля; ремонт авто-транспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	гостиницы и рестораны	транспорт и связь	финансовая деятельность	операции с недвижимым имуществом, аренда и предо-ставление услуг	государствен-ное управление и обеспечение военной безопасности; обязательное социальное обеспечение	образование	здраво-охранение и предо-ставление социальных услуг	предо-ставление прочих коммуна-льных, социальных и персональных услуг	предо-ставление услуг по ведению домашнего хозяйства	деятельность экстерритори-альных организаций
Ленинградская область	726562.0	65970.0	1333.0	9874.0	142788.0	24321.0	55132.0	92294.0	15728.0	76346.0	7562.0	27898.0	50176.0	49857.0	44523.0	43875.0	1024.0	73.0
Мурманская область	426181.0	5718.0	14798.0	33264.0	40268.0	17235.0	19845.0	49284.0	10067.0	39948.0	4437.0	26612.0	73625.0	37848.0	33173.0	15254.0	59.0	6.0
Новгородская область	283471.0	22294.0	484.0	645.0	65221.0	7794.0	19235.0	36792.0	6363.0	24190.0	3516.0	7935.0	20873.0	25123.0	20657.0	19373.0	59.0	12.0
Псковская область	298914.0	30202.0	720.0	586.0	55673.0	9428.0	19248.0	39319.0	5628.0	28181.0	3814.0	10808.0	31758.0	25920.0	21706.0	12387.0	89.0	8.0
г. Санкт-Петербург	1978368.0	12496.0	889.0	3260.0	380421.0	24690.0	169395.0	304160.0	57226.0	219407.0	39020.0	133811.0	89319.0	164516.0	135365.0	127484.0	4592.0	359.0
Южный
федеральный округ	7469671.0	907427.0	24279.0	110454.0	1107639.0	172406.0	546916.0	1074569.0	174124.0	723196.0	91352.0	255065.0	524788.0	757409.0	642420.0	305800.0	3535.0	577.0
Республика Адыгея	142257.0	13579.0	189.0	1426.0	21959.0	3485.0	10151.0	19913.0	3507.0	10171.0	1821.0	3715.0	13561.0	15653.0	13922.0	7788.0	217.0	208.0
Республика Дагестан	547282.0	66915.0	2009.0	4681.0	39786.0	8349.0	39798.0	60833.0	9632.0	54895.0	7003.0	20942.0	48080.0	104824.0	58807.0	16873.0	104.0	40.0
Республика Ингушетия	39965.0	1883.0	2.0	1015.0	1742.0	345.0	3188.0	2753.0	593.0	4210.0	725.0	308.0	7511.0	7922.0	5205.0	1839.0	18.0	16.0
