2. УРОВЕНЬ ОБРАЗОВАНИЯ НАСЕЛЕНИЯ		
2.1. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ		
		
	1989.0	2002.0
Все население в возрасте 15 лет и более	113037728.0	121300235.0
в том числе имеют образование:		
послевузовское	}12739509	369134.0
высшее		19009265.0
неполное высшее	1929851.0	3739718.0
среднее профессиональное	21713964.0	32929158.0
начальное профессиональное	14685137.0	15366897.0
среднее (полное)	20256391.0	21276555.0
основное	19789231.0	16695335.0
начальное	14574309.0	9349775.0
На 1000 человек в возрасте 15 лет и более имеют образование:	1000.0	1000.0
послевузовское	}     113	3.0
высшее		157.0
неполное высшее	17.0	31.0
среднее профессиональное	192.0	271.0
начальное профессиональное	130.0	127.0
среднее (полное)	179.0	175.0
основное	175.0	138.0
начальное	129.0	77.0
