3.4. МУЖЧИНЫ И ЖЕНЩИНЫ В ВОЗРАСТЕ 16 ЛЕТ И БОЛЕЕ ПО СОСТОЯНИЮ В БРАКЕ														
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ														
(на 1000 человек соответствующего пола и возраста)														
														
	Мужчины							Женщины						
	состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке	состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
		в зарегистри-рованном браке	в незареги-стрирован-ном браке						в зарегистри-рованном браке	в незареги-стрирован-ном браке				
Российская Федерация														
Население в возрасте 16 лет и более														
1989.0	718.0	...	...	196.0	25.0	57.0	4.0	598.0	...	...	132.0	182.0	85.0	4.0
2002.0	627.0	565.0	62.0	251.0	36.0	75.0	11.0	526.0	475.0	51.0	175.0	180.0	110.0	9.0
Центральный федеральный округ														
Население в возрасте 16 лет и более														
1989.0	724.0	...	...	182.0	29.0	61.0	4.0	570.0	...	...	133.0	202.0	91.0	3.0
2002.0	613.0	572.0	41.0	236.0	41.0	87.0	23.0	503.0	470.0	33.0	163.0	196.0	119.0	19.0
Белгородская область														
Население в возрасте 16 лет и более														
1989.0	760.0	...	...	162.0	28.0	43.0	7.0	596.0	...	...	124.0	207.0	64.0	8.0
2002.0	667.0	627.0	40.0	216.0	37.0	74.0	6.0	544.0	511.0	33.0	160.0	188.0	103.0	5.0
Брянская область														
Население в возрасте 16 лет и более														
1989.0	734.0	...	...	186.0	27.0	51.0	2.0	584.0	...	...	128.0	212.0	74.0	2.0
2002.0	644.0	599.0	45.0	228.0	39.0	86.0	3.0	517.0	481.0	36.0	161.0	213.0	107.0	2.0
Владимирская область														
Население в возрасте 16 лет и более														
1989.0	740.0	...	...	174.0	27.0	58.0	1.0	584.0	...	...	137.0	198.0	80.0	1.0
2002.0	639.0	595.0	44.0	234.0	38.0	78.0	11.0	509.0	474.0	35.0	162.0	212.0	107.0	10.0
Воронежская область														
Население в возрасте 16 лет и более														
1989.0	733.0	...	...	180.0	31.0	54.0	2.0	581.0	...	...	124.0	218.0	75.0	2.0
2002.0	658.0	614.0	44.0	219.0	40.0	75.0	8.0	535.0	500.0	35.0	150.0	207.0	101.0	7.0
Ивановская область														
Население в возрасте 16 лет и более														
1989.0	730.0	...	...	176.0	30.0	62.0	2.0	560.0	...	...	144.0	212.0	82.0	2.0
2002.0	628.0	569.0	59.0	231.0	41.0	83.0	17.0	489.0	444.0	45.0	165.0	219.0	110.0	17.0
Калужская область														
Население в возрасте 16 лет и более														
1989.0	721.0	...	...	190.0	26.0	62.0	1.0	584.0	...	...	128.0	202.0	85.0	1.0
2002.0	636.0	584.0	52.0	236.0	40.0	84.0	4.0	513.0	471.0	42.0	162.0	203.0	118.0	4.0
Костромская область														
Население в возрасте 16 лет и более														
