15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
Молдавии	348.0	25.0	42.0	93.0	97.0	57.0	21.0	7.0	6.0	-	45.0	290.0	13.0
Таджикистана	148.0	1.0	7.0	59.0	48.0	24.0	6.0	2.0	1.0	-	5.0	139.0	4.0
Туркмении	10.0	-	1.0	3.0	1.0	2.0	3.0	-	-	-	-	10.0	-
Узбекистана	167.0	17.0	14.0	52.0	33.0	26.0	17.0	4.0	4.0	-	24.0	132.0	11.0
Украины	2507.0	185.0	230.0	643.0	592.0	396.0	161.0	162.0	138.0	-	337.0	1844.0	326.0
других стран мира	276.0	19.0	28.0	31.0	61.0	74.0	38.0	14.0	11.0	-	40.0	211.0	25.0
Болгарии	136.0	8.0	12.0	7.0	25.0	54.0	27.0	3.0	-	-	15.0	118.0	3.0
Вьетнама	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Германии	6.0	-	-	-	1.0	-	2.0	-	3.0	-	-	3.0	3.0
Греции	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Израиля	2.0	-	-	-	2.0	-	-	-	-	-	-	2.0	-
Индии	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
Китая	3.0	-	1.0	-	2.0	-	-	-	-	-	1.0	2.0	-
Латвии	29.0	5.0	8.0	5.0	6.0	3.0	-	2.0	-	-	12.0	15.0	2.0
Литвы	49.0	1.0	4.0	7.0	10.0	11.0	5.0	6.0	5.0	-	5.0	33.0	11.0
Сирии	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
США	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Турции	4.0	-	-	-	3.0	1.0	-	-	-	-	-	4.0	-
Эстонии	3.0	-	2.0	-	1.0	-	-	-	-	-	2.0	1.0	-
без гражданства	1932.0	284.0	352.0	329.0	474.0	271.0	101.0	64.0	57.0	-	521.0	1273.0	138.0
гражданство не указано	3529.0	291.0	441.0	584.0	514.0	609.0	405.0	219.0	114.0	352.0	534.0	2247.0	396.0
Архангельская область													
Все население	1336539.0	123410.0	222263.0	210403.0	180156.0	233559.0	145141.0	120778.0	100675.0	154.0	250249.0	838106.0	248030.0
в том числе:													
граждане России	1330072.0	122683.0	221412.0	209150.0	178711.0	232626.0	144642.0	120385.0	100381.0	82.0	248964.0	833766.0	247260.0
из них имеющие два гражданства	219.0	14.0	17.0	35.0	51.0	50.0	24.0	21.0	7.0	-	25.0	163.0	31.0
иностранные граждане	3775.0	402.0	445.0	820.0	893.0	548.0	271.0	208.0	188.0	-	689.0	2645.0	441.0
из них имеющие гражданство:													
стран СНГ	3531.0	368.0	412.0	764.0	836.0	521.0	251.0	197.0	182.0	-	645.0	2465.0	421.0
Азербайджана	1010.0	162.0	145.0	233.0	309.0	131.0	22.0	6.0	2.0	-	268.0	733.0	9.0
Армении	238.0	36.0	39.0	50.0	57.0	32.0	16.0	4.0	4.0	-	65.0	163.0	10.0
Белоруссии	363.0	14.0	27.0	57.0	62.0	59.0	39.0	58.0	47.0	-	31.0	222.0	110.0
Грузии	138.0	13.0	19.0	32.0	33.0	32.0	6.0	2.0	1.0	-	26.0	109.0	3.0
Казахстана	75.0	7.0	9.0	15.0	25.0	4.0	3.0	10.0	2.0	-	10.0	51.0	14.0
Киргизии	20.0	1.0	3.0	8.0	4.0	3.0	1.0	-	-	-	4.0	16.0	-
Молдавии	109.0	10.0	9.0	37.0	18.0	20.0	9.0	6.0	-	-	15.0	86.0	8.0
Таджикистана	82.0	14.0	5.0	34.0	22.0	5.0	2.0	-	-	-	16.0	66.0	-
Туркмении	6.0	-	-	2.0	1.0	2.0	-	-	1.0	-	-	5.0	1.0
Узбекистана	41.0	1.0	4.0	12.0	8.0	7.0	3.0	3.0	3.0	-	4.0	31.0	6.0
Украины	1449.0	110.0	152.0	284.0	297.0	226.0	150.0	108.0	122.0	-	206.0	983.0	260.0
других стран мира	244.0	34.0	33.0	56.0	57.0	27.0	20.0	11.0	6.0	-	44.0	180.0	20.0
Болгарии	22.0	2.0	1.0	4.0	-	1.0	8.0	6.0	-	-	2.0	13.0	7.0
Вьетнама	22.0	6.0	-	2.0	10.0	4.0	-	-	-	-	6.0	16.0	-
Германии	8.0	-	2.0	-	2.0	2.0	1.0	1.0	-	-	1.0	6.0	1.0
Израиля	3.0	-	-	-	-	3.0	-	-	-	-	-	3.0	-
Индии	59.0	19.0	3.0	15.0	20.0	2.0	-	-	-	-	21.0	38.0	-
Латвии	17.0	1.0	3.0	2.0	5.0	3.0	-	1.0	2.0	-	4.0	10.0	3.0
Литвы	38.0	3.0	4.0	5.0	11.0	4.0	6.0	3.0	2.0	-	4.0	28.0	6.0
Сирии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
США	3.0	1.0	-	-	2.0	-	-	-	-	-	1.0	2.0	-
Турции	6.0	-	1.0	1.0	2.0	1.0	1.0	-	-	-	-	6.0	-
Эстонии	8.0	-	2.0	2.0	2.0	1.0	1.0	-	-	-	2.0	6.0	-
без гражданства	1083.0	173.0	184.0	173.0	273.0	133.0	56.0	51.0	40.0	-	314.0	669.0	100.0
гражданство не указано	1609.0	152.0	222.0	260.0	279.0	252.0	172.0	134.0	66.0	72.0	282.0	1026.0	229.0
Ненецкий автономный округ													
Все население	41546.0	5554.0	7726.0	6592.0	6105.0	7404.0	3986.0	2539.0	1620.0	20.0	10557.0	26181.0	4788.0
в том числе:													
граждане России	40759.0	5471.0	7604.0	6439.0	5959.0	7294.0	3892.0	2499.0	1593.0	8.0	10386.0	25660.0	4705.0
из них имеющие два гражданства	3.0	-	-	3.0	-	-	-	-	-	-	-	3.0	-
иностранные граждане	159.0	13.0	20.0	53.0	35.0	16.0	16.0	2.0	4.0	-	28.0	123.0	8.0
из них имеющие гражданство:													
стран СНГ	158.0	13.0	20.0	53.0	35.0	16.0	15.0	2.0	4.0	-	28.0	122.0	8.0
Азербайджана	15.0	1.0	5.0	3.0	5.0	1.0	-	-	-	-	6.0	9.0	-
Армении	4.0	-	-	1.0	-	2.0	1.0	-	-	-	-	4.0	-
Белоруссии	11.0	1.0	-	2.0	3.0	1.0	1.0	1.0	2.0	-	1.0	7.0	3.0
Казахстана	5.0	-	1.0	2.0	-	2.0	-	-	-	-	-	5.0	-
Молдавии	3.0	-	-	2.0	-	-	1.0	-	-	-	-	3.0	-
Таджикистана	13.0	-	-	3.0	8.0	2.0	-	-	-	-	-	13.0	-
Туркмении	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Узбекистана	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Украины	105.0	11.0	14.0	38.0	19.0	8.0	12.0	1.0	2.0	-	21.0	79.0	5.0
других стран мира	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
без гражданства	32.0	11.0	4.0	6.0	7.0	2.0	1.0	-	1.0	-	14.0	17.0	1.0
гражданство не указано	596.0	59.0	98.0	94.0	104.0	92.0	77.0	38.0	22.0	12.0	129.0	381.0	74.0
Вологодская область													
Все население	1269568.0	112566.0	203312.0	184397.0	167640.0	221453.0	129332.0	124326.0	124225.0	2317.0	228491.0	768272.0	270488.0
в том числе:													
граждане России	1259118.0	111487.0	201828.0	182689.0	165671.0	219873.0	128566.0	123587.0	123754.0	1663.0	226544.0	761753.0	269158.0
из них имеющие два гражданства	234.0	17.0	19.0	43.0	46.0	43.0	26.0	23.0	17.0	-	27.0	165.0	42.0
иностранные граждане	4552.0	555.0	647.0	911.0	1007.0	681.0	286.0	271.0	193.0	1.0	938.0	3108.0	505.0
из них имеющие гражданство:													
стран СНГ	4177.0	515.0	620.0	862.0	893.0	589.0	253.0	260.0	184.0	1.0	881.0	2815.0	480.0
Азербайджана	937.0	202.0	143.0	205.0	269.0	95.0	13.0	8.0	2.0	-	308.0	619.0	10.0
Армении	581.0	85.0	106.0	120.0	118.0	99.0	23.0	24.0	5.0	1.0	153.0	397.0	30.0
Белоруссии	309.0	11.0	35.0	34.0	50.0	47.0	40.0	55.0	37.0	-	21.0	185.0	103.0
Грузии	324.0	49.0	46.0	67.0	79.0	56.0	13.0	7.0	7.0	-	83.0	226.0	15.0
Казахстана	225.0	20.0	65.0	44.0	27.0	32.0	14.0	17.0	6.0	-	50.0	148.0	27.0
Киргизии	50.0	3.0	8.0	22.0	8.0	3.0	2.0	2.0	2.0	-	4.0	42.0	4.0
Молдавии	159.0	11.0	30.0	31.0	30.0	35.0	12.0	4.0	6.0	-	27.0	121.0	11.0
Таджикистана	97.0	23.0	10.0	22.0	30.0	6.0	3.0	3.0	-	-	31.0	63.0	3.0
Туркмении	22.0	4.0	4.0	4.0	5.0	3.0	1.0	1.0	-	-	7.0	14.0	1.0
Узбекистана	249.0	40.0	29.0	58.0	45.0	35.0	14.0	15.0	13.0	-	54.0	165.0	30.0
Украины	1224.0	67.0	144.0	255.0	232.0	178.0	118.0	124.0	106.0	-	143.0	835.0	246.0
других стран мира	375.0	40.0	27.0	49.0	114.0	92.0	33.0	11.0	9.0	-	57.0	293.0	25.0
Болгарии	7.0	-	1.0	-	1.0	1.0	4.0	-	-	-	1.0	6.0	-
Вьетнама	202.0	26.0	7.0	26.0	66.0	69.0	8.0	-	-	-	28.0	173.0	1.0
Германии	5.0	-	-	1.0	1.0	-	1.0	1.0	1.0	-	-	3.0	2.0
Греции	3.0	2.0	-	1.0	-	-	-	-	-	-	2.0	1.0	-
Латвии	22.0	2.0	5.0	4.0	8.0	1.0	2.0	-	-	-	5.0	17.0	-
Литвы	77.0	3.0	9.0	7.0	25.0	14.0	10.0	6.0	3.0	-	9.0	57.0	11.0
Финляндии	3.0	-	-	-	-	1.0	-	-	2.0	-	-	1.0	2.0
Эстонии	10.0	-	3.0	2.0	1.0	1.0	2.0	1.0	-	-	3.0	6.0	1.0
без гражданства	1604.0	250.0	317.0	256.0	305.0	210.0	100.0	101.0	65.0	-	455.0	966.0	183.0
гражданство не указано	4294.0	274.0	520.0	541.0	657.0	689.0	380.0	367.0	213.0	653.0	554.0	2445.0	642.0
Калининградская область													
Все население	955281.0	81583.0	153959.0	149019.0	136197.0	159715.0	107949.0	91624.0	74714.0	521.0	164387.0	604069.0	186304.0
в том числе:													
граждане России	936574.0	79811.0	150971.0	145781.0	133136.0	156853.0	106288.0	90142.0	73420.0	172.0	160867.0	592327.0	183208.0
из них имеющие два гражданства	417.0	20.0	40.0	63.0	84.0	62.0	63.0	49.0	36.0	-	43.0	274.0	100.0
иностранные граждане	5916.0	549.0	883.0	1208.0	1023.0	796.0	445.0	521.0	489.0	2.0	997.0	3816.0	1101.0
из них имеющие гражданство:													
стран СНГ	4745.0	452.0	739.0	987.0	796.0	605.0	312.0	431.0	421.0	2.0	842.0	2980.0	921.0
Азербайджана	418.0	73.0	69.0	96.0	123.0	38.0	3.0	7.0	9.0	-	130.0	271.0	17.0
Армении	634.0	86.0	147.0	120.0	132.0	68.0	33.0	29.0	19.0	-	179.0	395.0	60.0
Белоруссии	798.0	33.0	87.0	121.0	113.0	110.0	75.0	116.0	142.0	1.0	65.0	456.0	276.0
Грузии	73.0	5.0	10.0	12.0	14.0	8.0	6.0	5.0	13.0	-	11.0	43.0	19.0
Казахстана	1019.0	112.0	176.0	255.0	128.0	132.0	75.0	86.0	55.0	-	189.0	679.0	151.0
Киргизии	206.0	25.0	37.0	48.0	22.0	31.0	17.0	13.0	13.0	-	43.0	134.0	29.0
Молдавии	114.0	12.0	11.0	36.0	14.0	19.0	7.0	9.0	6.0	-	17.0	81.0	16.0
Таджикистана	41.0	4.0	7.0	12.0	10.0	3.0	2.0	1.0	2.0	-	8.0	29.0	4.0
Туркмении	12.0	-	1.0	5.0	-	-	1.0	5.0	-	-	-	7.0	5.0
Узбекистана	404.0	33.0	64.0	101.0	63.0	55.0	26.0	40.0	22.0	-	69.0	266.0	69.0
Украины	1026.0	69.0	130.0	181.0	177.0	141.0	67.0	120.0	140.0	1.0	131.0	619.0	275.0
других стран мира	1171.0	97.0	144.0	221.0	227.0	191.0	133.0	90.0	68.0	-	155.0	836.0	180.0
Вьетнама	4.0	1.0	-	1.0	2.0	-	-	-	-	-	1.0	3.0	-
Германии	45.0	6.0	3.0	8.0	6.0	6.0	4.0	10.0	2.0	-	7.0	25.0	13.0
Греции	3.0	1.0	-	-	-	1.0	1.0	-	-	-	1.0	2.0	-
Израиля	3.0	2.0	-	-	1.0	-	-	-	-	-	2.0	1.0	-
Китая	20.0	1.0	5.0	9.0	4.0	1.0	-	-	-	-	1.0	19.0	-
Латвии	106.0	14.0	32.0	21.0	17.0	11.0	5.0	3.0	3.0	-	31.0	68.0	7.0
Литвы	843.0	57.0	93.0	159.0	162.0	145.0	103.0	65.0	59.0	-	94.0	611.0	138.0
Сирии	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
США	4.0	1.0	-	-	-	1.0	2.0	-	-	-	1.0	3.0	-
Эстонии	13.0	-	-	5.0	1.0	3.0	1.0	2.0	1.0	-	-	9.0	4.0
без гражданства	5513.0	721.0	1178.0	946.0	881.0	711.0	342.0	386.0	348.0	-	1486.0	3221.0	806.0
гражданство не указано	7278.0	502.0	927.0	1084.0	1157.0	1355.0	874.0	575.0	457.0	347.0	1037.0	4705.0	1189.0
Ленинградская область													
Все население	1669205.0	127527.0	252219.0	243465.0	215113.0	291655.0	194439.0	180353.0	163366.0	1068.0	264198.0	1023224.0	380715.0
в том числе:													
граждане России	1617803.0	123195.0	245368.0	234587.0	206111.0	283072.0	188986.0	176018.0	160045.0	421.0	255912.0	989461.0	372009.0
из них имеющие два гражданства	382.0	27.0	47.0	63.0	77.0	67.0	36.0	38.0	27.0	-	50.0	263.0	69.0
иностранные граждане	8604.0	782.0	1104.0	1854.0	1897.0	1213.0	581.0	635.0	536.0	2.0	1466.0	5856.0	1280.0
из них имеющие гражданство:													
стран СНГ	8067.0	726.0	1041.0	1775.0	1766.0	1118.0	531.0	598.0	510.0	2.0	1367.0	5486.0	1212.0
Азербайджана	1101.0	155.0	156.0	198.0	336.0	167.0	38.0	33.0	17.0	1.0	274.0	768.0	58.0
Армении	852.0	116.0	159.0	165.0	198.0	120.0	47.0	39.0	8.0	-	237.0	559.0	56.0
Белоруссии	807.0	38.0	69.0	163.0	145.0	124.0	63.0	116.0	89.0	-	83.0	504.0	220.0
Грузии	367.0	35.0	63.0	71.0	78.0	46.0	23.0	32.0	19.0	-	72.0	240.0	55.0
Казахстана	653.0	60.0	99.0	129.0	94.0	80.0	57.0	80.0	54.0	-	107.0	399.0	147.0
Киргизии	137.0	12.0	25.0	23.0	29.0	17.0	8.0	13.0	10.0	-	27.0	85.0	25.0
Молдавии	437.0	28.0	64.0	126.0	97.0	56.0	34.0	18.0	14.0	-	59.0	343.0	35.0
Таджикистана	326.0	27.0	30.0	131.0	75.0	45.0	7.0	8.0	3.0	-	39.0	273.0	14.0
Туркмении	85.0	6.0	9.0	24.0	14.0	11.0	9.0	3.0	9.0	-	12.0	60.0	13.0
Узбекистана	620.0	62.0	75.0	144.0	119.0	67.0	68.0	59.0	26.0	-	104.0	410.0	106.0
Украины	2682.0	187.0	292.0	601.0	581.0	385.0	177.0	197.0	261.0	1.0	353.0	1845.0	483.0
других стран мира	537.0	56.0	63.0	79.0	131.0	95.0	50.0	37.0	26.0	-	99.0	370.0	68.0
Афганистана	9.0	-	-	1.0	6.0	2.0	-	-	-	-	-	9.0	-
Болгарии	12.0	1.0	2.0	2.0	5.0	1.0	1.0	-	-	-	1.0	11.0	-
Вьетнама	18.0	1.0	-	3.0	10.0	4.0	-	-	-	-	1.0	17.0	-
Германии	8.0	1.0	-	2.0	1.0	2.0	2.0	-	-	-	1.0	6.0	1.0
Греции	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0
Израиля	10.0	2.0	2.0	2.0	4.0	-	-	-	-	-	4.0	6.0	-
Китая	2.0	-	-	-	2.0	-	-	-	-	-	-	2.0	-
Латвии	89.0	11.0	19.0	17.0	14.0	16.0	7.0	-	5.0	-	23.0	61.0	5.0
Литвы	105.0	7.0	13.0	16.0	18.0	15.0	10.0	18.0	8.0	-	16.0	62.0	27.0
Сирии	2.0	-	-	-	2.0	-	-	-	-	-	-	2.0	-
США	24.0	7.0	-	1.0	8.0	1.0	5.0	-	2.0	-	7.0	15.0	2.0
Турции	3.0	-	-	1.0	1.0	1.0	-	-	-	-	-	3.0	-
Финляндии	35.0	9.0	4.0	3.0	3.0	6.0	4.0	2.0	4.0	-	11.0	18.0	6.0
Эстонии	91.0	7.0	15.0	12.0	21.0	19.0	5.0	9.0	3.0	-	19.0	59.0	13.0
без гражданства	7645.0	1000.0	1302.0	1222.0	1311.0	1093.0	567.0	597.0	531.0	22.0	1845.0	4530.0	1248.0
гражданство не указано	35153.0	2550.0	4445.0	5802.0	5794.0	6277.0	4305.0	3103.0	2254.0	623.0	4975.0	23377.0	6178.0
Мурманская область													
Все население	892534.0	80954.0	148431.0	156105.0	136817.0	165027.0	101502.0	65085.0	36827.0	1786.0	160900.0	609117.0	120731.0
в том числе:													
граждане России	875617.0	79241.0	146485.0	152740.0	133592.0	162616.0	100151.0	64101.0	36220.0	471.0	157900.0	598362.0	118884.0
из них имеющие два гражданства	272.0	21.0	17.0	64.0	71.0	40.0	29.0	25.0	5.0	-	31.0	207.0	34.0
иностранные граждане	6223.0	843.0	835.0	1536.0	1473.0	726.0	292.0	264.0	252.0	2.0	1435.0	4207.0	579.0
из них имеющие гражданство:													
стран СНГ	6093.0	826.0	820.0	1513.0	1446.0	711.0	277.0	254.0	245.0	1.0	1406.0	4125.0	561.0
Азербайджана	1463.0	279.0	268.0	298.0	413.0	176.0	19.0	7.0	3.0	-	497.0	954.0	12.0
Армении	364.0	69.0	72.0	67.0	77.0	47.0	23.0	6.0	3.0	-	124.0	228.0	12.0
Белоруссии	690.0	78.0	69.0	167.0	128.0	94.0	44.0	68.0	42.0	-	119.0	451.0	120.0
Грузии	113.0	10.0	18.0	23.0	32.0	20.0	5.0	2.0	3.0	-	21.0	86.0	6.0
Казахстана	111.0	7.0	18.0	34.0	14.0	10.0	6.0	7.0	15.0	-	18.0	68.0	25.0
Киргизии	88.0	14.0	11.0	26.0	24.0	2.0	2.0	5.0	4.0	-	23.0	55.0	10.0
Молдавии	228.0	29.0	30.0	66.0	50.0	29.0	10.0	6.0	8.0	-	41.0	170.0	17.0
Таджикистана	86.0	11.0	5.0	36.0	23.0	10.0	1.0	-	-	-	13.0	73.0	-
Туркмении	15.0	4.0	1.0	5.0	2.0	3.0	-	-	-	-	5.0	10.0	-
Узбекистана	150.0	19.0	18.0	38.0	31.0	18.0	8.0	11.0	7.0	-	28.0	99.0	23.0
Украины	2785.0	306.0	310.0	753.0	652.0	302.0	159.0	142.0	160.0	1.0	517.0	1931.0	336.0
других стран мира	130.0	17.0	15.0	23.0	27.0	15.0	15.0	10.0	7.0	1.0	29.0	82.0	18.0
Афганистана	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Болгарии	4.0	-	2.0	-	2.0	-	-	-	-	-	2.0	2.0	-
Вьетнама	6.0	1.0	-	3.0	1.0	1.0	-	-	-	-	1.0	5.0	-
Германии	3.0	-	-	-	1.0	-	1.0	1.0	-	-	-	2.0	1.0
Израиля	4.0	1.0	-	3.0	-	-	-	-	-	-	1.0	3.0	-
Китая	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
Латвии	20.0	3.0	5.0	3.0	6.0	1.0	1.0	1.0	-	-	8.0	11.0	1.0
Литвы	29.0	2.0	-	4.0	4.0	3.0	6.0	5.0	5.0	-	2.0	17.0	10.0
США	9.0	4.0	2.0	-	2.0	-	-	-	1.0	-	5.0	3.0	1.0
Турции	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Финляндии	5.0	1.0	1.0	-	-	1.0	-	2.0	-	-	1.0	2.0	2.0
Эстонии	5.0	-	-	-	2.0	1.0	2.0	-	-	-	-	5.0	-
без гражданства	1994.0	379.0	331.0	380.0	474.0	207.0	77.0	85.0	59.0	2.0	631.0	1208.0	153.0
гражданство не указано	8700.0	491.0	780.0	1449.0	1278.0	1478.0	982.0	635.0	296.0	1311.0	934.0	5340.0	1115.0
Новгородская область													
Все население	694355.0	55882.0	103722.0	94524.0	87896.0	118338.0	76578.0	79097.0	77743.0	575.0	116100.0	406489.0	171191.0
в том числе:													
граждане России	683567.0	55000.0	102161.0	92410.0	86016.0	116758.0	75608.0	78294.0	77167.0	153.0	114354.0	399418.0	169642.0
из них имеющие два гражданства	118.0	8.0	13.0	24.0	23.0	18.0	14.0	10.0	8.0	-	11.0	88.0	19.0
иностранные граждане	3328.0	295.0	454.0	780.0	703.0	457.0	243.0	212.0	183.0	1.0	547.0	2337.0	443.0
из них имеющие гражданство:													
стран СНГ	2926.0	269.0	400.0	656.0	610.0	413.0	220.0	189.0	168.0	1.0	509.0	2021.0	395.0
Азербайджана	499.0	78.0	93.0	95.0	140.0	65.0	19.0	6.0	3.0	-	147.0	341.0	11.0
Армении	320.0	46.0	45.0	78.0	68.0	44.0	21.0	13.0	5.0	-	81.0	214.0	25.0
Белоруссии	248.0	7.0	30.0	39.0	42.0	41.0	26.0	32.0	31.0	-	21.0	159.0	68.0
Грузии	66.0	1.0	2.0	13.0	22.0	12.0	6.0	6.0	4.0	-	3.0	53.0	10.0
Казахстана	235.0	25.0	43.0	61.0	29.0	32.0	22.0	14.0	9.0	-	47.0	163.0	25.0
Киргизии	90.0	8.0	13.0	20.0	16.0	17.0	5.0	5.0	6.0	-	15.0	64.0	11.0
Молдавии	113.0	5.0	23.0	31.0	23.0	18.0	4.0	4.0	5.0	-	17.0	86.0	10.0
Таджикистана	104.0	7.0	9.0	48.0	29.0	7.0	4.0	-	-	-	10.0	93.0	1.0
Туркмении	90.0	8.0	15.0	23.0	13.0	10.0	8.0	7.0	6.0	-	15.0	62.0	13.0
Узбекистана	337.0	30.0	52.0	73.0	55.0	54.0	41.0	17.0	15.0	-	61.0	237.0	39.0
Украины	824.0	54.0	75.0	175.0	173.0	113.0	64.0	85.0	84.0	1.0	92.0	549.0	182.0
других стран мира	402.0	26.0	54.0	124.0	93.0	44.0	23.0	23.0	15.0	-	38.0	316.0	48.0
Болгарии	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
Вьетнама	62.0	9.0	-	3.0	41.0	8.0	1.0	-	-	-	9.0	53.0	-
Германии	6.0	-	1.0	1.0	1.0	1.0	1.0	1.0	-	-	1.0	3.0	2.0
Греции	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Израиля	2.0	-	-	-	-	-	2.0	-	-	-	-	1.0	1.0
Китая	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Латвии	54.0	6.0	8.0	9.0	6.0	14.0	4.0	5.0	2.0	-	12.0	34.0	8.0
Литвы	44.0	1.0	3.0	2.0	11.0	7.0	8.0	6.0	6.0	-	3.0	24.0	17.0
Сирии	3.0	-	-	2.0	-	1.0	-	-	-	-	-	3.0	-
США	3.0	-	-	1.0	1.0	-	1.0	-	-	-	-	3.0	-
Турции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Финляндии	3.0	1.0	-	-	1.0	-	-	-	1.0	-	1.0	1.0	1.0
Эстонии	32.0	1.0	3.0	5.0	6.0	5.0	3.0	7.0	2.0	-	3.0	19.0	10.0
без гражданства	2026.0	224.0	378.0	410.0	347.0	270.0	149.0	139.0	109.0	-	469.0	1282.0	275.0
гражданство не указано	5434.0	363.0	729.0	924.0	830.0	853.0	578.0	452.0	284.0	421.0	730.0	3452.0	831.0
Псковская область													
Все население	760810.0	59573.0	112630.0	100330.0	97446.0	126337.0	86463.0	86544.0	91169.0	318.0	123286.0	443476.0	193730.0
в том числе:													
граждане России	752742.0	58900.0	111365.0	98981.0	96077.0	125077.0	85699.0	85921.0	90564.0	158.0	121896.0	438323.0	192365.0
из них имеющие два гражданства	213.0	14.0	33.0	30.0	54.0	28.0	19.0	24.0	11.0	-	30.0	147.0	36.0
иностранные граждане	3523.0	321.0	559.0	654.0	693.0	526.0	282.0	237.0	246.0	5.0	608.0	2368.0	542.0
из них имеющие гражданство:													
стран СНГ	3040.0	282.0	477.0	584.0	602.0	459.0	231.0	194.0	206.0	5.0	514.0	2074.0	447.0
Азербайджана	368.0	70.0	48.0	78.0	104.0	51.0	11.0	2.0	4.0	-	106.0	256.0	6.0
Армении	470.0	76.0	83.0	86.0	96.0	81.0	28.0	13.0	7.0	-	130.0	313.0	27.0
Белоруссии	782.0	34.0	155.0	109.0	153.0	139.0	74.0	55.0	63.0	-	71.0	578.0	133.0
Грузии	64.0	1.0	7.0	17.0	18.0	9.0	6.0	5.0	1.0	-	3.0	55.0	6.0
Казахстана	144.0	12.0	29.0	26.0	27.0	17.0	15.0	7.0	11.0	-	27.0	93.0	24.0
Киргизии	63.0	15.0	10.0	13.0	7.0	9.0	3.0	1.0	5.0	-	22.0	35.0	6.0
Молдавии	147.0	13.0	25.0	48.0	30.0	13.0	6.0	8.0	4.0	-	20.0	115.0	12.0
Таджикистана	51.0	9.0	6.0	13.0	17.0	4.0	2.0	-	-	-	14.0	37.0	-
Туркмении	28.0	2.0	7.0	9.0	2.0	3.0	1.0	1.0	3.0	-	6.0	18.0	4.0
Узбекистана	190.0	15.0	23.0	50.0	32.0	20.0	23.0	16.0	11.0	-	28.0	128.0	34.0
Украины	733.0	35.0	84.0	135.0	116.0	113.0	62.0	86.0	97.0	5.0	87.0	446.0	195.0
других стран мира	483.0	39.0	82.0	70.0	91.0	67.0	51.0	43.0	40.0	-	94.0	294.0	95.0
Афганистана	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Болгарии	2.0	-	-	-	1.0	1.0	-	-	-	-	-	2.0	-
Вьетнама	18.0	1.0	-	-	12.0	5.0	-	-	-	-	1.0	17.0	-
Германии	7.0	-	1.0	-	3.0	-	-	3.0	-	-	-	4.0	3.0
Греции	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
Израиля	11.0	5.0	1.0	2.0	-	2.0	-	1.0	-	-	6.0	4.0	1.0
Латвии	220.0	12.0	51.0	42.0	33.0	26.0	19.0	21.0	16.0	-	49.0	127.0	44.0
Литвы	81.0	6.0	6.0	13.0	21.0	11.0	9.0	8.0	7.0	-	9.0	57.0	15.0
США	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Турции	3.0	1.0	-	1.0	-	1.0	-	-	-	-	1.0	2.0	-
Эстонии	95.0	4.0	15.0	8.0	12.0	16.0	17.0	7.0	16.0	-	13.0	54.0	28.0
без гражданства	2164.0	177.0	424.0	338.0	327.0	328.0	198.0	194.0	177.0	1.0	449.0	1313.0	401.0
гражданство не указано	2381.0	175.0	282.0	357.0	349.0	406.0	284.0	192.0	182.0	154.0	333.0	1472.0	422.0
г. Санкт-Петербург													
Городское население	4661219.0	307020.0	653904.0	709018.0	650478.0	776893.0	586795.0	486082.0	475283.0	15746.0	637094.0	2912168.0	1096211.0
в том числе:													
граждане России	4297029.0	284675.0	611006.0	650598.0	587639.0	714323.0	542185.0	454551.0	447987.0	4065.0	592518.0	2672325.0	1028121.0
из них имеющие два гражданства	1431.0	129.0	176.0	301.0	309.0	232.0	103.0	95.0	85.0	1.0	210.0	1019.0	201.0
