15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
Израиля	11.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	-	-	1.0	8.0	2.0
Китая	2.0	-	-	-	1.0	-	-	1.0	-	-	-	1.0	1.0
Латвии	26.0	2.0	5.0	2.0	8.0	3.0	3.0	1.0	2.0	-	5.0	18.0	3.0
Литвы	44.0	2.0	9.0	5.0	10.0	10.0	2.0	4.0	2.0	-	8.0	30.0	6.0
США	3.0	2.0	-	-	1.0	-	-	-	-	-	2.0	1.0	-
Турции	5.0	1.0	-	1.0	2.0	1.0	-	-	-	-	1.0	4.0	-
Эстонии	7.0	-	1.0	-	3.0	2.0	1.0	-	-	-	-	7.0	-
без гражданства	3123.0	427.0	708.0	470.0	565.0	446.0	203.0	181.0	123.0	-	901.0	1886.0	336.0
гражданство не указано	2542.0	322.0	378.0	356.0	367.0	391.0	244.0	230.0	170.0	84.0	558.0	1453.0	447.0
Владимирская область													
Все население	1523990.0	119399.0	225648.0	214417.0	199824.0	257744.0	170813.0	176943.0	157984.0	1218.0	244578.0	909176.0	369018.0
в том числе:													
граждане России	1499960.0	117233.0	222040.0	210211.0	195960.0	253910.0	168463.0	175055.0	156649.0	439.0	240295.0	893906.0	365320.0
из них имеющие два гражданства	355.0	19.0	44.0	67.0	91.0	64.0	34.0	20.0	16.0	-	45.0	271.0	39.0
иностранные граждане	5268.0	588.0	819.0	1175.0	1143.0	690.0	332.0	278.0	243.0	-	1076.0	3602.0	590.0
из них имеющие гражданство:													
стран СНГ	4907.0	565.0	785.0	1018.0	1065.0	653.0	316.0	273.0	232.0	-	1042.0	3293.0	572.0
Азербайджана	868.0	184.0	125.0	160.0	254.0	102.0	20.0	14.0	9.0	-	291.0	552.0	25.0
Армении	787.0	116.0	158.0	128.0	177.0	118.0	43.0	30.0	17.0	-	231.0	503.0	53.0
Белоруссии	257.0	17.0	21.0	49.0	36.0	49.0	29.0	30.0	26.0	-	27.0	162.0	68.0
Грузии	250.0	16.0	40.0	45.0	67.0	52.0	12.0	13.0	5.0	-	37.0	191.0	22.0
Казахстана	398.0	28.0	85.0	86.0	74.0	40.0	29.0	32.0	24.0	-	73.0	262.0	63.0
Киргизии	110.0	16.0	9.0	33.0	23.0	10.0	3.0	6.0	10.0	-	22.0	71.0	17.0
Молдавии	274.0	29.0	42.0	84.0	62.0	31.0	10.0	11.0	5.0	-	45.0	210.0	19.0
Таджикистана	164.0	14.0	15.0	63.0	42.0	12.0	11.0	5.0	2.0	-	19.0	136.0	9.0
Туркмении	121.0	7.0	43.0	26.0	14.0	11.0	5.0	11.0	4.0	-	19.0	85.0	17.0
Узбекистана	591.0	65.0	109.0	124.0	100.0	78.0	62.0	35.0	18.0	-	123.0	405.0	63.0
Украины	1087.0	73.0	138.0	220.0	216.0	150.0	92.0	86.0	112.0	-	155.0	716.0	216.0
других стран мира	361.0	23.0	34.0	157.0	78.0	37.0	16.0	5.0	11.0	-	34.0	309.0	18.0
Афганистана	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Болгарии	14.0	-	1.0	2.0	4.0	3.0	4.0	-	-	-	-	14.0	-
Вьетнама	64.0	11.0	5.0	11.0	27.0	9.0	1.0	-	-	-	14.0	50.0	-
Германии	4.0	-	2.0	1.0	-	1.0	-	-	-	-	2.0	2.0	-
Греции	2.0	-	1.0	-	-	-	-	-	1.0	-	-	1.0	1.0
Израиля	2.0	1.0	-	-	1.0	-	-	-	-	-	1.0	1.0	-
Индии	12.0	-	-	9.0	3.0	-	-	-	-	-	-	12.0	-
Китая	42.0	-	7.0	27.0	7.0	1.0	-	-	-	-	-	42.0	-
Латвии	14.0	-	1.0	4.0	4.0	1.0	2.0	-	2.0	-	1.0	10.0	3.0
Литвы	32.0	-	4.0	5.0	7.0	7.0	4.0	2.0	3.0	-	3.0	23.0	6.0
Сирии	10.0	-	1.0	7.0	2.0	-	-	-	-	-	-	10.0	-
США	15.0	4.0	2.0	1.0	5.0	2.0	1.0	-	-	-	6.0	9.0	-
Турции	12.0	-	1.0	7.0	3.0	1.0	-	-	-	-	-	12.0	-
Эстонии	6.0	-	1.0	-	1.0	1.0	-	2.0	1.0	-	-	3.0	3.0
без гражданства	3255.0	342.0	696.0	556.0	580.0	443.0	238.0	219.0	180.0	1.0	802.0	2010.0	442.0
гражданство не указано	15507.0	1236.0	2093.0	2475.0	2141.0	2701.0	1780.0	1391.0	912.0	778.0	2405.0	9658.0	2666.0
Воронежская область													
Все население	2378803.0	188962.0	351256.0	318852.0	309834.0	391529.0	253384.0	280145.0	281656.0	3185.0	385371.0	1379182.0	611065.0
в том числе:													
граждане России	2346457.0	185868.0	345692.0	313563.0	304671.0	386962.0	250789.0	277640.0	279664.0	1608.0	378980.0	1359773.0	606096.0
из них имеющие два гражданства	415.0	25.0	50.0	81.0	85.0	62.0	36.0	48.0	28.0	-	55.0	275.0	85.0
иностранные граждане	9780.0	961.0	1670.0	2109.0	1851.0	1339.0	680.0	662.0	507.0	1.0	1834.0	6637.0	1308.0
из них имеющие гражданство:													
стран СНГ	8891.0	938.0	1490.0	1631.0	1727.0	1288.0	656.0	657.0	503.0	1.0	1798.0	5797.0	1295.0
Азербайджана	776.0	134.0	121.0	142.0	222.0	99.0	29.0	18.0	10.0	1.0	224.0	516.0	35.0
Армении	1697.0	227.0	362.0	289.0	378.0	257.0	95.0	66.0	23.0	-	467.0	1132.0	98.0
Белоруссии	254.0	14.0	25.0	40.0	51.0	34.0	24.0	28.0	38.0	-	26.0	154.0	74.0
Грузии	397.0	42.0	60.0	75.0	80.0	60.0	40.0	22.0	18.0	-	73.0	273.0	51.0
Казахстана	996.0	118.0	189.0	198.0	181.0	106.0	75.0	75.0	54.0	-	214.0	638.0	144.0
Киргизии	411.0	45.0	70.0	84.0	68.0	56.0	19.0	39.0	30.0	-	83.0	256.0	72.0
Молдавии	287.0	27.0	47.0	60.0	68.0	39.0	23.0	16.0	7.0	-	52.0	208.0	27.0
Таджикистана	172.0	24.0	31.0	36.0	35.0	19.0	16.0	6.0	5.0	-	42.0	118.0	12.0
Туркмении	134.0	6.0	50.0	31.0	9.0	18.0	8.0	8.0	4.0	-	12.0	107.0	15.0
