11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И  ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работаюшие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Центральный федеральный округ								
Республика Коми								
Все население, занятое в экономике 	461771.0	444510.0	17114.0	6181.0	9492.0	951.0	490.0	147.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51773.0	43869.0	7891.0	4752.0	2829.0	182.0	128.0	13.0
специалисты высшего уровня квалификации	56577.0	55701.0	849.0	168.0	556.0	105.0	20.0	27.0
специалисты среднего уровня квалификации	63928.0	63161.0	741.0	162.0	476.0	64.0	39.0	26.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13885.0	13805.0	77.0	12.0	57.0	8.0	-	3.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	57597.0	53961.0	3607.0	564.0	2749.0	192.0	102.0	29.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	7836.0	7542.0	292.0	53.0	217.0	19.0	3.0	2.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	77306.0	75989.0	1308.0	159.0	954.0	125.0	70.0	9.0
операторы, аппаратчики, машинисты установок и машин	76350.0	74753.0	1579.0	212.0	1209.0	83.0	75.0	18.0
неквалифицированные рабочие	48264.0	47771.0	474.0	31.0	272.0	138.0	33.0	19.0
занятые на военной службе	2278.0	2278.0						-
лица, неточно указавшие или не указавшие  занятия 	5977.0	5680.0	296.0	68.0	173.0	35.0	20.0	1.0
Архангельская область								
Все население, занятое в экономике 	580608.0	558433.0	21990.0	8002.0	12315.0	1285.0	388.0	185.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51576.0	43498.0	8075.0	6587.0	1342.0	83.0	63.0	3.0
специалисты высшего уровня квалификации	66937.0	66103.0	821.0	148.0	566.0	107.0	-	13.0
специалисты среднего уровня квалификации	91111.0	89759.0	1326.0	260.0	841.0	208.0	17.0	26.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	18351.0	18233.0	114.0	12.0	100.0	2.0	-	4.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	75488.0	69507.0	5957.0	519.0	5050.0	268.0	120.0	24.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	15384.0	14618.0	759.0	70.0	581.0	81.0	27.0	7.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	100644.0	98741.0	1858.0	136.0	1514.0	163.0	45.0	45.0
операторы, аппаратчики, машинисты установок и машин	80591.0	78283.0	2286.0	192.0	1851.0	171.0	72.0	22.0
неквалифицированные рабочие	61288.0	60792.0	474.0	33.0	301.0	105.0	35.0	22.0
занятые на военной службе	15301.0	15301.0						-
лица, неточно указавшие или не указавшие  занятия 	3937.0	3598.0	320.0	45.0	169.0	97.0	9.0	19.0
Ненецкий автономный округ								
Все население, занятое в экономике 	19277.0	18781.0	490.0	127.0	350.0	10.0	3.0	6.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2050.0	1878.0	170.0	104.0	62.0	2.0	2.0	2.0
специалисты высшего уровня квалификации	2332.0	2324.0	7.0	3.0	4.0	-	-	1.0
специалисты среднего уровня квалификации	2910.0	2903.0	6.0	2.0	3.0	1.0	-	1.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	510.0	509.0	1.0	1.0	-	-	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1953.0	1933.0	19.0	2.0	15.0	2.0	-	1.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1045.0	833.0	212.0	3.0	209.0	-	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2628.0	2613.0	15.0	1.0	14.0	-	-	-
операторы, аппаратчики, машинисты установок и машин	3000.0	2949.0	51.0	9.0	37.0	4.0	1.0	-
неквалифицированные рабочие	2471.0	2463.0	7.0	2.0	5.0	-	-	1.0
занятые на военной службе	189.0	189.0						-
лица, неточно указавшие или не указавшие  занятия 	189.0	187.0	2.0	-	1.0	1.0	-	-
Вологодская область								
Все население, занятое в экономике 	559827.0	530308.0	29315.0	8756.0	18408.0	1479.0	672.0	204.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	57388.0	46919.0	10465.0	5953.0	3982.0	332.0	198.0	4.0
специалисты высшего уровня квалификации	67281.0	65510.0	1744.0	251.0	1302.0	135.0	56.0	27.0
специалисты среднего уровня квалификации	78014.0	74282.0	3700.0	1133.0	2369.0	139.0	59.0	32.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13967.0	13719.0	244.0	16.0	183.0	34.0	11.0	4.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	66560.0	61451.0	5080.0	678.0	4130.0	185.0	87.0	29.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	13868.0	13267.0	597.0	91.0	472.0	28.0	6.0	4.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	98200.0	95470.0	2698.0	211.0	2147.0	221.0	119.0	32.0
операторы, аппаратчики, машинисты установок и машин	92911.0	89796.0	3084.0	185.0	2613.0	215.0	71.0	31.0
неквалифицированные рабочие	61102.0	59952.0	1127.0	109.0	866.0	119.0	33.0	23.0
занятые на военной службе	2791.0	2791.0						-
лица, неточно указавшие или не указавшие  занятия 	7745.0	7151.0	576.0	129.0	344.0	71.0	32.0	18.0
Калининградская область								
Все население, занятое в экономике 	400793.0	376053.0	24543.0	7437.0	14261.0	2155.0	690.0	197.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	49556.0	38383.0	11163.0	5657.0	4858.0	437.0	211.0	10.0
специалисты высшего уровня квалификации	53088.0	51316.0	1750.0	264.0	1189.0	260.0	37.0	22.0
специалисты среднего уровня квалификации	58327.0	56775.0	1528.0	269.0	911.0	290.0	58.0	24.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10150.0	9974.0	171.0	22.0	108.0	30.0	11.0	5.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	58583.0	54145.0	4412.0	455.0	3432.0	393.0	132.0	26.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6303.0	5777.0	526.0	150.0	322.0	27.0	27.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	58461.0	56505.0	1919.0	220.0	1328.0	282.0	89.0	37.0
операторы, аппаратчики, машинисты установок и машин	46755.0	45021.0	1703.0	185.0	1302.0	154.0	62.0	31.0
неквалифицированные рабочие	33976.0	33225.0	730.0	104.0	435.0	161.0	30.0	21.0
занятые на военной службе	18009.0	18009.0						-
лица, неточно указавшие или не указавшие  занятия 	7585.0	6923.0	641.0	111.0	376.0	121.0	33.0	21.0
Ленинградская область								
Все население, занятое в экономике 	726562.0	696376.0	29574.0	9973.0	15219.0	2615.0	1767.0	612.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	79596.0	67877.0	11634.0	7173.0	3687.0	382.0	392.0	85.0
специалисты высшего уровня квалификации	87740.0	86093.0	1619.0	297.0	994.0	190.0	138.0	28.0
специалисты среднего уровня квалификации	87521.0	85719.0	1701.0	326.0	1060.0	169.0	146.0	101.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17410.0	17136.0	260.0	36.0	151.0	38.0	35.0	14.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	95393.0	90397.0	4916.0	782.0	3384.0	446.0	304.0	80.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	15337.0	14544.0	793.0	138.0	559.0	50.0	46.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	125749.0	122508.0	3141.0	461.0	1934.0	505.0	241.0	100.0
операторы, аппаратчики, машинисты установок и машин	111468.0	108259.0	3129.0	350.0	2193.0	328.0	258.0	80.0
неквалифицированные рабочие	71735.0	70397.0	1303.0	163.0	742.0	292.0	106.0	35.0
занятые на военной службе	13154.0	13154.0						-
лица, неточно указавшие или не указавшие  занятия 	21459.0	20292.0	1078.0	247.0	515.0	215.0	101.0	89.0
Мурманская область								
Все население, занятое в экономике 	426181.0	408913.0	17089.0	5428.0	10206.0	1052.0	403.0	179.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	43107.0	34299.0	8790.0	4387.0	4036.0	203.0	164.0	18.0
специалисты высшего уровня квалификации	51076.0	50248.0	798.0	144.0	501.0	106.0	47.0	30.0
специалисты среднего уровня квалификации	63865.0	62987.0	865.0	177.0	576.0	81.0	31.0	13.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	13560.0	13465.0	89.0	16.0	66.0	6.0	1.0	6.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	55341.0	51963.0	3367.0	347.0	2831.0	111.0	78.0	11.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1740.0	1612.0	128.0	16.0	29.0	81.0	2.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	67993.0	66978.0	973.0	88.0	783.0	88.0	14.0	42.0
операторы, аппаратчики, машинисты установок и машин	53370.0	52090.0	1267.0	110.0	960.0	153.0	44.0	13.0
неквалифицированные рабочие	37125.0	36617.0	478.0	48.0	237.0	183.0	10.0	30.0
занятые на военной службе	32484.0	32482.0						2.0
лица, неточно указавшие или не указавшие  занятия 	6520.0	6172.0	334.0	95.0	187.0	40.0	12.0	14.0
Новгородская область								
Все население, занятое в экономике 	283471.0	268148.0	15152.0	4114.0	9116.0	1217.0	705.0	171.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	33929.0	28144.0	5780.0	2939.0	2484.0	197.0	160.0	5.0
специалисты высшего уровня квалификации	38523.0	37477.0	1027.0	116.0	736.0	106.0	69.0	19.0
специалисты среднего уровня квалификации	36204.0	35244.0	952.0	161.0	635.0	95.0	61.0	8.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6787.0	6637.0	137.0	8.0	119.0	5.0	5.0	13.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	35094.0	32276.0	2812.0	309.0	2140.0	189.0	174.0	6.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	5060.0	4544.0	516.0	109.0	354.0	40.0	13.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	48917.0	47599.0	1284.0	181.0	874.0	179.0	50.0	34.0
операторы, аппаратчики, машинисты установок и машин	41613.0	39977.0	1609.0	182.0	1162.0	173.0	92.0	27.0
неквалифицированные рабочие	31803.0	31034.0	737.0	60.0	436.0	197.0	44.0	32.0
занятые на военной службе	2331.0	2331.0						-
лица, неточно указавшие или не указавшие  занятия 	3210.0	2885.0	298.0	49.0	176.0	36.0	37.0	27.0
Псковская область								
Все население, занятое в экономике 	298914.0	283005.0	15785.0	4400.0	9821.0	1239.0	325.0	124.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	35454.0	28405.0	7025.0	3348.0	3257.0	331.0	89.0	24.0
специалисты высшего уровня квалификации	39166.0	38336.0	804.0	105.0	565.0	111.0	23.0	26.0
специалисты среднего уровня квалификации	39335.0	38611.0	719.0	84.0	501.0	115.0	19.0	5.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8233.0	8137.0	96.0	12.0	75.0	9.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	35289.0	32439.0	2832.0	403.0	2251.0	110.0	68.0	18.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6363.0	5791.0	563.0	87.0	368.0	102.0	6.0	9.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	48619.0	47408.0	1192.0	118.0	897.0	138.0	39.0	19.0
операторы, аппаратчики, машинисты установок и машин	39344.0	37795.0	1542.0	126.0	1249.0	128.0	39.0	7.0
неквалифицированные рабочие	36284.0	35496.0	774.0	63.0	550.0	132.0	29.0	14.0
занятые на военной службе	7732.0	7732.0						-
лица, неточно указавшие или не указавшие  занятия 	3095.0	2855.0	238.0	54.0	108.0	63.0	13.0	2.0
г. Санкт–Петербург								
Все население, занятое в экономике 	1978368.0	1872775.0	101438.0	36177.0	47247.0	12248.0	5766.0	4155.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	303744.0	262269.0	40984.0	26327.0	10961.0	2189.0	1507.0	491.0
специалисты высшего уровня квалификации	421849.0	406954.0	14079.0	2448.0	8286.0	2371.0	974.0	816.0
специалисты среднего уровня квалификации	254091.0	244975.0	8635.0	1627.0	5072.0	1382.0	554.0	481.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	53098.0	51616.0	1426.0	220.0	844.0	241.0	121.0	56.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	237791.0	227138.0	10286.0	1595.0	6388.0	1597.0	706.0	367.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3289.0	2949.0	335.0	57.0	216.0	48.0	14.0	5.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	264863.0	255161.0	9181.0	1176.0	5757.0	1611.0	637.0	521.0
операторы, аппаратчики, машинисты установок и машин	181312.0	174186.0	6780.0	656.0	4760.0	891.0	473.0	346.0
неквалифицированные рабочие	137120.0	132815.0	4109.0	549.0	2506.0	817.0	237.0	196.0
занятые на военной службе	14832.0	14832.0						-
лица, неточно указавшие или не указавшие  занятия 	106379.0	99880.0	5623.0	1522.0	2457.0	1101.0	543.0	876.0
Южный федеральный округ								
Все население, занятое в экономике 	7469671.0	6843860.0	625426.0	133274.0	431183.0	37542.0	23427.0	385.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	809187.0	622449.0	186711.0	88133.0	88059.0	5412.0	5107.0	27.0
специалисты высшего уровня квалификации	1117678.0	1085092.0	32521.0	4206.0	21846.0	4330.0	2139.0	65.0
специалисты среднего уровня квалификации	951992.0	928032.0	23918.0	3115.0	16505.0	2785.0	1513.0	42.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	191014.0	187428.0	3580.0	507.0	2250.0	625.0	198.0	6.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1124722.0	953380.0	171260.0	15604.0	141155.0	8537.0	5964.0	82.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	207316.0	147941.0	59366.0	9233.0	46696.0	1913.0	1524.0	9.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1073098.0	1015458.0	57578.0	5162.0	45138.0	4800.0	2478.0	62.0
операторы, аппаратчики, машинисты установок и машин	1078076.0	1017767.0	60267.0	4411.0	47877.0	5107.0	2872.0	42.0
неквалифицированные рабочие	771067.0	746089.0	24955.0	2116.0	18340.0	3195.0	1304.0	23.0
занятые на военной службе	80963.0	80963.0						-
лица, неточно указавшие или не указавшие  занятия 	64558.0	59261.0	5270.0	787.0	3317.0	838.0	328.0	27.0
Республика Адыгея								
Все население, занятое в экономике 	142257.0	132947.0	9310.0	2749.0	6296.0	133.0	132.0	-
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	17513.0	12860.0	4653.0	2145.0	2422.0	33.0	53.0	-
специалисты высшего уровня квалификации	21789.0	21603.0	186.0	38.0	137.0	8.0	3.0	-
специалисты среднего уровня квалификации	18575.0	18414.0	161.0	31.0	123.0	4.0	3.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4542.0	4522.0	20.0	5.0	14.0	1.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	21160.0	19266.0	1894.0	171.0	1681.0	25.0	17.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	2871.0	2137.0	734.0	175.0	496.0	38.0	25.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	18929.0	18212.0	717.0	80.0	617.0	7.0	13.0	-
операторы, аппаратчики, машинисты установок и машин	18690.0	17945.0	745.0	74.0	653.0	10.0	8.0	-
неквалифицированные рабочие	15576.0	15412.0	164.0	18.0	130.0	7.0	9.0	-
занятые на военной службе	2020.0	2020.0						-
лица, неточно указавшие или не указавшие  занятия 	592.0	556.0	36.0	12.0	23.0	-	1.0	-
Республика Дагестан								
Все население, занятое в экономике 	547282.0	450857.0	96421.0	7634.0	74778.0	10332.0	3677.0	4.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	50723.0	41138.0	9585.0	3006.0	5246.0	911.0	422.0	-
специалисты высшего уровня квалификации	126757.0	120325.0	6431.0	380.0	4473.0	1197.0	381.0	1.0
специалисты среднего уровня квалификации	70929.0	67364.0	3565.0	196.0	2615.0	493.0	261.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	9964.0	9474.0	490.0	60.0	316.0	102.0	12.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	88054.0	57999.0	30055.0	1525.0	24180.0	3285.0	1065.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	30222.0	14336.0	15886.0	724.0	14377.0	458.0	327.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	53984.0	42396.0	11587.0	884.0	8786.0	1575.0	342.0	1.0
операторы, аппаратчики, машинисты установок и машин	63970.0	50799.0	13169.0	578.0	10459.0	1579.0	553.0	2.0
неквалифицированные рабочие	43418.0	38736.0	4682.0	232.0	3666.0	546.0	238.0	-
занятые на военной службе	3937.0	3937.0						-
лица, неточно указавшие или не указавшие  занятия 	5324.0	4353.0	971.0	49.0	660.0	186.0	76.0	-
Республика Ингушетия								
Все население, занятое в экономике 	39965.0	34275.0	5578.0	531.0	2913.0	741.0	1393.0	112.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3810.0	3180.0	620.0	211.0	218.0	56.0	135.0	10.0
специалисты высшего уровня квалификации	11373.0	10052.0	1288.0	60.0	645.0	173.0	410.0	33.0
специалисты среднего уровня квалификации	5229.0	4651.0	563.0	14.0	270.0	95.0	184.0	15.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	967.0	883.0	84.0	2.0	52.0	14.0	16.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	6913.0	5762.0	1134.0	84.0	681.0	142.0	227.0	17.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	396.0	258.0	138.0	32.0	69.0	17.0	20.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	3436.0	2874.0	555.0	76.0	293.0	67.0	119.0	7.0
операторы, аппаратчики, машинисты установок и машин	4812.0	3984.0	817.0	26.0	486.0	115.0	190.0	11.0
неквалифицированные рабочие	1868.0	1630.0	233.0	13.0	129.0	30.0	61.0	5.0
занятые на военной службе	298.0	298.0						-
лица, неточно указавшие или не указавшие  занятия 	863.0	703.0	146.0	13.0	70.0	32.0	31.0	14.0
Кабардино–Балкарская Республика								
Все население, занятое в экономике 	282515.0	250950.0	31564.0	4642.0	25593.0	977.0	352.0	1.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	31662.0	26081.0	5581.0	2824.0	2498.0	171.0	88.0	-
специалисты высшего уровня квалификации	49415.0	48577.0	838.0	89.0	652.0	70.0	27.0	-
специалисты среднего уровня квалификации	39347.0	38530.0	817.0	89.0	689.0	39.0	-	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6593.0	6510.0	83.0	16.0	58.0	9.0	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	45776.0	34788.0	10988.0	698.0	9866.0	311.0	113.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6315.0	4011.0	2304.0	496.0	1735.0	59.0	14.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	38632.0	32106.0	6525.0	186.0	6182.0	115.0	42.0	1.0
операторы, аппаратчики, машинисты установок и машин	37181.0	33857.0	3324.0	139.0	3007.0	122.0	56.0	-
неквалифицированные рабочие	24703.0	23711.0	992.0	97.0	802.0	81.0	12.0	-
занятые на военной службе	2127.0	2127.0						-
лица, неточно указавшие или не указавшие  занятия 	764.0	652.0	112.0	8.0	104.0	-	-	-
Республика Калмыкия								
Все население, занятое в экономике 	97282.0	90998.0	6282.0	1939.0	4105.0	131.0	107.0	2.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	11747.0	8668.0	3079.0	1396.0	1619.0	32.0	32.0	-
специалисты высшего уровня квалификации	16345.0	16161.0	183.0	35.0	130.0	13.0	5.0	1.0
специалисты среднего уровня квалификации	13975.0	13862.0	113.0	28.0	66.0	13.0	6.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	3201.0	3166.0	35.0	12.0	20.0	2.0	1.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	12641.0	11873.0	768.0	90.0	648.0	14.0	16.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6611.0	5518.0	1093.0	229.0	810.0	34.0	20.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	8299.0	8061.0	238.0	38.0	189.0	2.0	9.0	-
операторы, аппаратчики, машинисты установок и машин	13346.0	12796.0	550.0	74.0	451.0	13.0	12.0	-
неквалифицированные рабочие	10707.0	10493.0	213.0	33.0	168.0	8.0	4.0	1.0
занятые на военной службе	277.0	277.0						-
лица, неточно указавшие или не указавшие  занятия 	133.0	123.0	10.0	4.0	4.0	-	2.0	-
Карачаево-Черкесская Республика								
Все население, занятое в экономике 	108924.0	101559.0	7365.0	1873.0	4485.0	397.0	610.0	-
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	13548.0	10756.0	2792.0	1399.0	1180.0	70.0	143.0	-
специалисты высшего уровня квалификации	20210.0	19960.0	250.0	37.0	113.0	31.0	69.0	-
специалисты среднего уровня квалификации	14471.0	14261.0	210.0	40.0	108.0	23.0	39.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	2705.0	2682.0	23.0	3.0	13.0	2.0	5.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	14518.0	12583.0	1935.0	163.0	1538.0	91.0	143.0	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3723.0	3288.0	435.0	72.0	293.0	37.0	33.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	13559.0	12758.0	801.0	71.0	588.0	69.0	73.0	-
операторы, аппаратчики, машинисты установок и машин	15709.0	14994.0	715.0	61.0	525.0	54.0	75.0	-
неквалифицированные рабочие	9133.0	8957.0	176.0	22.0	112.0	14.0	28.0	-
занятые на военной службе	823.0	823.0						-
лица, неточно указавшие или не указавшие  занятия 	525.0	497.0	28.0	5.0	15.0	6.0	2.0	-
Республика Северная Осетия – Алания								
Все население, занятое в экономике 	191905.0	178679.0	13216.0	3019.0	8856.0	449.0	892.0	10.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	21723.0	17840.0	3883.0	2121.0	1505.0	63.0	194.0	-
специалисты высшего уровня квалификации	35274.0	34688.0	585.0	77.0	397.0	37.0	74.0	1.0
специалисты среднего уровня квалификации	25178.0	24807.0	371.0	59.0	251.0	27.0	34.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4810.0	4760.0	50.0	8.0	27.0	6.0	9.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	31932.0	28066.0	3864.0	332.0	3124.0	144.0	264.0	2.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	2151.0	1740.0	410.0	106.0	264.0	13.0	27.0	1.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	23248.0	21833.0	1414.0	153.0	1107.0	51.0	103.0	1.0
операторы, аппаратчики, машинисты установок и машин	24365.0	22129.0	2235.0	110.0	1893.0	86.0	146.0	1.0
неквалифицированные рабочие	16234.0	15901.0	330.0	39.0	243.0	17.0	31.0	3.0
занятые на военной службе	5635.0	5635.0						-
лица, неточно указавшие или не указавшие  занятия 	1355.0	1280.0	74.0	14.0	45.0	5.0	10.0	1.0
Краснодарский край								
Все население, занятое в экономике 	1952115.0	1800742.0	151370.0	36412.0	102179.0	7825.0	4954.0	3.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	213543.0	158756.0	54787.0	25605.0	26609.0	1328.0	1245.0	-
специалисты высшего уровня квалификации	254888.0	247329.0	7559.0	1187.0	5096.0	907.0	369.0	-
специалисты среднего уровня квалификации	248819.0	242666.0	6153.0	877.0	4257.0	686.0	333.0	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	49767.0	48838.0	929.0	131.0	616.0	145.0	37.0	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	301189.0	263654.0	37533.0	4069.0	30893.0	1328.0	1243.0	2.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	59333.0	48660.0	10673.0	1663.0	8290.0	445.0	275.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	272559.0	259636.0	12923.0	1195.0	10216.0	950.0	562.0	-
