6. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ В МЕСТЕ ПОСТОЯННОГО ЖИТЕЛЬСТВА 					
6.1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ В МЕСТЕ ПОСТОЯННОГО ЖИТЕЛЬСТВА					
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
	Население частных домохозяйств, проживающее в месте постоянного жительства непрерывно				
	с рождения	не с рождения	в том числе с:		
			1992-2002 года	1989-1991 года	1988 года и ранее
Сельское население	86065.0	121769.0	49913.0	9516.0	61922.0
Ленинградская область	617312.0	969883.0	265545.0	67171.0	627384.0
Городское население	420082.0	625511.0	160358.0	42424.0	416650.0
Сельское население	197230.0	344372.0	105187.0	24747.0	210734.0
Мурманская область	369761.0	473909.0	109153.0	30019.0	331322.0
Городское население	352910.0	431512.0	90545.0	26335.0	311385.0
Сельское население	16851.0	42397.0	18608.0	3684.0	19937.0
Новгородская область	350411.0	326339.0	97377.0	23323.0	203133.0
Городское население	238751.0	233162.0	63809.0	13976.0	153856.0
Сельское население	111660.0	93177.0	33568.0	9347.0	49277.0
Псковская область	402419.0	337385.0	109762.0	24966.0	200112.0
Городское население	259700.0	229766.0	68478.0	14256.0	145257.0
Сельское население	142719.0	107619.0	41284.0	10710.0	54855.0
г. Санкт-Петербург - городское население	2402314.0	1770408.0	328519.0	74176.0	1335237.0
Южный федеральный округ	12328110.0	9097909.0	2984668.0	737662.0	5264347.0
Городское население	6754012.0	5766221.0	1752048.0	388203.0	3547141.0
Сельское население	5574098.0	3331688.0	1232620.0	349459.0	1717206.0
Республика Адыгея	212835.0	225735.0	71183.0	18380.0	135456.0
Городское население	92542.0	136585.0	40161.0	9518.0	86468.0
Сельское население	120293.0	89150.0	31022.0	8862.0	48988.0
Республика Дагестан	2030424.0	523637.0	222652.0	45827.0	254614.0
Городское население	775925.0	312829.0	140956.0	22824.0	148812.0
Сельское население	1254499.0	210808.0	81696.0	23003.0	105802.0
Республика Ингушетия	243482.0	204884.0	128958.0	8930.0	51444.0
Городское население	105227.0	91406.0	59481.0	3522.0	22838.0
Сельское население	138255.0	113478.0	69477.0	5408.0	28606.0
Кабардино-Балкарская Республика	628794.0	262728.0	73348.0	17266.0	171864.0
Городское население	315523.0	188341.0	51297.0	11820.0	125042.0
Сельское население	313271.0	74387.0	22051.0	5446.0	46822.0
Республика Калмыкия	139197.0	150128.0	54062.0	9562.0	84685.0
Городское население	58675.0	69661.0	25743.0	3758.0	39482.0
Сельское население	80522.0	80467.0	28319.0	5804.0	45203.0
Карачаево-Черкесская Республика	271617.0	165449.0	44810.0	10022.0	110523.0
Городское население	99701.0	92672.0	27417.0	5706.0	59475.0
