Кабардино-Балкарская Республика									
	Численность лиц, владеющих соответствую-щим языком	в том числе							
		кабардинцы	балкарцы	русские	осетины	украинцы	немцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:									
абазинским	534.0	83.0	7.0	4.0	2.0	-	-	438.0	-
абхазским	111.0	7.0	-	1.0	1.0	-	-	102.0	-
аварским	311.0	19.0	3.0	2.0	1.0	-	1.0	285.0	-
адыгейским	523.0	85.0	1.0	5.0	-	1.0	-	431.0	-
азербайджанским	3259.0	60.0	63.0	168.0	7.0	2.0	1.0	2958.0	-
английским	24773.0	12146.0	3150.0	7164.0	322.0	211.0	49.0	1731.0	-
арабским	922.0	497.0	146.0	35.0	5.0	2.0	-	237.0	-
армянским	4313.0	35.0	14.0	91.0	16.0	-	2.0	4155.0	-
башкирским	165.0	1.0	7.0	3.0	1.0	-	-	153.0	-
белорусским	590.0	9.0	-	74.0	1.0	24.0	-	482.0	-
болгарским	187.0	2.0	10.0	18.0	-	2.0	-	155.0	-
греческим	184.0	20.0	4.0	35.0	-	-	-	125.0	-
грузинским	1870.0	59.0	17.0	205.0	88.0	10.0	1.0	1490.0	-
даргинским	371.0	9.0	3.0	2.0	1.0	-	-	356.0	-
иврит, идиш	771.0	61.0	5.0	31.0	6.0	1.0	1.0	666.0	-
ингушским	1238.0	20.0	8.0	20.0	2.0	-	-	1188.0	-
испанским	437.0	155.0	48.0	181.0	5.0	21.0	1.0	26.0	-
итальянским	273.0	112.0	24.0	101.0	7.0	4.0	2.0	23.0	-
кабардино-черкесским	506028.0	493240.0	3904.0	3099.0	1092.0	107.0	41.0	4542.0	3.0
казахским	1029.0	57.0	575.0	58.0	1.0	6.0	4.0	328.0	-
карачаево-балкарским	111201.0	3426.0	103704.0	619.0	143.0	27.0	11.0	3270.0	1.0
киргизским	421.0	3.0	356.0	15.0	-	2.0	-	45.0	-
корейским	2718.0	3.0	4.0	17.0	-	1.0	-	2693.0	-
кумыкским	677.0	26.0	20.0	15.0	-	-	-	616.0	-
курдским	244.0	10.0	-	-	-	-	-	234.0	-
лакским	1504.0	25.0	7.0	4.0	1.0	-	-	1467.0	-
лезгинским	713.0	2.0	1.0	5.0	-	1.0	-	704.0	-
молдавским	216.0	3.0	1.0	25.0	1.0	18.0	-	168.0	-
мордовским, мокша-мордовским, эрзя-мордовским	252.0	-	4.0	15.0	-	-	-	233.0	-
немецким	11397.0	4955.0	1470.0	3149.0	162.0	155.0	928.0	578.0	-
ногайским	350.0	33.0	9.0	2.0	-	-	-	306.0	-
осетинским	9762.0	709.0	110.0	218.0	8565.0	11.0	1.0	148.0	-
персидским	173.0	5.0	1.0	4.0	1.0	-	-	162.0	-
польским	277.0	20.0	11.0	83.0	2.0	50.0	-	111.0	-
таджикским	196.0	6.0	8.0	17.0	17.0	-	-	148.0	-
татарским	2730.0	71.0	196.0	73.0	1.0	3.0	1.0	2385.0	-
татским	223.0	-	-	9.0	-	-	-	214.0	-
турецким	12162.0	262.0	249.0	131.0	10.0	3.0	-	11507.0	-
туркменским	150.0	2.0	4.0	37.0	3.0	1.0	-	103.0	-
узбекским	1857.0	38.0	202.0	56.0	19.0	2.0	-	1540.0	-
украинским	5262.0	92.0	21.0	1062.0	9.0	3953.0	6.0	119.0	-
французским	1772.0	912.0	153.0	499.0	32.0	21.0	4.0	151.0	-
цыганским	2366.0	6.0	2.0	32.0	3.0	4.0	1.0	2318.0	-
чеченским	4410.0	132.0	32.0	63.0	2.0	-	-	4181.0	-
чувашским	130.0	2.0	3.0	4.0	-	-	-	121.0	-
другими языками (не перечисленными выше)	1695.0	284.0	71.0	232.0	10.0	17.0	2.0	1079.0	-
