3.8. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Число частных домохозяйств, имеющих детей моложе 18 лет	Численность детей моложе 18 лет в частных домохозяйствах	Из общего числа частных домохозяйств, имеющих детей моложе 18 лет - домохозяйства			Средний размер домохозяйства, имеющего детей моложе 18 лет, человек
			с 1 ребенком	с 2 детьми	с 3 и более детьми	
						
Республика Алтай	35284.0	58266.0	18744.0	11840.0	4700.0	3.88892982655
Республика Бурятия	165307.0	260452.0	93558.0	54338.0	17411.0	3.91817648375
Республика Тыва	54470.0	109074.0	21933.0	18404.0	14133.0	4.46917569304
Республика Хакасия	87733.0	129004.0	55480.0	25725.0	6528.0	3.69272679607
Алтайский край	392037.0	548519.0	264712.0	107548.0	19777.0	3.68083369682
Красноярский край	469014.0	670073.0	308261.0	131800.0	28953.0	3.64667366006
Таймырский (Долгано-Ненецкий) автономный округ	7271.0	11392.0	4451.0	2036.0	784.0	3.65905652592
Эвенкийский автономный округ	3178.0	5238.0	1776.0	971.0	431.0	3.75865324103
Иркутская область	420009.0	624341.0	261447.0	125879.0	32683.0	3.73094147983
Усть-Ордынский Бурятский автономный округ	23560.0	45361.0	9747.0	8476.0	5337.0	4.28353140917
Кемеровская область	436301.0	610564.0	292782.0	120807.0	22712.0	3.63127519763
Новосибирская область	388791.0	540084.0	264868.0	103861.0	20062.0	3.7001422358
Омская область	318555.0	461481.0	204843.0	92666.0	21046.0	3.78306100987
Томская область	157644.0	225392.0	103751.0	44189.0	9704.0	3.71414072213
Читинская область	191249.0	299502.0	111240.0	59912.0	20097.0	3.82633111807
Агинский Бурятский автономный округ	12926.0	24800.0	5326.0	4587.0	3013.0	4.3410954665
Дальневосточный федеральный округ	1052664.0	1514718.0	694082.0	284575.0	74007.0	3.6498407849
Республика Саха (Якутия)	166537.0	284626.0	87056.0	53146.0	26335.0	4.011685091
Приморский край	310774.0	428332.0	214652.0	80469.0	15653.0	3.5875105382
Хабаровский край	217485.0	300388.0	150107.0	55876.0	11502.0	3.60058854634
Амурская область	144473.0	208442.0	93825.0	40922.0	9726.0	3.63568279194
Камчатская область	56952.0	77316.0	39886.0	14557.0	2509.0	3.49706770614
Корякский автономный округ	4258.0	6747.0	2482.0	1286.0	490.0	3.69210897135
Магаданская область	29650.0	39502.0	21413.0	6981.0	1256.0	3.36688026981
Сахалинская область	87064.0	116608.0	62106.0	21415.0	3543.0	3.53567490582
Еврейская автономная область	30558.0	45510.0	19231.0	8809.0	2518.0	3.65213691996
Чукотский автономный округ	9171.0	13994.0	5806.0	2400.0	965.0	3.52197143169
