8. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
	Численность населения соответству-ющей националь-ности	Всего указали источников средств к существова-нию
	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали
			
			доход от трудовой деятель-ности (кроме работы в личном подсобном хозяйстве)
	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государст-венного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию					
																один источник средств к существова-нию	два источника
	три источника
	четыре источника и более
Городское и сельское население																			
60 – 64	569.0	779.0	82.0	117.0	-	548.0	22.0	-	-	3.0	1.0	1.0	3.0	2.0	-	377.0	176.0	15.0	1.0
65 и более	2134.0	2591.0	48.0	367.0	-	2060.0	88.0	1.0	-	12.0	1.0	4.0	9.0	1.0	-	1690.0	432.0	11.0	1.0
возраст не указан	1.0	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-
Долганы	7077.0	10114.0	2691.0	53.0	186.0	955.0	239.0	2380.0	223.0	325.0	5.0	2.0	3032.0	23.0	1.0	4321.0	2482.0	263.0	10.0
в том числе в возрасте, лет:																			
до 15	2349.0	4355.0	-	-	-	159.0	28.0	1891.0	-	208.0	-	1.0	2067.0	1.0	1.0	565.0	1565.0	212.0	6.0
15 – 19	816.0	1310.0	82.0	1.0	122.0	69.0	19.0	314.0	40.0	65.0	-	1.0	596.0	1.0	-	368.0	405.0	40.0	3.0
20 – 29	1135.0	1311.0	761.0	15.0	63.0	5.0	45.0	92.0	75.0	19.0	3.0	-	229.0	4.0	-	968.0	159.0	7.0	1.0
30 – 49	1955.0	2116.0	1593.0	34.0	1.0	37.0	105.0	68.0	105.0	27.0	2.0	-	129.0	15.0	-	1796.0	157.0	2.0	-
50 – 54	231.0	308.0	144.0	1.0	-	133.0	14.0	5.0	3.0	2.0	-	-	5.0	1.0	-	155.0	75.0	1.0	-
55 – 59	182.0	238.0	64.0	1.0	-	163.0	6.0	2.0	-	-	-	-	1.0	1.0	-	126.0	56.0	-	-
60 – 64	182.0	224.0	36.0	-	-	170.0	12.0	3.0	-	1.0	-	-	2.0	-	-	141.0	40.0	1.0	-
65 и более	227.0	252.0	11.0	1.0	-	219.0	10.0	5.0	-	3.0	-	-	3.0	-	-	202.0	25.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ижорцы	177.0	225.0	43.0	32.0	-	132.0	7.0	1.0	-	1.0	-	1.0	7.0	1.0	1.0	132.0	39.0	5.0	-
в том числе в возрасте, лет:																			
