4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
      пгт Богородское	9352.0	4532.0	4820.0	48.5	51.5
      пгт Муханово	657.0	279.0	378.0	42.5	57.5
      пгт Семхоз 	2862.0	1264.0	1598.0	44.2	55.8
      пгт Скоропусковский	5479.0	2492.0	2987.0	45.5	54.5
    Сельское население	49087.0	22757.0	26330.0	46.4	53.6
      п. Реммаш	7623.0	3537.0	4086.0	46.4	53.6
      п. Центральной Усадьбы совхоза	4439.0	2080.0	2359.0	46.9	53.1
      прочие сельские населенные пункты	37025.0	17140.0	19885.0	46.3	53.7
  Серебряно-Прудский район 	24689.0	11399.0	13290.0	46.2	53.8
    Городское население - пгт Серебряные Пруды (рц)	8969.0	4127.0	4842.0	46.0	54.0
    Сельское население	15720.0	7272.0	8448.0	46.3	53.7
      с. Узуново	3399.0	1605.0	1794.0	47.2	52.8
      прочие сельские населенные пункты	12321.0	5667.0	6654.0	46.0	54.0
  Серпуховский район 	34565.0	16249.0	18316.0	47.0	53.0
    Городское население	9561.0	4722.0	4839.0	49.4	50.6
      пгт Оболенск	5458.0	2889.0	2569.0	52.9	47.1
      пгт Пролетарский	4103.0	1833.0	2270.0	44.7	55.3
    Сельское население	25004.0	11527.0	13477.0	46.1	53.9
      п. Большевик	5272.0	2341.0	2931.0	44.4	55.6
      прочие сельские населенные пункты	19732.0	9186.0	10546.0	46.6	53.4
  Солнечногорский район 	124369.0	58227.0	66142.0	46.8	53.2
    Городское население	76762.0	36091.0	40671.0	47.0	53.0
      г. Солнечногорск (рц)	58374.0	27607.0	30767.0	47.3	52.7
      пгт Алабушево 	2756.0	1310.0	1446.0	47.5	52.5
      пгт Менделеево	8030.0	3787.0	4243.0	47.2	52.8
      пгт Поварово 	7602.0	3387.0	4215.0	44.6	55.4
    Сельское население	47607.0	22136.0	25471.0	46.5	53.5
      п. Андреевка	8465.0	3814.0	4651.0	45.1	54.9
      п. Лунёво	4092.0	2227.0	1865.0	54.4	45.6
      п. Ржавки	4118.0	1869.0	2249.0	45.4	54.6
      прочие сельские населенные пункты	30932.0	14226.0	16706.0	46.0	54.0
  Ступинский район 	116007.0	53710.0	62297.0	46.3	53.7
    Городское население	80786.0	37231.0	43555.0	46.1	53.9
      г. Ступино (рц)	63124.0	29027.0	34097.0	46.0	54.0
      пгт Жилёво	2468.0	1114.0	1354.0	45.1	54.9
      пгт Малино	4363.0	2083.0	2280.0	47.7	52.3
      пгт Михнево	10831.0	5007.0	5824.0	46.2	53.8
    Сельское население	35221.0	16479.0	18742.0	46.8	53.2
      с. Мещерино	4242.0	2267.0	1975.0	53.4	46.6
      прочие сельские населенные пункты	30979.0	14212.0	16767.0	45.9	54.1
  Талдомский район 	46302.0	20695.0	25607.0	44.7	55.3
    Городское население	37009.0	16438.0	20571.0	44.4	55.6
      г. Талдом (рц)	13334.0	5915.0	7419.0	44.4	55.6
      пгт Вербилки	6764.0	2943.0	3821.0	43.5	56.5
      пгт Запрудня	12621.0	5662.0	6959.0	44.9	55.1
      пгт Северный	3828.0	1728.0	2100.0	45.1	54.9
      пгт Темпы	462.0	190.0	272.0	41.1	58.9
    Сельское население	9293.0	4257.0	5036.0	45.8	54.2
  Химкинский район 	177445.0	81110.0	96335.0	45.7	54.3
    Городское население	173695.0	78761.0	94934.0	45.3	54.7
      г. Химки (рц)	141000.0	64271.0	76729.0	45.6	54.4
      г. Сходня	19119.0	8398.0	10721.0	43.9	56.1
      пгт Новоподрезково	10356.0	4715.0	5641.0	45.5	54.5
      пгт Старбеево 	373.0	174.0	199.0	46.6	53.4
      пгт Фирсановка 	2847.0	1203.0	1644.0	42.3	57.7
    Сельское население	3750.0	2349.0	1401.0	62.6	37.4
  Чеховский район 	109668.0	52792.0	56876.0	48.1	51.9
    Городское население	79090.0	38186.0	40904.0	48.3	51.7
      г. Чехов (рц)	72917.0	35276.0	37641.0	48.4	51.6
      пгт Столбовая	5185.0	2442.0	2743.0	47.1	52.9
      пгт Талалихино	988.0	468.0	520.0	47.4	52.6
    Сельское население	30578.0	14606.0	15972.0	47.8	52.2
      п. Любучаны	3566.0	1614.0	1952.0	45.3	54.7
      с. Троицкое	4586.0	2524.0	2062.0	55.0	45.0
      прочие сельские населенные пункты	22426.0	10468.0	11958.0	46.7	53.3
  Шатурский район 	70967.0	32508.0	38459.0	45.8	54.2
    Городское население	49705.0	22711.0	26994.0	45.7	54.3
      г. Шатура (рц)	30393.0	13815.0	16578.0	45.5	54.5
      пгт Бакшеево	2315.0	1057.0	1258.0	45.7	54.3
      пгт Керва	2807.0	1322.0	1485.0	47.1	52.9
      пгт Мишеронский	3821.0	1756.0	2065.0	46.0	54.0
      пгт Радовицкий	1903.0	847.0	1056.0	44.5	55.5
      пгт Туголесский Бор	2235.0	1039.0	1196.0	46.5	53.5
      пгт Черусти	2891.0	1327.0	1564.0	45.9	54.1
      пгт Шатурторф	3340.0	1548.0	1792.0	46.3	53.7
    Сельское население	21262.0	9797.0	11465.0	46.1	53.9
      п. Центральной Усадьбы совхоза "Мир"  	3031.0	1440.0	1591.0	47.5	52.5
      прочие сельские населенные пункты	18231.0	8357.0	9874.0	45.8	54.2
  Шаховской район 	23061.0	10604.0	12457.0	46.0	54.0
    Городское население - пгт Шаховская (рц)	10439.0	4840.0	5599.0	46.4	53.6
    Сельское население	12622.0	5764.0	6858.0	45.7	54.3
  Щёлковский район 	211560.0	98699.0	112861.0	46.7	53.3
    Городское население	179645.0	83912.0	95733.0	46.7	53.3
      г. Щёлково (рц)	112865.0	52826.0	60039.0	46.8	53.2
      г. Лосино-Петровский	22324.0	9585.0	12739.0	42.9	57.1
      пгт Загорянский 	7576.0	4415.0	3161.0	58.3	41.7
      пгт Монино	20017.0	9687.0	10330.0	48.4	51.6
      пгт Свердловский	5683.0	2440.0	3243.0	42.9	57.1
      пгт Фряново	11180.0	4959.0	6221.0	44.4	55.6
    Сельское население	31915.0	14787.0	17128.0	46.3	53.7
      п. Биокомбината	4677.0	2057.0	2620.0	44.0	56.0
      прочие сельские населенные пункты	27238.0	12730.0	14508.0	46.7	53.3
Орловская область	860262.0	392364.0	467898.0	45.6	54.4
    Городское население	546478.0	247412.0	299066.0	45.3	54.7
    Сельское население	313784.0	144952.0	168832.0	46.2	53.8
  г. Орел	333310.0	149009.0	184301.0	44.7	55.3
          городские районы 					
        Железнодорожный 	70085.0	31625.0	38460.0	45.1	54.9
        Заводской 	107586.0	47250.0	60336.0	43.9	56.1
        Северный 	67819.0	30412.0	37407.0	44.8	55.2
        Советский 	87820.0	39722.0	48098.0	45.2	54.8
  г. Ливны	52841.0	25040.0	27801.0	47.4	52.6
  г. Мценск	47807.0	21760.0	26047.0	45.5	54.5
  Болховский район 	20417.0	9253.0	11164.0	45.3	54.7
    Городское население - г. Болхов (рц)	12148.0	5443.0	6705.0	44.8	55.2
    Сельское население	8269.0	3810.0	4459.0	46.1	53.9
  Верховский район 	21384.0	9853.0	11531.0	46.1	53.9
    Городское население - пгт Верховье (рц)	8071.0	3700.0	4371.0	45.8	54.2
    Сельское население	13313.0	6153.0	7160.0	46.2	53.8
  Глазуновский район 	14976.0	6909.0	8067.0	46.1	53.9
    Городское население - пгт Глазуновка (рц)	6756.0	3088.0	3668.0	45.7	54.3
    Сельское население	8220.0	3821.0	4399.0	46.5	53.5
  Дмитровский район 	15841.0	7045.0	8796.0	44.5	55.5
    Городское население - г. Дмитровск-Орловский (рц)	6492.0	2882.0	3610.0	44.4	55.6
    Сельское население	9349.0	4163.0	5186.0	44.5	55.5
  Должанский район 	14187.0	6636.0	7551.0	46.8	53.2
    Городское население - пгт Долгое (рц)	5020.0	2298.0	2722.0	45.8	54.2
    Сельское население	9167.0	4338.0	4829.0	47.3	52.7
  Залегощенский район 	17802.0	8161.0	9641.0	45.8	54.2
    Городское население - пгт Залегощь (рц)	6005.0	2689.0	3316.0	44.8	55.2
    Сельское население	11797.0	5472.0	6325.0	46.4	53.6
  Знаменский район - сельское население	6458.0	3058.0	3400.0	47.4	52.6
      с. Знаменское (рц)	1976.0	943.0	1033.0	47.7	52.3
      прочие сельские населенные пункты	4482.0	2115.0	2367.0	47.2	52.8
  Колпнянский район 	18970.0	8911.0	10059.0	47.0	53.0
    Городское население - пгт Колпны (рц)	7177.0	3335.0	3842.0	46.5	53.5
    Сельское население	11793.0	5576.0	6217.0	47.3	52.7
  Корсаковский район - сельское население	5586.0	2589.0	2997.0	46.3	53.7
      с. Корсаково (рц)	1485.0	618.0	867.0	41.6	58.4
      прочие сельские населенные пункты	4101.0	1971.0	2130.0	48.1	51.9
  Краснозоренский район - сельское население	8610.0	3959.0	4651.0	46.0	54.0
      п. Красная Заря (рц)	1826.0	833.0	993.0	45.6	54.4
      прочие сельские населенные пункты	6784.0	3126.0	3658.0	46.1	53.9
  Кромский район 	24400.0	10383.0	14017.0	42.6	57.4
    Городское население - пгт Кромы (рц)	7194.0	3276.0	3918.0	45.5	54.5
    Сельское население	17206.0	7107.0	10099.0	41.3	58.7
  Ливенский район - сельское население	34200.0	15862.0	18338.0	46.4	53.6
  Малоархангельский район 	13798.0	6414.0	7384.0	46.5	53.5
    Городское население - г. Малоархангельск (рц)	3962.0	1807.0	2155.0	45.6	54.4
    Сельское население	9836.0	4607.0	5229.0	46.8	53.2
  Мценский район - сельское население	20757.0	9567.0	11190.0	46.1	53.9
      с. Отрадинское	3063.0	1380.0	1683.0	45.1	54.9
      прочие сельские населенные пункты	17694.0	8187.0	9507.0	46.3	53.7
  Новодеревеньковский район 	13486.0	6264.0	7222.0	46.4	53.6
    Городское население - пгт Хомутово (рц)	4710.0	2121.0	2589.0	45.0	55.0
    Сельское население	8776.0	4143.0	4633.0	47.2	52.8
  Новосильский район 	10591.0	4853.0	5738.0	45.8	54.2
    Городское население - г. Новосиль (рц)	4017.0	1822.0	2195.0	45.4	54.6
    Сельское население	6574.0	3031.0	3543.0	46.1	53.9
  Орловский район 	66167.0	30919.0	35248.0	46.7	53.3
    Городское население - пгт Знаменка (рц)	12099.0	5551.0	6548.0	45.9	54.1
    Сельское население	54068.0	25368.0	28700.0	46.9	53.1
  Покровский район 	18027.0	8467.0	9560.0	47.0	53.0
    Городское население - пгт Покровское (рц)	4628.0	2151.0	2477.0	46.5	53.5
    Сельское население	13399.0	6316.0	7083.0	47.1	52.9
  Свердловский район 	18070.0	8353.0	9717.0	46.2	53.8
    Городское население - пгт Змиевка (рц)	6373.0	2897.0	3476.0	45.5	54.5
    Сельское население	11697.0	5456.0	6241.0	46.6	53.4
  Сосковский район - сельское население	8214.0	3865.0	4349.0	47.1	52.9
      с. Сосково (рц)	2122.0	984.0	1138.0	46.4	53.6
      прочие сельские населенные пункты	6092.0	2881.0	3211.0	47.3	52.7
  Троснянский район - сельское население	12453.0	5647.0	6806.0	45.3	54.7
      с. Тросна (рц)	2662.0	1198.0	1464.0	45.0	55.0
      прочие сельские населенные пункты	9791.0	4449.0	5342.0	45.4	54.6
  Урицкий район 	20224.0	9735.0	10489.0	48.1	51.9
    Городское население - пгт Нарышкино (рц)	9730.0	4895.0	4835.0	50.3	49.7
    Сельское население	10494.0	4840.0	5654.0	46.1	53.9
  Хотынецкий район 	12098.0	5506.0	6592.0	45.5	54.5
    Городское население - пгт Хотынец (рц)	4238.0	1896.0	2342.0	44.7	55.3
    Сельское население	7860.0	3610.0	4250.0	45.9	54.1
  Шаблыкинский район 	9588.0	4346.0	5242.0	45.3	54.7
    Городское население - пгт Шаблыкино (рц)	3900.0	1752.0	2148.0	44.9	55.1
    Сельское население	5688.0	2594.0	3094.0	45.6	54.4
Рязанская область	1227910.0	560925.0	666985.0	45.7	54.3
    Городское население	846180.0	386749.0	459431.0	45.7	54.3
    Сельское население	381730.0	174176.0	207554.0	45.6	54.4
  г. Рязань с подчиненными его администрации населенными пунктами - городское население	524104.0	239253.0	284851.0	45.6	54.4
      г. Рязань	521560.0	238129.0	283431.0	45.7	54.3
          городские районы 					
        Железнодорожный 	140336.0	64221.0	76115.0	45.8	54.2
        Московский 	174369.0	80102.0	94267.0	45.9	54.1
        Октябрьский 	134824.0	60850.0	73974.0	45.1	54.9
        Советский 	72031.0	32956.0	39075.0	45.8	54.2
      пгт Солотча 	2544.0	1124.0	1420.0	44.2	55.8
  г. Касимов	35816.0	16024.0	19792.0	44.7	55.3
  г. Сасово	30736.0	13889.0	16847.0	45.2	54.8
  г. Скопин с подчиненными его администрации населенными пунктами - городское население	33175.0	15432.0	17743.0	46.5	53.5
      г. Скопин	25092.0	11205.0	13887.0	44.7	55.3
      пгт Заречный	3147.0	1437.0	1710.0	45.7	54.3
      пгт Октябрьский	4936.0	2790.0	2146.0	56.5	43.5
  Ермишинский район 	10926.0	5031.0	5895.0	46.0	54.0
    Городское население - пгт Ермишь (рц)	4715.0	2206.0	2509.0	46.8	53.2
    Сельское население	6211.0	2825.0	3386.0	45.5	54.5
  Захаровский район - сельское население	10607.0	4860.0	5747.0	45.8	54.2
      с. Захарово (рц)	2956.0	1323.0	1633.0	44.8	55.2
      прочие сельские населенные пункты	7651.0	3537.0	4114.0	46.2	53.8
  Кадомский район 	10708.0	4821.0	5887.0	45.0	55.0
    Городское население - пгт Кадом (рц)	6181.0	2784.0	3397.0	45.0	55.0
    Сельское население	4527.0	2037.0	2490.0	45.0	55.0
  Касимовский район 	35365.0	15963.0	19402.0	45.1	54.9
    Городское население	10113.0	4524.0	5589.0	44.7	55.3
      пгт Гусь-Железный	2442.0	1113.0	1329.0	45.6	54.4
      пгт Елатьма	4002.0	1745.0	2257.0	43.6	56.4
      пгт Лашма	1780.0	804.0	976.0	45.2	54.8
      пгт Сынтул	1889.0	862.0	1027.0	45.6	54.4
    Сельское население	25252.0	11439.0	13813.0	45.3	54.7
  Клепиковский район 	29391.0	13243.0	16148.0	45.1	54.9
    Городское население	12749.0	5789.0	6960.0	45.4	54.6
      г. Спас-Клепики (рц)	6153.0	2782.0	3371.0	45.2	54.8
      пгт Тума	6596.0	3007.0	3589.0	45.6	54.4
    Сельское население	16642.0	7454.0	9188.0	44.8	55.2
  Кораблинский район 	26026.0	11773.0	14253.0	45.2	54.8
    Городское население - г. Кораблино (рц)	14690.0	6555.0	8135.0	44.6	55.4
    Сельское население	11336.0	5218.0	6118.0	46.0	54.0
  Милославский район 	16564.0	7990.0	8574.0	48.2	51.8
    Городское население	6773.0	3519.0	3254.0	52.0	48.0
      пгт Милославское (рц)	4813.0	2198.0	2615.0	45.7	54.3
      пгт Центральный	1960.0	1321.0	639.0	67.4	32.6
    Сельское население	9791.0	4471.0	5320.0	45.7	54.3
  Михайловский район 	38377.0	17277.0	21100.0	45.0	55.0
    Городское население	20013.0	8978.0	11035.0	44.9	55.1
      г. Михайлов (рц)	13295.0	6017.0	7278.0	45.3	54.7
      пгт Октябрьский	6718.0	2961.0	3757.0	44.1	55.9
    Сельское население	18364.0	8299.0	10065.0	45.2	54.8
  Новодеревенский район 	13071.0	6098.0	6973.0	46.7	53.3
    Городское население - пгт Александро-Невский (рц)  	4133.0	1853.0	2280.0	44.8	55.2
    Сельское население	8938.0	4245.0	4693.0	47.5	52.5
  Пителинский район 	7250.0	3374.0	3876.0	46.5	53.5
    Городское население - пгт Пителино (рц)	2415.0	1141.0	1274.0	47.2	52.8
    Сельское население	4835.0	2233.0	2602.0	46.2	53.8
  Пронский район 	34467.0	16014.0	18453.0	46.5	53.5
    Городское население	25073.0	11664.0	13409.0	46.5	53.5
      г. Новомичуринск	20743.0	9663.0	11080.0	46.6	53.4
      пгт Пронск (рц)	4330.0	2001.0	2329.0	46.2	53.8
    Сельское население	9394.0	4350.0	5044.0	46.3	53.7
  Путятинский район - сельское население	8745.0	3922.0	4823.0	44.8	55.2
      с. Путятино (рц)	3122.0	1421.0	1701.0	45.5	54.5
      прочие сельские населенные пункты	5623.0	2501.0	3122.0	44.5	55.5
  Рыбновский район 	37140.0	17255.0	19885.0	46.5	53.5
    Городское население - г. Рыбное (рц)	19150.0	9055.0	10095.0	47.3	52.7
    Сельское население	17990.0	8200.0	9790.0	45.6	54.4
  Ряжский район 	31097.0	14104.0	16993.0	45.4	54.6
    Городское население - г. Ряжск (рц)	22850.0	10395.0	12455.0	45.5	54.5
    Сельское население	8247.0	3709.0	4538.0	45.0	55.0
  Рязанский район 	56836.0	26468.0	30368.0	46.6	53.4
    Городское население - пгт Мурмино	3596.0	1605.0	1991.0	44.6	55.4
    Сельское население	53240.0	24863.0	28377.0	46.7	53.3
      с. Поляны	6328.0	2894.0	3434.0	45.7	54.3
      прочие сельские населенные пункты	46912.0	21969.0	24943.0	46.8	53.2
  Сапожковский район 	12542.0	5637.0	6905.0	44.9	55.1
    Городское население - пгт Сапожок (рц)	4392.0	1959.0	2433.0	44.6	55.4
    Сельское население	8150.0	3678.0	4472.0	45.1	54.9
  Сараевский район 	22725.0	10328.0	12397.0	45.4	54.6
    Городское население - пгт Сараи (рц)	6604.0	3025.0	3579.0	45.8	54.2
    Сельское население	16121.0	7303.0	8818.0	45.3	54.7
  Сасовский район - сельское население	21012.0	9321.0	11691.0	44.4	55.6
  Скопинский район 	31142.0	14728.0	16414.0	47.3	52.7
    Городское население	2891.0	1233.0	1658.0	42.6	57.4
      пгт Павелец	2207.0	934.0	1273.0	42.3	57.7
      пгт Поплевинский	684.0	299.0	385.0	43.7	56.3
    Сельское население	28251.0	13495.0	14756.0	47.8	52.2
  Спасский район 	34024.0	15003.0	19021.0	44.1	55.9
    Городское население - г. Спасск-Рязанский (рц)	8858.0	3962.0	4896.0	44.7	55.3
    Сельское население	25166.0	11041.0	14125.0	43.9	56.1
      с. Ижевское	3798.0	1765.0	2033.0	46.5	53.5
      прочие сельские населенные пункты	21368.0	9276.0	12092.0	43.4	56.6
  Старожиловский район 	17954.0	8181.0	9773.0	45.6	54.4
    Городское население - пгт Старожилово (рц)	5279.0	2424.0	2855.0	45.9	54.1
    Сельское население	12675.0	5757.0	6918.0	45.4	54.6
  Ухоловский район 	11725.0	5416.0	6309.0	46.2	53.8
    Городское население - пгт Ухолово (рц)	5700.0	2611.0	3089.0	45.8	54.2
    Сельское население	6025.0	2805.0	3220.0	46.6	53.4
  Чучковский район 	11244.0	5707.0	5537.0	50.8	49.2
    Городское население - пгт Чучково (рц)	4517.0	2547.0	1970.0	56.4	43.6
    Сельское население	6727.0	3160.0	3567.0	47.0	53.0
  Шацкий район 	30944.0	13962.0	16982.0	45.1	54.9
    Городское население - г. Шацк (рц)	7563.0	3493.0	4070.0	46.2	53.8
    Сельское население	23381.0	10469.0	12912.0	44.8	55.2
  Шиловский район 	44197.0	19851.0	24346.0	44.9	55.1
    Городское население	24094.0	10829.0	13265.0	44.9	55.1
      пгт Шилово (рц)	16572.0	7467.0	9105.0	45.1	54.9
      пгт Лесной	7522.0	3362.0	4160.0	44.7	55.3
    Сельское население	20103.0	9022.0	11081.0	44.9	55.1
Смоленская область	1049574.0	477356.0	572218.0	45.5	54.5
    Городское население	743599.0	335436.0	408163.0	45.1	54.9
    Сельское население	305975.0	141920.0	164055.0	46.4	53.6
  г. Смоленск	325137.0	145212.0	179925.0	44.7	55.3
          городские районы					
        Заднепровский 	90834.0	41990.0	48844.0	46.2	53.8
        Ленинский 	106309.0	46651.0	59658.0	43.9	56.1
        Промышленный 	127994.0	56571.0	71423.0	44.2	55.8
  г. Десногорск	32070.0	15079.0	16991.0	47.0	53.0
  Велижский район 	14329.0	6478.0	7851.0	45.2	54.8
    Городское население - г. Велиж (рц)	8343.0	3732.0	4611.0	44.7	55.3
    Сельское население	5986.0	2746.0	3240.0	45.9	54.1
  Вяземский район	81305.0	36856.0	44449.0	45.3	54.7
    Городское население - г. Вязьма (рц)	57545.0	25893.0	31652.0	45.0	55.0
    Сельское население	23760.0	10963.0	12797.0	46.1	53.9
      п. Городок	3693.0	1748.0	1945.0	47.3	52.7
      прочие сельские населенные пункты	20067.0	9215.0	10852.0	45.9	54.1
  Гагаринский район 	46401.0	20944.0	25457.0	45.1	54.9
    Городское население - г. Гагарин (рц)	28789.0	12932.0	15857.0	44.9	55.1
    Сельское население	17612.0	8012.0	9600.0	45.5	54.5
  Глинковский район - сельское население	6149.0	2777.0	3372.0	45.2	54.8
      п. Глинка (рц)	2017.0	933.0	1084.0	46.3	53.7
      прочие сельские населенные пункты	4132.0	1844.0	2288.0	44.6	55.4
  Демидовский район	18167.0	8236.0	9931.0	45.3	54.7
    Городское население	10896.0	5003.0	5893.0	45.9	54.1
      г. Демидов (рц)	8786.0	4088.0	4698.0	46.5	53.5
      пгт Пржевальское 	2110.0	915.0	1195.0	43.4	56.6
    Сельское население	7271.0	3233.0	4038.0	44.5	55.5
  Дорогобужский район 	32672.0	14762.0	17910.0	45.2	54.8
    Городское население	26528.0	11918.0	14610.0	44.9	55.1
      г. Дорогобуж (рц)	12250.0	5581.0	6669.0	45.6	54.4
      пгт Верхнеднепровский	14278.0	6337.0	7941.0	44.4	55.6
    Сельское население	6144.0	2844.0	3300.0	46.3	53.7
  Духовщинский район	19182.0	8847.0	10335.0	46.1	53.9
    Городское население	11063.0	5086.0	5977.0	46.0	54.0
      г. Духовщина (рц)	4683.0	2108.0	2575.0	45.0	55.0
      пгт Озерный	6380.0	2978.0	3402.0	46.7	53.3
    Сельское население	8119.0	3761.0	4358.0	46.3	53.7
  Ельнинский район 	17457.0	7897.0	9560.0	45.2	54.8
    Городское население - г. Ельня (рц)	10798.0	4868.0	5930.0	45.1	54.9
    Сельское население	6659.0	3029.0	3630.0	45.5	54.5
  Ершичский район - сельское население	8859.0	4038.0	4821.0	45.6	54.4
      с. Ершичи (рц)	3326.0	1525.0	1801.0	45.9	54.1
      прочие сельские населенные пункты	5533.0	2513.0	3020.0	45.4	54.6
  Кардымовский район 	12521.0	5650.0	6871.0	45.1	54.9
    Городское население - пгт Кардымово (рц)	5084.0	2309.0	2775.0	45.4	54.6
    Сельское население	7437.0	3341.0	4096.0	44.9	55.1
  Краснинский район 	15537.0	7076.0	8461.0	45.5	54.5
    Городское население - пгт Красный (рц)	4714.0	2145.0	2569.0	45.5	54.5
    Сельское население	10823.0	4931.0	5892.0	45.6	54.4
      п. Гусино	3298.0	1548.0	1750.0	46.9	53.1
      прочие сельские населенные пункты	7525.0	3383.0	4142.0	45.0	55.0
  Монастырщинский район 	13876.0	6352.0	7524.0	45.8	54.2
    Городское население - пгт Монастырщина (рц)	4622.0	2049.0	2573.0	44.3	55.7
    Сельское население	9254.0	4303.0	4951.0	46.5	53.5
  Новодугинский район 	11860.0	5599.0	6261.0	47.2	52.8
    Городское население - пгт Новодугино (рц)	3999.0	1850.0	2149.0	46.3	53.7
    Сельское население	7861.0	3749.0	4112.0	47.7	52.3
  Починковский район	37537.0	17103.0	20434.0	45.6	54.4
    Городское население - г. Починок (рц)	9578.0	4247.0	5331.0	44.3	55.7
    Сельское население	27959.0	12856.0	15103.0	46.0	54.0
      п. Стодолище	3284.0	1465.0	1819.0	44.6	55.4
      д. Шаталово	4254.0	2095.0	2159.0	49.2	50.8
      прочие сельские населенные пункты	20421.0	9296.0	11125.0	45.5	54.5
  Рославльский район 	81307.0	37478.0	43829.0	46.1	53.9
    Городское население	61221.0	28162.0	33059.0	46.0	54.0
      г. Рославль (рц)	57701.0	26594.0	31107.0	46.1	53.9
      пгт Екимовичи	1575.0	703.0	872.0	44.6	55.4
      пгт Остер	1945.0	865.0	1080.0	44.5	55.5
    Сельское население	20086.0	9316.0	10770.0	46.4	53.6
  Руднянский район	28037.0	12596.0	15441.0	44.9	55.1
    Городское население	13737.0	6018.0	7719.0	43.8	56.2
      г. Рудня (рц)	9853.0	4337.0	5516.0	44.0	56.0
      пгт Голынки	3884.0	1681.0	2203.0	43.3	56.7
    Сельское население	14300.0	6578.0	7722.0	46.0	54.0
  Сафоновский район	65251.0	31307.0	33944.0	48.0	52.0
    Городское население	50153.0	22893.0	27260.0	45.6	54.4
      г. Сафоново (рц)	48209.0	22035.0	26174.0	45.7	54.3
      пгт Издешково	1944.0	858.0	1086.0	44.1	55.9
    Сельское население	15098.0	8414.0	6684.0	55.7	44.3
  Смоленский район - сельское население	47281.0	21725.0	25556.0	45.9	54.1
      п. Печерск	3750.0	1717.0	2033.0	45.8	54.2
      прочие сельские населенные пункты	43531.0	20008.0	23523.0	46.0	54.0
  Сычевский район 	15835.0	7814.0	8021.0	49.3	50.7
    Городское население - г. Сычевка (рц)	8683.0	4414.0	4269.0	50.8	49.2
    Сельское население	7152.0	3400.0	3752.0	47.5	52.5
  Темкинский район - сельское население	6916.0	3147.0	3769.0	45.5	54.5
      с. Темкино (рц)	2452.0	1113.0	1339.0	45.4	54.6
      прочие сельские населенные пункты	4464.0	2034.0	2430.0	45.6	54.4
  Угранский район 	11022.0	4882.0	6140.0	44.3	55.7
    Городское население - пгт Угра (рц)	4848.0	2181.0	2667.0	45.0	55.0
    Сельское население	6174.0	2701.0	3473.0	43.7	56.3
  Хиславичский район	12007.0	5473.0	6534.0	45.6	54.4
    Городское население - пгт Хиславичи (рц)	4617.0	2092.0	2525.0	45.3	54.7
    Сельское население	7390.0	3381.0	4009.0	45.8	54.2
  Холм-Жирковский район 	12815.0	5857.0	6958.0	45.7	54.3
    Городское население - пгт Холм-Жирковский (рц)	3826.0	1747.0	2079.0	45.7	54.3
    Сельское население	8989.0	4110.0	4879.0	45.7	54.3
  Шумячский район	14032.0	6438.0	7594.0	45.9	54.1
    Городское население - пгт Шумячи (рц)	4731.0	2162.0	2569.0	45.7	54.3
    Сельское население	9301.0	4276.0	5025.0	46.0	54.0
  Ярцевский район 	62012.0	27733.0	34279.0	44.7	55.3
    Городское население - г. Ярцево (рц)	52617.0	23444.0	29173.0	44.6	55.4
    Сельское население	9395.0	4289.0	5106.0	45.7	54.3
Тамбовская область	1178443.0	539209.0	639234.0	45.8	54.2
    Городское население	674095.0	303560.0	370535.0	45.0	55.0
    Сельское население	504348.0	235649.0	268699.0	46.7	53.3
  г. Тамбов	293658.0	131584.0	162074.0	44.8	55.2
          городские районы					
        Ленинский 	41688.0	18075.0	23613.0	43.4	56.6
        Октябрьский 	157753.0	70246.0	87507.0	44.5	55.5
        Советский 	94217.0	43263.0	50954.0	45.9	54.1
  г. Кирсанов	18506.0	8581.0	9925.0	46.4	53.6
  г. Котовск	34054.0	15165.0	18889.0	44.5	55.5
  г. Мичуринск	96093.0	42724.0	53369.0	44.5	55.5
  г. Моршанск	44486.0	20238.0	24248.0	45.5	54.5
  г. Рассказово	46516.0	20914.0	25602.0	45.0	55.0
  г. Уварово	29690.0	13255.0	16435.0	44.6	55.4
  Бондарский район - сельское население	15311.0	7118.0	8193.0	46.5	53.5
      с. Бондари (рц)	4068.0	1875.0	2193.0	46.1	53.9
      прочие сельские населенные пункты	11243.0	5243.0	6000.0	46.6	53.4
  Гавриловский район - сельское население	14182.0	6534.0	7648.0	46.1	53.9
      с. Гавриловка Вторая (рц)	2780.0	1312.0	1468.0	47.2	52.8
      прочие сельские населенные пункты	11402.0	5222.0	6180.0	45.8	54.2
  Жердевский район 	33502.0	15447.0	18055.0	46.1	53.9
