4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
      с. Гордеевка (рц)	3066.0	1475.0	1591.0	48.1	51.9
      прочие сельские населенные пункты	9335.0	4397.0	4938.0	47.1	52.9
  Дубровский район 	23145.0	10771.0	12374.0	46.5	53.5
    Городское население - пгт Дубровка (рц)	8598.0	3981.0	4617.0	46.3	53.7
    Сельское население	14547.0	6790.0	7757.0	46.7	53.3
      п. Сеща	5140.0	2396.0	2744.0	46.6	53.4
      прочие сельские населенные пункты	9407.0	4394.0	5013.0	46.7	53.3
  Дятьковский район 	45773.0	20867.0	24906.0	45.6	54.4
    Городское население	36830.0	16743.0	20087.0	45.5	54.5
      г. Фокино	15504.0	7081.0	8423.0	45.7	54.3
      пгт Бытошь	4515.0	2044.0	2471.0	45.3	54.7
      пгт Ивот	6422.0	2886.0	3536.0	44.9	55.1
      пгт Любохна	5293.0	2434.0	2859.0	46.0	54.0
      пгт Старь	5096.0	2298.0	2798.0	45.1	54.9
    Сельское население	8943.0	4124.0	4819.0	46.1	53.9
  Жирятинский район - сельское население	8207.0	3829.0	4378.0	46.7	53.3
      с. Жирятино (рц)	2371.0	1115.0	1256.0	47.0	53.0
      прочие сельские населенные пункты	5836.0	2714.0	3122.0	46.5	53.5
  Жуковский район 	39770.0	18611.0	21159.0	46.8	53.2
    Городское население	25119.0	11793.0	13326.0	46.9	53.1
      г. Жуковка (рц)	19731.0	9004.0	10727.0	45.6	54.4
      пгт Ржаница	5388.0	2789.0	2599.0	51.8	48.2
    Сельское население	14651.0	6818.0	7833.0	46.5	53.5
  Злынковский район 	14056.0	6499.0	7557.0	46.2	53.8
    Городское население	8312.0	3819.0	4493.0	45.9	54.1
      г. Злынка (рц)	5372.0	2424.0	2948.0	45.1	54.9
      пгт Вышков	2940.0	1395.0	1545.0	47.4	52.6
    Сельское население	5744.0	2680.0	3064.0	46.7	53.3
  Карачевский район 	37857.0	17187.0	20670.0	45.4	54.6
    Городское население - г. Карачев (рц)	20175.0	9069.0	11106.0	45.0	55.0
    Сельское население	17682.0	8118.0	9564.0	45.9	54.1
  Клетнянский район 	22501.0	10560.0	11941.0	46.9	53.1
    Городское население - пгт Клетня (рц)	13936.0	6536.0	7400.0	46.9	53.1
    Сельское население	8565.0	4024.0	4541.0	47.0	53.0
  Климовский район 	34556.0	15771.0	18785.0	45.6	54.4
    Городское население - пгт Климово (рц)	14776.0	6866.0	7910.0	46.5	53.5
    Сельское население	19780.0	8905.0	10875.0	45.0	55.0
  Клинцовский район - сельское население	23581.0	11002.0	12579.0	46.7	53.3
  Комаричский район 	20065.0	9250.0	10815.0	46.1	53.9
    Городское население	9211.0	4203.0	5008.0	45.6	54.4
      пгт Комаричи (рц)	7234.0	3287.0	3947.0	45.4	54.6
      пгт Лопандино	1977.0	916.0	1061.0	46.3	53.7
    Сельское население	10854.0	5047.0	5807.0	46.5	53.5
