9. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ							
(на 1000 человек в возрасте 15-64 лет, занятых соответствующим видом экономической деятельности)							
							
							
	Положение в занятии						Не указавшие положение в занятии
	работающие по найму	работающие не по найму	из них				
			с привле-чением на-емных ра-ботников	без привле-чения наем-ных работ-ников	иное	не указавшие привлечение наемных работников	
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	811.0	188.0	64.0	112.0	7.0	5.0	1.0
гостиницы и рестораны	950.0	49.0	22.0	21.0	4.0	2.0	1.0
транспорт и связь	946.0	53.0	10.0	37.0	4.0	2.0	1.0
финансовая деятельность	971.0	28.0	9.0	14.0	3.0	2.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	952.0	47.0	15.0	26.0	4.0	2.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1000.0	 	 	 	 	 	0.0
образование	982.0	17.0	2.0	11.0	3.0	1.0	1.0
здравоохранение и предоставление социальных услуг	978.0	21.0	3.0	14.0	3.0	1.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	947.0	52.0	13.0	31.0	6.0	2.0	1.0
предоставление услуг по ведению домашнего хозяйства	1000.0	 	 	 	 	 	-
деятельность экстерриториальных организаций	992.0	8.0	 	 	8.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	931.0	60.0	15.0	30.0	10.0	5.0	9.0
Мужчины, занятые в экономике 	934.0	65.0	22.0	36.0	5.0	2.0	1.0
в том числе по видам экономической деятельности:							
сельское хозяйство, охота и лесное хозяйство	912.0	88.0	28.0	51.0	6.0	3.0	0.0
рыболовство, рыбоводство	960.0	40.0	11.0	23.0	4.0	2.0	0.0
добыча полезных ископаемых	989.0	10.0	3.0	6.0	1.0	0.0	1.0
обрабатывающие производства	970.0	30.0	12.0	14.0	2.0	2.0	0.0
производство и распределение электроэнергии, газа и воды	984.0	15.0	3.0	9.0	2.0	1.0	1.0
строительство	940.0	59.0	22.0	30.0	5.0	2.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	753.0	246.0	94.0	136.0	10.0	6.0	1.0
гостиницы и рестораны	908.0	90.0	52.0	29.0	6.0	3.0	2.0
транспорт и связь	934.0	65.0	12.0	46.0	4.0	3.0	1.0
финансовая деятельность	953.0	45.0	19.0	20.0	4.0	2.0	2.0
операции с недвижимым имуществом, аренда и предоставление услуг	946.0	53.0	18.0	28.0	5.0	2.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1000.0	 	 	 	 	 	-
образование	977.0	22.0	4.0	14.0	3.0	1.0	1.0
здравоохранение и предоставление социальных услуг	963.0	36.0	10.0	20.0	4.0	2.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	943.0	56.0	16.0	30.0	8.0	2.0	1.0
предоставление услуг по ведению домашнего хозяйства	1000.0	 	 	 	 	 	-
деятельность экстерриториальных организаций	992.0	8.0	 	 	8.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	922.0	70.0	19.0	33.0	12.0	6.0	8.0
Женщины, занятые в экономике 	952.0	47.0	12.0	30.0	3.0	2.0	1.0
в том числе по видам экономической деятельности:							
сельское хозяйство, охота и лесное хозяйство	950.0	49.0	9.0	33.0	5.0	2.0	1.0
рыболовство, рыбоводство	972.0	27.0	4.0	20.0	3.0	0.0	1.0
добыча полезных ископаемых	991.0	8.0	1.0	6.0	1.0	0.0	1.0
обрабатывающие производства	978.0	21.0	4.0	14.0	2.0	1.0	1.0
производство и распределение электроэнергии, газа и воды	987.0	13.0	1.0	9.0	2.0	1.0	0.0
строительство	968.0	31.0	8.0	17.0	4.0	2.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	847.0	152.0	45.0	97.0	6.0	4.0	1.0
гостиницы и рестораны	963.0	36.0	13.0	18.0	3.0	2.0	1.0
транспорт и связь	977.0	22.0	5.0	13.0	3.0	1.0	1.0
финансовая деятельность	978.0	21.0	4.0	12.0	3.0	2.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	960.0	39.0	10.0	23.0	4.0	2.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1000.0	 	 	 	 	 	0.0
образование	983.0	16.0	1.0	11.0	3.0	1.0	1.0
здравоохранение и предоставление социальных услуг	980.0	19.0	2.0	13.0	3.0	1.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	949.0	50.0	11.0	32.0	5.0	2.0	1.0
предоставление услуг по ведению домашнего хозяйства	1000.0	 	 	 	 	 	-
деятельность экстерриториальных организаций	991.0	9.0	 	 	9.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	942.0	49.0	9.0	26.0	9.0	5.0	9.0
Сельское население, занятое в экономике 	956.0	44.0	9.0	28.0	5.0	2.0	0.0
в том числе по видам экономической деятельности:							
сельское хозяйство, охота и лесное хозяйство	949.0	51.0	8.0	31.0	10.0	2.0	0.0
рыболовство, рыбоводство	934.0	66.0	10.0	45.0	8.0	3.0	0.0
добыча полезных ископаемых	992.0	8.0	2.0	4.0	1.0	1.0	0.0
обрабатывающие производства	972.0	28.0	8.0	17.0	2.0	1.0	0.0
производство и распределение электроэнергии, газа и воды	993.0	7.0	1.0	5.0	1.0	0.0	0.0
строительство	956.0	44.0	8.0	28.0	5.0	3.0	0.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	810.0	190.0	55.0	123.0	6.0	6.0	0.0
гостиницы и рестораны	968.0	32.0	13.0	14.0	3.0	2.0	0.0
транспорт и связь	957.0	43.0	5.0	33.0	3.0	2.0	0.0
финансовая деятельность	990.0	10.0	2.0	5.0	2.0	1.0	0.0
операции с недвижимым имуществом, аренда и предоставление услуг	978.0	21.0	4.0	14.0	2.0	1.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1000.0	 	 	 	 	 	0.0
образование	994.0	6.0	0.0	4.0	1.0	1.0	0.0
здравоохранение и предоставление социальных услуг	992.0	8.0	1.0	5.0	1.0	1.0	0.0
предоставление прочих коммунальных, социальных и персональных услуг	976.0	24.0	3.0	16.0	3.0	2.0	0.0
предоставление услуг по ведению домашнего хозяйства	1000.0	 	 	 	 	 	-
деятельность экстерриториальных организаций	980.0	20.0	 	 	20.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	937.0	58.0	10.0	32.0	11.0	5.0	5.0
Мужчины, занятые в экономике 	947.0	53.0	12.0	33.0	6.0	2.0	0.0
в том числе по видам экономической деятельности:							
сельское хозяйство, охота и лесное хозяйство	944.0	56.0	10.0	34.0	10.0	2.0	0.0
рыболовство, рыбоводство	928.0	72.0	11.0	51.0	7.0	3.0	0.0
добыча полезных ископаемых	992.0	8.0	2.0	4.0	1.0	1.0	0.0
обрабатывающие производства	969.0	31.0	10.0	17.0	2.0	2.0	0.0
производство и распределение электроэнергии, газа и воды	992.0	8.0	1.0	5.0	1.0	1.0	0.0
строительство	953.0	47.0	9.0	30.0	5.0	3.0	0.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	733.0	266.0	84.0	166.0	9.0	7.0	1.0
гостиницы и рестораны	909.0	90.0	52.0	33.0	2.0	3.0	1.0
транспорт и связь	942.0	58.0	6.0	45.0	4.0	3.0	0.0
финансовая деятельность	985.0	15.0	5.0	7.0	2.0	1.0	0.0
операции с недвижимым имуществом, аренда и предоставление услуг	976.0	23.0	4.0	16.0	2.0	1.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1000.0	 	 	 	 	 	0.0
образование	993.0	7.0	0.0	5.0	1.0	1.0	0.0
здравоохранение и предоставление социальных услуг	987.0	13.0	2.0	9.0	1.0	1.0	0.0
предоставление прочих коммунальных, социальных и персональных услуг	976.0	23.0	3.0	15.0	4.0	1.0	1.0
предоставление услуг по ведению домашнего хозяйства	1000.0	 	 	 	 	 	-
