7.4. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, ПРОЖИВАЮЩИЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ,								
ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ТИПАМ ЖИЛЫХ ПОМЕЩЕНИЙ, 								
ЧИСЛУ ЗАНИМАЕМЫХ КОМНАТ И РАЗМЕРУ ДОМОХОЗЯЙСТВ								
								
	Всего
частных
домохозяйств
	в том числе домохозяйства, состоящие из						Средний размер домохозяйства, человек
		1
человека
	2
человек
	3
человек
	4
человек
	5 и более человек		
						число
домохозяйств
	в них
населения
	
								
Городские и сельские населенные пункты								
в индивидуальных домах	8083478.0	1967402.0	2287231.0	1408784.0	1252030.0	1168031.0	6908615.0	2.8
в них занимают:								
1 комнату	1594988.0	665349.0	487576.0	202681.0	139663.0	99719.0	560866.0	2.1
2 комнаты	2844133.0	847358.0	927231.0	454059.0	344733.0	270752.0	1542854.0	2.5
3 комнаты	2144396.0	310913.0	567420.0	460507.0	434712.0	370844.0	2150088.0	3.1
4 и более комнат 	1491700.0	140309.0	303199.0	290465.0	332017.0	425710.0	2648262.0	3.8
не указавшие число комнат	8261.0	3473.0	1805.0	1072.0	905.0	1006.0	6545.0	2.5
в отдельных квартирах	4865086.0	868310.0	1261636.0	1208211.0	990376.0	536553.0	3000401.0	2.9
в них занимают:								
часть комнаты	2587.0	1559.0	481.0	301.0	144.0	102.0	565.0	1.8
1 комнату	738504.0	311387.0	201795.0	130356.0	67992.0	26974.0	149409.0	2.1
2 комнаты	1807823.0	352630.0	516938.0	465589.0	333803.0	138863.0	764761.0	2.7
3 комнаты	1971812.0	178944.0	473115.0	525394.0	495074.0	299285.0	1674026.0	3.2
4 и более комнат 	336874.0	21811.0	67439.0	84957.0	92132.0	70535.0	406605.0	3.5
не указавшие число комнат	7486.0	1979.0	1868.0	1614.0	1231.0	794.0	5035.0	2.7
в коммунальных квартирах	55024.0	16606.0	12922.0	11277.0	8215.0	6004.0	34937.0	2.6
в них занимают:								
часть комнаты	2023.0	1201.0	330.0	271.0	126.0	95.0	545.0	1.8
1 комнату	27645.0	12178.0	6903.0	4900.0	2493.0	1171.0	6699.0	2.1
2 комнаты	15998.0	2118.0	3938.0	4090.0	3434.0	2418.0	13742.0	3.1
3 комнаты	5001.0	328.0	869.0	1149.0	1311.0	1344.0	7802.0	3.7
4 и более комнат 	1880.0	87.0	247.0	336.0	497.0	713.0	4572.0	4.3
не указавшие число комнат	2477.0	694.0	635.0	531.0	354.0	263.0	1577.0	2.6
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	278039.0	51752.0	65054.0	70848.0	51680.0	38705.0	232637.0	3.0
