4. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Городское и сельское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
50 – 59	27.0	18.0	14.0	4.0	7.0	1.0	1.0	-	34.0	19.0	15.0	4.0	5.0	5.0	5.0	-
60 – 69	15.0	7.0	7.0	-	-	4.0	4.0	-	10.0	4.0	3.0	1.0	2.0	3.0	1.0	-
70 и более	3.0	1.0	1.0	-	-	1.0	1.0	-	4.0	1.0	1.0	-	-	3.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Бесермяне	1209.0	817.0	742.0	75.0	279.0	62.0	51.0	-	1262.0	677.0	610.0	67.0	263.0	285.0	37.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	38.0	-	-	-	38.0	-	-	-	41.0	-	-	-	41.0	-	-	-
18 – 19	29.0	-	-	-	29.0	-	-	-	26.0	5.0	2.0	3.0	21.0	-	-	-
20 – 29	167.0	69.0	55.0	14.0	96.0	-	2.0	-	132.0	72.0	58.0	14.0	55.0	1.0	4.0	-
30 – 39	284.0	201.0	183.0	18.0	61.0	1.0	21.0	-	195.0	146.0	133.0	13.0	24.0	13.0	12.0	-
40 – 49	313.0	248.0	227.0	21.0	43.0	7.0	15.0	-	258.0	215.0	197.0	18.0	16.0	17.0	10.0	-
50 – 59	139.0	122.0	115.0	7.0	7.0	4.0	6.0	-	160.0	114.0	108.0	6.0	9.0	32.0	5.0	-
60 – 69	150.0	117.0	107.0	10.0	5.0	24.0	4.0	-	181.0	78.0	71.0	7.0	26.0	74.0	3.0	-
70 и более	89.0	60.0	55.0	5.0	-	26.0	3.0	-	269.0	47.0	41.0	6.0	71.0	148.0	3.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Вепсы	2475.0	1704.0	1534.0	170.0	439.0	158.0	172.0	2.0	3866.0	1785.0	1602.0	183.0	516.0	1256.0	309.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	58.0	-	-	-	56.0	-	-	2.0	78.0	2.0	1.0	1.0	76.0	-	-	-
18 – 19	38.0	1.0	-	1.0	37.0	-	-	-	75.0	3.0	1.0	2.0	72.0	-	-	-
20 – 29	332.0	157.0	122.0	35.0	169.0	-	6.0	-	377.0	188.0	140.0	48.0	173.0	2.0	14.0	-
30 – 39	322.0	233.0	205.0	28.0	50.0	1.0	38.0	-	317.0	218.0	181.0	37.0	42.0	9.0	48.0	-
40 – 49	593.0	426.0	377.0	49.0	82.0	15.0	70.0	-	605.0	424.0	384.0	40.0	38.0	50.0	93.0	-
50 – 59	384.0	304.0	278.0	26.0	34.0	15.0	31.0	-	458.0	287.0	268.0	19.0	31.0	88.0	52.0	-
60 – 69	391.0	314.0	297.0	17.0	9.0	45.0	23.0	-	800.0	386.0	363.0	23.0	21.0	340.0	53.0	-
70 и более	357.0	269.0	255.0	14.0	2.0	82.0	4.0	-	1155.0	277.0	264.0	13.0	63.0	767.0	48.0	-
возраст не указан	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Долганы	1932.0	950.0	729.0	221.0	799.0	96.0	86.0	1.0	2583.0	1299.0	953.0	346.0	769.0	355.0	160.0	-
в том числе в возрасте, лет:																
до 16	1.0	1.0	-	1.0		-	-		1.0	1.0	-	1.0		-	-	
16 – 17	160.0	1.0	-	1.0	159.0	-	-	-	189.0	4.0	-	4.0	185.0	-	-	-
18 – 19	118.0	4.0	1.0	3.0	114.0	-	-	-	134.0	23.0	11.0	12.0	110.0	1.0	-	-
20 – 29	525.0	194.0	118.0	76.0	322.0	2.0	7.0	-	610.0	339.0	214.0	125.0	243.0	10.0	18.0	-
30 – 39	464.0	299.0	230.0	69.0	121.0	5.0	39.0	-	623.0	407.0	309.0	98.0	121.0	35.0	60.0	-
40 – 49	363.0	260.0	220.0	40.0	61.0	12.0	30.0	-	505.0	320.0	253.0	67.0	68.0	68.0	49.0	-
50 – 59	159.0	117.0	95.0	22.0	13.0	22.0	7.0	-	254.0	138.0	110.0	28.0	20.0	72.0	24.0	-
60 – 69	115.0	62.0	55.0	7.0	9.0	40.0	3.0	1.0	195.0	59.0	51.0	8.0	15.0	114.0	7.0	-
70 и более	27.0	12.0	10.0	2.0	-	15.0	-	-	72.0	8.0	5.0	3.0	7.0	55.0	2.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ижорцы	42.0	33.0	29.0	4.0	1.0	4.0	4.0	-	132.0	33.0	32.0	1.0	11.0	71.0	16.0	1.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18 – 19	-	-	-	-	-	-	-	-	1.0	-	-	-	1.0	-	-	-
20 – 29	2.0	1.0	1.0	-	1.0	-	-	-	5.0	4.0	3.0	1.0	1.0	-	-	-
30 – 39	-	-	-	-	-	-	-	-	1.0	1.0	1.0	-	-	-	-	-
40 – 49	8.0	5.0	5.0	-	-	-	3.0	-	13.0	3.0	3.0	-	2.0	3.0	5.0	-
50 – 59	7.0	6.0	4.0	2.0	-	1.0	-	-	7.0	2.0	2.0	-	1.0	2.0	1.0	1.0
60 – 69	10.0	9.0	8.0	1.0	-	-	1.0	-	29.0	12.0	12.0	-	-	10.0	7.0	-
70 и более	15.0	12.0	11.0	1.0	-	3.0	-	-	76.0	11.0	11.0	-	6.0	56.0	3.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ительмены	978.0	464.0	337.0	127.0	414.0	25.0	74.0	1.0	1183.0	635.0	476.0	159.0	258.0	159.0	129.0	2.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	65.0	-	-	-	65.0	-	-	-	64.0	2.0	1.0	1.0	61.0	-	1.0	-
18 – 19	62.0	-	-	-	62.0	-	-	-	57.0	17.0	10.0	7.0	40.0	-	-	-
20 – 29	275.0	90.0	53.0	37.0	177.0	1.0	7.0	-	262.0	137.0	75.0	62.0	109.0	4.0	11.0	1.0
30 – 39	205.0	122.0	78.0	44.0	55.0	2.0	26.0	-	210.0	145.0	111.0	34.0	21.0	14.0	30.0	-
40 – 49	198.0	129.0	97.0	32.0	36.0	8.0	24.0	1.0	235.0	162.0	137.0	25.0	16.0	21.0	35.0	1.0
50 – 59	118.0	80.0	71.0	9.0	14.0	11.0	13.0	-	185.0	113.0	94.0	19.0	7.0	36.0	29.0	-
60 – 69	41.0	35.0	30.0	5.0	3.0	1.0	2.0	-	121.0	50.0	41.0	9.0	4.0	49.0	18.0	-
70 и более	13.0	8.0	8.0	-	1.0	2.0	2.0	-	49.0	9.0	7.0	2.0	-	35.0	5.0	-
возраст не указан	1.0	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-
Камчадалы	654.0	341.0	268.0	73.0	206.0	24.0	83.0	-	746.0	404.0	325.0	79.0	144.0	112.0	85.0	1.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	44.0	-	-	-	44.0	-	-	-	38.0	2.0	-	2.0	36.0	-	-	-
18 – 19	23.0	-	-	-	23.0	-	-	-	37.0	7.0	4.0	3.0	30.0	-	-	-
20 – 29	126.0	40.0	24.0	16.0	82.0	-	4.0	-	120.0	68.0	48.0	20.0	45.0	1.0	5.0	1.0
30 – 39	129.0	76.0	57.0	19.0	29.0	-	24.0	-	147.0	103.0	77.0	26.0	14.0	2.0	28.0	-
40 – 49	153.0	103.0	82.0	21.0	17.0	7.0	26.0	-	166.0	121.0	107.0	14.0	6.0	16.0	23.0	-
50 – 59	104.0	72.0	60.0	12.0	8.0	5.0	19.0	-	122.0	74.0	62.0	12.0	10.0	27.0	11.0	-
60 – 69	55.0	37.0	33.0	4.0	3.0	6.0	9.0	-	69.0	22.0	20.0	2.0	2.0	31.0	14.0	-
70 и более	20.0	13.0	12.0	1.0	-	6.0	1.0	-	47.0	7.0	7.0	-	1.0	35.0	4.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Кеты	366.0	115.0	64.0	51.0	211.0	16.0	24.0	-	434.0	242.0	162.0	80.0	108.0	59.0	25.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	31.0	-	-	-	31.0	-	-	-	18.0	1.0	-	1.0	17.0	-	-	-
18 – 19	28.0	1.0	-	1.0	27.0	-	-	-	29.0	2.0	-	2.0	26.0	-	1.0	-
