4. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Городское и сельское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
Нивхи	1500.0	656.0	420.0	236.0	692.0	58.0	91.0	3.0	1906.0	903.0	534.0	369.0	617.0	227.0	156.0	3.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	114.0	-	-	-	112.0	-	1.0	1.0	104.0	7.0	2.0	5.0	97.0	-	-	-
18 – 19	85.0	5.0	1.0	4.0	79.0	-	-	1.0	111.0	16.0	5.0	11.0	95.0	-	-	-
20 – 29	414.0	142.0	69.0	73.0	266.0	1.0	5.0	-	455.0	214.0	92.0	122.0	220.0	5.0	16.0	-
30 – 39	351.0	184.0	122.0	62.0	126.0	7.0	33.0	1.0	397.0	239.0	152.0	87.0	91.0	21.0	45.0	1.0
40 – 49	325.0	195.0	143.0	52.0	86.0	10.0	34.0	-	443.0	266.0	182.0	84.0	72.0	57.0	48.0	-
50 – 59	128.0	88.0	62.0	26.0	14.0	12.0	14.0	-	220.0	116.0	79.0	37.0	29.0	42.0	33.0	-
60 – 69	63.0	39.0	20.0	19.0	5.0	15.0	4.0	-	121.0	39.0	19.0	20.0	8.0	60.0	14.0	-
70 и более	18.0	3.0	3.0	-	2.0	13.0	-	-	54.0	6.0	3.0	3.0	5.0	42.0	-	1.0
возраст не указан	2.0	-	-	-	2.0	-	-	-	1.0	-	-	-	-	-	-	1.0
Орочи	134.0	37.0	26.0	11.0	84.0	6.0	6.0	1.0	167.0	79.0	51.0	28.0	56.0	18.0	14.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	13.0	-	-	-	12.0	-	-	1.0	11.0	-	-	-	11.0	-	-	-
18 – 19	13.0	-	-	-	13.0	-	-	-	10.0	-	-	-	10.0	-	-	-
20 – 29	27.0	7.0	6.0	1.0	19.0	-	1.0	-	42.0	21.0	12.0	9.0	20.0	-	1.0	-
30 – 39	35.0	14.0	9.0	5.0	20.0	1.0	-	-	31.0	19.0	10.0	9.0	7.0	1.0	4.0	-
40 – 49	22.0	6.0	3.0	3.0	12.0	1.0	3.0	-	41.0	25.0	17.0	8.0	7.0	5.0	4.0	-
50 – 59	14.0	6.0	5.0	1.0	7.0	1.0	-	-	15.0	8.0	7.0	1.0	1.0	5.0	1.0	-
60 – 69	6.0	2.0	2.0	-	-	2.0	2.0	-	15.0	6.0	5.0	1.0	-	5.0	4.0	-
70 и более	4.0	2.0	1.0	1.0	1.0	1.0	-	-	2.0	-	-	-	-	2.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Саамы	576.0	259.0	196.0	63.0	254.0	20.0	43.0	-	732.0	359.0	295.0	64.0	163.0	117.0	93.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	41.0	-	-	-	41.0	-	-	-	43.0	2.0	1.0	1.0	41.0	-	-	-
18 – 19	23.0	-	-	-	23.0	-	-	-	24.0	2.0	2.0	-	22.0	-	-	-
20 – 29	154.0	54.0	30.0	24.0	95.0	-	5.0	-	144.0	79.0	58.0	21.0	56.0	1.0	8.0	-
30 – 39	119.0	65.0	51.0	14.0	34.0	2.0	18.0	-	128.0	88.0	65.0	23.0	10.0	4.0	26.0	-
40 – 49	124.0	71.0	56.0	15.0	40.0	2.0	11.0	-	165.0	108.0	96.0	12.0	12.0	15.0	30.0	-
50 – 59	65.0	42.0	36.0	6.0	14.0	1.0	8.0	-	98.0	51.0	48.0	3.0	8.0	24.0	15.0	-
60 – 69	30.0	16.0	14.0	2.0	7.0	6.0	1.0	-	71.0	22.0	19.0	3.0	8.0	32.0	9.0	-
70 и более	20.0	11.0	9.0	2.0	-	9.0	-	-	59.0	7.0	6.0	1.0	6.0	41.0	5.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Селькупы	1368.0	614.0	421.0	193.0	596.0	59.0	93.0	6.0	1579.0	872.0	579.0	293.0	386.0	213.0	104.0	4.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	113.0	-	-	-	112.0	-	-	1.0	90.0	6.0	-	6.0	84.0	-	-	-
18 – 19	78.0	2.0	-	2.0	76.0	-	-	-	83.0	21.0	4.0	17.0	61.0	-	-	1.0
20 – 29	338.0	107.0	59.0	48.0	221.0	-	10.0	-	377.0	214.0	114.0	100.0	144.0	-	17.0	2.0
30 – 39	286.0	171.0	109.0	62.0	92.0	4.0	19.0	-	296.0	211.0	147.0	64.0	41.0	17.0	26.0	1.0
40 – 49	287.0	168.0	116.0	52.0	70.0	9.0	40.0	-	345.0	244.0	191.0	53.0	23.0	49.0	29.0	-
50 – 59	107.0	75.0	62.0	13.0	11.0	13.0	8.0	-	176.0	106.0	77.0	29.0	12.0	45.0	13.0	-
60 – 69	100.0	61.0	49.0	12.0	11.0	14.0	14.0	-	126.0	51.0	32.0	19.0	11.0	50.0	14.0	-
70 и более	54.0	30.0	26.0	4.0	3.0	19.0	2.0	-	84.0	17.0	13.0	4.0	10.0	52.0	5.0	-
возраст не указан	5.0	-	-	-	-	-	-	5.0	2.0	2.0	1.0	1.0	-	-	-	-
Сойоты	910.0	504.0	453.0	51.0	362.0	17.0	19.0	8.0	957.0	474.0	417.0	57.0	333.0	102.0	37.0	11.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	63.0	-	-	-	56.0	-	-	7.0	63.0	-	-	-	54.0	-	-	9.0
18 – 19	49.0	1.0	1.0	-	48.0	-	-	-	59.0	-	-	-	59.0	-	-	-
20 – 29	271.0	84.0	71.0	13.0	187.0	-	-	-	253.0	110.0	87.0	23.0	135.0	2.0	5.0	1.0
30 – 39	197.0	146.0	129.0	17.0	41.0	1.0	8.0	1.0	192.0	132.0	116.0	16.0	34.0	13.0	13.0	-
40 – 49	164.0	133.0	120.0	13.0	25.0	2.0	4.0	-	181.0	140.0	126.0	14.0	17.0	15.0	9.0	-
50 – 59	91.0	80.0	77.0	3.0	1.0	6.0	4.0	-	76.0	41.0	39.0	2.0	10.0	18.0	6.0	1.0
60 – 69	59.0	49.0	45.0	4.0	1.0	6.0	3.0	-	76.0	40.0	39.0	1.0	7.0	27.0	2.0	-
70 и более	16.0	11.0	10.0	1.0	3.0	2.0	-	-	57.0	11.0	10.0	1.0	17.0	27.0	2.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Тазы	98.0	67.0	61.0	6.0	25.0	2.0	4.0	-	105.0	62.0	45.0	17.0	15.0	19.0	9.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	4.0	-	-	-	4.0	-	-	-	4.0	-	-	-	4.0	-	-	-
18 – 19	5.0	-	-	-	5.0	-	-	-	3.0	1.0	1.0	-	2.0	-	-	-
20 – 29	25.0	16.0	14.0	2.0	9.0	-	-	-	20.0	13.0	9.0	4.0	5.0	-	2.0	-
30 – 39	16.0	12.0	11.0	1.0	3.0	-	1.0	-	15.0	11.0	6.0	5.0	1.0	2.0	1.0	-
40 – 49	30.0	23.0	21.0	2.0	4.0	1.0	2.0	-	20.0	14.0	11.0	3.0	3.0	-	3.0	-
50 – 59	9.0	8.0	8.0	-	-	-	1.0	-	15.0	12.0	10.0	2.0	-	2.0	1.0	-
60 – 69	5.0	4.0	4.0	-	-	1.0	-	-	15.0	6.0	5.0	1.0	-	7.0	2.0	-
70 и более	4.0	4.0	3.0	1.0	-	-	-	-	13.0	5.0	3.0	2.0	-	8.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Теленгиты	718.0	434.0	378.0	56.0	228.0	33.0	23.0	-	807.0	426.0	363.0	63.0	237.0	114.0	30.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	58.0	-	-	-	58.0	-	-	-	45.0	2.0	-	2.0	43.0	-	-	-
18 – 19	38.0	1.0	-	1.0	37.0	-	-	-	31.0	1.0	1.0	-	29.0	-	1.0	-
20 – 29	177.0	68.0	51.0	17.0	101.0	-	8.0	-	178.0	89.0	69.0	20.0	82.0	3.0	4.0	-
30 – 39	153.0	131.0	118.0	13.0	15.0	1.0	6.0	-	179.0	132.0	116.0	16.0	29.0	9.0	9.0	-
40 – 49	179.0	153.0	136.0	17.0	11.0	11.0	4.0	-	200.0	135.0	115.0	20.0	23.0	29.0	13.0	-
50 – 59	52.0	38.0	35.0	3.0	4.0	6.0	4.0	-	68.0	39.0	37.0	2.0	4.0	23.0	2.0	-
60 – 69	37.0	28.0	25.0	3.0	-	8.0	1.0	-	51.0	20.0	17.0	3.0	9.0	21.0	1.0	-
70 и более	24.0	15.0	13.0	2.0	2.0	7.0	-	-	55.0	8.0	8.0	-	18.0	29.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Телеуты	846.0	499.0	432.0	67.0	255.0	26.0	66.0	-	1110.0	541.0	458.0	83.0	239.0	212.0	118.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	50.0	-	-	-	50.0	-	-	-	53.0	2.0	1.0	1.0	50.0	-	1.0	-
18 – 19	44.0	3.0	1.0	2.0	41.0	-	-	-	58.0	5.0	3.0	2.0	53.0	-	-	-
20 – 29	203.0	85.0	72.0	13.0	110.0	-	8.0	-	204.0	108.0	88.0	20.0	76.0	3.0	17.0	-
30 – 39	158.0	111.0	94.0	17.0	28.0	1.0	18.0	-	192.0	134.0	114.0	20.0	13.0	14.0	31.0	-
40 – 49	207.0	154.0	136.0	18.0	20.0	7.0	26.0	-	265.0	165.0	139.0	26.0	17.0	38.0	45.0	-
50 – 59	88.0	73.0	61.0	12.0	5.0	1.0	9.0	-	115.0	68.0	59.0	9.0	8.0	25.0	14.0	-
60 – 69	64.0	52.0	47.0	5.0	1.0	6.0	5.0	-	115.0	44.0	40.0	4.0	13.0	51.0	7.0	-
70 и более	32.0	21.0	21.0	-	-	11.0	-	-	108.0	15.0	14.0	1.0	9.0	81.0	3.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Тофалары	240.0	109.0	59.0	50.0	112.0	8.0	11.0	-	257.0	134.0	76.0	58.0	78.0	24.0	21.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	18.0	-	-	-	18.0	-	-	-	20.0	-	-	-	20.0	-	-	-
18 – 19	28.0	1.0	-	1.0	27.0	-	-	-	18.0	5.0	-	5.0	11.0	2.0	-	-
20 – 29	54.0	23.0	4.0	19.0	31.0	-	-	-	63.0	37.0	14.0	23.0	20.0	-	6.0	-
30 – 39	42.0	24.0	13.0	11.0	14.0	-	4.0	-	50.0	34.0	23.0	11.0	11.0	2.0	3.0	-
40 – 49	56.0	40.0	29.0	11.0	10.0	1.0	5.0	-	68.0	44.0	31.0	13.0	10.0	9.0	5.0	-
50 – 59	24.0	15.0	9.0	6.0	7.0	1.0	1.0	-	22.0	11.0	7.0	4.0	2.0	3.0	6.0	-
60 – 69	13.0	4.0	3.0	1.0	4.0	4.0	1.0	-	10.0	2.0	-	2.0	2.0	5.0	1.0	-
70 и более	5.0	2.0	1.0	1.0	1.0	2.0	-	-	6.0	1.0	1.0	-	2.0	3.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Тубалары	528.0	322.0	218.0	104.0	139.0	27.0	40.0	-	547.0	336.0	219.0	117.0	110.0	74.0	27.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	19.0	-	-	-	19.0	-	-	-	31.0	1.0	-	1.0	30.0	-	-	-
18 – 19	26.0	-	-	-	26.0	-	-	-	16.0	-	-	-	16.0	-	-	-
20 – 29	92.0	38.0	24.0	14.0	51.0	-	3.0	-	88.0	50.0	24.0	26.0	35.0	-	3.0	-
30 – 39	119.0	87.0	56.0	31.0	20.0	2.0	10.0	-	128.0	107.0	71.0	36.0	10.0	4.0	7.0	-
40 – 49	142.0	110.0	74.0	36.0	20.0	3.0	9.0	-	141.0	113.0	75.0	38.0	7.0	10.0	11.0	-
50 – 59	57.0	39.0	26.0	13.0	3.0	1.0	14.0	-	47.0	33.0	25.0	8.0	5.0	7.0	2.0	-
60 – 69	43.0	32.0	23.0	9.0	-	8.0	3.0	-	49.0	22.0	15.0	7.0	3.0	21.0	3.0	-
70 и более	30.0	16.0	15.0	1.0	-	13.0	1.0	-	47.0	10.0	9.0	1.0	4.0	32.0	1.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Тувинцы-тоджинцы	1367.0	813.0	531.0	282.0	452.0	78.0	24.0	-	1499.0	837.0	548.0	289.0	419.0	206.0	36.0	1.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	127.0	-	-	-	127.0	-	-	-	115.0	-	-	-	114.0	-	-	1.0
18 – 19	57.0	1.0	-	1.0	56.0	-	-	-	64.0	11.0	-	11.0	52.0	1.0	-	-
20 – 29	353.0	152.0	43.0	109.0	197.0	-	4.0	-	382.0	203.0	68.0	135.0	164.0	8.0	7.0	-
30 – 39	319.0	257.0	164.0	93.0	43.0	8.0	11.0	-	338.0	249.0	170.0	79.0	45.0	34.0	10.0	-
40 – 49	234.0	201.0	156.0	45.0	17.0	10.0	6.0	-	304.0	213.0	176.0	37.0	30.0	45.0	16.0	-
50 – 59	129.0	104.0	91.0	13.0	7.0	16.0	2.0	-	130.0	89.0	75.0	14.0	8.0	32.0	1.0	-
60 – 69	100.0	73.0	57.0	16.0	5.0	21.0	1.0	-	119.0	60.0	51.0	9.0	4.0	53.0	2.0	-
70 и более	48.0	25.0	20.0	5.0	-	23.0	-	-	47.0	12.0	8.0	4.0	2.0	33.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Удэгейцы	507.0	262.0	196.0	66.0	185.0	18.0	40.0	2.0	586.0	347.0	248.0	99.0	143.0	56.0	38.0	2.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	32.0	-	-	-	31.0	-	-	1.0	30.0	-	-	-	29.0	-	-	1.0
18 – 19	27.0	1.0	-	1.0	26.0	-	-	-	33.0	6.0	3.0	3.0	26.0	-	-	1.0
20 – 29	117.0	45.0	27.0	18.0	65.0	-	7.0	-	119.0	63.0	38.0	25.0	53.0	-	3.0	-
30 – 39	111.0	66.0	48.0	18.0	36.0	-	9.0	-	139.0	103.0	78.0	25.0	19.0	6.0	11.0	-
40 – 49	133.0	91.0	78.0	13.0	23.0	3.0	16.0	-	141.0	106.0	80.0	26.0	9.0	13.0	13.0	-
50 – 59	48.0	31.0	24.0	7.0	3.0	8.0	6.0	-	54.0	36.0	27.0	9.0	7.0	5.0	6.0	-
60 – 69	26.0	19.0	12.0	7.0	1.0	3.0	2.0	1.0	50.0	25.0	17.0	8.0	-	20.0	5.0	-
70 и более	13.0	9.0	7.0	2.0	-	4.0	-	-	20.0	8.0	5.0	3.0	-	12.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ульта (ороки)	105.0	29.0	15.0	14.0	70.0	3.0	3.0	-	109.0	55.0	29.0	26.0	36.0	13.0	5.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	6.0	-	-	-	6.0	-	-	-	7.0	-	-	-	7.0	-	-	-
18 – 19	4.0	-	-	-	4.0	-	-	-	9.0	1.0	-	1.0	8.0	-	-	-
20 – 29	37.0	4.0	-	4.0	33.0	-	-	-	24.0	12.0	4.0	8.0	12.0	-	-	-
30 – 39	26.0	9.0	5.0	4.0	16.0	-	1.0	-	27.0	19.0	9.0	10.0	6.0	1.0	1.0	-
40 – 49	20.0	11.0	6.0	5.0	8.0	-	1.0	-	24.0	15.0	9.0	6.0	1.0	6.0	2.0	-
50 – 59	7.0	4.0	3.0	1.0	1.0	1.0	1.0	-	7.0	5.0	4.0	1.0	-	1.0	1.0	-
60 – 69	4.0	1.0	1.0	-	2.0	1.0	-	-	10.0	3.0	3.0	-	2.0	4.0	1.0	-
70 и более	1.0	-	-	-	-	1.0	-	-	1.0	-	-	-	-	1.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ульчи	849.0	382.0	284.0	98.0	374.0	24.0	69.0	-	1055.0	559.0	408.0	151.0	290.0	125.0	81.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	67.0	-	-	-	67.0	-	-	-	57.0	1.0	1.0	-	56.0	-	-	-
18 – 19	46.0	3.0	1.0	2.0	43.0	-	-	-	54.0	6.0	3.0	3.0	46.0	-	2.0	-
20 – 29	231.0	57.0	28.0	29.0	167.0	-	7.0	-	243.0	117.0	67.0	50.0	116.0	-	10.0	-
30 – 39	168.0	106.0	78.0	28.0	41.0	1.0	20.0	-	188.0	125.0	88.0	37.0	30.0	7.0	26.0	-
40 – 49	189.0	120.0	95.0	25.0	41.0	7.0	21.0	-	258.0	187.0	148.0	39.0	24.0	23.0	24.0	-
50 – 59	77.0	53.0	42.0	11.0	10.0	3.0	11.0	-	128.0	77.0	62.0	15.0	12.0	30.0	9.0	-
60 – 69	47.0	32.0	29.0	3.0	2.0	6.0	7.0	-	81.0	37.0	30.0	7.0	5.0	31.0	8.0	-
70 и более	24.0	11.0	11.0	-	3.0	7.0	3.0	-	46.0	9.0	9.0	-	1.0	34.0	2.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ханты	7749.0	3846.0	3067.0	779.0	3237.0	274.0	357.0	35.0	10290.0	5580.0	4369.0	1211.0	2662.0	1300.0	722.0	26.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		2.0	2.0	1.0	1.0		-	-	
16 – 17	674.0	4.0	-	4.0	655.0	-	-	15.0	687.0	24.0	6.0	18.0	655.0	-	-	8.0
18 – 19	490.0	12.0	7.0	5.0	475.0	-	-	3.0	644.0	109.0	65.0	44.0	526.0	-	6.0	3.0
20 – 29	2106.0	761.0	563.0	198.0	1290.0	6.0	43.0	6.0	2485.0	1394.0	1016.0	378.0	937.0	38.0	112.0	4.0
30 – 39	1889.0	1237.0	969.0	268.0	487.0	32.0	131.0	2.0	2346.0	1722.0	1373.0	349.0	268.0	131.0	225.0	-
40 – 49	1520.0	1105.0	913.0	192.0	244.0	54.0	117.0	-	2125.0	1487.0	1212.0	275.0	150.0	259.0	229.0	-
50 – 59	559.0	406.0	343.0	63.0	66.0	43.0	44.0	-	922.0	517.0	424.0	93.0	64.0	255.0	85.0	1.0
60 – 69	344.0	225.0	189.0	36.0	16.0	83.0	19.0	1.0	701.0	263.0	218.0	45.0	34.0	357.0	45.0	2.0
70 и более	154.0	93.0	81.0	12.0	3.0	55.0	3.0	-	370.0	61.0	53.0	8.0	27.0	260.0	19.0	3.0
возраст не указан	13.0	3.0	2.0	1.0	1.0	1.0	-	8.0	8.0	1.0	1.0	-	1.0	-	1.0	5.0
Челканцы	253.0	156.0	117.0	39.0	77.0	11.0	9.0	-	331.0	201.0	141.0	60.0	74.0	35.0	21.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	15.0	-	-	-	15.0	-	-	-	14.0	-	-	-	14.0	-	-	-
18 – 19	17.0	1.0	-	1.0	16.0	-	-	-	15.0	2.0	1.0	1.0	12.0	-	1.0	-
20 – 29	55.0	23.0	15.0	8.0	32.0	-	-	-	56.0	30.0	17.0	13.0	23.0	-	3.0	-
30 – 39	49.0	37.0	28.0	9.0	8.0	-	4.0	-	71.0	51.0	42.0	9.0	13.0	2.0	5.0	-
40 – 49	62.0	51.0	40.0	11.0	5.0	2.0	4.0	-	93.0	73.0	46.0	27.0	4.0	7.0	9.0	-
50 – 59	27.0	24.0	18.0	6.0	-	2.0	1.0	-	34.0	23.0	19.0	4.0	5.0	4.0	2.0	-
60 – 69	16.0	13.0	12.0	1.0	1.0	2.0	-	-	29.0	16.0	13.0	3.0	1.0	11.0	1.0	-
70 и более	12.0	7.0	4.0	3.0	-	5.0	-	-	19.0	6.0	3.0	3.0	2.0	11.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Чуванцы	284.0	125.0	97.0	28.0	122.0	10.0	25.0	2.0	392.0	181.0	148.0	33.0	126.0	45.0	40.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		1.0	1.0	1.0	-		-	-	
16 – 17	19.0	-	-	-	17.0	-	-	2.0	34.0	1.0	-	1.0	33.0	-	-	-
18 – 19	20.0	1.0	-	1.0	19.0	-	-	-	13.0	-	-	-	13.0	-	-	-
20 – 29	60.0	14.0	9.0	5.0	44.0	-	2.0	-	73.0	35.0	23.0	12.0	35.0	-	3.0	-
30 – 39	65.0	43.0	34.0	9.0	19.0	-	3.0	-	98.0	56.0	45.0	11.0	23.0	5.0	14.0	-
40 – 49	63.0	37.0	26.0	11.0	11.0	2.0	13.0	-	74.0	47.0	41.0	6.0	13.0	9.0	5.0	-
50 – 59	36.0	23.0	21.0	2.0	6.0	1.0	6.0	-	52.0	29.0	26.0	3.0	4.0	8.0	11.0	-
60 – 69	16.0	6.0	6.0	-	5.0	4.0	1.0	-	30.0	9.0	9.0	-	4.0	11.0	6.0	-
70 и более	5.0	1.0	1.0	-	1.0	3.0	-	-	17.0	3.0	3.0	-	1.0	12.0	1.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Чукчи	4174.0	1711.0	1164.0	547.0	2004.0	183.0	212.0	64.0	5036.0	2360.0	1588.0	772.0	1650.0	613.0	346.0	67.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		3.0	3.0	-	3.0		-	-	
16 – 17	376.0	4.0	-	4.0	329.0	-	-	43.0	361.0	11.0	1.0	10.0	301.0	-	1.0	48.0
18 – 19	294.0	12.0	2.0	10.0	276.0	-	-	6.0	275.0	30.0	6.0	24.0	240.0	1.0	1.0	3.0
20 – 29	1076.0	291.0	137.0	154.0	758.0	1.0	15.0	11.0	1181.0	558.0	292.0	266.0	561.0	19.0	39.0	4.0
30 – 39	1035.0	555.0	369.0	186.0	375.0	21.0	83.0	1.0	1244.0	749.0	508.0	241.0	294.0	79.0	117.0	5.0
40 – 49	857.0	522.0	393.0	129.0	209.0	42.0	82.0	2.0	1118.0	675.0	531.0	144.0	177.0	138.0	122.0	6.0
50 – 59	304.0	205.0	173.0	32.0	32.0	39.0	28.0	-	456.0	230.0	179.0	51.0	50.0	129.0	47.0	-
60 – 69	184.0	103.0	76.0	27.0	22.0	54.0	4.0	1.0	256.0	83.0	57.0	26.0	18.0	140.0	14.0	1.0
70 и более	47.0	18.0	13.0	5.0	3.0	26.0	-	-	142.0	21.0	14.0	7.0	9.0	107.0	5.0	-
возраст не указан	1.0	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-
Чулымцы	240.0	121.0	83.0	38.0	88.0	14.0	17.0	-	251.0	126.0	87.0	39.0	57.0	48.0	20.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	12.0	-	-	-	12.0	-	-	-	20.0	-	-	-	20.0	-	-	-
18 – 19	9.0	-	-	-	9.0	-	-	-	16.0	1.0	-	1.0	15.0	-	-	-
20 – 29	48.0	15.0	5.0	10.0	32.0	-	1.0	-	41.0	22.0	9.0	13.0	15.0	-	4.0	-
30 – 39	47.0	29.0	18.0	11.0	14.0	1.0	3.0	-	44.0	34.0	25.0	9.0	2.0	3.0	5.0	-
40 – 49	66.0	40.0	29.0	11.0	19.0	1.0	6.0	-	48.0	31.0	27.0	4.0	3.0	9.0	5.0	-
50 – 59	29.0	22.0	20.0	2.0	1.0	2.0	4.0	-	28.0	23.0	15.0	8.0	-	2.0	3.0	-
60 – 69	18.0	8.0	5.0	3.0	1.0	7.0	2.0	-	29.0	11.0	8.0	3.0	-	16.0	2.0	-
70 и более	11.0	7.0	6.0	1.0	-	3.0	1.0	-	25.0	4.0	3.0	1.0	2.0	18.0	1.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Шапсуги	1253.0	773.0	745.0	28.0	369.0	53.0	58.0	-	1279.0	686.0	667.0	19.0	290.0	223.0	80.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	72.0	1.0	1.0	-	71.0	-	-	-	53.0	-	-	-	53.0	-	-	-
18 – 19	42.0	-	-	-	42.0	-	-	-	53.0	5.0	5.0	-	48.0	-	-	-
20 – 29	215.0	63.0	58.0	5.0	147.0	-	5.0	-	221.0	100.0	94.0	6.0	112.0	2.0	7.0	-
30 – 39	227.0	151.0	140.0	11.0	63.0	1.0	12.0	-	197.0	153.0	145.0	8.0	22.0	6.0	16.0	-
40 – 49	292.0	236.0	228.0	8.0	35.0	3.0	18.0	-	276.0	208.0	206.0	2.0	27.0	17.0	24.0	-
50 – 59	129.0	111.0	109.0	2.0	7.0	1.0	10.0	-	124.0	81.0	80.0	1.0	5.0	23.0	15.0	-
60 – 69	145.0	119.0	119.0	-	3.0	13.0	10.0	-	159.0	84.0	83.0	1.0	8.0	55.0	12.0	-
70 и более	131.0	92.0	90.0	2.0	1.0	35.0	3.0	-	196.0	55.0	54.0	1.0	15.0	120.0	6.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Шорцы	4416.0	2496.0	1926.0	570.0	1381.0	241.0	297.0	1.0	5431.0	2928.0	2212.0	716.0	1027.0	1014.0	462.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	267.0	2.0	-	2.0	265.0	-	-	-	256.0	15.0	4.0	11.0	241.0	-	-	-
18 – 19	185.0	3.0	1.0	2.0	182.0	-	-	-	232.0	41.0	15.0	26.0	191.0	-	-	-
20 – 29	927.0	349.0	217.0	132.0	548.0	3.0	27.0	-	1001.0	546.0	359.0	187.0	399.0	13.0	43.0	-
30 – 39	949.0	653.0	499.0	154.0	208.0	7.0	80.0	1.0	1070.0	807.0	605.0	202.0	83.0	64.0	116.0	-
40 – 49	1065.0	772.0	614.0	158.0	127.0	41.0	125.0	-	1264.0	871.0	705.0	166.0	62.0	174.0	157.0	-
50 – 59	434.0	325.0	273.0	52.0	32.0	41.0	36.0	-	539.0	314.0	261.0	53.0	16.0	132.0	77.0	-
60 – 69	407.0	275.0	225.0	50.0	17.0	92.0	23.0	-	569.0	234.0	184.0	50.0	16.0	279.0	40.0	-
70 и более	182.0	117.0	97.0	20.0	2.0	57.0	6.0	-	500.0	100.0	79.0	21.0	19.0	352.0	29.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
